,entity,classes
0,ALGOL,"ProgrammingLanguage,Language"
1,DBPEDIA_ID/AMOS_(programming_language),"ProgrammingLanguage,Language"
2,DBPEDIA_ID/APL_(programming_language),"ProgrammingLanguage,Language"
3,AWK,"ProgrammingLanguage,Language"
4,DBPEDIA_ID/Ada_(programming_language),"ProgrammingLanguage,Language"
5,DBPEDIA_ID/Assembly_language,"ProgrammingLanguage,Language"
6,BASIC,"ProgrammingLanguage,Language"
7,BCPL,"ProgrammingLanguage,Language"
8,DBPEDIA_ID/B_(programming_language),"ProgrammingLanguage,Language"
9,Brainfuck,"ProgrammingLanguage,Language"
10,DBPEDIA_ID/CLU_(programming_language),"ProgrammingLanguage,Language"
11,COBOL,"ProgrammingLanguage,Language"
12,DBPEDIA_ID/C_(programming_language),"ProgrammingLanguage,Language"
13,DBPEDIA_ID/Common_Lisp,"ProgrammingLanguage,Language"
14,DBPEDIA_ID/Coral_66,"ProgrammingLanguage,Language"
15,DBPEDIA_ID/Cyclone_(programming_language),"ProgrammingLanguage,Language"
16,DBPEDIA_ID/Dylan_(programming_language),"ProgrammingLanguage,Language"
17,DBPEDIA_ID/Eiffel_(programming_language),"ProgrammingLanguage,Language"
18,DBPEDIA_ID/Euphoria_(programming_language),"ProgrammingLanguage,Language"
19,FX-87,"ProgrammingLanguage,Language"
20,DBPEDIA_ID/Forth_(programming_language),"ProgrammingLanguage,Language"
21,Fortran,"ProgrammingLanguage,Language"
22,DBPEDIA_ID/Godiva_(programming_language),"ProgrammingLanguage,Language"
23,DBPEDIA_ID/Icon_(programming_language),"ProgrammingLanguage,Language"
24,JavaScript,"ProgrammingLanguage,Language"
25,DBPEDIA_ID/Java_(programming_language),"ProgrammingLanguage,Language"
26,DBPEDIA_ID/KISS_(system),"ProgrammingLanguage,Language"
27,KL0,"ProgrammingLanguage,Language"
28,KL1,"ProgrammingLanguage,Language"
29,KOMPILER,"ProgrammingLanguage,Language"
