,entity,classes
0,Dartmoor,"Place,ProtectedArea,Location"
1,DBPEDIA_ID/Isle_Royale_National_Park,"Place,ProtectedArea,Location"
2,DBPEDIA_ID/Maasai_Mara,"Place,ProtectedArea,Location"
3,DBPEDIA_ID/Point_Pelee_National_Park,"Place,ProtectedArea,Location"
4,DBPEDIA_ID/Teutoburg_Forest,"Place,ProtectedArea,Location"
5,Glenveagh,"Place,ProtectedArea,Location"
6,DBPEDIA_ID/Harz_National_Park,"Place,ProtectedArea,Location"
7,DBPEDIA_ID/Jasmund_National_Park,"Place,ProtectedArea,Location"
8,DBPEDIA_ID/Müritz_National_Park,"Place,ProtectedArea,Location"
9,DBPEDIA_ID/Richard_Bong_State_Recreation_Area,"Place,ProtectedArea,Location"
10,DBPEDIA_ID/Western_Pomerania_Lagoon_Area_National_Park,"Place,ProtectedArea,Location"
11,DBPEDIA_ID/Asilomar_State_Beach,"Place,ProtectedArea,Location"
12,DBPEDIA_ID/Copper_Salmon_Wilderness,"Place,ProtectedArea,Location"
13,DBPEDIA_ID/Cummins_Creek_Wilderness,"Place,ProtectedArea,Location"
14,DBPEDIA_ID/Dismal_Swamp_(New_Jersey),"Place,ProtectedArea,Location"
15,DBPEDIA_ID/Flat_Tops_Wilderness_Area,"Place,ProtectedArea,Location"
16,DBPEDIA_ID/Fort_Massac,"Place,ProtectedArea,Location"
17,DBPEDIA_ID/Mactaquac_Provincial_Park,"Place,ProtectedArea,Location"
18,DBPEDIA_ID/Mati_Protected_Landscape,"Place,ProtectedArea,Location"
19,DBPEDIA_ID/Matobo_National_Park,"Place,ProtectedArea,Location"
20,DBPEDIA_ID/Mille_Lacs_National_Wildlife_Refuge,"Place,ProtectedArea,Location"
21,DBPEDIA_ID/Mount_Logan_Wilderness,"Place,ProtectedArea,Location"
22,DBPEDIA_ID/Ozark–St._Francis_National_Forest,"Place,ProtectedArea,Location"
23,DBPEDIA_ID/Pha_Taem_National_Park,"Place,ProtectedArea,Location"
24,DBPEDIA_ID/Than_Sadet–Ko_Pha-ngan_National_Park,"Place,ProtectedArea,Location"
25,DBPEDIA_ID/Belize_Barrier_Reef,"Place,ProtectedArea,Location"
26,DBPEDIA_ID/Bill_Burton_Fishing_Pier_State_Park,"Place,ProtectedArea,Location"
27,DBPEDIA_ID/Blanca_Wetlands,"Place,ProtectedArea,Location"
28,DBPEDIA_ID/Blue_Hills_Reservation,"Place,ProtectedArea,Location"
29,DBPEDIA_ID/Bob_Marshall_Wilderness,"Place,ProtectedArea,Location"
30,DBPEDIA_ID/Bohemian_Switzerland,"Place,ProtectedArea,Location"
31,DBPEDIA_ID/Bright_Star_Wilderness,"Place,ProtectedArea,Location"
32,DBPEDIA_ID/Buenos_Aires_National_Wildlife_Refuge,"Place,ProtectedArea,Location"
33,DBPEDIA_ID/Camp_Creek_State_Park,"Place,ProtectedArea,Location"
34,DBPEDIA_ID/Camp_Opemikon,"Place,ProtectedArea,Location"
35,DBPEDIA_ID/Cape_Romain_National_Wildlife_Refuge,"Place,ProtectedArea,Location"
36,DBPEDIA_ID/Caribou_Mountains_Wildland_Park,"Place,ProtectedArea,Location"
37,DBPEDIA_ID/Central_Oak_Heights,"Place,ProtectedArea,Location"
38,DBPEDIA_ID/Chimney_Rock_National_Monument,"Place,ProtectedArea,Location"
39,DBPEDIA_ID/Chimney_Rock_Scientific_and_Natural_Area,"Place,ProtectedArea,Location"
40,DBPEDIA_ID/Chimney_Rock_State_Park,"Place,ProtectedArea,Location"
41,DBPEDIA_ID/Clara_Bog,"Place,ProtectedArea,Location"
42,DBPEDIA_ID/Clearwater_River_Provincial_Park,"Place,ProtectedArea,Location"
43,DBPEDIA_ID/Cross_Island_National_Wildlife_Refuge,"Place,ProtectedArea,Location"
44,DBPEDIA_ID/DuPont_State_Forest,"Place,ProtectedArea,Location"
45,DBPEDIA_ID/Edness_K._Wilkins_State_Park,"Place,ProtectedArea,Location"
46,DBPEDIA_ID/El_Rosario_National_Park,"Place,ProtectedArea,Location"
47,DBPEDIA_ID/El_Vizcaíno_Biosphere_Reserve,"Place,ProtectedArea,Location"
48,DBPEDIA_ID/Ellicott_Rock_Wilderness,"Place,ProtectedArea,Location"
49,DBPEDIA_ID/Fort_Frederick_State_Park,"Place,ProtectedArea,Location"
50,DBPEDIA_ID/Fort_Union_National_Monument,"Place,ProtectedArea,Location"
51,DBPEDIA_ID/Fort_Wilkins_Historic_State_Park,"Place,ProtectedArea,Location"
52,DBPEDIA_ID/Franz_Lake_National_Wildlife_Refuge,"Place,ProtectedArea,Location"
53,DBPEDIA_ID/Frogner_Park,"Place,ProtectedArea,Location"
54,DBPEDIA_ID/Gila_National_Forest,"Place,ProtectedArea,Location"
55,DBPEDIA_ID/Gila_Wilderness,"Place,ProtectedArea,Location"
56,DBPEDIA_ID/Great_Meadows_National_Wildlife_Refuge,"Place,ProtectedArea,Location"
57,DBPEDIA_ID/John_Day_Fossil_Beds_National_Monument,"Place,ProtectedArea,Location"
58,DBPEDIA_ID/Kenneth_Hahn_State_Recreation_Area,"Place,ProtectedArea,Location"
59,DBPEDIA_ID/Killarney_National_Park,"Place,ProtectedArea,Location"
60,DBPEDIA_ID/Killarney_Provincial_Park,"Place,ProtectedArea,Location"
