,entity,classes
0,Beta-lactamase,"Protein,Biomolecule"
1,Calreticulin,"Protein,Biomolecule"
2,DBPEDIA_ID/Collagen_helix,"Protein,Biomolecule"
3,DBPEDIA_ID/G_protein–coupled_receptor,"Protein,Biomolecule"
4,Histone,"Protein,Biomolecule"
5,Insulin,"Protein,Biomolecule"
6,Integrin,"Protein,Biomolecule"
7,Interferon,"Protein,Biomolecule"
8,DBPEDIA_ID/Reverse_transcriptase,"Protein,Biomolecule"
9,DBPEDIA_ID/Coenzyme_Q_–_cytochrome_c_reductase,"Protein,Biomolecule"
10,Pardaxin,"Protein,Biomolecule"
11,DBPEDIA_ID/AXL_receptor_tyrosine_kinase,"Protein,Biomolecule"
12,DBPEDIA_ID/Epidermal_growth_factor_receptor,"Protein,Biomolecule"
13,DBPEDIA_ID/Estrogen-related_receptor,"Protein,Biomolecule"
14,DBPEDIA_ID/Estrogen-related_receptor_alpha,"Protein,Biomolecule"
15,DBPEDIA_ID/Estrogen-related_receptor_beta,"Protein,Biomolecule"
16,DBPEDIA_ID/Estrogen-related_receptor_gamma,"Protein,Biomolecule"
17,Fibrinogen,"Protein,Biomolecule"
18,Norrin,"Protein,Biomolecule"
19,OAS2,"Protein,Biomolecule"
20,OAS3,"Protein,Biomolecule"
21,DBPEDIA_ID/Phosphoinositide-dependent_kinase-1,"Protein,Biomolecule"
22,DBPEDIA_ID/Rab_escort_protein,"Protein,Biomolecule"
23,DBPEDIA_ID/STH_(gene),"Protein,Biomolecule"
24,DBPEDIA_ID/Slit_(gene_family),"Protein,Biomolecule"
25,DBPEDIA_ID/T_cell_receptor,"Protein,Biomolecule"
26,Transthyretin,"Protein,Biomolecule"
27,DBPEDIA_ID/Tubby_protein,"Protein,Biomolecule"
28,ASK1,"Protein,Biomolecule"
29,DBPEDIA_ID/Amyloid_precursor_protein,"Protein,Biomolecule"
30,DBPEDIA_ID/Anaplastic_lymphoma_kinase,"Protein,Biomolecule"
31,DBPEDIA_ID/Bcl-2-associated_death_promoter,"Protein,Biomolecule"
32,CD98,"Protein,Biomolecule"
33,DBPEDIA_ID/CKB_(gene),"Protein,Biomolecule"
34,CLASP1,"Protein,Biomolecule"
35,CLASP2,"Protein,Biomolecule"
36,CLK1,"Protein,Biomolecule"
37,CLK2,"Protein,Biomolecule"
38,CLOCK,"Protein,Biomolecule"
39,DBPEDIA_ID/Calcitriol_receptor,"Protein,Biomolecule"
40,DBPEDIA_ID/Cerberus_(protein),"Protein,Biomolecule"
41,Cingulin,"Protein,Biomolecule"
42,DBPEDIA_ID/Cytochrome_c_oxidase_subunit_III,"Protein,Biomolecule"
43,DBC1,"Protein,Biomolecule"
44,DBPEDIA_ID/DBT_(gene),"Protein,Biomolecule"
45,DBPEDIA_ID/DCPS_(gene),"Protein,Biomolecule"
46,DBPEDIA_ID/DEK_(gene),"Protein,Biomolecule"
47,DBPEDIA_ID/DSE_(gene),"Protein,Biomolecule"
48,DBPEDIA_ID/Embryonal_fyn-associated_substrate,"Protein,Biomolecule"
49,DBPEDIA_ID/Erbin_(protein),"Protein,Biomolecule"
50,DBPEDIA_ID/Flamingo_(protein),"Protein,Biomolecule"
51,DBPEDIA_ID/Gremlin_(protein),"Protein,Biomolecule"
52,HAX1,"Protein,Biomolecule"
53,HES1,"Protein,Biomolecule"
54,DBPEDIA_ID/HGS_(gene),"Protein,Biomolecule"
55,DBPEDIA_ID/Haemagglutinin-esterase_fusion_glycoprotein,"Protein,Biomolecule"
56,DBPEDIA_ID/Hepatic_fructokinase,"Protein,Biomolecule"
57,KIAA1967,"Protein,Biomolecule"
58,DBPEDIA_ID/Kinase_insert_domain_receptor,"Protein,Biomolecule"
59,DBPEDIA_ID/LIM_domain,"Protein,Biomolecule"
60,DBPEDIA_ID/LPP_(gene),"Protein,Biomolecule"
61,Lactoferrin,"Protein,Biomolecule"
62,Lck,"Protein,Biomolecule"
63,DBPEDIA_ID/Leukocyte_receptor_tyrosine_kinase,"Protein,Biomolecule"
64,DBPEDIA_ID/Linker_of_activated_T_cells,"Protein,Biomolecule"
65,DBPEDIA_ID/Liver_receptor_homolog-1,"Protein,Biomolecule"
66,DBPEDIA_ID/Lymphoid_enhancer-binding_factor_1,"Protein,Biomolecule"
67,MUC1,"Protein,Biomolecule"
68,DBPEDIA_ID/Macrophage_migration_inhibitory_factor,"Protein,Biomolecule"
69,DBPEDIA_ID/Methylmalonyl-CoA_mutase,"Protein,Biomolecule"
70,DBPEDIA_ID/NLN_(gene),"Protein,Biomolecule"
71,Neurogenins,"Protein,Biomolecule"
72,Neuropilin,"Protein,Biomolecule"
73,Osteonectin,"Protein,Biomolecule"
74,DBPEDIA_ID/PDZ_domain,"Protein,Biomolecule"
75,DBPEDIA_ID/PMEL_(gene),"Protein,Biomolecule"
76,PURA,"Protein,Biomolecule"
77,Plasmin,"Protein,Biomolecule"
78,DBPEDIA_ID/Pregnancy_zone_protein,"Protein,Biomolecule"
79,DBPEDIA_ID/RHCE_(gene),"Protein,Biomolecule"
80,RPS27,"Protein,Biomolecule"
81,DBPEDIA_ID/Repulsive_guidance_molecule_B,"Protein,Biomolecule"
82,DBPEDIA_ID/Retinoic_acid_receptor,"Protein,Biomolecule"
83,DBPEDIA_ID/SON_(gene),"Protein,Biomolecule"
84,STIL,"Protein,Biomolecule"
85,DBPEDIA_ID/Sib_RNA,"Protein,Biomolecule"
86,Syntaxin,"Protein,Biomolecule"
87,DBPEDIA_ID/TUB_(gene),"Protein,Biomolecule"
88,Telethonin,"Protein,Biomolecule"
89,Titin,"Protein,Biomolecule"
90,Uteroglobin,"Protein,Biomolecule"
91,DBPEDIA_ID/Valosin-containing_protein,"Protein,Biomolecule"
92,DBPEDIA_ID/Apoptosis-antagonizing_transcription_factor,"Protein,Biomolecule"
93,Aquaporin,"Protein,Biomolecule"
94,DBPEDIA_ID/BMF_(gene),"Protein,Biomolecule"
95,CLIC1,"Protein,Biomolecule"
96,DBPEDIA_ID/PTS_(gene),"Protein,Biomolecule"
97,Proenkephalin,"Protein,Biomolecule"
98,DBPEDIA_ID/ABO_(gene),"Protein,Biomolecule"
99,ACTC1,"Protein,Biomolecule"
100,DBPEDIA_ID/APRIL_(protein),"Protein,Biomolecule"
101,DBPEDIA_ID/Arylsulfatase_A,"Protein,Biomolecule"
102,DBPEDIA_ID/BOK_(gene),"Protein,Biomolecule"
103,BOLL,"Protein,Biomolecule"
104,DBPEDIA_ID/CREB-binding_protein,"Protein,Biomolecule"
105,DBPEDIA_ID/CUTC_(gene),"Protein,Biomolecule"
106,DBPEDIA_ID/Dopamine_beta-hydroxylase,"Protein,Biomolecule"
107,DBPEDIA_ID/Dopamine_transporter,"Protein,Biomolecule"
108,DBPEDIA_ID/Duffy_antigen_system,"Protein,Biomolecule"
109,Dynorphin,"Protein,Biomolecule"
110,DBPEDIA_ID/ELL_(gene),"Protein,Biomolecule"
111,EMX1,"Protein,Biomolecule"
112,ERN1,"Protein,Biomolecule"
113,DBPEDIA_ID/EVC_(gene),"Protein,Biomolecule"
114,DBPEDIA_ID/Enterotoxin_type_B,"Protein,Biomolecule"
115,DBPEDIA_ID/Estrogen_receptor_beta,"Protein,Biomolecule"
116,DBPEDIA_ID/FTO_gene,"Protein,Biomolecule"
117,FUS,"Protein,Biomolecule"
118,DBPEDIA_ID/Fibroblast_growth_factor,"Protein,Biomolecule"
119,DBPEDIA_ID/Formate-nitrite_transporter,"Protein,Biomolecule"
120,DBPEDIA_ID/HRB_(gene),"Protein,Biomolecule"
121,DBPEDIA_ID/Hok/sok_system,"Protein,Biomolecule"
122,DBPEDIA_ID/ITCH_(gene),"Protein,Biomolecule"
123,DBPEDIA_ID/Lipopolysaccharide_binding_protein,"Protein,Biomolecule"
124,Loricrin,"Protein,Biomolecule"
125,DBPEDIA_ID/Luteinizing_hormone_beta_polypeptide,"Protein,Biomolecule"
126,DBPEDIA_ID/MAZ_(gene),"Protein,Biomolecule"
127,DBPEDIA_ID/NASP_(gene),"Protein,Biomolecule"
128,NEDD8,"Protein,Biomolecule"
129,DBPEDIA_ID/NIN_(gene),"Protein,Biomolecule"
130,DBPEDIA_ID/Nuclear_cap-binding_protein_complex,"Protein,Biomolecule"
131,Osteoprotegerin,"Protein,Biomolecule"
132,DBPEDIA_ID/PBK_(gene),"Protein,Biomolecule"
133,PLCE1,"Protein,Biomolecule"
134,Pho4,"Protein,Biomolecule"
135,Pleiotrophin,"Protein,Biomolecule"
136,Prosaposin,"Protein,Biomolecule"
137,RCE1,"Protein,Biomolecule"
138,DBPEDIA_ID/SKI_protein,"Protein,Biomolecule"
139,DBPEDIA_ID/Sterol_regulatory_element-binding_protein,"Protein,Biomolecule"
140,DBPEDIA_ID/Trimeric_autotransporter_adhesin,"Protein,Biomolecule"
141,DBPEDIA_ID/VHS_protein_domain,"Protein,Biomolecule"
142,DBPEDIA_ID/WASL_(gene),"Protein,Biomolecule"
143,DBPEDIA_ID/XPC_(gene),"Protein,Biomolecule"
144,ACO2,"Protein,Biomolecule"
145,DBPEDIA_ID/Aquaporin_3,"Protein,Biomolecule"
146,DBPEDIA_ID/Asialoglycoprotein_receptor,"Protein,Biomolecule"
147,DBPEDIA_ID/Autophagy-related_protein_13,"Protein,Biomolecule"
148,BBS12,"Protein,Biomolecule"
149,DBPEDIA_ID/BRCT_domain,"Protein,Biomolecule"
150,DBPEDIA_ID/Bowman–Birk_protease_inhibitor,"Protein,Biomolecule"
151,C1orf109,"Protein,Biomolecule"
152,CTDNEP1,"Protein,Biomolecule"
153,DBPEDIA_ID/Carboxypeptidase_B,"Protein,Biomolecule"
154,DBPEDIA_ID/Cbl_TKB_domain,"Protein,Biomolecule"
155,Claudin,"Protein,Biomolecule"
156,DBPEDIA_ID/Complement_component_3,"Protein,Biomolecule"
157,CyaA,"Protein,Biomolecule"
158,Destrin,"Protein,Biomolecule"
159,DBPEDIA_ID/Di-haem_cytochrome_c_peroxidase,"Protein,Biomolecule"
160,DBPEDIA_ID/Adapter_molecule_crk,"Protein,Biomolecule"
161,FAM132A,"Protein,Biomolecule"
162,FDX1L,"Protein,Biomolecule"
163,DBPEDIA_ID/Glycoside_hydrolase_family_81,"Protein,Biomolecule"
164,DBPEDIA_ID/BTRC_(gene),"Protein,Biomolecule"
165,DBPEDIA_ID/Bcl-2-interacting_killer,"Protein,Biomolecule"
166,DBPEDIA_ID/Interferon_gamma_receptor_(IFNGR1)_family,"Protein,Biomolecule"
167,Kir2.1,"Protein,Biomolecule"
168,C-Fos,"Protein,Biomolecule"
169,C-jun,"Protein,Biomolecule"
170,DBPEDIA_ID/CCNI_(gene),"Protein,Biomolecule"
171,DBPEDIA_ID/CHKB_(gene),"Protein,Biomolecule"
172,MAPK13,"Protein,Biomolecule"
173,MYF6,"Protein,Biomolecule"
174,DBPEDIA_ID/Monocarboxylate_transporter_3,"Protein,Biomolecule"
175,NLRC3,"Protein,Biomolecule"
176,PTBP2,"Protein,Biomolecule"
177,DBPEDIA_ID/Phosphate-selective_porin,"Protein,Biomolecule"
178,Plakoglobin,"Protein,Biomolecule"
179,DBPEDIA_ID/DAK_(gene),"Protein,Biomolecule"
180,DBN1,"Protein,Biomolecule"
181,DBPEDIA_ID/Delta_sleep-inducing_peptide,"Protein,Biomolecule"
182,SGLT2,"Protein,Biomolecule"
183,SLC9A11,"Protein,Biomolecule"
184,EIF2AK1,"Protein,Biomolecule"
185,ELF2,"Protein,Biomolecule"
186,DBPEDIA_ID/ERH_(gene),"Protein,Biomolecule"
187,Subtilase,"Protein,Biomolecule"
188,TMEM69,"Protein,Biomolecule"
189,DBPEDIA_ID/TP53-inducible_glycolysis_and_apoptosis_regulator,"Protein,Biomolecule"
190,Tachystatin,"Protein,Biomolecule"
191,DBPEDIA_ID/Espin_(protein),"Protein,Biomolecule"
192,DBPEDIA_ID/FYVE_domain,"Protein,Biomolecule"
193,DBPEDIA_ID/Transmembrane_protein_53,"Protein,Biomolecule"
194,DBPEDIA_ID/Fumarylacetoacetate_hydrolase,"Protein,Biomolecule"
195,VP40,"Protein,Biomolecule"
196,ZBED6,"Protein,Biomolecule"
197,DBPEDIA_ID/Zinc_finger_protein_532,"Protein,Biomolecule"
198,DBPEDIA_ID/Histidine-rich_glycoprotein,"Protein,Biomolecule"
199,Involucrin,"Protein,Biomolecule"
200,DBPEDIA_ID/Lefty_(protein),"Protein,Biomolecule"
201,DBPEDIA_ID/Leucine-rich_repeat,"Protein,Biomolecule"
202,DBPEDIA_ID/Mercury_transporter,"Protein,Biomolecule"
203,DBPEDIA_ID/Neuronal_calcium_sensor-1,"Protein,Biomolecule"
204,PIKFYVE,"Protein,Biomolecule"
205,DBPEDIA_ID/POU_domain,"Protein,Biomolecule"
206,DBPEDIA_ID/SHB_(gene),"Protein,Biomolecule"
207,DBPEDIA_ID/TTK_(gene),"Protein,Biomolecule"
208,DBPEDIA_ID/TisB-IstR_toxin-antitoxin_system,"Protein,Biomolecule"
209,Translin,"Protein,Biomolecule"
210,Zyxin,"Protein,Biomolecule"
211,DBPEDIA_ID/Alpha-1-microglobulin/bikunin_precursor,"Protein,Biomolecule"
212,CAMKK1,"Protein,Biomolecule"
213,DBPEDIA_ID/Concentrative_nucleoside_transporter_1,"Protein,Biomolecule"
214,ELP3,"Protein,Biomolecule"
215,FNDC3A,"Protein,Biomolecule"
216,GPR68,"Protein,Biomolecule"
217,GRIN2B,"Protein,Biomolecule"
218,GSTO2,"Protein,Biomolecule"
219,DBPEDIA_ID/Galanin_receptor_3,"Protein,Biomolecule"
220,KLK13,"Protein,Biomolecule"
221,NRSN2,"Protein,Biomolecule"
222,OSBP,"Protein,Biomolecule"
223,PGM1,"Protein,Biomolecule"
224,PHF20,"Protein,Biomolecule"
225,RASGRP1,"Protein,Biomolecule"
226,RSPO1,"Protein,Biomolecule"
227,RhoH,"Protein,Biomolecule"
228,SEPX1,"Protein,Biomolecule"
229,SF3B4,"Protein,Biomolecule"
230,STK3,"Protein,Biomolecule"
231,Sic1,"Protein,Biomolecule"
232,TASP1,"Protein,Biomolecule"
233,TXNL4B,"Protein,Biomolecule"
234,ZGPAT,"Protein,Biomolecule"
235,DBPEDIA_ID/AGK_(gene),"Protein,Biomolecule"
236,DBPEDIA_ID/CPZ_(gene),"Protein,Biomolecule"
237,Fibrillarin,"Protein,Biomolecule"
238,MOCOS,"Protein,Biomolecule"
239,PARVA,"Protein,Biomolecule"
240,POLK,"Protein,Biomolecule"
241,DBPEDIA_ID/PRX_(gene),"Protein,Biomolecule"
242,DBPEDIA_ID/Peptide_YY,"Protein,Biomolecule"
243,Peroxiredoxin,"Protein,Biomolecule"
244,Plunc,"Protein,Biomolecule"
245,Stathmin,"Protein,Biomolecule"
246,DBPEDIA_ID/Survival_of_motor_neuron,"Protein,Biomolecule"
247,Calbindin,"NoFoundType
"
248,Cohesin,"NoFoundType
"
249,DBPEDIA_ID/Cytochrome_b,"Protein,Biomolecule"
250,DBPEDIA_ID/Cytochrome_b5,"Protein,Biomolecule"
251,DBPEDIA_ID/Methane_monooxygenase,"Protein,Biomolecule"
252,Properdin,"Protein,Biomolecule"
253,Rubredoxin,"Protein,Biomolecule"
254,SWI/SNF,"Protein,Biomolecule"
255,Sirtuin,"Protein,Biomolecule"
256,Telokin,"Protein,Biomolecule"
257,V-ATPase,"Protein,Biomolecule"
258,ACAT1,"Protein,Biomolecule"
259,ACCN4,"Protein,Biomolecule"
260,DBPEDIA_ID/Amino_acid_kinase,"Protein,Biomolecule"
261,DBPEDIA_ID/Bradykinin_receptor,"Protein,Biomolecule"
262,C1orf106,"Protein,Biomolecule"
263,C20orf111,"Protein,Biomolecule"
264,C3orf60,"Protein,Biomolecule"
265,CENPO,"Protein,Biomolecule"
266,CLDN12,"Protein,Biomolecule"
267,DBPEDIA_ID/COP9_constitutive_photomorphogenic_homolog_subunit_5,"Protein,Biomolecule"
268,CagZ,"Protein,Biomolecule"
269,DBPEDIA_ID/Cyclin-dependent_kinase_9,"Protein,Biomolecule"
270,DBPEDIA_ID/DSS1/SEM1_protein_family,"Protein,Biomolecule"
271,DBPEDIA_ID/DmpG-like_communication_domain,"Protein,Biomolecule"
272,ENKD1,"Protein,Biomolecule"
273,EPB41L1,"Protein,Biomolecule"
274,DBPEDIA_ID/ESD_(gene),"Protein,Biomolecule"
275,DBPEDIA_ID/Eosinophil-derived_neurotoxin,"Protein,Biomolecule"
276,FAM32A,"Protein,Biomolecule"
277,DBPEDIA_ID/FGGY_carbohydrate_kinase_family,"Protein,Biomolecule"
