,entity,classes
0,DBPEDIA_ID/DC_Comics,"Publisher,Organisation,Company,Agent"
1,DBPEDIA_ID/Marvel_Comics,"Publisher,Organisation,Company,Agent"
2,ArtScroll,"Publisher,Organisation,Company,Agent"
3,DBPEDIA_ID/Disney_Comics,"Publisher,Organisation,Company,Agent"
4,DBPEDIA_ID/Hachette_Filipacchi_Media_U.S.,"Publisher,Organisation,Company,Agent"
5,PLOS,"Publisher,Organisation,Company,Agent"
6,DBPEDIA_ID/Between_the_Lines_Books,"Publisher,Organisation,Company,Agent"
7,Fodor's,"Publisher,Organisation,Company,Agent"
8,DBPEDIA_ID/Nature_Publishing_Group,"Publisher,Organisation,Company,Agent"
9,DBPEDIA_ID/Obverse_Books,"Publisher,Organisation,Company,Agent"
10,DBPEDIA_ID/Stanford_University_Press,"Publisher,Organisation,Company,Agent"
11,DBPEDIA_ID/Sydney_University_Press,"Publisher,Organisation,Company,Agent"
12,DBPEDIA_ID/The_History_Press,"Publisher,Organisation,Company,Agent"
13,DBPEDIA_ID/ASCII_Corporation,"Publisher,Organisation,Company,Agent"
14,DBPEDIA_ID/Academic_Press,"Publisher,Organisation,Company,Agent"
15,DBPEDIA_ID/Alternative_Comics_(publisher),"Publisher,Organisation,Company,Agent"
16,DBPEDIA_ID/Ave_Maria_Press,"Publisher,Organisation,Company,Agent"
17,DBPEDIA_ID/Birlinn_(publisher),"Publisher,Organisation,Company,Agent"
18,DBPEDIA_ID/Black_Mask_Studios,"Publisher,Organisation,Company,Agent"
19,DBPEDIA_ID/Bongo_Comics_Group,"Publisher,Organisation,Company,Agent"
20,DBPEDIA_ID/Capstone_Publishers,"Publisher,Organisation,Company,Agent"
21,DBPEDIA_ID/Del_Rey_Manga,"Publisher,Organisation,Company,Agent"
22,DBPEDIA_ID/Dell_Comics,"Publisher,Organisation,Company,Agent"
23,DBPEDIA_ID/Dell_Magazines,"Publisher,Organisation,Company,Agent"
24,DBPEDIA_ID/Dell_Publishing,"Publisher,Organisation,Company,Agent"
25,DBPEDIA_ID/Devil's_Due_Publishing,"Publisher,Organisation,Company,Agent"
26,DBPEDIA_ID/Feltrinelli_(publisher),"Publisher,Organisation,Company,Agent"
27,DBPEDIA_ID/Gleaner_Company,"Publisher,Organisation,Company,Agent"
28,DBPEDIA_ID/Harvill_Secker,"Publisher,Organisation,Company,Agent"
29,DBPEDIA_ID/Henry_Holt_and_Company,"Publisher,Organisation,Company,Agent"
30,DBPEDIA_ID/Holt_McDougal,"Publisher,Organisation,Company,Agent"
31,DBPEDIA_ID/Horwitz_Publishing_House,"Publisher,Organisation,Company,Agent"
32,DBPEDIA_ID/John_Day_Company,"Publisher,Organisation,Company,Agent"
33,DBPEDIA_ID/John_Wiley_&_Sons,"Publisher,Organisation,Company,Agent"
34,DBPEDIA_ID/Lawrence_and_Wishart,"Publisher,Organisation,Company,Agent"
35,DBPEDIA_ID/Lerner_Publishing_Group,"Publisher,Organisation,Company,Agent"
36,DBPEDIA_ID/Mojo_Press,"Publisher,Organisation,Company,Agent"
37,DBPEDIA_ID/Morgan_Kaufmann_Publishers,"Publisher,Organisation,Company,Agent"
38,DBPEDIA_ID/NBM_Publishing,"Publisher,Organisation,Company,Agent"
39,DBPEDIA_ID/Northwestern_University_Press,"Publisher,Organisation,Company,Agent"
40,DBPEDIA_ID/Orbis_Books,"Publisher,Organisation,Company,Agent"
41,DBPEDIA_ID/Palgrave_Macmillan,"Publisher,Organisation,Company,Agent"
42,DBPEDIA_ID/Plume_(publisher),"Publisher,Organisation,Company,Agent"
43,DBPEDIA_ID/Prometheus_Books,"Publisher,Organisation,Company,Agent"
44,DBPEDIA_ID/Schiffer_Publishing,"Publisher,Organisation,Company,Agent"
45,DBPEDIA_ID/Speakeasy_Comics,"Publisher,Organisation,Company,Agent"
46,DBPEDIA_ID/Westermann_Verlag,"Publisher,Organisation,Company,Agent"
47,DBPEDIA_ID/Chatto_&_Windus,"Publisher,Organisation,Company,Agent"
48,DBPEDIA_ID/Counterpoint_(publisher),"Publisher,Organisation,Company,Agent"
