,entity,classes
0,DBPEDIA_ID/Adana_Yeşiloba_Hippodrome,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
1,DBPEDIA_ID/Kempton_Park_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
2,DBPEDIA_ID/Kensington_Hippodrome,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
3,DBPEDIA_ID/Los_Alamitos_Race_Course,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
4,DBPEDIA_ID/Royal_Calcutta_Turf_Club,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
5,DBPEDIA_ID/The_Meadows_Racetrack_and_Casino,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
6,DBPEDIA_ID/Ankara_75th_Anniversary_Race_Course,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
7,DBPEDIA_ID/Great_Yarmouth_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
8,DBPEDIA_ID/Belmont_Park_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
9,DBPEDIA_ID/Plainridge_Park_Casino,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
10,DBPEDIA_ID/Sam_Houston_Race_Park,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
11,DBPEDIA_ID/Brighton_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
12,DBPEDIA_ID/Carlisle_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
13,DBPEDIA_ID/Catterick_Bridge_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
14,DBPEDIA_ID/Chepstow_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
15,DBPEDIA_ID/Curragh_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
16,DBPEDIA_ID/Fakenham_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
17,DBPEDIA_ID/Folkestone_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
18,DBPEDIA_ID/Harold_Park_Paceway,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
19,DBPEDIA_ID/Hereford_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
20,DBPEDIA_ID/Hexham_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
21,DBPEDIA_ID/Huntingdon_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
22,DBPEDIA_ID/Jamaica_Race_Course,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
23,DBPEDIA_ID/Kokura_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
24,DBPEDIA_ID/Musselburgh_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
25,DBPEDIA_ID/Nad_Al_Sheba_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
26,DBPEDIA_ID/Narragansett_Park,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
27,DBPEDIA_ID/Newton_Abbot_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
28,DBPEDIA_ID/Nottingham_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
29,DBPEDIA_ID/Perth_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
30,DBPEDIA_ID/Pontefract_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
31,DBPEDIA_ID/Redcar_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
32,DBPEDIA_ID/Ripon_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
33,DBPEDIA_ID/Sedgefield_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
34,DBPEDIA_ID/Thirsk_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
35,DBPEDIA_ID/Wincanton_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
36,DBPEDIA_ID/Wolverhampton_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
37,DBPEDIA_ID/Worcester_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
38,DBPEDIA_ID/Nuwara_Eliya_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
39,DBPEDIA_ID/Tanforan_Racetrack,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
40,DBPEDIA_ID/Hialeah_Park_Race_Track,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
41,DBPEDIA_ID/Fort_Erie_Race_Track,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
42,DBPEDIA_ID/Sunshine_Millions,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
43,DBPEDIA_ID/Derby_Lane_Greyhound_Track,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
44,DBPEDIA_ID/Tabcorp_Park,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
45,DBPEDIA_ID/Bergen_Travpark,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
46,DBPEDIA_ID/Biri_Travbane,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
47,DBPEDIA_ID/Drammen_Travbane,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
48,DBPEDIA_ID/Forus_Travbane,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
49,DBPEDIA_ID/Hovik_Hayrapetyan_Equestrian_Centre,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
50,DBPEDIA_ID/Klosterskogen_Travbane,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
51,DBPEDIA_ID/Leangen_Travbane,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
52,DBPEDIA_ID/Momarken_Travbane,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
53,DBPEDIA_ID/North_Dakota_Horse_Park,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
54,DBPEDIA_ID/Prague-Velká_Chuchle_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
55,DBPEDIA_ID/Sailing_courses_at_the_2012_Summer_Olympics,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
56,DBPEDIA_ID/Sørlandets_Travpark,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
57,DBPEDIA_ID/Alexandra_Park_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
58,DBPEDIA_ID/Stockbridge_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
59,DBPEDIA_ID/Bromford_Bridge_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
60,DBPEDIA_ID/Dufferin_Park_Racetrack,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
61,DBPEDIA_ID/Faisal_Equestrian_Club,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
62,DBPEDIA_ID/Hipodromo_do_Cristal,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
63,DBPEDIA_ID/Lone_Star_Park,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
64,DBPEDIA_ID/Mahalaxmi_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
65,DBPEDIA_ID/Epsom_Downs_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
66,DBPEDIA_ID/Chester_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
67,DBPEDIA_ID/Hipódromo_de_Asunción,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
68,DBPEDIA_ID/Remington_Park,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
69,DBPEDIA_ID/Sheepshead_Bay_Race_Track,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
70,DBPEDIA_ID/Lanark_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
71,DBPEDIA_ID/Portland_Meadows,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
72,DBPEDIA_ID/Ruidoso_Downs_Race_Track,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
73,DBPEDIA_ID/Wheeling_Island_Hotel-Casino-Racetrack,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
74,DBPEDIA_ID/Greenwood_Raceway,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
75,DBPEDIA_ID/Mohawk_Racetrack,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
76,DBPEDIA_ID/Newbury_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
77,DBPEDIA_ID/Salisbury_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
