,entity,classes
0,DBPEDIA_ID/Don_Geronimo,"Presenter,RadioHost,Agent,Person"
1,DBPEDIA_ID/Ghislaine_Dupont,"Presenter,RadioHost,Agent,Person"
2,DBPEDIA_ID/Pebbles_(radio_personality),"Presenter,RadioHost,Agent,Person"
3,DBPEDIA_ID/Quentin_Cooper,"Presenter,RadioHost,Agent,Person"
4,DBPEDIA_ID/Zane_Lowe,"Presenter,RadioHost,Agent,Person"
5,DBPEDIA_ID/Angela_Yee,"Presenter,RadioHost,Agent,Person"
6,DBPEDIA_ID/Suzyn_Waldman,"Presenter,RadioHost,Agent,Person"
7,DBPEDIA_ID/%22Sunshine%22_Sonny_Payne,"Presenter,RadioHost,Agent,Person"
8,DBPEDIA_ID/Carolina_Bermudez,"Presenter,RadioHost,Agent,Person"
9,DBPEDIA_ID/Nessa_(personality),"Presenter,RadioHost,Agent,Person"
10,DBPEDIA_ID/Roy_Masters_(commentator),"Presenter,RadioHost,Agent,Person"
11,DBPEDIA_ID/Tony_Dixon_(DJ),"Presenter,RadioHost,Agent,Person"
12,DBPEDIA_ID/Andy_Slater,"Presenter,RadioHost,Agent,Person"
13,DBPEDIA_ID/John_Gilliland,"Presenter,RadioHost,Agent,Person"
14,DBPEDIA_ID/Carol_Anne_Meehan,"Presenter,RadioHost,Agent,Person"
15,DBPEDIA_ID/Jono_Pryor,"Presenter,RadioHost,Agent,Person"
16,DBPEDIA_ID/Pauline_Gillespie,"Presenter,RadioHost,Agent,Person"
17,DBPEDIA_ID/Nick_Geber,"Presenter,RadioHost,Agent,Person"
18,DBPEDIA_ID/Dick_Biondi,"Presenter,RadioHost,Agent,Person"
19,DBPEDIA_ID/Ferdinand_Biondi,"Presenter,RadioHost,Agent,Person"
20,DBPEDIA_ID/Robert_Krulwich,"Presenter,RadioHost,Agent,Person"
21,DBPEDIA_ID/Johnny_Dare,"Presenter,RadioHost,Agent,Person"
22,DBPEDIA_ID/Bob_Kevoian,"Presenter,RadioHost,Agent,Person"
23,DBPEDIA_ID/Lowell_Green,"Presenter,RadioHost,Agent,Person"
24,DBPEDIA_ID/Russ_Martin,"Presenter,RadioHost,Agent,Person"
25,DBPEDIA_ID/Tom_Griswold,"Presenter,RadioHost,Agent,Person"
26,DBPEDIA_ID/Mike_Valenti,"Presenter,RadioHost,Agent,Person"
27,DBPEDIA_ID/Gee_Money,"Presenter,RadioHost,Agent,Person"
28,DBPEDIA_ID/Heidi_Harris,"Presenter,RadioHost,Agent,Person"
29,DBPEDIA_ID/Sarah_X_Dylan,"Presenter,RadioHost,Agent,Person"
30,DBPEDIA_ID/Simon_Barnett,"Presenter,RadioHost,Agent,Person"
31,DBPEDIA_ID/George_Dunham,"Presenter,RadioHost,Agent,Person"
32,DBPEDIA_ID/Andrés_Durán,"Presenter,RadioHost,Agent,Person"
33,DBPEDIA_ID/Gavin_Dawson,"Presenter,RadioHost,Agent,Person"
34,DBPEDIA_ID/Greg_Nibler,"Presenter,RadioHost,Agent,Person"
35,DBPEDIA_ID/Jim_Johnson_(radio),"Presenter,RadioHost,Agent,Person"
36,DBPEDIA_ID/Gerald_Koh,"Presenter,RadioHost,Agent,Person"
37,DBPEDIA_ID/Clara_Amfo,"Presenter,RadioHost,Agent,Person"
38,DBPEDIA_ID/Matt_Siegel,"Presenter,RadioHost,Agent,Person"
39,DBPEDIA_ID/Trudy_Haynes,"Presenter,RadioHost,Agent,Person"
40,DBPEDIA_ID/Frédéric_Taddeï,"Presenter,RadioHost,Agent,Person"
41,DBPEDIA_ID/Farah_Hussain,"Presenter,RadioHost,Agent,Person"
42,DBPEDIA_ID/Jimmy_Wallington,"Presenter,RadioHost,Agent,Person"
43,DBPEDIA_ID/Martin_Ingram_(broadcaster),"Presenter,RadioHost,Agent,Person"
44,DBPEDIA_ID/Nadine_Ramkisson,"Presenter,RadioHost,Agent,Person"
45,DBPEDIA_ID/Jacki_Lyden,"Presenter,RadioHost,Agent,Person"
46,DBPEDIA_ID/Norman_Ellison,"Presenter,RadioHost,Agent,Person"
47,DBPEDIA_ID/Art_Vincent,"Presenter,RadioHost,Agent,Person"
48,DBPEDIA_ID/John_Kenneally_(radio_presenter),"Presenter,RadioHost,Agent,Person"
49,DBPEDIA_ID/Kjell_Kristian_Rike,"Presenter,RadioHost,Agent,Person"
50,DBPEDIA_ID/Annie_Mac,"Presenter,RadioHost,Agent,Person"
51,DBPEDIA_ID/Cipha_Sounds,"Presenter,RadioHost,Agent,Person"
52,DBPEDIA_ID/Comedy_Dave,"Presenter,RadioHost,Agent,Person"
53,DBPEDIA_ID/Daria_O'Neill,"Presenter,RadioHost,Agent,Person"
54,DBPEDIA_ID/Doug_Tracht,"Presenter,RadioHost,Agent,Person"
55,DBPEDIA_ID/Luke_Burbank,"Presenter,RadioHost,Agent,Person"
56,DBPEDIA_ID/Brian_Matthew,"Presenter,RadioHost,Agent,Person"
57,DBPEDIA_ID/Mike_O'Meara,"Presenter,RadioHost,Agent,Person"
58,DBPEDIA_ID/Sid_Rosenberg,"Presenter,RadioHost,Agent,Person"
59,DBPEDIA_ID/Doug_Banks,"Presenter,RadioHost,Agent,Person"
60,DBPEDIA_ID/Miss_Info,"Presenter,RadioHost,Agent,Person"
61,DBPEDIA_ID/Rick_Emerson,"Presenter,RadioHost,Agent,Person"
62,DBPEDIA_ID/Robert_W._Morgan,"Presenter,RadioHost,Agent,Person"
63,DBPEDIA_ID/Steve_Cochran_(radio_host),"Presenter,RadioHost,Agent,Person"
64,DBPEDIA_ID/Toni_Neal,"Presenter,RadioHost,Agent,Person"
65,DBPEDIA_ID/Flavia_Tumusiime,"Presenter,RadioHost,Agent,Person"
66,DBPEDIA_ID/Jackie_Lumbasi,"Presenter,RadioHost,Agent,Person"
67,DBPEDIA_ID/James_Cowen,"Presenter,RadioHost,Agent,Person"
68,DBPEDIA_ID/Skip_Kelly,"Presenter,RadioHost,Agent,Person"
69,DBPEDIA_ID/The_James_Cowen_Radio_Show,"Presenter,RadioHost,Agent,Person"
70,DBPEDIA_ID/Barbara_Sturgeon,"Presenter,RadioHost,Agent,Person"
71,DBPEDIA_ID/Dick_Pike,"Presenter,RadioHost,Agent,Person"
72,DBPEDIA_ID/Michelle_Borel,"Presenter,RadioHost,Agent,Person"
73,DBPEDIA_ID/Danielle_Perry,"Presenter,RadioHost,Agent,Person"
74,DBPEDIA_ID/Bill_Jackson_(television_personality),"Presenter,RadioHost,Agent,Person"
75,DBPEDIA_ID/Mark_Belling,"Presenter,RadioHost,Agent,Person"
76,DBPEDIA_ID/Norman_Macleod_(journalist),"Presenter,RadioHost,Agent,Person"
77,DBPEDIA_ID/Tony_Delroy,"Presenter,RadioHost,Agent,Person"
78,DBPEDIA_ID/Trevor_Nelson,"Presenter,RadioHost,Agent,Person"
79,DBPEDIA_ID/Bob_Steele_(broadcaster),"Presenter,RadioHost,Agent,Person"
80,DBPEDIA_ID/Neil_Rogers,"Presenter,RadioHost,Agent,Person"
81,DBPEDIA_ID/Craig_Carton,"Presenter,RadioHost,Agent,Person"
82,DBPEDIA_ID/Dr._Gangrene,"Presenter,RadioHost,Agent,Person"
83,DBPEDIA_ID/Gary_McCormick,"Presenter,RadioHost,Agent,Person"
84,DBPEDIA_ID/Joe_Frank,"Presenter,RadioHost,Agent,Person"
85,DBPEDIA_ID/Mark_Colvin,"Presenter,RadioHost,Agent,Person"
86,DBPEDIA_ID/Nikki_Hayes,"Presenter,RadioHost,Agent,Person"
87,DBPEDIA_ID/Roop_and_Tom,"Presenter,RadioHost,Agent,Person"
88,DBPEDIA_ID/Shaun_Doherty,"Presenter,RadioHost,Agent,Person"
89,DBPEDIA_ID/Emma_B,"Presenter,RadioHost,Agent,Person"
90,DBPEDIA_ID/MistaJam__1,"Presenter,RadioHost,Agent,Person"
91,DBPEDIA_ID/Agnieszka_Popielewicz,"Presenter,RadioHost,Agent,Person"
92,DBPEDIA_ID/Vernon_Corea,"Presenter,RadioHost,Agent,Person"
93,DBPEDIA_ID/Jim_Rome,"Presenter,RadioHost,Agent,Person"
94,DBPEDIA_ID/Jo_Farrow,"Presenter,RadioHost,Agent,Person"
95,DBPEDIA_ID/John_Williams_(radio_personality),"Presenter,RadioHost,Agent,Person"
96,DBPEDIA_ID/Mike_Stone_(radio_personality),"Presenter,RadioHost,Agent,Person"
97,DBPEDIA_ID/Frazier_Thomas,"Presenter,RadioHost,Agent,Person"
98,DBPEDIA_ID/Rachel_McTavish,"Presenter,RadioHost,Agent,Person"
99,DBPEDIA_ID/Rory_McConnell,"Presenter,RadioHost,Agent,Person"
100,DBPEDIA_ID/John_DeBella,"Presenter,RadioHost,Agent,Person"
101,DBPEDIA_ID/James_Naughtie,"Presenter,RadioHost,Agent,Person"
102,DBPEDIA_ID/Aled_Haydn_Jones,"Presenter,RadioHost,Agent,Person"
103,DBPEDIA_ID/Huw_Stephens,"Presenter,RadioHost,Agent,Person"
104,DBPEDIA_ID/Stephen_Capen,"Presenter,RadioHost,Agent,Person"
105,DBPEDIA_ID/Steve_Madely,"Presenter,RadioHost,Agent,Person"
106,DBPEDIA_ID/John_Dease,"Presenter,RadioHost,Agent,Person"
107,DBPEDIA_ID/Dan_Hegarty,"Presenter,RadioHost,Agent,Person"
108,DBPEDIA_ID/Giel_Beelen,"Presenter,RadioHost,Agent,Person"
109,DBPEDIA_ID/Graham_Knight_(broadcaster),"Presenter,RadioHost,Agent,Person"
110,DBPEDIA_ID/Nicholas_Pandolfi,"Presenter,RadioHost,Agent,Person"
111,DBPEDIA_ID/Norman_Thomas_(broadcaster),"Presenter,RadioHost,Agent,Person"
112,DBPEDIA_ID/Ralph_McDaniels,"Presenter,RadioHost,Agent,Person"
113,DBPEDIA_ID/Gary_Stein,"Presenter,RadioHost,Agent,Person"
114,DBPEDIA_ID/Andrea_Brymer,"Presenter,RadioHost,Agent,Person"
115,DBPEDIA_ID/Ken_Prewitt,"Presenter,RadioHost,Agent,Person"
116,DBPEDIA_ID/Ed_Herlihy,"Presenter,RadioHost,Agent,Person"
117,DBPEDIA_ID/Nick_Barraclough,"Presenter,RadioHost,Agent,Person"
118,DBPEDIA_ID/Marc_Riley,"Presenter,RadioHost,Agent,Person"
119,DBPEDIA_ID/Alex_Belfield,"Presenter,RadioHost,Agent,Person"
120,DBPEDIA_ID/Bryan_Baeumler,"Presenter,RadioHost,Agent,Person"
121,DBPEDIA_ID/Chantal_Desjardins,"Presenter,RadioHost,Agent,Person"
122,DBPEDIA_ID/Danny_Stiles,"Presenter,RadioHost,Agent,Person"
123,DBPEDIA_ID/Frank_Ski,"Presenter,RadioHost,Agent,Person"
124,DBPEDIA_ID/Geoff_Cox,"Presenter,RadioHost,Agent,Person"
125,DBPEDIA_ID/Javier_Solórzano,"Presenter,RadioHost,Agent,Person"
126,DBPEDIA_ID/Keith_Bilbrey,"Presenter,RadioHost,Agent,Person"
127,DBPEDIA_ID/Liz_Green,"Presenter,RadioHost,Agent,Person"
128,DBPEDIA_ID/Mike_Puru,"Presenter,RadioHost,Agent,Person"
129,DBPEDIA_ID/Luz_García,"Presenter,RadioHost,Agent,Person"
130,DBPEDIA_ID/Bob_Golic__The_Bob_Golic_Show__1,"Presenter,RadioHost,Agent,Person"
131,DBPEDIA_ID/Nigel_MacArthur,"Presenter,RadioHost,Agent,Person"
132,DBPEDIA_ID/Alison_Curtis,"Presenter,RadioHost,Agent,Person"
133,DBPEDIA_ID/Michael_Krasny_(talk_show_host),"Presenter,RadioHost,Agent,Person"
134,DBPEDIA_ID/Martin_Block,"Presenter,RadioHost,Agent,Person"
135,DBPEDIA_ID/An_Lemmens,"Presenter,RadioHost,Agent,Person"
136,DBPEDIA_ID/Billy_Baxter_(musician),"Presenter,RadioHost,Agent,Person"
137,DBPEDIA_ID/John_Counsell_(pastor),"Presenter,RadioHost,Agent,Person"
138,DBPEDIA_ID/Scruff_Connors,"Presenter,RadioHost,Agent,Person"
139,DBPEDIA_ID/Steve_Seel,"Presenter,RadioHost,Agent,Person"
140,DBPEDIA_ID/Tom_Fitzmorris,"Presenter,RadioHost,Agent,Person"
141,DBPEDIA_ID/Glenn_Riggs,"Presenter,RadioHost,Agent,Person"
142,DBPEDIA_ID/Steve_Arterburn,"Presenter,RadioHost,Agent,Person"
143,DBPEDIA_ID/Judith_Rakers,"Presenter,RadioHost,Agent,Person"
144,DBPEDIA_ID/Kelvin_Keech,"Presenter,RadioHost,Agent,Person"
145,DBPEDIA_ID/Gaetano_Kagwa,"Presenter,RadioHost,Agent,Person"
146,DBPEDIA_ID/David_Kaplan_(radio),"Presenter,RadioHost,Agent,Person"
147,DBPEDIA_ID/Dev_(DJ),"Presenter,RadioHost,Agent,Person"
148,DBPEDIA_ID/Frank_Harden,"Presenter,RadioHost,Agent,Person"
149,DBPEDIA_ID/Kidd_Kraddick,"Presenter,RadioHost,Agent,Person"
150,DBPEDIA_ID/Rodney_Bingenheimer,"Presenter,RadioHost,Agent,Person"
151,DBPEDIA_ID/Ira_Glass,"Presenter,RadioHost,Agent,Person"
152,DBPEDIA_ID/Drew_Pinsky,"Presenter,RadioHost,Agent,Person"
153,DBPEDIA_ID/Terry_Gross,"Presenter,RadioHost,Agent,Person"
154,DBPEDIA_ID/David_Burns_(radio_presenter),"Presenter,RadioHost,Agent,Person"
155,DBPEDIA_ID/Fifi_Box,"Presenter,RadioHost,Agent,Person"
156,DBPEDIA_ID/Jill_Riley_(MPR),"Presenter,RadioHost,Agent,Person"
157,DBPEDIA_ID/John_Peters_(disc_jockey),"Presenter,RadioHost,Agent,Person"
158,DBPEDIA_ID/Kyle_Sandilands,"Presenter,RadioHost,Agent,Person"
159,DBPEDIA_ID/Mark_Mason_(announcer),"Presenter,RadioHost,Agent,Person"
160,DBPEDIA_ID/Paul_Campion_(radio_host),"Presenter,RadioHost,Agent,Person"
161,DBPEDIA_ID/Ruth_Lyons_(broadcaster),"Presenter,RadioHost,Agent,Person"
162,DBPEDIA_ID/Bob_Wojnowski,"Presenter,RadioHost,Agent,Person"
163,DBPEDIA_ID/Doug_Karsch,"Presenter,RadioHost,Agent,Person"
164,DBPEDIA_ID/Eric_Pearce_(broadcaster),"Presenter,RadioHost,Agent,Person"
165,DBPEDIA_ID/Joe_Benigno,"Presenter,RadioHost,Agent,Person"
166,DBPEDIA_ID/Lou_Gordon_(journalist),"Presenter,RadioHost,Agent,Person"
167,DBPEDIA_ID/Liam_Renton,"Presenter,RadioHost,Agent,Person"
168,DBPEDIA_ID/Simon_Lederman,"Presenter,RadioHost,Agent,Person"
169,DBPEDIA_ID/Ben_Maller,"Presenter,RadioHost,Agent,Person"
170,DBPEDIA_ID/Nick_Digilio,"Presenter,RadioHost,Agent,Person"
171,DBPEDIA_ID/Jackson_Weaver,"Presenter,RadioHost,Agent,Person"
172,DBPEDIA_ID/Wally_Phillips,"Presenter,RadioHost,Agent,Person"
173,DBPEDIA_ID/Wallace_Chapman,"Presenter,RadioHost,Agent,Person"
174,DBPEDIA_ID/Tim_Marshall_(radio_host),"Presenter,RadioHost,Agent,Person"
175,DBPEDIA_ID/Al_McCann_(broadcaster),"Presenter,RadioHost,Agent,Person"
176,DBPEDIA_ID/Bob_Layton_(newscaster),"Presenter,RadioHost,Agent,Person"
177,DBPEDIA_ID/Helen_Razer,"Presenter,RadioHost,Agent,Person"
178,DBPEDIA_ID/John_Osborne_(broadcaster),"Presenter,RadioHost,Agent,Person"
179,DBPEDIA_ID/Matthew_Bannister,"Presenter,RadioHost,Agent,Person"
180,DBPEDIA_ID/Brian_James_(radio_personality),"Presenter,RadioHost,Agent,Person"
181,DBPEDIA_ID/Johnnie_Walker_(DJ),"Presenter,RadioHost,Agent,Person"
182,DBPEDIA_ID/Laura_Miller_(journalist),"Presenter,RadioHost,Agent,Person"
183,DBPEDIA_ID/Mikey_Havoc,"Presenter,RadioHost,Agent,Person"
184,DBPEDIA_ID/Seán_Batty,"Presenter,RadioHost,Agent,Person"
185,DBPEDIA_ID/Bob_Lassiter,"Presenter,RadioHost,Agent,Person"
186,DBPEDIA_ID/Brian_Oake,"Presenter,RadioHost,Agent,Person"
187,DBPEDIA_ID/Gordon_Chree,"Presenter,RadioHost,Agent,Person"
188,DBPEDIA_ID/David_Seth-Smith,"Presenter,RadioHost,Agent,Person"
189,DBPEDIA_ID/Jane_Ace,"Presenter,RadioHost,Agent,Person"
190,DBPEDIA_ID/Andy_Thorpe,"Presenter,RadioHost,Agent,Person"
191,K-Swift,"Presenter,RadioHost,Agent,Person"
192,DBPEDIA_ID/Nina_Las_Vegas,"Presenter,RadioHost,Agent,Person"
193,DBPEDIA_ID/Jesse_Thorn,"Presenter,RadioHost,Agent,Person"
194,DBPEDIA_ID/DJ_Brian,"Presenter,RadioHost,Agent,Person"
195,DBPEDIA_ID/Dalen_Lance,"Presenter,RadioHost,Agent,Person"
196,DBPEDIA_ID/Lin_Brehmer,"Presenter,RadioHost,Agent,Person"
197,DBPEDIA_ID/Vince_Peach,"Presenter,RadioHost,Agent,Person"
198,DBPEDIA_ID/Alison_Steele,"Presenter,RadioHost,Agent,Person"
199,DBPEDIA_ID/George_Grljusich,"Presenter,RadioHost,Agent,Person"
200,DBPEDIA_ID/Kojo_Nnamdi,"Presenter,RadioHost,Agent,Person"
201,DBPEDIA_ID/Kristi_Lee,"Presenter,RadioHost,Agent,Person"
202,DBPEDIA_ID/Colin_Cowherd,"Presenter,RadioHost,Agent,Person"
203,DBPEDIA_ID/Fez_Whatley,"Presenter,RadioHost,Agent,Person"
204,DBPEDIA_ID/Mary_Anne_Hobbs,"Presenter,RadioHost,Agent,Person"
205,DBPEDIA_ID/Pete_Price,"Presenter,RadioHost,Agent,Person"
206,DBPEDIA_ID/Ron_Bennington,"Presenter,RadioHost,Agent,Person"
207,DBPEDIA_ID/Ed_Mason,"Presenter,RadioHost,Agent,Person"
208,DBPEDIA_ID/Shannon_Ryan,"Presenter,RadioHost,Agent,Person"
209,DBPEDIA_ID/Vic_Latino,"Presenter,RadioHost,Agent,Person"
210,DBPEDIA_ID/Steve_Lamacq,"Presenter,RadioHost,Agent,Person"
211,DBPEDIA_ID/Dave_Hull,"Presenter,RadioHost,Agent,Person"
212,DBPEDIA_ID/Hal_Jackson,"Presenter,RadioHost,Agent,Person"
213,DBPEDIA_ID/Paul_W._Smith,"Presenter,RadioHost,Agent,Person"
214,DBPEDIA_ID/Vic_Galloway,"Presenter,RadioHost,Agent,Person"
215,DBPEDIA_ID/James_Stannage,"Presenter,RadioHost,Agent,Person"
216,DBPEDIA_ID/Annie_Nightingale,"Presenter,RadioHost,Agent,Person"
217,DBPEDIA_ID/Gail_McGrane,"Presenter,RadioHost,Agent,Person"
218,DBPEDIA_ID/J._P._McCarthy,"Presenter,RadioHost,Agent,Person"
219,DBPEDIA_ID/Elliot_Segal,"Presenter,RadioHost,Agent,Person"
220,DBPEDIA_ID/Howie_Chizek,"Presenter,RadioHost,Agent,Person"
221,DBPEDIA_ID/Benji_B,"Presenter,RadioHost,Agent,Person"
222,DBPEDIA_ID/Caroline_Feraday,"Presenter,RadioHost,Agent,Person"
