,entity,classes
0,DBPEDIA_ID/BBC_Radio_1,"Organisation,Broadcaster,Agent,RadioStation"
1,KAAN-FM,"Organisation,Broadcaster,Agent,RadioStation"
2,DBPEDIA_ID/KITT_(FM),"Organisation,Broadcaster,Agent,RadioStation"
3,DBPEDIA_ID/The_Breeze_(Australia),"Organisation,Broadcaster,Agent,RadioStation"
4,DBPEDIA_ID/The_Breeze_(New_Zealand),"Organisation,Broadcaster,Agent,RadioStation"
5,DBPEDIA_ID/The_Breeze_(radio_network),"Organisation,Broadcaster,Agent,RadioStation"
6,DBPEDIA_ID/WASG_(AM),"Organisation,Broadcaster,Agent,RadioStation"
7,DBPEDIA_ID/WCRC_(FM),"Organisation,Broadcaster,Agent,RadioStation"
8,DBPEDIA_ID/WMAQ_(AM),"Organisation,Broadcaster,Agent,RadioStation"
9,WOTL,"Organisation,Broadcaster,Agent,RadioStation"
10,DBPEDIA_ID/WSBA_(AM),"Organisation,Broadcaster,Agent,RadioStation"
11,DBPEDIA_ID/93.9_Bay_FM,"Organisation,Broadcaster,Agent,RadioStation"
12,DBPEDIA_ID/94.7_The_Pulse,"Organisation,Broadcaster,Agent,RadioStation"
13,DBPEDIA_ID/Bay_FM_(Wynnum),"Organisation,Broadcaster,Agent,RadioStation"
14,DBPEDIA_ID/Bay_FM_99.3,"Organisation,Broadcaster,Agent,RadioStation"
15,DBPEDIA_ID/Bay_FM_Exmouth,"Organisation,Broadcaster,Agent,RadioStation"
16,DBPEDIA_ID/CFPL_(AM),"Organisation,Broadcaster,Agent,RadioStation"
17,CHIM-FM-5,"Organisation,Broadcaster,Agent,RadioStation"
18,CHST-FM,"Organisation,Broadcaster,Agent,RadioStation"
19,DBPEDIA_ID/CIAO_(AM),"Organisation,Broadcaster,Agent,RadioStation"
20,CISN-FM,"Organisation,Broadcaster,Agent,RadioStation"
21,CKY-FM,"Organisation,Broadcaster,Agent,RadioStation"
22,DBPEDIA_ID/Capital_FM_88.9,"Organisation,Broadcaster,Agent,RadioStation"
23,DBPEDIA_ID/Coast_(New_Zealand),"Organisation,Broadcaster,Agent,RadioStation"
24,DBPEDIA_ID/FIP_(radio_station),"Organisation,Broadcaster,Agent,RadioStation"
25,DBPEDIA_ID/Flava_(New_Zealand),"Organisation,Broadcaster,Agent,RadioStation"
26,KADI-FM,"Organisation,Broadcaster,Agent,RadioStation"
27,KCAL-FM,"Organisation,Broadcaster,Agent,RadioStation"
28,DBPEDIA_ID/KCAL_(AM),"Organisation,Broadcaster,Agent,RadioStation"
29,KCMO-FM,"Organisation,Broadcaster,Agent,RadioStation"
30,DBPEDIA_ID/KEDA_(AM),"Organisation,Broadcaster,Agent,RadioStation"
31,KEEL,"Organisation,Broadcaster,Agent,RadioStation"
32,KELO-FM,"Organisation,Broadcaster,Agent,RadioStation"
33,KEYE-FM,"Organisation,Broadcaster,Agent,RadioStation"
34,DBPEDIA_ID/KEYE_(AM),"Organisation,Broadcaster,Agent,RadioStation"
35,DBPEDIA_ID/KIIS_101.1,"Organisation,Broadcaster,Agent,RadioStation"
36,DBPEDIA_ID/KIIS_106.5,"Organisation,Broadcaster,Agent,RadioStation"
37,DBPEDIA_ID/KIIS_Network,"Organisation,Broadcaster,Agent,RadioStation"
38,KIOT,"Organisation,Broadcaster,Agent,RadioStation"
39,KIXX,"Organisation,Broadcaster,Agent,RadioStation"
40,KLGA-FM,"Organisation,Broadcaster,Agent,RadioStation"
41,KLIZ-FM,"Organisation,Broadcaster,Agent,RadioStation"
42,KMAX-FM,"Organisation,Broadcaster,Agent,RadioStation"
43,DBPEDIA_ID/KMAX_(AM),"Organisation,Broadcaster,Agent,RadioStation"
44,DBPEDIA_ID/KMIA_(AM),"Organisation,Broadcaster,Agent,RadioStation"
45,DBPEDIA_ID/KNET_(AM),"Organisation,Broadcaster,Agent,RadioStation"
46,DBPEDIA_ID/KNEZ_(FM),"Organisation,Broadcaster,Agent,RadioStation"
47,KOBO,"Organisation,Broadcaster,Agent,RadioStation"
48,KOHS,"Organisation,Broadcaster,Agent,RadioStation"
49,DBPEDIA_ID/KORN_(AM),"Organisation,Broadcaster,Agent,RadioStation"
50,DBPEDIA_ID/KOTO_(FM),"Organisation,Broadcaster,Agent,RadioStation"
51,DBPEDIA_ID/KRCD_(FM),"Organisation,Broadcaster,Agent,RadioStation"
52,KRMN-LP,"Organisation,Broadcaster,Agent,RadioStation"
53,KURS,"Organisation,Broadcaster,Agent,RadioStation"
54,DBPEDIA_ID/KVER_(FM),"Organisation,Broadcaster,Agent,RadioStation"
55,KYSM-FM,"Organisation,Broadcaster,Agent,RadioStation"
56,DBPEDIA_ID/Leeds_Student_Radio,"Organisation,Broadcaster,Agent,RadioStation"
57,DBPEDIA_ID/Lithium_(Sirius),"Organisation,Broadcaster,Agent,RadioStation"
58,DBPEDIA_ID/Livewire_(radio),"Organisation,Broadcaster,Agent,RadioStation"
59,DBPEDIA_ID/Magic_105_(Northern_Ireland),"Organisation,Broadcaster,Agent,RadioStation"
60,DBPEDIA_ID/Mandakini_Ki_Awaaz,"Organisation,Broadcaster,Agent,RadioStation"
61,DBPEDIA_ID/Muslim_Community_Radio,"Organisation,Broadcaster,Agent,RadioStation"
62,DBPEDIA_ID/NPO_Radio_5,"Organisation,Broadcaster,Agent,RadioStation"
63,DBPEDIA_ID/On_the_Rocks_(XM),"Organisation,Broadcaster,Agent,RadioStation"
64,DBPEDIA_ID/Playboy_Radio,"Organisation,Broadcaster,Agent,RadioStation"
65,DBPEDIA_ID/Pure_FM_(Portsmouth),"Organisation,Broadcaster,Agent,RadioStation"
66,DBPEDIA_ID/RTÉ_Choice,"Organisation,Broadcaster,Agent,RadioStation"
67,DBPEDIA_ID/SYN_Media,"Organisation,Broadcaster,Agent,RadioStation"
68,DBPEDIA_ID/Smile_FM,"Organisation,Broadcaster,Agent,RadioStation"
69,DBPEDIA_ID/Stray_FM,"Organisation,Broadcaster,Agent,RadioStation"
70,"DBPEDIA_ID/Sunrise_Radio,_Ireland","Organisation,Broadcaster,Agent,RadioStation"
71,DBPEDIA_ID/Sunrise_Radio_(Yorkshire),"Organisation,Broadcaster,Agent,RadioStation"
72,DBPEDIA_ID/The_Catholic_Channel,"Organisation,Broadcaster,Agent,RadioStation"
73,DBPEDIA_ID/The_Pulse_(Sirius),"Organisation,Broadcaster,Agent,RadioStation"
74,DBPEDIA_ID/The_Pulse_(Sirius_XM),"Organisation,Broadcaster,Agent,RadioStation"
75,DBPEDIA_ID/The_Voice_(North_Devon),"Organisation,Broadcaster,Agent,RadioStation"
76,DBPEDIA_ID/Vox_(XM),"Organisation,Broadcaster,Agent,RadioStation"
77,DBPEDIA_ID/WAAC_(FM),"Organisation,Broadcaster,Agent,RadioStation"
78,WALL,"Organisation,Broadcaster,Agent,RadioStation"
79,WANG,"Organisation,Broadcaster,Agent,RadioStation"
80,WAPP-LP,"Organisation,Broadcaster,Agent,RadioStation"
81,DBPEDIA_ID/WAPS_(FM),"Organisation,Broadcaster,Agent,RadioStation"
82,WARM-FM,"Organisation,Broadcaster,Agent,RadioStation"
83,DBPEDIA_ID/WARM_(AM),"Organisation,Broadcaster,Agent,RadioStation"
84,WATH,"Organisation,Broadcaster,Agent,RadioStation"
85,DBPEDIA_ID/WAVE_Radio,"Organisation,Broadcaster,Agent,RadioStation"
86,WBSX,"Organisation,Broadcaster,Agent,RadioStation"
87,DBPEDIA_ID/WCBA_(AM),"Organisation,Broadcaster,Agent,RadioStation"
88,DBPEDIA_ID/WCIT_(AM),"Organisation,Broadcaster,Agent,RadioStation"
89,WCMS-FM,"Organisation,Broadcaster,Agent,RadioStation"
90,DBPEDIA_ID/WDAS_(AM),"Organisation,Broadcaster,Agent,RadioStation"
91,DBPEDIA_ID/WDAY_(AM),"Organisation,Broadcaster,Agent,RadioStation"
92,DBPEDIA_ID/WDEO_(AM),"Organisation,Broadcaster,Agent,RadioStation"
93,WECK,"Organisation,Broadcaster,Agent,RadioStation"
94,DBPEDIA_ID/WEFM_(Trinidad_and_Tobago),"Organisation,Broadcaster,Agent,RadioStation"
95,DBPEDIA_ID/WEGA_(AM),"Organisation,Broadcaster,Agent,RadioStation"
96,DBPEDIA_ID/WGMS_(defunct),"Organisation,Broadcaster,Agent,RadioStation"
97,DBPEDIA_ID/WHEN_(AM),"Organisation,Broadcaster,Agent,RadioStation"
98,WHOL,"Organisation,Broadcaster,Agent,RadioStation"
99,DBPEDIA_ID/WIAC_(AM),"Organisation,Broadcaster,Agent,RadioStation"
100,WIBA-FM,"Organisation,Broadcaster,Agent,RadioStation"
101,DBPEDIA_ID/WIBA_(AM),"Organisation,Broadcaster,Agent,RadioStation"
102,DBPEDIA_ID/WIII_(FM),"Organisation,Broadcaster,Agent,RadioStation"
103,DBPEDIA_ID/WIKI_(FM),"Organisation,Broadcaster,Agent,RadioStation"
104,WIL-FM,"Organisation,Broadcaster,Agent,RadioStation"
105,DBPEDIA_ID/WILT_(FM),"Organisation,Broadcaster,Agent,RadioStation"
106,WINX-FM,"Organisation,Broadcaster,Agent,RadioStation"
107,WLHI,"Organisation,Broadcaster,Agent,RadioStation"
108,WMBC-LP,"Organisation,Broadcaster,Agent,RadioStation"
109,DBPEDIA_ID/WMBC_(college_radio),"Organisation,Broadcaster,Agent,RadioStation"
110,DBPEDIA_ID/WNBL_(FM),"Organisation,Broadcaster,Agent,RadioStation"
111,WPIG,"Organisation,Broadcaster,Agent,RadioStation"
112,WQXA-FM,"Organisation,Broadcaster,Agent,RadioStation"
113,WRON-FM,"Organisation,Broadcaster,Agent,RadioStation"
114,DBPEDIA_ID/WRON_(AM),"Organisation,Broadcaster,Agent,RadioStation"
115,WROX-FM,"Organisation,Broadcaster,Agent,RadioStation"
116,DBPEDIA_ID/WSHS_(FM),"Organisation,Broadcaster,Agent,RadioStation"
117,DBPEDIA_ID/WSIU_(FM),"Organisation,Broadcaster,Agent,RadioStation"
118,WTIC-FM,"Organisation,Broadcaster,Agent,RadioStation"
119,DBPEDIA_ID/WTNT_(AM),"Organisation,Broadcaster,Agent,RadioStation"
120,DBPEDIA_ID/WTOC_(AM),"Organisation,Broadcaster,Agent,RadioStation"
121,WXDX-FM,"Organisation,Broadcaster,Agent,RadioStation"
122,WXLP,"Organisation,Broadcaster,Agent,RadioStation"
123,WYGS,"Organisation,Broadcaster,Agent,RadioStation"
124,XEITE-AM,"Organisation,Broadcaster,Agent,RadioStation"
125,XENU-AM,"Organisation,Broadcaster,Agent,RadioStation"
126,DBPEDIA_ID/Iceberg_Radio,"Organisation,Broadcaster,Agent,RadioStation"
127,DBPEDIA_ID/KTPA_(AM),"Organisation,Broadcaster,Agent,RadioStation"
128,DBPEDIA_ID/London_Turkish_Radio,"Organisation,Broadcaster,Agent,RadioStation"
129,DBPEDIA_ID/Radio_Rivendell,"Organisation,Broadcaster,Agent,RadioStation"
130,DBPEDIA_ID/Radio_Romania_International,"Organisation,Broadcaster,Agent,RadioStation"
131,DBPEDIA_ID/Radio_Sargam,"Organisation,Broadcaster,Agent,RadioStation"
132,DBPEDIA_ID/Red_FM_(Australia),"Organisation,Broadcaster,Agent,RadioStation"
133,DBPEDIA_ID/Red_FM_(Malaysia),"Organisation,Broadcaster,Agent,RadioStation"
134,DBPEDIA_ID/Red_FM_93.5,"Organisation,Broadcaster,Agent,RadioStation"
135,WACK,"Organisation,Broadcaster,Agent,RadioStation"
136,2GLF,"Organisation,Broadcaster,Agent,RadioStation"
137,DBPEDIA_ID/666_ABC_Canberra,"Organisation,Broadcaster,Agent,RadioStation"
138,DBPEDIA_ID/94.5_Kfm,"Organisation,Broadcaster,Agent,RadioStation"
139,DBPEDIA_ID/BPM_(Sirius_XM),"Organisation,Broadcaster,Agent,RadioStation"
140,DBPEDIA_ID/Barry_(radio),"Organisation,Broadcaster,Agent,RadioStation"
141,CBJ-FM,"Organisation,Broadcaster,Agent,RadioStation"
142,CHIC-FM,"Organisation,Broadcaster,Agent,RadioStation"
143,DBPEDIA_ID/CHRC_(defunct),"Organisation,Broadcaster,Agent,RadioStation"
144,CIRM-FM,"Organisation,Broadcaster,Agent,RadioStation"
145,DBPEDIA_ID/Asahi_Broadcasting_Corporation__JONR__1,"Organisation,Broadcaster,Agent,RadioStation"
146,DBPEDIA_ID/Downtown_Radio,"Organisation,Broadcaster,Agent,RadioStation"
147,DBPEDIA_ID/Mainichi_Broadcasting_System__JOOR__1,"Organisation,Broadcaster,Agent,RadioStation"
148,DBPEDIA_ID/Heart_Exeter_and_Heart_Torbay,"Organisation,Broadcaster,Agent,RadioStation"
149,DBPEDIA_ID/WJCT__-FM__1,"Organisation,Broadcaster,Agent,RadioStation"
150,KABQ-FM,"Organisation,Broadcaster,Agent,RadioStation"
151,DBPEDIA_ID/KABQ_(AM),"Organisation,Broadcaster,Agent,RadioStation"
152,DBPEDIA_ID/KANU_(FM),"Organisation,Broadcaster,Agent,RadioStation"
153,KARO,"Organisation,Broadcaster,Agent,RadioStation"
154,KARP-FM,"Organisation,Broadcaster,Agent,RadioStation"
155,DBPEDIA_ID/KASA_(AM),"Organisation,Broadcaster,Agent,RadioStation"
156,KAYE-FM,"Organisation,Broadcaster,Agent,RadioStation"
157,KAZE,"Organisation,Broadcaster,Agent,RadioStation"
158,KAZI,"Organisation,Broadcaster,Agent,RadioStation"
159,DBPEDIA_ID/KBFX_(FM),"Organisation,Broadcaster,Agent,RadioStation"
160,DBPEDIA_ID/KBMC_(FM),"Organisation,Broadcaster,Agent,RadioStation"
161,KDLO-FM,"Organisation,Broadcaster,Agent,RadioStation"
162,KEEP,"Organisation,Broadcaster,Agent,RadioStation"
163,DBPEDIA_ID/KIMM_(AM),"Organisation,Broadcaster,Agent,RadioStation"
164,DBPEDIA_ID/KIRK_(FM),"Organisation,Broadcaster,Agent,RadioStation"
165,KLGU-LP,"Organisation,Broadcaster,Agent,RadioStation"
166,DBPEDIA_ID/KLSE_(FM),"Organisation,Broadcaster,Agent,RadioStation"
167,KOHO-FM,"Organisation,Broadcaster,Agent,RadioStation"
168,DBPEDIA_ID/KOHO_(AM),"Organisation,Broadcaster,Agent,RadioStation"
169,KORA-FM,"Organisation,Broadcaster,Agent,RadioStation"
170,DBPEDIA_ID/KPSC_(FM),"Organisation,Broadcaster,Agent,RadioStation"
171,DBPEDIA_ID/KROY_(FM),"Organisation,Broadcaster,Agent,RadioStation"
172,KSAS-FM,"Organisation,Broadcaster,Agent,RadioStation"
173,DBPEDIA_ID/KSEA_(FM),"Organisation,Broadcaster,Agent,RadioStation"
174,KSSQ-LP,"Organisation,Broadcaster,Agent,RadioStation"
175,KSSR-FM,"Organisation,Broadcaster,Agent,RadioStation"
176,KTTS-FM,"Organisation,Broadcaster,Agent,RadioStation"
177,KUIK,"Organisation,Broadcaster,Agent,RadioStation"
178,KULA-LP,"Organisation,Broadcaster,Agent,RadioStation"
179,DBPEDIA_ID/KYKM_(FM),"Organisation,Broadcaster,Agent,RadioStation"
180,DBPEDIA_ID/Kfm_(Ireland),"Organisation,Broadcaster,Agent,RadioStation"
181,DBPEDIA_ID/Kool_FM,"Organisation,Broadcaster,Agent,RadioStation"
182,DBPEDIA_ID/Krem_Radio,"Organisation,Broadcaster,Agent,RadioStation"
183,DBPEDIA_ID/Life_FM_(Gippsland),"Organisation,Broadcaster,Agent,RadioStation"
184,DBPEDIA_ID/Life_FM_(South_Africa),"Organisation,Broadcaster,Agent,RadioStation"
185,DBPEDIA_ID/Life_FM_(Wagga_Wagga),"Organisation,Broadcaster,Agent,RadioStation"
186,DBPEDIA_ID/Melody_105.4_FM,"Organisation,Broadcaster,Agent,RadioStation"
187,DBPEDIA_ID/Melody_Radio_(Bulgaria),"Organisation,Broadcaster,Agent,RadioStation"
188,DBPEDIA_ID/Octane_(Sirius_XM),"Organisation,Broadcaster,Agent,RadioStation"
189,DBPEDIA_ID/Premier_Christian_Radio,"Organisation,Broadcaster,Agent,RadioStation"
190,DBPEDIA_ID/Radio_4_News_FM,"Organisation,Broadcaster,Agent,RadioStation"
191,DBPEDIA_ID/Radio_702,"Organisation,Broadcaster,Agent,RadioStation"
192,DBPEDIA_ID/Radio_Newyork_International,"Organisation,Broadcaster,Agent,RadioStation"
193,Radioseven,"Organisation,Broadcaster,Agent,RadioStation"
194,DBPEDIA_ID/Skai_100.3,"Organisation,Broadcaster,Agent,RadioStation"
195,DBPEDIA_ID/Star_107.9,"Organisation,Broadcaster,Agent,RadioStation"
196,DBPEDIA_ID/Sunshine_855,"Organisation,Broadcaster,Agent,RadioStation"
197,DBPEDIA_ID/The_Beach_(radio_station),"Organisation,Broadcaster,Agent,RadioStation"
198,DBPEDIA_ID/The_Breeze_(Bristol),"Organisation,Broadcaster,Agent,RadioStation"
199,DBPEDIA_ID/The_Breeze_(Cheltenham_&_North_Gloucestershire),"Organisation,Broadcaster,Agent,RadioStation"
200,DBPEDIA_ID/The_Bridge_(Sirius_XM),"Organisation,Broadcaster,Agent,RadioStation"
201,DBPEDIA_ID/The_Cheese,"Organisation,Broadcaster,Agent,RadioStation"
202,DBPEDIA_ID/The_City_(XM),"Organisation,Broadcaster,Agent,RadioStation"
203,DBPEDIA_ID/The_Vault_(Sirius),"Organisation,Broadcaster,Agent,RadioStation"
204,DBPEDIA_ID/Tulip_Radio,"Organisation,Broadcaster,Agent,RadioStation"
205,DBPEDIA_ID/VIBE_FM_(Romania),"Organisation,Broadcaster,Agent,RadioStation"
206,WAFC-FM,"Organisation,Broadcaster,Agent,RadioStation"
207,DBPEDIA_ID/WAFC_(AM),"Organisation,Broadcaster,Agent,RadioStation"
208,DBPEDIA_ID/WAFS_(AM),"Organisation,Broadcaster,Agent,RadioStation"
209,DBPEDIA_ID/WALK_(AM),"Organisation,Broadcaster,Agent,RadioStation"
210,DBPEDIA_ID/WANK_(FM),"Organisation,Broadcaster,Agent,RadioStation"
211,WANT,"Organisation,Broadcaster,Agent,RadioStation"
212,DBPEDIA_ID/WAPA_(AM),"Organisation,Broadcaster,Agent,RadioStation"
213,WARE,"Organisation,Broadcaster,Agent,RadioStation"
214,DBPEDIA_ID/WASL_(FM),"Organisation,Broadcaster,Agent,RadioStation"
215,WATT,"Organisation,Broadcaster,Agent,RadioStation"
216,WAWB-LP,"Organisation,Broadcaster,Agent,RadioStation"
217,DBPEDIA_ID/WBGN_(AM),"Organisation,Broadcaster,Agent,RadioStation"
218,DBPEDIA_ID/WBSC_(AM),"Organisation,Broadcaster,Agent,RadioStation"
219,DBPEDIA_ID/WCAT_(AM),"Organisation,Broadcaster,Agent,RadioStation"
220,DBPEDIA_ID/WCCC_(AM),"Organisation,Broadcaster,Agent,RadioStation"
221,WCEM-FM,"Organisation,Broadcaster,Agent,RadioStation"
222,DBPEDIA_ID/WCEM_(AM),"Organisation,Broadcaster,Agent,RadioStation"
223,WCFC-LP,"Organisation,Broadcaster,Agent,RadioStation"
