,entity,classes
0,DBPEDIA_ID/London_Post_Office_Railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
1,DBPEDIA_ID/KL_Monorail,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
2,DBPEDIA_ID/Heartland_Flyer,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
3,DBPEDIA_ID/5_(Los_Angeles_Railway),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
4,DBPEDIA_ID/AeroTrain_(Washington_Dulles_International_Airport),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
5,DBPEDIA_ID/Aerotrain_(KLIA),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
6,DBPEDIA_ID/BMT_Astoria_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
7,DBPEDIA_ID/Cotton_Belt_Rail_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
8,DBPEDIA_ID/Crenshaw/LAX_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
9,Djursholmsbanan,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
10,DBPEDIA_ID/Domingo_Faustino_Sarmiento_Railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
11,DBPEDIA_ID/Exe_Valley_Railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
12,DBPEDIA_ID/Gotthard_railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
13,DBPEDIA_ID/Higashiyama_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
14,DBPEDIA_ID/Höllental_Railway_(Lower_Austria),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
15,DBPEDIA_ID/Montauk_Branch,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
16,DBPEDIA_ID/Montclair-Boonton_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
17,DBPEDIA_ID/North_South_MRT_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
18,DBPEDIA_ID/Northern_Line_(Cape_Town),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
19,DBPEDIA_ID/Northern_Line_(Sri_Lanka),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
20,DBPEDIA_ID/Northwestern_Pacific_Railroad,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
21,DBPEDIA_ID/Old_Colony_Lines_(MBTA),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
22,DBPEDIA_ID/Rinkai_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
23,"DBPEDIA_ID/South_Coast_railway_line,_New_South_Wales","Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
24,"DBPEDIA_ID/South_Coast_railway_line,_Queensland","Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
25,DBPEDIA_ID/South_Shore_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
26,DBPEDIA_ID/Sprinter_(light_rail),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
27,DBPEDIA_ID/Sukhumvit_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
28,DBPEDIA_ID/IRT_Flushing_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
29,DBPEDIA_ID/Bennett_Brook_Railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
30,DBPEDIA_ID/Betzdorf–Haiger_railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
31,DBPEDIA_ID/Cardiff_City_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
32,DBPEDIA_ID/Central_Corridor_(Union_Pacific_Railroad),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
33,DBPEDIA_ID/Central_Corridor_Rail_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
34,DBPEDIA_ID/Downtown_MRT_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
35,DBPEDIA_ID/General_Urquiza_Railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
36,DBPEDIA_ID/Hanshin_Main_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
37,DBPEDIA_ID/Line_4_Sheppard,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
38,DBPEDIA_ID/Market_Street_Subway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
39,DBPEDIA_ID/Newark–Elizabeth_Rail_Link,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
40,DBPEDIA_ID/North_Lake_(Pacific_Electric),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
41,DBPEDIA_ID/Pingtung_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
42,DBPEDIA_ID/Seibu_Chichibu_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
43,DBPEDIA_ID/Trillium_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
44,DBPEDIA_ID/Ōigawa_Railway_Ikawa_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
45,DBPEDIA_ID/Apeldoorn–Zwolle_railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
46,DBPEDIA_ID/Basingstoke_and_Alton_Light_Railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
47,Betuweroute,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
48,DBPEDIA_ID/Dortmund–Enschede_railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
49,DBPEDIA_ID/A_Division_(New_York_City_Subway),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
50,DBPEDIA_ID/Abukuma_Express_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
51,DBPEDIA_ID/Furusato_Ginga_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
52,DBPEDIA_ID/Grafing–Wasserburg_railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
53,DBPEDIA_ID/B_Division_(New_York_City_Subway),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
54,DBPEDIA_ID/Karasuyama_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
55,DBPEDIA_ID/Keihan_Katano_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
56,DBPEDIA_ID/Kintetsu_Nara_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
57,DBPEDIA_ID/Busan_Metro_Line_1,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
58,DBPEDIA_ID/Koralm_Railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
59,DBPEDIA_ID/CEVA_rail,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
60,DBPEDIA_ID/Kronberg_Railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
61,"DBPEDIA_ID/Line_3,_Dalian_Metro","Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
62,"DBPEDIA_ID/Line_3,_Dongguan_Rail_Transit","Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
63,DBPEDIA_ID/Line_3_(São_Paulo_Metro),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
64,DBPEDIA_ID/Line_4_(São_Paulo_Metro),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
65,"DBPEDIA_ID/Line_5,_Suzhou_Rail_Transit","Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
66,DBPEDIA_ID/Martigny–Châtelard_Railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
67,DBPEDIA_ID/Maybrook_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
68,DBPEDIA_ID/Meitetsu_Chita_New_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
69,DBPEDIA_ID/Millennium_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
70,DBPEDIA_ID/Chestnut_Hill_West_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
71,DBPEDIA_ID/Pelgorskoye_peat_narrow_gauge_railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
72,DBPEDIA_ID/Daegu_Metro_Line_1,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
73,DBPEDIA_ID/Daniel_Boone_Corridor,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
74,DBPEDIA_ID/Rhine-Main_Railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
75,DBPEDIA_ID/Richmond_Hill_line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
76,DBPEDIA_ID/Derwent_Valley_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
77,DBPEDIA_ID/S33_(ZVV),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
78,DBPEDIA_ID/Southern_Railway_(Austria),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
79,DBPEDIA_ID/Stuttgart–Hattingen_railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
80,DBPEDIA_ID/F_Market_&_Wharves,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
81,DBPEDIA_ID/Tösstal_railway_line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
82,DBPEDIA_ID/Fukuchiyama_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
83,DBPEDIA_ID/Weddel_loop,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
84,DBPEDIA_ID/Green_Line_(Montreal_Metro),"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
85,DBPEDIA_ID/Hampton_Court_Branch_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
86,DBPEDIA_ID/Hankyu_Arashiyama_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
87,DBPEDIA_ID/JR_Kobe_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
88,DBPEDIA_ID/JR_Kyoto_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
89,DBPEDIA_ID/J_Church,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
90,DBPEDIA_ID/Jōetsu_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
91,DBPEDIA_ID/Jōetsu_Shinkansen,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
92,DBPEDIA_ID/Keihin-Tōhoku_Line,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
