,entity,classes
0,DBPEDIA_ID/Minam_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
1,DBPEDIA_ID/Namsan_Station_(Busan),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
2,DBPEDIA_ID/Namsanjeong_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
3,DBPEDIA_ID/Steinhausen_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
4,DBPEDIA_ID/Yoichi_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
5,DBPEDIA_ID/Downhill_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
6,DBPEDIA_ID/Kildare_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
7,DBPEDIA_ID/Amsa_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
8,DBPEDIA_ID/Celerina_(Rhaetian_Railway_station),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
9,DBPEDIA_ID/Celerina_Staz_(Rhaetian_Railway_station),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
10,DBPEDIA_ID/Newbridge_railway_station_(Ireland),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
11,DBPEDIA_ID/Portarlington_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
12,DBPEDIA_ID/Roscommon_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
13,DBPEDIA_ID/Shiroishi_Station_(Sapporo_Municipal_Subway),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
14,DBPEDIA_ID/Uijeongbu_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
15,DBPEDIA_ID/Ballindoon_Bridge_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
16,DBPEDIA_ID/Bongeunsa_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
17,DBPEDIA_ID/Buam_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
18,DBPEDIA_ID/Bugang_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
19,DBPEDIA_ID/Clonmany_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
20,DBPEDIA_ID/Cork_City_Park_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
21,DBPEDIA_ID/Deokpo_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
22,DBPEDIA_ID/Drumsurn_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
23,DBPEDIA_ID/Gangseo-gu_Office_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
24,DBPEDIA_ID/Garcz_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
25,DBPEDIA_ID/Godeok_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
26,DBPEDIA_ID/Hakurindai_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
27,DBPEDIA_ID/Ipgyo_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
28,DBPEDIA_ID/Jukjeon_Station_(Daegu),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
29,DBPEDIA_ID/Kinnego_Halt_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
30,DBPEDIA_ID/Kuriyama_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
31,DBPEDIA_ID/Makubetsu_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
32,DBPEDIA_ID/Mürren_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
33,DBPEDIA_ID/Neuenhof_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
34,DBPEDIA_ID/Niyama_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
35,DBPEDIA_ID/Preda_(Rhaetian_Railway_station),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
36,DBPEDIA_ID/Samseong_Jungang_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
37,DBPEDIA_ID/Smołdzino_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
38,DBPEDIA_ID/Yangpyeong_Station_(Yangpyeong),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
39,DBPEDIA_ID/Motomachi_Station_(Hokkaido),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
40,DBPEDIA_ID/Oiwake_Station_(Hokkaido),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
41,DBPEDIA_ID/Shin-Fuji_Station_(Hokkaido),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
42,DBPEDIA_ID/Wiesen_(Rhaetian_Railway_station),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
43,DBPEDIA_ID/Gimhae_National_Museum_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
44,DBPEDIA_ID/Kitami_Station_(Hokkaido),"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
45,DBPEDIA_ID/Gniewino_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
46,DBPEDIA_ID/Kilbarrack_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
47,DBPEDIA_ID/Raheny_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
48,DBPEDIA_ID/Reda_Rekowo_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
49,DBPEDIA_ID/Templemore_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
50,DBPEDIA_ID/Thurles_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
51,DBPEDIA_ID/Łeba_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
52,DBPEDIA_ID/Boramae_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
53,DBPEDIA_ID/Danggogae_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
54,DBPEDIA_ID/Hakuyō_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
55,DBPEDIA_ID/Hankuk_University_of_Foreign_Studies_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
56,DBPEDIA_ID/Iwamizawa_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
57,DBPEDIA_ID/Kkachisan_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
58,DBPEDIA_ID/Kutchan_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
59,DBPEDIA_ID/Minami-Chitose_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
60,DBPEDIA_ID/Muroran_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
61,DBPEDIA_ID/Niseko_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
62,DBPEDIA_ID/Shimizusawa_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
63,DBPEDIA_ID/Shimukappu_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
64,DBPEDIA_ID/Shin-Yūbari_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
65,DBPEDIA_ID/Sinpung_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
66,DBPEDIA_ID/Sports_Complex_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
67,DBPEDIA_ID/Tomakomai_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
68,DBPEDIA_ID/Yeongdeungpo-gu_Office_Station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
69,DBPEDIA_ID/Bad_Zurzach_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
70,DBPEDIA_ID/Ballykelly_railway_station,"Infrastructure,RailwayStation,ArchitecturalStructure,Station,Place,Location"
