,entity,classes
0,Abraham,"Person,Religious,Agent"
1,DBPEDIA_ID/Aga_Khan_I,"Person,Religious,Agent"
2,DBPEDIA_ID/Aga_Khan_III,"Person,Religious,Agent"
3,Ananda,"Person,Religious,Agent"
4,Bodhidharma,"Person,Religious,Agent"
5,Jacob,"Person,Religious,Agent"
6,DBPEDIA_ID/Matthew_F._Hale,"Person,Religious,Agent"
7,Nichiren,"Person,Religious,Agent"
8,DBPEDIA_ID/Joel_Roth,"Person,Religious,Agent"
9,DBPEDIA_ID/Dhammananda_Bhikkhuni,"Person,Religious,Agent"
10,DBPEDIA_ID/Herbert_Edward_Ryle,"Person,Religious,Agent"
11,DBPEDIA_ID/K._Sri_Dhammananda,"Person,Religious,Agent"
12,DBPEDIA_ID/Katyayana_(Buddhist),"Person,Religious,Agent"
13,DBPEDIA_ID/Ali_Naqi_Naqvi,"Person,Religious,Agent"
14,DBPEDIA_ID/Balangoda_Ananda_Maitreya_Thero,"Person,Religious,Agent"
15,DBPEDIA_ID/Eliseo_Soriano,"Person,Religious,Agent"
16,DBPEDIA_ID/Ibas_of_Edessa,"Person,Religious,Agent"
17,DBPEDIA_ID/John_Blackadder_(preacher),"Person,Religious,Agent"
18,DBPEDIA_ID/John_Payne_(bishop_of_Liberia),"Person,Religious,Agent"
19,DBPEDIA_ID/Juan_de_Velasco,"Person,Religious,Agent"
20,DBPEDIA_ID/Karma_Thinley_Rinpoche,"Person,Religious,Agent"
21,DBPEDIA_ID/Kōbun_Chino_Otogawa,"Person,Religious,Agent"
22,DBPEDIA_ID/Philip_Whalen,"Person,Religious,Agent"
23,DBPEDIA_ID/Robina_Courtin,"Person,Religious,Agent"
24,DBPEDIA_ID/Michael_Mayne,"Person,Religious,Agent"
25,DBPEDIA_ID/Cunda_(Buddhism),"Person,Religious,Agent"
26,DBPEDIA_ID/David_Wilkerson,"Person,Religious,Agent"
27,DBPEDIA_ID/Eduardo_V._Manalo,"Person,Religious,Agent"
28,DBPEDIA_ID/Eraño_Manalo,"Person,Religious,Agent"
29,DBPEDIA_ID/James_Green_(bishop),"Person,Religious,Agent"
30,DBPEDIA_ID/Maher_Al_Mueaqly,"Person,Religious,Agent"
31,DBPEDIA_ID/Matteo_Ricci,"Person,Religious,Agent"
32,DBPEDIA_ID/Michael_Zimmerman_(jurist),"Person,Religious,Agent"
33,DBPEDIA_ID/Mohammad-Taqi_Bahjat_Foumani,"Person,Religious,Agent"
34,DBPEDIA_ID/Noah_Levine,"Person,Religious,Agent"
35,DBPEDIA_ID/Robert_Baker_Aitken,"Person,Religious,Agent"
36,DBPEDIA_ID/Shahab_al-Din_Abu_Hafs_Umar_Suhrawardi,"Person,Religious,Agent"
37,DBPEDIA_ID/Shahab_al-Din_Yahya_ibn_Habash_Suhrawardi,"Person,Religious,Agent"
38,DBPEDIA_ID/Enkyo_Pat_O'Hara,"Person,Religious,Agent"
39,DBPEDIA_ID/Aga_Khan_II,"Person,Religious,Agent"
40,DBPEDIA_ID/Mustafa_Cerić,"Person,Religious,Agent"
41,DBPEDIA_ID/Narada_Maha_Thera,"Person,Religious,Agent"
42,DBPEDIA_ID/David_Charlesworth,"Person,Religious,Agent"
43,DBPEDIA_ID/Shravasti_Dhammika,"Person,Religious,Agent"
44,Kaundinya,"Person,Religious,Agent"
45,DBPEDIA_ID/Margaret_Traxler,"Person,Religious,Agent"
46,DBPEDIA_ID/Michael_Roach,"Person,Religious,Agent"
47,DBPEDIA_ID/Mikhail_Sannikov,"Person,Religious,Agent"
48,DBPEDIA_ID/Nasiruddin_Chiragh_Dehlavi,"Person,Religious,Agent"
49,DBPEDIA_ID/Peter_Mogila,"Person,Religious,Agent"
50,DBPEDIA_ID/Yongjia_Xuanjue,"Person,Religious,Agent"
51,DBPEDIA_ID/Maylie_Scott,"Person,Religious,Agent"
52,DBPEDIA_ID/Anselm_Eckart,"Person,Religious,Agent"
53,DBPEDIA_ID/Sevan_Ross,"Person,Religious,Agent"
54,DBPEDIA_ID/Mar_Narsai_D'Baz,"Person,Religious,Agent"
55,DBPEDIA_ID/Ajahn_Thate,"Person,Religious,Agent"
56,Angulimala,"Person,Religious,Agent"
57,DBPEDIA_ID/Ananus_ben_Ananus,"Person,Religious,Agent"
58,DBPEDIA_ID/Bokar_Tulku_Rinpoche,"Person,Religious,Agent"
59,DBPEDIA_ID/Carol_Anne_O'Marie,"Person,Religious,Agent"
60,DBPEDIA_ID/Charles_T._Murr,"Person,Religious,Agent"
61,DBPEDIA_ID/Harada_Daiun_Sogaku,"Person,Religious,Agent"
62,DBPEDIA_ID/Kōshō_Uchiyama,"Person,Religious,Agent"
63,DBPEDIA_ID/Nirmala_Joshi,"Person,Religious,Agent"
64,DBPEDIA_ID/Sue_Mosteller,"Person,Religious,Agent"
65,DBPEDIA_ID/U_Vimala,"Person,Religious,Agent"
66,DBPEDIA_ID/Yuquan_Shenxiu,"Person,Religious,Agent"
67,DBPEDIA_ID/Nyala_Rinpoche,"Person,Religious,Agent"
68,DBPEDIA_ID/Thubten_Jigme_Norbu,"Person,Religious,Agent"
69,DBPEDIA_ID/Emma_Lee_French,"Person,Religious,Agent"
70,DBPEDIA_ID/Kirpal_Singh,"Person,Religious,Agent"
71,DBPEDIA_ID/Philip_Kapleau,"Person,Religious,Agent"
72,Rāhula,"Person,Religious,Agent"
73,DBPEDIA_ID/Hakuin_Ekaku,"Person,Religious,Agent"
74,DBPEDIA_ID/Houn_Jiyu-Kennett,"Person,Religious,Agent"
75,DBPEDIA_ID/Hsu_Yun,"Person,Religious,Agent"
76,DBPEDIA_ID/Nyogen_Senzaki,"Person,Religious,Agent"
77,DBPEDIA_ID/Théodore_Guérin,"Person,Religious,Agent"
78,DBPEDIA_ID/Tim_Costello,"Person,Religious,Agent"
79,Virasena,"Person,Religious,Agent"
80,DBPEDIA_ID/Jiko_Linda_Cutts,"Person,Religious,Agent"
81,DBPEDIA_ID/Zoketsu_Norman_Fischer,"Person,Religious,Agent"
82,Yujeong,"Person,Religious,Agent"
83,DBPEDIA_ID/Blanche_Hartman,"Person,Religious,Agent"
84,DBPEDIA_ID/Indradyumna_Swami,"Person,Religious,Agent"
85,DBPEDIA_ID/Isshō_Fujita,"Person,Religious,Agent"
86,DBPEDIA_ID/Jaimal_Singh,"Person,Religious,Agent"
87,DBPEDIA_ID/Mary_Farkas,"Person,Religious,Agent"
88,DBPEDIA_ID/Rodney_Smith_(Buddhist),"Person,Religious,Agent"
89,DBPEDIA_ID/Sadiq_Hussaini_Shirazi,"Person,Religious,Agent"
90,DBPEDIA_ID/Sayyid_Sadeq_Rohani,"Person,Religious,Agent"
91,DBPEDIA_ID/Sister_Consilio,"Person,Religious,Agent"
92,Soenghyang,"Person,Religious,Agent"
93,Sokei-an,"Person,Religious,Agent"
94,DBPEDIA_ID/Sōyū_Matsuoka,"Person,Religious,Agent"
95,DBPEDIA_ID/Alauddin_Sabir_Kaliyari,"Person,Religious,Agent"
96,DBPEDIA_ID/Gabriel_Goodman,"Person,Religious,Agent"
97,Rajendrasuri,"Person,Religious,Agent"
98,DBPEDIA_ID/Minling_Khenchen_Rinpoche,"Person,Religious,Agent"
99,DBPEDIA_ID/Ajahn_Sucitto,"Person,Religious,Agent"
100,DBPEDIA_ID/Alhaj_Moulana_Ghousavi_Shah,"Person,Religious,Agent"
101,DBPEDIA_ID/Ghousi_Shah,"Person,Religious,Agent"
102,DBPEDIA_ID/Hazrath_Machiliwale_Shah,"Person,Religious,Agent"
103,DBPEDIA_ID/Joan_Iten_Sutherland,"Person,Religious,Agent"
104,DBPEDIA_ID/Mahmoodullah_Shah,"Person,Religious,Agent"
105,DBPEDIA_ID/R._G._de_S._Wettimuny,"Person,Religious,Agent"
106,DBPEDIA_ID/Syed_Ameen_Badasha,"Person,Religious,Agent"
107,DBPEDIA_ID/Trungram_Gyaltrul_Rinpoche,"Person,Religious,Agent"
108,DBPEDIA_ID/Bob_Hoskins_(philanthropist),"Person,Religious,Agent"
109,DBPEDIA_ID/Dzogchen_Ranyak_Patrul_Rinpoche,"Person,Religious,Agent"
110,DBPEDIA_ID/Kyabgön_Phakchok_Rinpoche,"Person,Religious,Agent"
111,DBPEDIA_ID/Paul_Shackerley,"Person,Religious,Agent"
112,DBPEDIA_ID/Āloka_David_Smith,"Person,Religious,Agent"
113,DBPEDIA_ID/Ajahn_Pasanno,"Person,Religious,Agent"
114,DBPEDIA_ID/Baba_Mondi,"Person,Religious,Agent"
115,DBPEDIA_ID/Kalbe_Sadiq,"Person,Religious,Agent"
116,DBPEDIA_ID/Ryoun_Yamada,"Person,Religious,Agent"
117,Rujing,"Person,Religious,Agent"
118,DBPEDIA_ID/Ashin_Wirathu,"Person,Religious,Agent"
119,DBPEDIA_ID/Nyoshul_Khenpo_Rinpoche,"Person,Religious,Agent"
