,entity,classes
0,Gecko,"Reptile,Eukaryote,Species,Animal"
1,Pythonidae,"Reptile,Eukaryote,Species,Animal"
2,DBPEDIA_ID/Agkistrodon_contortrix_mokasen,"Reptile,Eukaryote,Species,Animal"
3,DBPEDIA_ID/Madrean_alligator_lizard,"Reptile,Eukaryote,Species,Animal"
4,DBPEDIA_ID/Northern_alligator_lizard,"Reptile,Eukaryote,Species,Animal"
5,DBPEDIA_ID/Panamint_alligator_lizard,"Reptile,Eukaryote,Species,Animal"
6,DBPEDIA_ID/Southern_alligator_lizard,"Reptile,Eukaryote,Species,Animal"
7,DBPEDIA_ID/Amphisbaena_ridleyi,"Reptile,Eukaryote,Species,Animal"
8,DBPEDIA_ID/Cerberus_(snake),"Reptile,Eukaryote,Species,Animal"
9,DBPEDIA_ID/Coluber_constrictor_flaviventris,"Reptile,Eukaryote,Species,Animal"
10,DBPEDIA_ID/Diamondback_terrapin,"Reptile,Eukaryote,Species,Animal"
11,DBPEDIA_ID/Gila_monster,"Reptile,Eukaryote,Species,Animal"
12,DBPEDIA_ID/Gongylus_(Scincidae),"Reptile,Eukaryote,Species,Animal"
13,DBPEDIA_ID/Kemp's_ridley_sea_turtle,"Reptile,Eukaryote,Species,Animal"
14,DBPEDIA_ID/Kleinmann's_tortoise,"Reptile,Eukaryote,Species,Animal"
15,Mussurana,"Reptile,Eukaryote,Species,Animal"
16,DBPEDIA_ID/Nerodia_rhombifer,"Reptile,Eukaryote,Species,Animal"
17,DBPEDIA_ID/Phelsuma_sundbergi,"Reptile,Eukaryote,Species,Animal"
18,DBPEDIA_ID/Pyxis_(genus),"Reptile,Eukaryote,Species,Animal"
19,Rattlesnake,"Reptile,Eukaryote,Species,Animal"
20,DBPEDIA_ID/Ridley_sea_turtle,"Reptile,Eukaryote,Species,Animal"
21,DBPEDIA_ID/Asian_narrow-headed_softshell_turtle,"Reptile,Eukaryote,Species,Animal"
22,DBPEDIA_ID/Chitra_(genus),"Reptile,Eukaryote,Species,Animal"
23,DBPEDIA_ID/Hamelin_ctenotus,"Reptile,Eukaryote,Species,Animal"
24,DBPEDIA_ID/Indian_narrow-headed_softshell_turtle,"Reptile,Eukaryote,Species,Animal"
25,Tantilla,"Reptile,Eukaryote,Species,Animal"
26,Atractaspidinae,"Reptile,Eukaryote,Species,Animal"
27,Boomslang,"Reptile,Eukaryote,Species,Animal"
28,DBPEDIA_ID/Calumma_tarzan,"Reptile,Eukaryote,Species,Animal"
29,DBPEDIA_ID/Gold_dust_day_gecko,"Reptile,Eukaryote,Species,Animal"
30,Massasauga,"Reptile,Eukaryote,Species,Animal"
31,Naja,"Reptile,Eukaryote,Species,Animal"
32,DBPEDIA_ID/Panay_monitor,"Reptile,Eukaryote,Species,Animal"
33,DBPEDIA_ID/Tabasco_mud_turtle,"Reptile,Eukaryote,Species,Animal"
34,DBPEDIA_ID/Typhlops_lumbricalis,"Reptile,Eukaryote,Species,Animal"
35,Acutotyphlops,"Reptile,Eukaryote,Species,Animal"
36,DBPEDIA_ID/Afrotyphlops_schlegelii,"Reptile,Eukaryote,Species,Animal"
37,DBPEDIA_ID/Amphiesma_pealii,"Reptile,Eukaryote,Species,Animal"
38,DBPEDIA_ID/Anadia_ocellata,"Reptile,Eukaryote,Species,Animal"
39,Araeoscelis,"Reptile,Eukaryote,Species,Animal"
40,DBPEDIA_ID/Arrau_turtle,"Reptile,Eukaryote,Species,Animal"
41,DBPEDIA_ID/Asymblepharus_tragbulense,"Reptile,Eukaryote,Species,Animal"
42,DBPEDIA_ID/Atractaspis_leucomelas,"Reptile,Eukaryote,Species,Animal"
43,DBPEDIA_ID/Blanus_mariae,"Reptile,Eukaryote,Species,Animal"
44,Bogolubovia,"Reptile,Eukaryote,Species,Animal"
45,DBPEDIA_ID/Burmese_star_tortoise,"Reptile,Eukaryote,Species,Animal"
46,Cerrejonemys,"Reptile,Eukaryote,Species,Animal"
47,DBPEDIA_ID/Chelodina_walloyarrina,"Reptile,Eukaryote,Species,Animal"
48,DBPEDIA_ID/Cyrtodactylus_ramboda,"Reptile,Eukaryote,Species,Animal"
49,DBPEDIA_ID/Cyrtopodion_amictopholis,"Reptile,Eukaryote,Species,Animal"
50,Dandakosaurus,"Reptile,Eukaryote,Species,Animal"
51,Diaelurodon,"Reptile,Eukaryote,Species,Animal"
52,DBPEDIA_ID/Diplolaemus_leopardinus,"Reptile,Eukaryote,Species,Animal"
53,Eidolosaurus,"Reptile,Eukaryote,Species,Animal"
54,DBPEDIA_ID/Eutropis_allapallensis,"Reptile,Eukaryote,Species,Animal"
55,DBPEDIA_ID/Fiordland_skink,"Reptile,Eukaryote,Species,Animal"
56,DBPEDIA_ID/Florida_scrub_lizard,"Reptile,Eukaryote,Species,Animal"
57,DBPEDIA_ID/Forest_cobra,"Reptile,Eukaryote,Species,Animal"
58,DBPEDIA_ID/Gonyosoma_hodgsoni,"Reptile,Eukaryote,Species,Animal"
59,Graptemys,"Reptile,Eukaryote,Species,Animal"
60,DBPEDIA_ID/Homonota_gaudichaudii,"Reptile,Eukaryote,Species,Animal"
61,DBPEDIA_ID/Bothrops_jararaca,"Reptile,Eukaryote,Species,Animal"
62,Lacertus,"Reptile,Eukaryote,Species,Animal"
63,DBPEDIA_ID/Liotyphlops_beui,"Reptile,Eukaryote,Species,Animal"
64,DBPEDIA_ID/Calumma_malthe,"Reptile,Eukaryote,Species,Animal"
65,DBPEDIA_ID/Many-scaled_anole,"Reptile,Eukaryote,Species,Animal"
66,DBPEDIA_ID/Martinique's_anole,"Reptile,Eukaryote,Species,Animal"
67,Mehelya,"Reptile,Eukaryote,Species,Animal"
68,Milosaurus,"Reptile,Eukaryote,Species,Animal"
69,DBPEDIA_ID/Mount_Cooper_striped_lerista,"Reptile,Eukaryote,Species,Animal"
70,DBPEDIA_ID/Nerodia_clarkii,"Reptile,Eukaryote,Species,Animal"
71,DBPEDIA_ID/Nerodia_clarkii_clarkii,"Reptile,Eukaryote,Species,Animal"
72,DBPEDIA_ID/Oligodon_sublineatus,"Reptile,Eukaryote,Species,Animal"
73,DBPEDIA_ID/Ophisops_minor,"Reptile,Eukaryote,Species,Animal"
74,DBPEDIA_ID/Painted_wood_turtle,"Reptile,Eukaryote,Species,Animal"
75,DBPEDIA_ID/Pallid_spiny_softshell_turtle,"Reptile,Eukaryote,Species,Animal"
76,DBPEDIA_ID/Common_house_gecko,"Reptile,Eukaryote,Species,Animal"
77,DBPEDIA_ID/Ramphotyphlops_minimus,"Reptile,Eukaryote,Species,Animal"
78,Rhinoleptus,"Reptile,Eukaryote,Species,Animal"
79,DBPEDIA_ID/Rhinophis_erangaviraji,"Reptile,Eukaryote,Species,Animal"
80,Rieppeleon,"Reptile,Eukaryote,Species,Animal"
81,Santanadactylus,"Reptile,Eukaryote,Species,Animal"
82,Simbirskiasaurus,"Reptile,Eukaryote,Species,Animal"
83,DBPEDIA_ID/Sinopliosaurus_(dinosaur),"Reptile,Eukaryote,Species,Animal"
84,DBPEDIA_ID/Small-scaled_burrowing_asp,"Reptile,Eukaryote,Species,Animal"
85,DBPEDIA_ID/Spencer's_goanna,"Reptile,Eukaryote,Species,Animal"
86,Suchodus,"Reptile,Eukaryote,Species,Animal"
87,DBPEDIA_ID/Suwannee_cooter,"Reptile,Eukaryote,Species,Animal"
88,DBPEDIA_ID/Enigmatic_leaf_turtle,"Reptile,Eukaryote,Species,Animal"
89,DBPEDIA_ID/Techmarscincus_jigurru,"Reptile,Eukaryote,Species,Animal"
90,Trigonosaurus,"Reptile,Eukaryote,Species,Animal"
91,DBPEDIA_ID/Tropidophis_wrighti,"Reptile,Eukaryote,Species,Animal"
92,DBPEDIA_ID/Typhlops_bipartitus,"Reptile,Eukaryote,Species,Animal"
93,DBPEDIA_ID/Typhlops_reuteri,"Reptile,Eukaryote,Species,Animal"
94,DBPEDIA_ID/Typhlops_schwartzi,"Reptile,Eukaryote,Species,Animal"
95,Xenopeltidae,"Reptile,Eukaryote,Species,Animal"
96,Iguana,"Reptile,Eukaryote,Species,Animal"
97,Leptotyphlops,"Reptile,Eukaryote,Species,Animal"
98,DBPEDIA_ID/Palleon_nasus,"Reptile,Eukaryote,Species,Animal"
99,DBPEDIA_ID/Pygmy_mulga_monitor,"Reptile,Eukaryote,Species,Animal"
100,Proaigialosaurus,"Reptile,Eukaryote,Species,Animal"
101,DBPEDIA_ID/Leschenault's_leaf-toed_gecko,"Reptile,Eukaryote,Species,Animal"
102,DBPEDIA_ID/Moko_skink,"Reptile,Eukaryote,Species,Animal"
103,DBPEDIA_ID/Ocellated_lizard,"Reptile,Eukaryote,Species,Animal"
104,DBPEDIA_ID/Timon_princeps,"Reptile,Eukaryote,Species,Animal"
105,Yaverlandia,"Reptile,Eukaryote,Species,Animal"
106,DBPEDIA_ID/Agkistrodon_piscivorus_leucostoma,"Reptile,Eukaryote,Species,Animal"
107,Algoasaurus,"Reptile,Eukaryote,Species,Animal"
108,Amtosaurus,"Reptile,Eukaryote,Species,Animal"
109,Aniksosaurus,"Reptile,Eukaryote,Species,Animal"
110,Antetonitrus,"Reptile,Eukaryote,Species,Animal"
111,DBPEDIA_ID/Anthodon_(reptile),"Reptile,Eukaryote,Species,Animal"
112,Archaeodontosaurus,"Reptile,Eukaryote,Species,Animal"
113,Aristosuchus,"Reptile,Eukaryote,Species,Animal"
114,Arstanosaurus,"Reptile,Eukaryote,Species,Animal"
115,DBPEDIA_ID/Asian_box_turtle,"Reptile,Eukaryote,Species,Animal"
116,Barsboldia,"Reptile,Eukaryote,Species,Animal"
117,Bellusaurus,"Reptile,Eukaryote,Species,Animal"
118,DBPEDIA_ID/Bothriechis_lateralis,"Reptile,Eukaryote,Species,Animal"
119,DBPEDIA_ID/Bothrops_leucurus,"Reptile,Eukaryote,Species,Animal"
120,Chebsaurus,"Reptile,Eukaryote,Species,Animal"
121,Chondrosteosaurus,"Reptile,Eukaryote,Species,Animal"
122,DBPEDIA_ID/Christinus_marmoratus,"Reptile,Eukaryote,Species,Animal"
123,Coeluroides,"Reptile,Eukaryote,Species,Animal"
124,DBPEDIA_ID/Coleonyx_brevis,"Reptile,Eukaryote,Species,Animal"
125,DBPEDIA_ID/Coluber_constrictor_anthicus,"Reptile,Eukaryote,Species,Animal"
126,DBPEDIA_ID/Common_box_turtle,"Reptile,Eukaryote,Species,Animal"
127,Craspedodon,"Reptile,Eukaryote,Species,Animal"
128,DBPEDIA_ID/Crotalus_basiliscus,"Reptile,Eukaryote,Species,Animal"
129,DBPEDIA_ID/Crotalus_lepidus,"Reptile,Eukaryote,Species,Animal"
130,Daanosaurus,"Reptile,Eukaryote,Species,Animal"
131,Deinagkistrodon,"Reptile,Eukaryote,Species,Animal"
132,Deuterosaurus,"Reptile,Eukaryote,Species,Animal"
133,Diplotomodon,"Reptile,Eukaryote,Species,Animal"
134,DBPEDIA_ID/Drymarchon_melanurus_erebennus,"Reptile,Eukaryote,Species,Animal"
135,DBPEDIA_ID/Eastern_hognose_snake,"Reptile,Eukaryote,Species,Animal"
136,Euskelosaurus,"Reptile,Eukaryote,Species,Animal"
137,Fulgurotherium,"Reptile,Eukaryote,Species,Animal"
138,Geochelone,"Reptile,Eukaryote,Species,Animal"
139,DBPEDIA_ID/Gulf_Coast_box_turtle,"Reptile,Eukaryote,Species,Animal"
140,Gyalopion,"Reptile,Eukaryote,Species,Animal"
141,Gyposaurus,"Reptile,Eukaryote,Species,Animal"
142,Hypsibema,"Reptile,Eukaryote,Species,Animal"
143,DBPEDIA_ID/Mud_adder,"Reptile,Eukaryote,Species,Animal"
144,Neosodon,"Reptile,Eukaryote,Species,Animal"
145,Nerodia,"Reptile,Eukaryote,Species,Animal"
146,Palaeoscincus,"Reptile,Eukaryote,Species,Animal"
147,Petrolacosaurus,"Reptile,Eukaryote,Species,Animal"
148,DBPEDIA_ID/Pituophis_catenifer_affinis,"Reptile,Eukaryote,Species,Animal"
149,Plateosauravus,"Reptile,Eukaryote,Species,Animal"
150,DBPEDIA_ID/Protobothrops_sieversorum,"Reptile,Eukaryote,Species,Animal"
151,DBPEDIA_ID/Radiated_tortoise,"Reptile,Eukaryote,Species,Animal"
152,DBPEDIA_ID/Salvadora_(snake),"Reptile,Eukaryote,Species,Animal"
153,Sanpasaurus,"Reptile,Eukaryote,Species,Animal"
154,Sarcosaurus,"Reptile,Eukaryote,Species,Animal"
155,Siamosaurus,"Reptile,Eukaryote,Species,Animal"
156,Sinocoelurus,"Reptile,Eukaryote,Species,Animal"
157,Spondylosoma,"Reptile,Eukaryote,Species,Animal"
158,Stephanosaurus,"Reptile,Eukaryote,Species,Animal"
159,Tanius,"Reptile,Eukaryote,Species,Animal"
160,Teinurosaurus,"Reptile,Eukaryote,Species,Animal"
161,Telmatosaurus,"Reptile,Eukaryote,Species,Animal"
162,DBPEDIA_ID/Terrapene_ornata,"Reptile,Eukaryote,Species,Animal"
163,DBPEDIA_ID/Texas_alligator_lizard,"Reptile,Eukaryote,Species,Animal"
164,Thecospondylus,"Reptile,Eukaryote,Species,Animal"
165,Tichosteus,"Reptile,Eukaryote,Species,Animal"
166,Tochisaurus,"Reptile,Eukaryote,Species,Animal"
167,DBPEDIA_ID/Tribolonotus_gracilis,"Reptile,Eukaryote,Species,Animal"
168,Tropidolaemus,"Reptile,Eukaryote,Species,Animal"
169,Uropeltis,"Reptile,Eukaryote,Species,Animal"
170,Wakinosaurus,"Reptile,Eukaryote,Species,Animal"
171,Walgettosuchus,"Reptile,Eukaryote,Species,Animal"
172,DBPEDIA_ID/African_dwarf_mud_turtle,"Reptile,Eukaryote,Species,Animal"
173,DBPEDIA_ID/Aparallactus_werneri,"Reptile,Eukaryote,Species,Animal"
174,DBPEDIA_ID/Boiga_wallachi,"Reptile,Eukaryote,Species,Animal"
175,DBPEDIA_ID/Carpenter's_chameleon,"Reptile,Eukaryote,Species,Animal"
176,DBPEDIA_ID/Chalcides_armitagei,"Reptile,Eukaryote,Species,Animal"
177,DBPEDIA_ID/Flat-backed_spider_tortoise,"Reptile,Eukaryote,Species,Animal"
178,Liasis,"Reptile,Eukaryote,Species,Animal"
179,Lusitanosaurus,"Reptile,Eukaryote,Species,Animal"
180,Mauremys,"Reptile,Eukaryote,Species,Animal"
181,DBPEDIA_ID/Mesoclemmys_tuberculata,"Reptile,Eukaryote,Species,Animal"
182,DBPEDIA_ID/Microlophus_occipitalis,"Reptile,Eukaryote,Species,Animal"
183,DBPEDIA_ID/Oligodon_cinereus,"Reptile,Eukaryote,Species,Animal"
184,DBPEDIA_ID/Proscelotes_arnoldi,"Reptile,Eukaryote,Species,Animal"
185,Scaphiophis,"Reptile,Eukaryote,Species,Animal"
186,DBPEDIA_ID/Strophurus_ciliaris,"Reptile,Eukaryote,Species,Animal"
187,DBPEDIA_ID/Stuart's_burrowing_snake,"Reptile,Eukaryote,Species,Animal"
188,DBPEDIA_ID/Teratolepis_fasciata,"Reptile,Eukaryote,Species,Animal"
189,DBPEDIA_ID/Trachischium_monticola,"Reptile,Eukaryote,Species,Animal"
190,DBPEDIA_ID/Tropidophorus_thai,"Reptile,Eukaryote,Species,Animal"
191,DBPEDIA_ID/Typhlops_boulengeri,"Reptile,Eukaryote,Species,Animal"
192,DBPEDIA_ID/Typhlops_mucronatus,"Reptile,Eukaryote,Species,Animal"
193,DBPEDIA_ID/Typhlops_uluguruensis,"Reptile,Eukaryote,Species,Animal"
194,DBPEDIA_ID/Uromastyx_ornata,"Reptile,Eukaryote,Species,Animal"
195,DBPEDIA_ID/Uropeltis_macrorhyncha,"Reptile,Eukaryote,Species,Animal"
196,DBPEDIA_ID/Vietnamese_pond_turtle,"Reptile,Eukaryote,Species,Animal"
197,DBPEDIA_ID/Yunnan_box_turtle,"Reptile,Eukaryote,Species,Animal"
198,DBPEDIA_ID/Amphisbaena_carvalhoi,"Reptile,Eukaryote,Species,Animal"
199,DBPEDIA_ID/Amphisbaena_munoai,"Reptile,Eukaryote,Species,Animal"
200,Endogomphodon,"Reptile,Eukaryote,Species,Animal"
201,DBPEDIA_ID/Colombian_wood_turtle,"Reptile,Eukaryote,Species,Animal"
202,DBPEDIA_ID/Phelsuma_kely,"Reptile,Eukaryote,Species,Animal"
203,DBPEDIA_ID/Pseustes_sulphureus,"Reptile,Eukaryote,Species,Animal"
204,DBPEDIA_ID/Rankinia_adelaidensis,"Reptile,Eukaryote,Species,Animal"
205,Steneosaurus,"Reptile,Eukaryote,Species,Animal"
206,DBPEDIA_ID/Underwoodisaurus_milii,"Reptile,Eukaryote,Species,Animal"
207,DBPEDIA_ID/Furrowed_wood_turtle,"Reptile,Eukaryote,Species,Animal"
208,DBPEDIA_ID/Homopus_solus,"Reptile,Eukaryote,Species,Animal"
209,DBPEDIA_ID/Kasner's_dwarf_burrowing_skink,"Reptile,Eukaryote,Species,Animal"
210,DBPEDIA_ID/Large-nosed_wood_turtle,"Reptile,Eukaryote,Species,Animal"
