,entity,classes
0,Benu,"ArchitecturalStructure,Building,Place,Location,Restaurant"
1,DBPEDIA_ID/Au_Crocodile,"ArchitecturalStructure,Building,Place,Location,Restaurant"
2,Bahrs,"ArchitecturalStructure,Building,Place,Location,Restaurant"
3,DBPEDIA_ID/Cafe_Bahar,"ArchitecturalStructure,Building,Place,Location,Restaurant"
4,DBPEDIA_ID/Criterion_Restaurant,"ArchitecturalStructure,Building,Place,Location,Restaurant"
5,DBPEDIA_ID/Lumière_(restaurant),"ArchitecturalStructure,Building,Place,Location,Restaurant"
6,DBPEDIA_ID/Serrano_(restaurant),"ArchitecturalStructure,Building,Place,Location,Restaurant"
7,DBPEDIA_ID/Sirocco_(restaurant),"ArchitecturalStructure,Building,Place,Location,Restaurant"
8,DBPEDIA_ID/Smoke_(jazz_club),"ArchitecturalStructure,Building,Place,Location,Restaurant"
9,Iggy's,"ArchitecturalStructure,Building,Place,Location,Restaurant"
10,Middendorf's,"ArchitecturalStructure,Building,Place,Location,Restaurant"
11,DBPEDIA_ID/The_Fat_Duck,"ArchitecturalStructure,Building,Place,Location,Restaurant"
12,DBPEDIA_ID/Da_Vinci_(restaurant),"ArchitecturalStructure,Building,Place,Location,Restaurant"
13,DBPEDIA_ID/Blue_Bayou_Restaurant,"ArchitecturalStructure,Building,Place,Location,Restaurant"
14,DBPEDIA_ID/Grimaldi's_Pizzeria,"ArchitecturalStructure,Building,Place,Location,Restaurant"
15,DBPEDIA_ID/Second_Avenue_Deli,"ArchitecturalStructure,Building,Place,Location,Restaurant"
16,DBPEDIA_ID/Lutèce_(restaurant),"ArchitecturalStructure,Building,Place,Location,Restaurant"
17,DBPEDIA_ID/Masa's_Wine_Bar_&_Kitchen,"ArchitecturalStructure,Building,Place,Location,Restaurant"
18,DBPEDIA_ID/Masa_(restaurant),"ArchitecturalStructure,Building,Place,Location,Restaurant"
19,DBPEDIA_ID/Olo_(restaurant),"ArchitecturalStructure,Building,Place,Location,Restaurant"
20,DBPEDIA_ID/Otto's_Sausage_Kitchen,"ArchitecturalStructure,Building,Place,Location,Restaurant"
21,DBPEDIA_ID/Restaurant_Vermeer,"ArchitecturalStructure,Building,Place,Location,Restaurant"
22,DBPEDIA_ID/Shiro_(restaurant),"ArchitecturalStructure,Building,Place,Location,Restaurant"
23,"DBPEDIA_ID/The_Octagon,_Christchurch","ArchitecturalStructure,Building,Place,Location,Restaurant"
24,DBPEDIA_ID/Beardslee_Castle,"ArchitecturalStructure,Building,Place,Location,Restaurant"
