,entity,classes
0,DBPEDIA_ID/Broadway_(Manhattan),"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
1,DBPEDIA_ID/European_route_E4,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
2,DBPEDIA_ID/M25_motorway,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
3,DBPEDIA_ID/New_Jersey_Route_10,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
4,DBPEDIA_ID/New_Jersey_Route_12,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
5,DBPEDIA_ID/New_Jersey_Route_120,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
6,DBPEDIA_ID/New_Jersey_Route_13,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
7,DBPEDIA_ID/New_Jersey_Route_15,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
8,DBPEDIA_ID/New_Jersey_Route_17,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
9,DBPEDIA_ID/New_Jersey_Route_19,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
10,DBPEDIA_ID/New_Jersey_Route_20,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
11,DBPEDIA_ID/New_Jersey_Route_23,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
12,DBPEDIA_ID/New_Jersey_Route_24,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
13,DBPEDIA_ID/New_Jersey_Route_26,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
14,DBPEDIA_ID/New_Jersey_Route_29,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
15,DBPEDIA_ID/New_Jersey_Route_3,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
16,DBPEDIA_ID/New_Jersey_Route_4,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
17,DBPEDIA_ID/New_Jersey_Route_495,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
18,DBPEDIA_ID/New_Jersey_Route_5,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
19,DBPEDIA_ID/New_Jersey_Route_7,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
20,DBPEDIA_ID/New_Jersey_Route_70,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
21,DBPEDIA_ID/Bronx_River_Parkway,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
22,DBPEDIA_ID/M11_motorway,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
23,DBPEDIA_ID/New_Jersey_Route_62,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
24,DBPEDIA_ID/New_Jersey_Route_64,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
25,DBPEDIA_ID/New_Jersey_Route_66,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
26,DBPEDIA_ID/New_Jersey_Route_67,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
27,DBPEDIA_ID/New_Jersey_Route_68,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
28,DBPEDIA_ID/U.S._Route_12,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
29,DBPEDIA_ID/Bussell_Highway,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
30,DBPEDIA_ID/Federal_Road_(Cherokee_lands),"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
31,DBPEDIA_ID/Interstate_22,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
32,DBPEDIA_ID/Interstate_84_in_Oregon,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
33,DBPEDIA_ID/Kuala_Lumpur–Karak_Expressway,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
34,DBPEDIA_ID/Pan-European_Corridor_X,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
35,DBPEDIA_ID/Peachtree_Street,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
36,DBPEDIA_ID/Virginia_State_Route_400,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
37,DBPEDIA_ID/Washington_Street_(Indianapolis),"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
