,entity,classes
0,DBPEDIA_ID/Los_Alamitos_Circle,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
1,DBPEDIA_ID/Red_Cow_interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
2,DBPEDIA_ID/Chandni_Chowk_Flyover,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
3,DBPEDIA_ID/Kalma_Chowk_Flyover,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
4,DBPEDIA_ID/Airport_Circle_(Pennsauken),"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
5,DBPEDIA_ID/Mitchell_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
6,DBPEDIA_ID/Glasgow_Cross,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
7,DBPEDIA_ID/Interchanges_in_Pennsylvania,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
8,DBPEDIA_ID/Kathipara_Junction,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
9,DBPEDIA_ID/Little_Ferry_Circle,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
10,DBPEDIA_ID/The_Stack,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
11,DBPEDIA_ID/Turcot_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
12,DBPEDIA_ID/Faizabad_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
13,DBPEDIA_ID/Gotemba_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
14,DBPEDIA_ID/Ivanja_Reka_interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
15,DBPEDIA_ID/Bow_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
16,DBPEDIA_ID/Circumferential_Road_5–Ortigas_Avenue_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
17,DBPEDIA_ID/Dobanovci_interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
18,DBPEDIA_ID/Ortigas_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
19,DBPEDIA_ID/Remedios_Circle,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
20,DBPEDIA_ID/Moolakadai_Junction,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
21,DBPEDIA_ID/Asokwa_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
22,DBPEDIA_ID/Sam_Yan,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
23,DBPEDIA_ID/Pinners_Point_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
24,DBPEDIA_ID/Indira_Gandhi_Chowk,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
25,DBPEDIA_ID/Stup_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
26,DBPEDIA_ID/Bowers_Hill_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
27,DBPEDIA_ID/Camp_Merritt_Memorial_Circle,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
28,DBPEDIA_ID/Edappally_Junction,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
29,DBPEDIA_ID/Abdullahpur_Flyover,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
30,DBPEDIA_ID/Makupa_Circus,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
31,"DBPEDIA_ID/Border_Junction,_Wyoming__Border_Junction__1","Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
32,DBPEDIA_ID/Kennedy_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
33,DBPEDIA_ID/Welcome_Rotonda,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
34,DBPEDIA_ID/Sofoline_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
35,DBPEDIA_ID/Can_of_Worms_(interchange),"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
36,DBPEDIA_ID/Penns_Neck_Circle,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
37,DBPEDIA_ID/Ako_Adjei_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
38,DBPEDIA_ID/Geha_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
39,DBPEDIA_ID/Jankomir_interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
40,DBPEDIA_ID/Magallanes_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
41,DBPEDIA_ID/Sredanci_interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
42,DBPEDIA_ID/Tetteh_Quarshie_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
43,DBPEDIA_ID/Meshanticut_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
44,"DBPEDIA_ID/Four_Mile,_South_Dakota__Four_Mile__1","Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
45,"DBPEDIA_ID/Maverick_Junction,_South_Dakota__Maverick_Junction__1","Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
46,DBPEDIA_ID/Anna_Flyover,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
47,DBPEDIA_ID/Keystone_Wye__Keystone_Wye__1,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
48,"DBPEDIA_ID/Three_Forks,_South_Dakota__Three_Forks__1","Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
49,DBPEDIA_ID/Leverett_Circle,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
50,DBPEDIA_ID/Lučko_interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
51,DBPEDIA_ID/Golden_Glades_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
52,DBPEDIA_ID/Orange_Crush_interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
53,DBPEDIA_ID/Newhall_Pass_interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
54,DBPEDIA_ID/Kew_Gardens_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
55,DBPEDIA_ID/Madhya_Kailash_Junction,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
56,DBPEDIA_ID/Orehovica_interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
57,DBPEDIA_ID/Latham_Circle,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
58,DBPEDIA_ID/Mini_Stack,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
59,DBPEDIA_ID/Ngauranga_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
60,DBPEDIA_ID/West_Bakersfield_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
61,DBPEDIA_ID/Wheeler_Ridge_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
62,DBPEDIA_ID/Jane_Byrne_Interchange,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
63,DBPEDIA_ID/Spaghetti_Bowl_(Las_Vegas),"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
64,DBPEDIA_ID/Wiesbadener_Kreuz,"Infrastructure,RoadJunction,ArchitecturalStructure,Place,Location,RouteOfTransportation"
