,entity,classes
0,DBPEDIA_ID/Baltimore_Harbor_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
1,DBPEDIA_ID/Legacy_Way,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
2,DBPEDIA_ID/Selimiye_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
3,DBPEDIA_ID/Cankurtaran_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
4,DBPEDIA_ID/Elceğiz_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
5,DBPEDIA_ID/Lyttelton_road_tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
6,DBPEDIA_ID/Terrace_Motorway_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
7,DBPEDIA_ID/Tetsuo_Harano_Tunnels,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
8,DBPEDIA_ID/Veligonda_Project,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
9,DBPEDIA_ID/Chin_Swee_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
10,DBPEDIA_ID/Frudal_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
11,DBPEDIA_ID/Dos_Valires_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
12,DBPEDIA_ID/Envalira_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
13,DBPEDIA_ID/Kviven_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
14,DBPEDIA_ID/Naustdal_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
15,DBPEDIA_ID/Negrón_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
16,DBPEDIA_ID/Ülemiste_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
17,DBPEDIA_ID/Kresna_Gorge_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
18,DBPEDIA_ID/Genting_Sempah_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
19,DBPEDIA_ID/Coen_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
20,DBPEDIA_ID/Great_St_Bernard_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
21,DBPEDIA_ID/Finnøy_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
22,DBPEDIA_ID/Kanonersky_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
23,DBPEDIA_ID/Rohtang_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
24,DBPEDIA_ID/Belle_Chasse_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
25,DBPEDIA_ID/Northbrae_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
26,DBPEDIA_ID/Prudential_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
27,DBPEDIA_ID/KLCC_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
28,DBPEDIA_ID/Kızlaç_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
29,Fáskrúðsfjarðargöng,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
30,DBPEDIA_ID/Gleinalm_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
31,DBPEDIA_ID/Belkahve_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
32,DBPEDIA_ID/Dewey_Square_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
33,DBPEDIA_ID/Jawahar_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
34,DBPEDIA_ID/Milchbuck_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
35,DBPEDIA_ID/Wawona_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
36,DBPEDIA_ID/Blanka_tunnel_complex,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
37,DBPEDIA_ID/Stockton_Street_Tunnel,"Infrastructure,ArchitecturalStructure,RoadTunnel,Place,Location,RouteOfTransportation"
