,entity,classes
0,DBPEDIA_ID/Ariane_5,"MeanOfTransportation,Rocket"
1,DBPEDIA_ID/Blue_Streak_(missile),"MeanOfTransportation,Rocket"
2,DBPEDIA_ID/Space_Shuttle,"MeanOfTransportation,Rocket"
3,DBPEDIA_ID/Ariane_2,"MeanOfTransportation,Rocket"
4,DBPEDIA_ID/Ariane_3,"MeanOfTransportation,Rocket"
5,HOPE-X,"MeanOfTransportation,Rocket"
6,DBPEDIA_ID/Paektusan_(rocket),"MeanOfTransportation,Rocket"
7,DBPEDIA_ID/Black_Knight_(rocket),"MeanOfTransportation,Rocket"
8,DBPEDIA_ID/PWN-9_Kangaroo,"MeanOfTransportation,Rocket"
9,DBPEDIA_ID/Antares_(rocket),"MeanOfTransportation,Rocket"
10,DBPEDIA_ID/Cajun_(rocket),"MeanOfTransportation,Rocket"
11,DBPEDIA_ID/RTV-G-4_Bumper,"MeanOfTransportation,Rocket"
12,DBPEDIA_ID/Reusable_Vehicle_Testing,"MeanOfTransportation,Rocket"
13,DBPEDIA_ID/Black_Arrow,"MeanOfTransportation,Rocket"
14,Zenit-2,"MeanOfTransportation,Rocket"
15,DBPEDIA_ID/Sputnik_(rocket),"MeanOfTransportation,Rocket"
16,DBPEDIA_ID/Soyuz-2_(rocket),"MeanOfTransportation,Rocket"
17,Zenit-2M,"MeanOfTransportation,Rocket"
18,DBPEDIA_ID/Geosynchronous_Satellite_Launch_Vehicle,"MeanOfTransportation,Rocket"
19,DBPEDIA_ID/Delta_III,"MeanOfTransportation,Rocket"
20,Kosmos-3M,"MeanOfTransportation,Rocket"
21,H-IIA,"MeanOfTransportation,Rocket"
22,DBPEDIA_ID/MAX-1_(Spacecraft),"MeanOfTransportation,Rocket"
23,DBPEDIA_ID/Falcon_9_v1.1,"MeanOfTransportation,Rocket"
24,DBPEDIA_ID/Long_March_7,"MeanOfTransportation,Rocket"
25,DBPEDIA_ID/Capricornio_(rocket),"MeanOfTransportation,Rocket"
26,DBPEDIA_ID/Delta_4000,"MeanOfTransportation,Rocket"
27,DBPEDIA_ID/Titan_34D,"MeanOfTransportation,Rocket"
28,DBPEDIA_ID/Titan_IIIA,"MeanOfTransportation,Rocket"
29,DBPEDIA_ID/Titan_IIID,"MeanOfTransportation,Rocket"
30,DBPEDIA_ID/Long_March_2A,"MeanOfTransportation,Rocket"
