,entity,classes
0,DBPEDIA_ID/Mumbo_Jumbo_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
1,DBPEDIA_ID/Ricochet_(Carowinds),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
2,DBPEDIA_ID/Ricochet_(Kings_Dominion),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
3,DBPEDIA_ID/Wildfire_(Kolmården_Wildlife_Park),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
4,DBPEDIA_ID/Wildfire_(Silver_Dollar_City),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
5,DBPEDIA_ID/Afterburn_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
6,DBPEDIA_ID/Cannonball_Run_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
7,DBPEDIA_ID/Cosmic_Coaster_(Valleyfair),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
8,DBPEDIA_ID/Demon_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
9,DBPEDIA_ID/Dragon_(Adventureland),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
10,DBPEDIA_ID/Dragon_Coaster_(Playland),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
11,DBPEDIA_ID/Galactica_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
12,DBPEDIA_ID/Goofy's_Sky_School,"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
13,DBPEDIA_ID/Loch_Ness_Monster_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
14,DBPEDIA_ID/Nighthawk_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
15,DBPEDIA_ID/Predator_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
16,DBPEDIA_ID/Runaway_Train_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
17,DBPEDIA_ID/Screamin'_Demon,"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
18,DBPEDIA_ID/Silver_Bullet_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
19,DBPEDIA_ID/Silver_Star_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
20,DBPEDIA_ID/The_Voyage_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
21,DBPEDIA_ID/Tremors_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
22,DBPEDIA_ID/Undertow_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
23,DBPEDIA_ID/Vortex_(California's_Great_America),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
24,DBPEDIA_ID/Vortex_(Canada's_Wonderland),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
25,DBPEDIA_ID/Vortex_(Carowinds),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
26,DBPEDIA_ID/Vortex_(Kings_Island),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
27,DBPEDIA_ID/X_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
28,DBPEDIA_ID/Zoomerang_(Alabama_Adventure),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
29,DBPEDIA_ID/Shockwave_(Drayton_Manor),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
30,DBPEDIA_ID/Shockwave_(Kings_Dominion),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
31,DBPEDIA_ID/Shockwave_(Six_Flags_Great_America),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
32,DBPEDIA_ID/Thunderhead_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
33,DBPEDIA_ID/Behemoth_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
34,DBPEDIA_ID/Bizarro_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
35,DBPEDIA_ID/Cannibal_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
36,DBPEDIA_ID/Dominator_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
37,DBPEDIA_ID/Mad_Mouse_(Michigan's_Adventure),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
38,DBPEDIA_ID/Mad_Mouse_(Pavilion),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
39,DBPEDIA_ID/Ragin'_Cajun_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
40,DBPEDIA_ID/Runaway_Mine_Train_(Alton_Towers),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
41,DBPEDIA_ID/Runaway_Mine_Train_(Six_Flags_Great_Adventure),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
42,DBPEDIA_ID/Switchback_(rollercoaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
43,DBPEDIA_ID/Switchback_Railway,"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
44,DBPEDIA_ID/Thrillseeker_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
45,DBPEDIA_ID/Tsunami_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
46,DBPEDIA_ID/Untamed_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
47,DBPEDIA_ID/Cobra_(La_Ronde),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
48,DBPEDIA_ID/Cobra_(PowerPark),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
49,DBPEDIA_ID/Eurostar_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
50,DBPEDIA_ID/Woodstock_Express_(Dorney_Park),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
51,DBPEDIA_ID/Green_Dragon_(Lake_Compounce),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
52,DBPEDIA_ID/Huracan_(Belantis),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
53,DBPEDIA_ID/MP_Xpress,"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
54,DBPEDIA_ID/Robin_Hood_(Walibi_Holland),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
55,DBPEDIA_ID/Vekoma_Illusion,"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
56,DBPEDIA_ID/Xpress_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
57,DBPEDIA_ID/Intimidator_305,"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
58,DBPEDIA_ID/Speed_of_Sound_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
59,DBPEDIA_ID/The_Swarm_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
60,DBPEDIA_ID/Anaconda_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
61,DBPEDIA_ID/Blazing_Fury,"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
62,DBPEDIA_ID/Flyer_Comet_(Whalom_Park),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
63,DBPEDIA_ID/Furius_Baco,"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
64,DBPEDIA_ID/Mystery_Mine,"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
