,entity,classes
0,"DBPEDIA_ID/Abel,_King_of_Denmark","Person,Royalty,Agent"
1,DBPEDIA_ID/Agustín_de_Iturbide_y_Green,"Person,Royalty,Agent"
2,"DBPEDIA_ID/Albert,_12th_Prince_of_Thurn_and_Taxis","Person,Royalty,Agent"
3,"DBPEDIA_ID/Albert,_8th_Prince_of_Thurn_and_Taxis","Person,Royalty,Agent"
4,"DBPEDIA_ID/Albert,_Duke_of_Schleswig-Holstein","Person,Royalty,Agent"
5,"DBPEDIA_ID/Albert,_King_of_Sweden","Person,Royalty,Agent"
6,"DBPEDIA_ID/Albert,_Prince_of_Schwarzburg-Rudolstadt","Person,Royalty,Agent"
7,"DBPEDIA_ID/Albert_Casimir,_Duke_of_Teschen","Person,Royalty,Agent"
8,"DBPEDIA_ID/Albert_VII,_Archduke_of_Austria","Person,Royalty,Agent"
9,DBPEDIA_ID/Albert_of_Saxony,"Person,Royalty,Agent"
10,"DBPEDIA_ID/Antonio_Farnese,_Duke_of_Parma","Person,Royalty,Agent"
11,DBPEDIA_ID/Archduchess_Maria_Magdalena_of_Austria_(1689–1743),"Person,Royalty,Agent"
12,DBPEDIA_ID/Bernard_of_Saxe-Weimar,"Person,Royalty,Agent"
13,"DBPEDIA_ID/Bernhart,_Prince_of_Sayn-Wittgenstein-Hohenstein","Person,Royalty,Agent"
14,"DBPEDIA_ID/Christian,_Duke_of_Saxe-Eisenberg","Person,Royalty,Agent"
15,"DBPEDIA_ID/Christian,_Prince-Elect_of_Denmark","Person,Royalty,Agent"
16,"DBPEDIA_ID/Christian_I,_Elector_of_Saxony","Person,Royalty,Agent"
17,DBPEDIA_ID/Christian_IV_of_Denmark,"Person,Royalty,Agent"
18,DBPEDIA_ID/Christian_I_of_Denmark,"Person,Royalty,Agent"
19,DBPEDIA_ID/Christian_VIII_of_Denmark,"Person,Royalty,Agent"
20,DBPEDIA_ID/Christian_VII_of_Denmark,"Person,Royalty,Agent"
21,DBPEDIA_ID/Christian_VI_of_Denmark,"Person,Royalty,Agent"
22,DBPEDIA_ID/Christian_V_of_Denmark,"Person,Royalty,Agent"
23,"DBPEDIA_ID/Christina,_Queen_of_Sweden","Person,Royalty,Agent"
24,"DBPEDIA_ID/Ercole,_Lord_of_Monaco","Person,Royalty,Agent"
25,"DBPEDIA_ID/Ernest,_Count_of_Lippe-Biesterfeld","Person,Royalty,Agent"
26,"DBPEDIA_ID/Ernst,_Prince_of_Saxe-Meiningen","Person,Royalty,Agent"
27,"DBPEDIA_ID/Ferdinand,_Duke_of_Breisgau","Person,Royalty,Agent"
28,"DBPEDIA_ID/Ferdinand_I,_Holy_Roman_Emperor","Person,Royalty,Agent"
29,"DBPEDIA_ID/Ferdinand_II,_Archduke_of_Austria","Person,Royalty,Agent"
30,"DBPEDIA_ID/Ferdinand_II,_Holy_Roman_Emperor","Person,Royalty,Agent"
31,"DBPEDIA_ID/Ferdinand_III,_Grand_Duke_of_Tuscany","Person,Royalty,Agent"
32,"DBPEDIA_ID/Ferdinand_III,_Holy_Roman_Emperor","Person,Royalty,Agent"
33,DBPEDIA_ID/Ferdinand_II_of_León,"Person,Royalty,Agent"
34,DBPEDIA_ID/Ferdinand_II_of_Portugal,"Person,Royalty,Agent"
35,DBPEDIA_ID/Ferdinand_II_of_the_Two_Sicilies,"Person,Royalty,Agent"
36,DBPEDIA_ID/Ferdinand_I_of_Aragon,"Person,Royalty,Agent"
37,DBPEDIA_ID/Ferdinand_I_of_Naples,"Person,Royalty,Agent"
38,DBPEDIA_ID/Ferdinand_I_of_Portugal,"Person,Royalty,Agent"
39,DBPEDIA_ID/Ferdinand_I_of_the_Two_Sicilies,"Person,Royalty,Agent"
40,DBPEDIA_ID/Ferdinand_VII_of_Spain,"Person,Royalty,Agent"
41,"DBPEDIA_ID/Ferdinando_II_de'_Medici,_Grand_Duke_of_Tuscany","Person,Royalty,Agent"
42,"DBPEDIA_ID/Francis,_Duke_of_Anjou","Person,Royalty,Agent"
43,"DBPEDIA_ID/Francis,_Duke_of_Saxe-Coburg-Saalfeld","Person,Royalty,Agent"
44,"DBPEDIA_ID/Francis,_Duke_of_Teck","Person,Royalty,Agent"
45,"DBPEDIA_ID/Friedrich,_Prince_of_Waldeck_and_Pyrmont","Person,Royalty,Agent"
46,"DBPEDIA_ID/Georg,_Crown_Prince_of_Saxony","Person,Royalty,Agent"
47,"DBPEDIA_ID/Georg,_Prince_of_Saxe-Meiningen","Person,Royalty,Agent"
48,DBPEDIA_ID/Godefroy_de_La_Tour_d'Auvergne,"Person,Royalty,Agent"
49,DBPEDIA_ID/Henri_Christophe,"Person,Royalty,Agent"
50,"DBPEDIA_ID/Henry_I,_Margrave_of_the_Saxon_Ostmark","Person,Royalty,Agent"
51,"DBPEDIA_ID/Henry_II,_Duke_of_Lorraine","Person,Royalty,Agent"
52,"DBPEDIA_ID/Henry_II,_Holy_Roman_Emperor","Person,Royalty,Agent"
53,"DBPEDIA_ID/Henry_II,_Margrave_of_Meissen","Person,Royalty,Agent"
54,DBPEDIA_ID/Henry_III_of_France,"Person,Royalty,Agent"
55,DBPEDIA_ID/Henry_II_of_England,"Person,Royalty,Agent"
56,DBPEDIA_ID/Henry_II_of_France,"Person,Royalty,Agent"
57,DBPEDIA_ID/Henry_I_of_France,"Person,Royalty,Agent"
58,DBPEDIA_ID/Henry_VII_of_England,"Person,Royalty,Agent"
59,DBPEDIA_ID/Henry_the_Fowler,"Person,Royalty,Agent"
60,DBPEDIA_ID/Henry_the_Lion,"Person,Royalty,Agent"
61,"DBPEDIA_ID/Hercule,_Duke_of_Montbazon","Person,Royalty,Agent"
62,"DBPEDIA_ID/Hermann,_Prince_of_Hohenlohe-Langenburg","Person,Royalty,Agent"
63,"DBPEDIA_ID/Hermann,_Prince_of_Hohenzollern-Hechingen","Person,Royalty,Agent"
64,"DBPEDIA_ID/Hermann,_Prince_of_Wied","Person,Royalty,Agent"
65,"DBPEDIA_ID/Humphrey,_Duke_of_Gloucester","Person,Royalty,Agent"
66,DBPEDIA_ID/Irene_Doukaina_Laskarina,"Person,Royalty,Agent"
67,DBPEDIA_ID/Irene_Komnene_Doukaina,"Person,Royalty,Agent"
68,DBPEDIA_ID/Irene_of_Larissa,"Person,Royalty,Agent"
69,"DBPEDIA_ID/Isabella,_Duchess_of_Lorraine","Person,Royalty,Agent"
70,"DBPEDIA_ID/Isabella_d'Este,_Duchess_of_Parma","Person,Royalty,Agent"
71,"DBPEDIA_ID/Isabella_of_Aragon,_Countess_of_Urgell","Person,Royalty,Agent"
72,DBPEDIA_ID/Isabella_of_Cyprus,"Person,Royalty,Agent"
73,DBPEDIA_ID/Isabella_of_Savoy,"Person,Royalty,Agent"
74,DBPEDIA_ID/Julian_(emperor),"Person,Royalty,Agent"
75,DBPEDIA_ID/Juliana_of_the_Netherlands,"Person,Royalty,Agent"
76,DBPEDIA_ID/Krystyna_Rokiczana,"Person,Royalty,Agent"
77,"DBPEDIA_ID/Leopold,_Duke_of_Lorraine","Person,Royalty,Agent"
78,"DBPEDIA_ID/Leopold,_Prince_of_Hohenzollern","Person,Royalty,Agent"
79,"DBPEDIA_ID/Leopold,_Prince_of_Salerno","Person,Royalty,Agent"
80,"DBPEDIA_ID/Louis_IV,_Grand_Duke_of_Hesse","Person,Royalty,Agent"
81,"DBPEDIA_ID/Louis_IV,_Holy_Roman_Emperor","Person,Royalty,Agent"
82,"DBPEDIA_ID/Louis_V,_Landgrave_of_Hesse-Darmstadt","Person,Royalty,Agent"
83,"DBPEDIA_ID/Louis_VI,_Landgrave_of_Hesse-Darmstadt","Person,Royalty,Agent"
84,DBPEDIA_ID/Louis_V_of_France,"Person,Royalty,Agent"
85,DBPEDIA_ID/Louis_XIV_of_France,"Person,Royalty,Agent"
