,entity,classes
0,DBPEDIA_ID/Asociación_Alumni,"RugbyClub,Organisation,SportsTeam,Agent"
1,DBPEDIA_ID/British_and_Irish_Lions,"RugbyClub,Organisation,SportsTeam,Agent"
2,DBPEDIA_ID/Moseley_Rugby_Football_Club,"RugbyClub,Organisation,SportsTeam,Agent"
3,DBPEDIA_ID/Neath_RFC,"RugbyClub,Organisation,SportsTeam,Agent"
4,DBPEDIA_ID/Barbarian_F.C.,"RugbyClub,Organisation,SportsTeam,Agent"
5,DBPEDIA_ID/Barbarian_Rugby_Club,"RugbyClub,Organisation,SportsTeam,Agent"
6,DBPEDIA_ID/Brussels_Barbarians,"RugbyClub,Organisation,SportsTeam,Agent"
7,DBPEDIA_ID/Buccaneers_RFC,"RugbyClub,Organisation,SportsTeam,Agent"
8,DBPEDIA_ID/Club_de_Rugby_San_Roque,"RugbyClub,Organisation,SportsTeam,Agent"
9,DBPEDIA_ID/England_Saxons,"RugbyClub,Organisation,SportsTeam,Agent"
10,DBPEDIA_ID/Flamingoes_F.C.,"RugbyClub,Organisation,SportsTeam,Agent"
11,DBPEDIA_ID/Guernsey_RFC,"RugbyClub,Organisation,SportsTeam,Agent"
12,DBPEDIA_ID/Harrow_RFC,"RugbyClub,Organisation,SportsTeam,Agent"
13,DBPEDIA_ID/Highlanders_(rugby_union),"RugbyClub,Organisation,SportsTeam,Agent"
14,DBPEDIA_ID/Lions_(Super_Rugby),"RugbyClub,Organisation,SportsTeam,Agent"
15,DBPEDIA_ID/London_Scottish_F.C.,"RugbyClub,Organisation,SportsTeam,Agent"
16,DBPEDIA_ID/Marist_Brothers_Old_Boys_RFC,"RugbyClub,Organisation,SportsTeam,Agent"
17,DBPEDIA_ID/Marista_Rugby_Club,"RugbyClub,Organisation,SportsTeam,Agent"
18,DBPEDIA_ID/New_South_Wales_Waratahs,"RugbyClub,Organisation,SportsTeam,Agent"
19,DBPEDIA_ID/New_Zealand_Barbarians,"RugbyClub,Organisation,SportsTeam,Agent"
20,DBPEDIA_ID/Nomads_R.F.C.,"RugbyClub,Organisation,SportsTeam,Agent"
21,DBPEDIA_ID/RC_Dragon_Brno,"RugbyClub,Organisation,SportsTeam,Agent"
22,DBPEDIA_ID/Selkirk_RFC,"RugbyClub,Organisation,SportsTeam,Agent"
23,DBPEDIA_ID/South_African_Barbarians,"RugbyClub,Organisation,SportsTeam,Agent"
24,DBPEDIA_ID/Tigre_Rugby_Club,"RugbyClub,Organisation,SportsTeam,Agent"
25,DBPEDIA_ID/Toshiba_Brave_Lupus,"RugbyClub,Organisation,SportsTeam,Agent"
26,DBPEDIA_ID/West_Hartlepool_R.F.C.,"RugbyClub,Organisation,SportsTeam,Agent"
27,DBPEDIA_ID/Australia_A_national_rugby_union_team,"RugbyClub,Organisation,SportsTeam,Agent"
28,DBPEDIA_ID/Bligh_Roosters,"RugbyClub,Organisation,SportsTeam,Agent"
29,DBPEDIA_ID/CAU_Rugby_Valencia,"RugbyClub,Organisation,SportsTeam,Agent"
30,DBPEDIA_ID/Dalziel_RFC,"RugbyClub,Organisation,SportsTeam,Agent"
31,DBPEDIA_ID/Dublin_University_Football_Club,"RugbyClub,Organisation,SportsTeam,Agent"
32,DBPEDIA_ID/Forrester_RFC,"RugbyClub,Organisation,SportsTeam,Agent"
33,DBPEDIA_ID/Heriot's_Rugby_Club,"RugbyClub,Organisation,SportsTeam,Agent"
34,DBPEDIA_ID/Krasny_Yar_Krasnoyarsk,"RugbyClub,Organisation,SportsTeam,Agent"
35,DBPEDIA_ID/Montpellier_Hérault_Rugby,"RugbyClub,Organisation,SportsTeam,Agent"
36,DBPEDIA_ID/Mystic_River_Rugby_Club,"RugbyClub,Organisation,SportsTeam,Agent"
37,DBPEDIA_ID/Māori_All_Blacks,"RugbyClub,Organisation,SportsTeam,Agent"
38,DBPEDIA_ID/New_Zealand_Māori_rugby_league_team,"RugbyClub,Organisation,SportsTeam,Agent"
39,DBPEDIA_ID/Orrell_R.U.F.C.,"RugbyClub,Organisation,SportsTeam,Agent"
40,DBPEDIA_ID/Otago_Rugby_Football_Union,"RugbyClub,Organisation,SportsTeam,Agent"
41,DBPEDIA_ID/Portarlington_RFC,"RugbyClub,Organisation,SportsTeam,Agent"
42,DBPEDIA_ID/RC_Antares,"RugbyClub,Organisation,SportsTeam,Agent"
43,DBPEDIA_ID/Rosslyn_Park_F.C.,"RugbyClub,Organisation,SportsTeam,Agent"
44,DBPEDIA_ID/Rugby_Club_Luxembourg,"RugbyClub,Organisation,SportsTeam,Agent"
