,entity,classes
0,DBPEDIA_ID/Rugby_World_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
1,DBPEDIA_ID/Six_Nations_Championship,"Organisation,RugbyLeague,Agent,SportsLeague"
2,DBPEDIA_ID/Allsvenskan_(rugby),"Organisation,RugbyLeague,Agent,SportsLeague"
3,DBPEDIA_ID/Calcutta_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
4,DBPEDIA_ID/Lancashire_Cup_(rugby_union),"Organisation,RugbyLeague,Agent,SportsLeague"
5,DBPEDIA_ID/RFL_Lancashire_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
6,DBPEDIA_ID/Rugby_League_Conference,"Organisation,RugbyLeague,Agent,SportsLeague"
7,DBPEDIA_ID/Ukraine_Rugby_Superliga,"Organisation,RugbyLeague,Agent,SportsLeague"
8,DBPEDIA_ID/European_Rugby_Champions_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
9,DBPEDIA_ID/Mitre_10_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
10,DBPEDIA_ID/Rugby_League_European_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
11,DBPEDIA_ID/Rugby_League_World_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
12,DBPEDIA_ID/Rugby_World_Cup_Sevens,"Organisation,RugbyLeague,Agent,SportsLeague"
13,DBPEDIA_ID/Women's_Rugby_League_World_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
14,DBPEDIA_ID/Women's_Rugby_World_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
15,DBPEDIA_ID/Australian_Rugby_Shield,"Organisation,RugbyLeague,Agent,SportsLeague"
16,DBPEDIA_ID/Oceania_Under_20_Rugby_Championship,"Organisation,RugbyLeague,Agent,SportsLeague"
17,DBPEDIA_ID/Victoria_Cup_(rugby_union),"Organisation,RugbyLeague,Agent,SportsLeague"
18,DBPEDIA_ID/PARA_Pan_American_Championship,"Organisation,RugbyLeague,Agent,SportsLeague"
19,DBPEDIA_ID/Serie_A_(rugby_union),"Organisation,RugbyLeague,Agent,SportsLeague"
20,DBPEDIA_ID/Scottish_National_League_Division_One,"Organisation,RugbyLeague,Agent,SportsLeague"
21,DBPEDIA_ID/3._Liga_Süd-West,"Organisation,RugbyLeague,Agent,SportsLeague"
22,DBPEDIA_ID/Hampshire_1,"Organisation,RugbyLeague,Agent,SportsLeague"
23,DBPEDIA_ID/Surrey_1,"Organisation,RugbyLeague,Agent,SportsLeague"
24,DBPEDIA_ID/Brisbane_Rugby_League_premiership,"Organisation,RugbyLeague,Agent,SportsLeague"
25,DBPEDIA_ID/Rugby_Pro_D2,"Organisation,RugbyLeague,Agent,SportsLeague"
26,DBPEDIA_ID/Gillette_National_Youth_League,"Organisation,RugbyLeague,Agent,SportsLeague"
27,DBPEDIA_ID/National_Championship_of_Excellence,"Organisation,RugbyLeague,Agent,SportsLeague"
28,DBPEDIA_ID/Rugby_League_Tri-Nations,"Organisation,RugbyLeague,Agent,SportsLeague"
29,DBPEDIA_ID/Top_14,"Organisation,RugbyLeague,Agent,SportsLeague"
30,DBPEDIA_ID/Championship_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
31,DBPEDIA_ID/European_Shield,"Organisation,RugbyLeague,Agent,SportsLeague"
32,DBPEDIA_ID/Australian_Sevens,"Organisation,RugbyLeague,Agent,SportsLeague"
33,DBPEDIA_ID/Belgian_Elite_League,"Organisation,RugbyLeague,Agent,SportsLeague"
34,DBPEDIA_ID/FOGS_Colts_Challenge,"Organisation,RugbyLeague,Agent,SportsLeague"
35,DBPEDIA_ID/Giuseppe_Garibaldi_Trophy,"Organisation,RugbyLeague,Agent,SportsLeague"
36,DBPEDIA_ID/Pennine_League,"Organisation,RugbyLeague,Agent,SportsLeague"
37,DBPEDIA_ID/S._G._Ball_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
38,DBPEDIA_ID/Scotland_Sevens,"Organisation,RugbyLeague,Agent,SportsLeague"
39,DBPEDIA_ID/Central_Coast_Division_Rugby_League,"Organisation,RugbyLeague,Agent,SportsLeague"
40,DBPEDIA_ID/Illawarra_Rugby_League,"Organisation,RugbyLeague,Agent,SportsLeague"
41,DBPEDIA_ID/Kenya_Cup,"Organisation,RugbyLeague,Agent,SportsLeague"
42,DBPEDIA_ID/Tasmanian_Rugby_League,"Organisation,RugbyLeague,Agent,SportsLeague"
43,DBPEDIA_ID/London_&_South_East_Men's_League,"Organisation,RugbyLeague,Agent,SportsLeague"
44,DBPEDIA_ID/Manila_10s,"Organisation,RugbyLeague,Agent,SportsLeague"
45,DBPEDIA_ID/Ekstraliga_(rugby),"Organisation,RugbyLeague,Agent,SportsLeague"
46,DBPEDIA_ID/Herts/Middlesex_2,"Organisation,RugbyLeague,Agent,SportsLeague"
47,DBPEDIA_ID/Italia_Rugby_Football_League,"Organisation,RugbyLeague,Agent,SportsLeague"
48,DBPEDIA_ID/London_2_North_East,"Organisation,RugbyLeague,Agent,SportsLeague"
49,DBPEDIA_ID/Midlands_2_East_(North),"Organisation,RugbyLeague,Agent,SportsLeague"
