,entity,classes
0,DBPEDIA_ID/Julien_Frier,"Person,Athlete,RugbyPlayer,Agent"
1,DBPEDIA_ID/David_Stephenson_(born_1972),"Person,Athlete,RugbyPlayer,Agent"
2,DBPEDIA_ID/Albert_van_den_Berg,"Person,Athlete,RugbyPlayer,Agent"
3,DBPEDIA_ID/Alex_Angus,"Person,Athlete,RugbyPlayer,Agent"
4,DBPEDIA_ID/Andrew_Johnson_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
5,DBPEDIA_ID/Angus_Black,"Person,Athlete,RugbyPlayer,Agent"
6,DBPEDIA_ID/Angus_Cottrell,"Person,Athlete,RugbyPlayer,Agent"
7,DBPEDIA_ID/Angus_Gardner,"Person,Athlete,RugbyPlayer,Agent"
8,DBPEDIA_ID/Arno_Botha,"Person,Athlete,RugbyPlayer,Agent"
9,DBPEDIA_ID/Arthur_Hughes_(rugby_player),"Person,Athlete,RugbyPlayer,Agent"
10,DBPEDIA_ID/Bernado_Botha,"Person,Athlete,RugbyPlayer,Agent"
11,DBPEDIA_ID/Bob_Cooper_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
12,DBPEDIA_ID/Chrysander_Botha,"Person,Athlete,RugbyPlayer,Agent"
13,DBPEDIA_ID/Colin_Forbes_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
14,DBPEDIA_ID/Copper_Kent,"Person,Athlete,RugbyPlayer,Agent"
15,DBPEDIA_ID/David_Gérard,"Person,Athlete,RugbyPlayer,Agent"
16,DBPEDIA_ID/Gary_Botha,"Person,Athlete,RugbyPlayer,Agent"
17,DBPEDIA_ID/Gavin_Henson,"Person,Athlete,RugbyPlayer,Agent"
18,DBPEDIA_ID/George_Williams_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
19,DBPEDIA_ID/George_Williams_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
20,DBPEDIA_ID/Gérard_Cholley,"Person,Athlete,RugbyPlayer,Agent"
21,DBPEDIA_ID/John_Bentley_(rugby),"Person,Athlete,RugbyPlayer,Agent"
22,DBPEDIA_ID/John_Kirwan_(rugby),"Person,Athlete,RugbyPlayer,Agent"
23,DBPEDIA_ID/Jonathan_Smith_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
24,DBPEDIA_ID/João_Correia_(rugby_player),"Person,Athlete,RugbyPlayer,Agent"
25,DBPEDIA_ID/Justin_Horo,"Person,Athlete,RugbyPlayer,Agent"
26,DBPEDIA_ID/Kandy_Tamer,"Person,Athlete,RugbyPlayer,Agent"
27,DBPEDIA_ID/Marc_Breeze,"Person,Athlete,RugbyPlayer,Agent"
28,DBPEDIA_ID/Mark_Ella,"Person,Athlete,RugbyPlayer,Agent"
29,DBPEDIA_ID/Mark_Horo,"Person,Athlete,RugbyPlayer,Agent"
30,DBPEDIA_ID/Marshall_Chalk,"Person,Athlete,RugbyPlayer,Agent"
31,DBPEDIA_ID/Maurice_Williams_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
32,DBPEDIA_ID/Michael_Owen_(rugby_player),"Person,Athlete,RugbyPlayer,Agent"
33,DBPEDIA_ID/Mouritz_Botha,"Person,Athlete,RugbyPlayer,Agent"
34,DBPEDIA_ID/Naas_Botha,"Person,Athlete,RugbyPlayer,Agent"
35,DBPEDIA_ID/Paul_Sculthorpe,"Person,Athlete,RugbyPlayer,Agent"
36,DBPEDIA_ID/Ruan_Botha,"Person,Athlete,RugbyPlayer,Agent"
37,DBPEDIA_ID/Shane_Horo,"Person,Athlete,RugbyPlayer,Agent"
38,DBPEDIA_ID/Tom_Botha,"Person,Athlete,RugbyPlayer,Agent"
39,DBPEDIA_ID/AJ_Venter,"Person,Athlete,RugbyPlayer,Agent"
40,DBPEDIA_ID/Aiden_Cairns,"Person,Athlete,RugbyPlayer,Agent"
41,DBPEDIA_ID/Alan_Cameron_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
42,DBPEDIA_ID/Alan_MacDonald_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
43,DBPEDIA_ID/Alan_Ridley,"Person,Athlete,RugbyPlayer,Agent"
44,DBPEDIA_ID/Albert_Naughton,"Person,Athlete,RugbyPlayer,Agent"
45,DBPEDIA_ID/Albert_Rosenfeld,"Person,Athlete,RugbyPlayer,Agent"
46,DBPEDIA_ID/Alex_Brown_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
47,DBPEDIA_ID/Alex_Brown_(rugby_prop),"Person,Athlete,RugbyPlayer,Agent"
48,DBPEDIA_ID/Alexander_Armstrong_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
49,DBPEDIA_ID/Allan_Langer,"Person,Athlete,RugbyPlayer,Agent"
50,DBPEDIA_ID/Andrew_Ramsay_Don-Wauchope,"Person,Athlete,RugbyPlayer,Agent"
51,DBPEDIA_ID/André_Venter,"Person,Athlete,RugbyPlayer,Agent"
52,DBPEDIA_ID/Arthur_Collins_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
53,DBPEDIA_ID/Arthur_Jones_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
54,DBPEDIA_ID/Arthur_Moore_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
55,DBPEDIA_ID/Arthur_Patton,"Person,Athlete,RugbyPlayer,Agent"
56,DBPEDIA_ID/Barry_Girling,"Person,Athlete,RugbyPlayer,Agent"
57,DBPEDIA_ID/Ben_Venter,"Person,Athlete,RugbyPlayer,Agent"
58,DBPEDIA_ID/Billy_Kershaw,"Person,Athlete,RugbyPlayer,Agent"
59,DBPEDIA_ID/Bob_Coverdale,"Person,Athlete,RugbyPlayer,Agent"
60,DBPEDIA_ID/Bob_Tubman,"Person,Athlete,RugbyPlayer,Agent"
61,DBPEDIA_ID/Brad_Tighe,"Person,Athlete,RugbyPlayer,Agent"
62,DBPEDIA_ID/Brendan_Venter,"Person,Athlete,RugbyPlayer,Agent"
63,DBPEDIA_ID/Brenton_Lawrence,"Person,Athlete,RugbyPlayer,Agent"
64,DBPEDIA_ID/Brian_Jones_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
65,DBPEDIA_ID/Brian_Murphy_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
66,DBPEDIA_ID/Callie_Visagie,"Person,Athlete,RugbyPlayer,Agent"
67,DBPEDIA_ID/Carl_Ablett,"Person,Athlete,RugbyPlayer,Agent"
68,DBPEDIA_ID/Charles_Brown_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
69,DBPEDIA_ID/Chaz_I'Anson,"Person,Athlete,RugbyPlayer,Agent"
70,DBPEDIA_ID/Chris_Anderson_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
71,DBPEDIA_ID/Chris_Gray_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
72,DBPEDIA_ID/Chris_Green_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
73,DBPEDIA_ID/Chris_Johnson_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
74,DBPEDIA_ID/Clarrie_Wallach,"Person,Athlete,RugbyPlayer,Agent"
75,DBPEDIA_ID/Conor_O'Shea,"Person,Athlete,RugbyPlayer,Agent"
76,DBPEDIA_ID/Curtis_Naughton,"Person,Athlete,RugbyPlayer,Agent"
77,DBPEDIA_ID/Dafydd_Hellard,"Person,Athlete,RugbyPlayer,Agent"
78,DBPEDIA_ID/Dafydd_Hewitt,"Person,Athlete,RugbyPlayer,Agent"
79,DBPEDIA_ID/Dafydd_Howells,"Person,Athlete,RugbyPlayer,Agent"
80,DBPEDIA_ID/Dafydd_James,"Person,Athlete,RugbyPlayer,Agent"
81,DBPEDIA_ID/Dale_Rasmussen,"Person,Athlete,RugbyPlayer,Agent"
82,DBPEDIA_ID/Dan_Dempsey,"Person,Athlete,RugbyPlayer,Agent"
83,DBPEDIA_ID/Dan_Luger,"Person,Athlete,RugbyPlayer,Agent"
84,DBPEDIA_ID/Daniel_Wagon,"Person,Athlete,RugbyPlayer,Agent"
85,DBPEDIA_ID/Danny_Bampton,"Person,Athlete,RugbyPlayer,Agent"
86,DBPEDIA_ID/Danny_Naughton,"Person,Athlete,RugbyPlayer,Agent"
87,DBPEDIA_ID/Darcy_Lussick,"Person,Athlete,RugbyPlayer,Agent"
88,DBPEDIA_ID/David_Bedell-Sivright,"Person,Athlete,RugbyPlayer,Agent"
89,DBPEDIA_ID/David_Flatman,"Person,Athlete,RugbyPlayer,Agent"
90,DBPEDIA_ID/David_Niu,"Person,Athlete,RugbyPlayer,Agent"
91,DBPEDIA_ID/David_Samuel_(rugby_player),"Person,Athlete,RugbyPlayer,Agent"
92,DBPEDIA_ID/David_Ward_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
93,DBPEDIA_ID/David_Watson_(1920s_rugby_league),"Person,Athlete,RugbyPlayer,Agent"
94,DBPEDIA_ID/David_White_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
95,DBPEDIA_ID/Donnacha_Ryan,"Person,Athlete,RugbyPlayer,Agent"
96,DBPEDIA_ID/Elton_Rasmussen,"Person,Athlete,RugbyPlayer,Agent"
97,DBPEDIA_ID/Ephraim_Curzon,"Person,Athlete,RugbyPlayer,Agent"
98,DBPEDIA_ID/Evan_Williams_(rugby),"Person,Athlete,RugbyPlayer,Agent"
99,DBPEDIA_ID/Fabio_Ongaro,"Person,Athlete,RugbyPlayer,Agent"
100,DBPEDIA_ID/Fabio_Semenzato,"Person,Athlete,RugbyPlayer,Agent"
101,DBPEDIA_ID/Francois_Pienaar,"Person,Athlete,RugbyPlayer,Agent"
102,DBPEDIA_ID/Francois_Venter,"Person,Athlete,RugbyPlayer,Agent"
103,DBPEDIA_ID/Frank-Paul_Nu'uausala,"Person,Athlete,RugbyPlayer,Agent"
104,DBPEDIA_ID/François_Steyn,"Person,Athlete,RugbyPlayer,Agent"
105,DBPEDIA_ID/François_Trinh-Duc,"Person,Athlete,RugbyPlayer,Agent"
106,DBPEDIA_ID/Garreth_Carvell,"Person,Athlete,RugbyPlayer,Agent"
107,DBPEDIA_ID/Gary_Smith_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
108,DBPEDIA_ID/Gary_Stevens_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
109,DBPEDIA_ID/Girvan_Dempsey,"Person,Athlete,RugbyPlayer,Agent"
110,DBPEDIA_ID/Glen_Air,"Person,Athlete,RugbyPlayer,Agent"
111,DBPEDIA_ID/Gordon_Wood_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
112,DBPEDIA_ID/Graeme_Wynn,"Person,Athlete,RugbyPlayer,Agent"
113,DBPEDIA_ID/Hanco_Venter,"Person,Athlete,RugbyPlayer,Agent"
114,DBPEDIA_ID/Hare_Te_Rangi,"Person,Athlete,RugbyPlayer,Agent"
115,DBPEDIA_ID/Harry_Kershaw,"Person,Athlete,RugbyPlayer,Agent"
116,DBPEDIA_ID/Harry_Myers_(rugby),"Person,Athlete,RugbyPlayer,Agent"
117,DBPEDIA_ID/Henco_Venter,"Person,Athlete,RugbyPlayer,Agent"
118,DBPEDIA_ID/Herbert_Kershaw,"Person,Athlete,RugbyPlayer,Agent"
119,DBPEDIA_ID/Hosea_Gear,"Person,Athlete,RugbyPlayer,Agent"
120,DBPEDIA_ID/Jack_Dawson_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
121,DBPEDIA_ID/Jack_Heaton_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
122,DBPEDIA_ID/Jackson_Willison,"Person,Athlete,RugbyPlayer,Agent"
123,DBPEDIA_ID/Jacques_du_Toit_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
124,DBPEDIA_ID/James_Forrester_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
125,DBPEDIA_ID/Jason_Little_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
126,DBPEDIA_ID/Jean_Fabre_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
127,DBPEDIA_ID/Jean_Prat,"Person,Athlete,RugbyPlayer,Agent"
128,DBPEDIA_ID/Jeff_Heaton,"Person,Athlete,RugbyPlayer,Agent"
129,DBPEDIA_ID/Jimmy_Cowan_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
130,DBPEDIA_ID/Jimmy_Jones_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
131,DBPEDIA_ID/John_Armstrong_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
132,DBPEDIA_ID/John_Birch_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
133,DBPEDIA_ID/John_Black_(rugby_player),"Person,Athlete,RugbyPlayer,Agent"
134,DBPEDIA_ID/John_Clark_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
135,DBPEDIA_ID/John_Dobson_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
136,DBPEDIA_ID/John_Hoani_Macdonald,"Person,Athlete,RugbyPlayer,Agent"
137,DBPEDIA_ID/John_Hogan_(rugby),"Person,Athlete,RugbyPlayer,Agent"
138,DBPEDIA_ID/John_Kelly_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
139,DBPEDIA_ID/John_Kelly_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
140,DBPEDIA_ID/John_McDougall_(rugby_player),"Person,Athlete,RugbyPlayer,Agent"
141,DBPEDIA_ID/John_Mills_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
142,DBPEDIA_ID/John_Payne_(rugby),"Person,Athlete,RugbyPlayer,Agent"
143,DBPEDIA_ID/John_Ribot,"Person,Athlete,RugbyPlayer,Agent"
144,DBPEDIA_ID/John_Tait_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
145,DBPEDIA_ID/John_Ward_(rugby),"Person,Athlete,RugbyPlayer,Agent"
146,DBPEDIA_ID/John_Ward_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
147,DBPEDIA_ID/Kevin_Proctor,"Person,Athlete,RugbyPlayer,Agent"
148,DBPEDIA_ID/Leo_Trevena,"Person,Athlete,RugbyPlayer,Agent"
149,DBPEDIA_ID/Mark_Hughes_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
150,"DBPEDIA_ID/Mark_Jones_(rugby,_born_1965)","Person,Athlete,RugbyPlayer,Agent"
151,"DBPEDIA_ID/Mark_Jones_(rugby,_born_1979)","Person,Athlete,RugbyPlayer,Agent"
152,DBPEDIA_ID/Mark_Shulman_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
153,DBPEDIA_ID/Mark_Williams_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
154,DBPEDIA_ID/Mark_Wright_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
155,DBPEDIA_ID/Mark_Zupan_(athlete),"Person,Athlete,RugbyPlayer,Agent"
156,DBPEDIA_ID/Martin_Castrogiovanni,"Person,Athlete,RugbyPlayer,Agent"
157,DBPEDIA_ID/Matt_Cairns,"Person,Athlete,RugbyPlayer,Agent"
158,DBPEDIA_ID/Matt_Jones_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
159,DBPEDIA_ID/Mel_Cooke,"Person,Athlete,RugbyPlayer,Agent"
160,DBPEDIA_ID/Michael_Graham_(rugby_player),"Person,Athlete,RugbyPlayer,Agent"
161,DBPEDIA_ID/Michael_Oldfield_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
162,DBPEDIA_ID/Michael_Young_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
163,DBPEDIA_ID/Miguel_Portela,"Person,Athlete,RugbyPlayer,Agent"
164,DBPEDIA_ID/Mike_MacDonald_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
165,DBPEDIA_ID/Monty_Betham,"Person,Athlete,RugbyPlayer,Agent"
166,DBPEDIA_ID/Monty_Dumond,"Person,Athlete,RugbyPlayer,Agent"
167,DBPEDIA_ID/Nevin_Spence,"Person,Athlete,RugbyPlayer,Agent"
168,DBPEDIA_ID/Ope_Peleseuma,"Person,Athlete,RugbyPlayer,Agent"
169,DBPEDIA_ID/Owen_Lentz,"Person,Athlete,RugbyPlayer,Agent"
170,DBPEDIA_ID/Pat_Barnard,"Person,Athlete,RugbyPlayer,Agent"
171,DBPEDIA_ID/Pat_O'Connor_(rugby_player),"Person,Athlete,RugbyPlayer,Agent"
172,DBPEDIA_ID/Paul_Davis_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
173,DBPEDIA_ID/Paul_Jackson_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
174,DBPEDIA_ID/Paul_Owens_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
175,DBPEDIA_ID/Peter_Mulholland,"Person,Athlete,RugbyPlayer,Agent"
176,DBPEDIA_ID/Quddus_Fielea,"Person,Athlete,RugbyPlayer,Agent"
177,DBPEDIA_ID/R._H._Williams_(rugby_player),"Person,Athlete,RugbyPlayer,Agent"
178,DBPEDIA_ID/Ray_Williams_(Welsh_rugby_union_coach),"Person,Athlete,RugbyPlayer,Agent"
179,DBPEDIA_ID/Ray_Williams_(Welsh_rugby_union_player),"Person,Athlete,RugbyPlayer,Agent"
180,DBPEDIA_ID/Ray_Williams_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
181,DBPEDIA_ID/Reg_Jones_(rugby),"Person,Athlete,RugbyPlayer,Agent"
182,DBPEDIA_ID/Rhodri_McAtee,"Person,Athlete,RugbyPlayer,Agent"
183,DBPEDIA_ID/Rhys_Hanbury,"Person,Athlete,RugbyPlayer,Agent"
184,DBPEDIA_ID/Rhys_Jenkins,"Person,Athlete,RugbyPlayer,Agent"
185,DBPEDIA_ID/Rhys_M._Thomas,"Person,Athlete,RugbyPlayer,Agent"
186,DBPEDIA_ID/Rhys_Oakley,"Person,Athlete,RugbyPlayer,Agent"
187,DBPEDIA_ID/Rhys_Patchell,"Person,Athlete,RugbyPlayer,Agent"
188,DBPEDIA_ID/Rhys_Priestland,"Person,Athlete,RugbyPlayer,Agent"
189,DBPEDIA_ID/Rhys_Webb,"Person,Athlete,RugbyPlayer,Agent"
190,DBPEDIA_ID/Rhys_Williams_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
191,"DBPEDIA_ID/Rhys_Williams_(rugby_player,_born_1980)","Person,Athlete,RugbyPlayer,Agent"
192,DBPEDIA_ID/Rhys_Williams_(rugby_player_born_1988),"Person,Athlete,RugbyPlayer,Agent"
193,DBPEDIA_ID/Rhys_Williams_(rugby_player_born_1990),"Person,Athlete,RugbyPlayer,Agent"
194,DBPEDIA_ID/Richard_Brown_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
195,DBPEDIA_ID/Richard_Parker_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
196,DBPEDIA_ID/Rod_Reddy,"Person,Athlete,RugbyPlayer,Agent"
197,DBPEDIA_ID/Ron_Saddler,"Person,Athlete,RugbyPlayer,Agent"
198,DBPEDIA_ID/Rory_Underwood,"Person,Athlete,RugbyPlayer,Agent"
199,DBPEDIA_ID/Roy_Algie,"Person,Athlete,RugbyPlayer,Agent"
200,DBPEDIA_ID/Royce_Ayliffe,"Person,Athlete,RugbyPlayer,Agent"
201,DBPEDIA_ID/Ruan_Venter,"Person,Athlete,RugbyPlayer,Agent"
202,DBPEDIA_ID/Salesi_Sika,"Person,Athlete,RugbyPlayer,Agent"
203,DBPEDIA_ID/Sean_Ryan_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
204,DBPEDIA_ID/Shaun_Venter,"Person,Athlete,RugbyPlayer,Agent"
205,DBPEDIA_ID/Simon_Taylor_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
206,DBPEDIA_ID/Steve_Matai,"Person,Athlete,RugbyPlayer,Agent"
207,DBPEDIA_ID/Steve_Simpson_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
208,DBPEDIA_ID/Steve_Thompson_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
209,DBPEDIA_ID/T._Rhys_Thomas,"Person,Athlete,RugbyPlayer,Agent"
210,DBPEDIA_ID/Thomas_Bosc,"Person,Athlete,RugbyPlayer,Agent"
211,DBPEDIA_ID/Thomas_Whittaker_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
212,DBPEDIA_ID/Timana_Tahu,"Person,Athlete,RugbyPlayer,Agent"
213,DBPEDIA_ID/Tinirau_Arona,"Person,Athlete,RugbyPlayer,Agent"
214,DBPEDIA_ID/Todd_Blackadder,"Person,Athlete,RugbyPlayer,Agent"
215,DBPEDIA_ID/Tom_Parker_(rugby_player),"Person,Athlete,RugbyPlayer,Agent"
216,DBPEDIA_ID/Tony_Marsh_(rugby_union),"Person,Athlete,RugbyPlayer,Agent"
217,DBPEDIA_ID/Tony_Underwood,"Person,Athlete,RugbyPlayer,Agent"
218,DBPEDIA_ID/Uncle_Dobbin,"Person,Athlete,RugbyPlayer,Agent"
219,DBPEDIA_ID/Vai_Toutai,"Person,Athlete,RugbyPlayer,Agent"
220,DBPEDIA_ID/Walter_Venter,"Person,Athlete,RugbyPlayer,Agent"
221,DBPEDIA_ID/Wayne_Proctor,"Person,Athlete,RugbyPlayer,Agent"
222,DBPEDIA_ID/Wayne_Proctor_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
223,DBPEDIA_ID/Wilf_Wooller,"Person,Athlete,RugbyPlayer,Agent"
224,DBPEDIA_ID/William_Davies_(rugby_league),"Person,Athlete,RugbyPlayer,Agent"
