,entity,classes
0,Bertin,"Person,Cleric,Saint,Agent"
1,DBPEDIA_ID/Helena_(empress),"Person,Cleric,Saint,Agent"
2,DBPEDIA_ID/Philip_the_Apostle,"Person,Cleric,Saint,Agent"
3,DBPEDIA_ID/Saint_Pantaleon,"Person,Cleric,Saint,Agent"
4,Willibrord,"Person,Cleric,Saint,Agent"
5,Aaron,"Person,Cleric,Saint,Agent"
6,DBPEDIA_ID/Adalbert_of_Prague,"Person,Cleric,Saint,Agent"
7,DBPEDIA_ID/Adelaide_of_Italy,"Person,Cleric,Saint,Agent"
8,DBPEDIA_ID/Agnes_of_Rome,"Person,Cleric,Saint,Agent"
9,DBPEDIA_ID/Albertus_Magnus,"Person,Cleric,Saint,Agent"
10,Alcuin,"Person,Cleric,Saint,Agent"
11,DBPEDIA_ID/Ambrose_of_Alexandria,"Person,Cleric,Saint,Agent"
12,Angilbert,"Person,Cleric,Saint,Agent"
13,Ansgar,"Person,Cleric,Saint,Agent"
14,DBPEDIA_ID/Anthony_the_Great,"Person,Cleric,Saint,Agent"
15,Apollos,"Person,Cleric,Saint,Agent"
16,DBPEDIA_ID/Athanasius_of_Alexandria,"Person,Cleric,Saint,Agent"
17,Barnabas,"Person,Cleric,Saint,Agent"
18,Bede,"Person,Cleric,Saint,Agent"
19,DBPEDIA_ID/Benedict_of_Nursia,"Person,Cleric,Saint,Agent"
20,DBPEDIA_ID/Bernard_of_Clairvaux,"Person,Cleric,Saint,Agent"
21,DBPEDIA_ID/Bruno_of_Querfurt,"Person,Cleric,Saint,Agent"
22,DBPEDIA_ID/Catherine_of_Siena,"Person,Cleric,Saint,Agent"
23,DBPEDIA_ID/Clement_of_Alexandria,"Person,Cleric,Saint,Agent"
24,Columba,"Person,Cleric,Saint,Agent"
25,Columbanus,"Person,Cleric,Saint,Agent"
26,DBPEDIA_ID/Cyril_of_Alexandria,"Person,Cleric,Saint,Agent"
27,DBPEDIA_ID/Cyril_of_Jerusalem,"Person,Cleric,Saint,Agent"
28,Elijah,"Person,Cleric,Saint,Agent"
29,DBPEDIA_ID/Ephrem_the_Syrian,"Person,Cleric,Saint,Agent"
30,Ezekiel,"Person,Cleric,Saint,Agent"
31,DBPEDIA_ID/Francis_Xavier,"Person,Cleric,Saint,Agent"
32,DBPEDIA_ID/Francis_of_Assisi,"Person,Cleric,Saint,Agent"
33,DBPEDIA_ID/Gregory_of_Nazianzus,"Person,Cleric,Saint,Agent"
34,DBPEDIA_ID/Gregory_the_Illuminator,"Person,Cleric,Saint,Agent"
35,Habakkuk,"Person,Cleric,Saint,Agent"
36,DBPEDIA_ID/Hedwig_of_Silesia,"Person,Cleric,Saint,Agent"
37,DBPEDIA_ID/Herman_of_Alaska,"Person,Cleric,Saint,Agent"
38,DBPEDIA_ID/Hildegard_of_Bingen,"Person,Cleric,Saint,Agent"
39,Hosea,"Person,Cleric,Saint,Agent"
40,DBPEDIA_ID/Ignatius_of_Antioch,"Person,Cleric,Saint,Agent"
41,DBPEDIA_ID/Immaculate_Conception,"Person,Cleric,Saint,Agent"
42,Irenaeus,"Person,Cleric,Saint,Agent"
43,Isaac,"Person,Cleric,Saint,Agent"
44,Isaiah,"Person,Cleric,Saint,Agent"
45,DBPEDIA_ID/Isidore_of_Seville,"Person,Cleric,Saint,Agent"
46,Jerome,"Person,Cleric,Saint,Agent"
47,DBPEDIA_ID/Joan_of_Arc,"Person,Cleric,Saint,Agent"
48,DBPEDIA_ID/John_Chrysostom,"Person,Cleric,Saint,Agent"
49,DBPEDIA_ID/John_Climacus,"Person,Cleric,Saint,Agent"
50,DBPEDIA_ID/John_the_Baptist,"Person,Cleric,Saint,Agent"
51,DBPEDIA_ID/John_the_Evangelist,"Person,Cleric,Saint,Agent"
52,Jonah,"Person,Cleric,Saint,Agent"
53,Joshua,"Person,Cleric,Saint,Agent"
54,DBPEDIA_ID/Justin_Martyr,"Person,Cleric,Saint,Agent"
55,DBPEDIA_ID/Luke_the_Evangelist,"Person,Cleric,Saint,Agent"
56,DBPEDIA_ID/Martin_of_Tours,"Person,Cleric,Saint,Agent"
57,DBPEDIA_ID/Mary_Magdalene,"Person,Cleric,Saint,Agent"
58,DBPEDIA_ID/Mary_of_Bethany,"Person,Cleric,Saint,Agent"
59,DBPEDIA_ID/Matilda_of_Ringelheim,"Person,Cleric,Saint,Agent"
60,Moses,"Person,Cleric,Saint,Agent"
61,Noah,"Person,Cleric,Saint,Agent"
