,entity,classes
0,DBPEDIA_ID/Live...in_the_Heart_of_the_City__UK__1,"Sales,Activity"
1,DBPEDIA_ID/Volkswagen_Group_of_America__1995__1,"Sales,Activity"
2,DBPEDIA_ID/Volkswagen_Group_of_America__1996__1,"Sales,Activity"
3,DBPEDIA_ID/Volkswagen_Group_of_America__1997__1,"Sales,Activity"
4,DBPEDIA_ID/Volkswagen_Group_of_America__1998__1,"Sales,Activity"
5,DBPEDIA_ID/Volkswagen_Group_of_America__1999__1,"Sales,Activity"
6,DBPEDIA_ID/Volkswagen_Group_of_America__2000__1,"Sales,Activity"
7,DBPEDIA_ID/Volkswagen_Group_of_America__2000__2,"Sales,Activity"
8,DBPEDIA_ID/Volkswagen_Group_of_America__2001__1,"Sales,Activity"
9,DBPEDIA_ID/Volkswagen_Group_of_America__2001__2,"Sales,Activity"
10,DBPEDIA_ID/Volkswagen_Group_of_America__2002__1,"Sales,Activity"
11,DBPEDIA_ID/Volkswagen_Group_of_America__2002__2,"Sales,Activity"
12,DBPEDIA_ID/Volkswagen_Group_of_America__2003__1,"Sales,Activity"
13,DBPEDIA_ID/Volkswagen_Group_of_America__2003__2,"Sales,Activity"
14,DBPEDIA_ID/Volkswagen_Group_of_America__2004__1,"Sales,Activity"
15,DBPEDIA_ID/Volkswagen_Group_of_America__2004__2,"Sales,Activity"
16,DBPEDIA_ID/Volkswagen_Group_of_America__2005__1,"Sales,Activity"
17,DBPEDIA_ID/Volkswagen_Group_of_America__2005__2,"Sales,Activity"
18,DBPEDIA_ID/Volkswagen_Group_of_America__2006__1,"Sales,Activity"
19,DBPEDIA_ID/Volkswagen_Group_of_America__2006__2,"Sales,Activity"
20,DBPEDIA_ID/Volkswagen_Group_of_America__2007__1,"Sales,Activity"
21,DBPEDIA_ID/Volkswagen_Group_of_America__2007__2,"Sales,Activity"
22,DBPEDIA_ID/Volkswagen_Group_of_America__2008__1,"Sales,Activity"
23,DBPEDIA_ID/Volkswagen_Group_of_America__2008__2,"Sales,Activity"
24,DBPEDIA_ID/Volkswagen_Group_of_America__2009__1,"Sales,Activity"
25,DBPEDIA_ID/Volkswagen_Group_of_America__2009__2,"Sales,Activity"
26,DBPEDIA_ID/Volkswagen_Group_of_America__2010__1,"Sales,Activity"
27,DBPEDIA_ID/Volkswagen_Group_of_America__2010__2,"Sales,Activity"
28,DBPEDIA_ID/Volkswagen_Group_of_America__2011__1,"Sales,Activity"
29,DBPEDIA_ID/Volkswagen_Group_of_America__2011__2,"Sales,Activity"
30,DBPEDIA_ID/Volkswagen_Group_of_America__2012__1,"Sales,Activity"
31,DBPEDIA_ID/Volkswagen_Group_of_America__2012__2,"Sales,Activity"
32,DBPEDIA_ID/Volkswagen_Group_of_America__2013__1,"Sales,Activity"
33,DBPEDIA_ID/Volkswagen_Group_of_America__2013__2,"Sales,Activity"
34,DBPEDIA_ID/Volkswagen_Group_of_America__2014__1,"Sales,Activity"
35,DBPEDIA_ID/Volkswagen_Group_of_America__2014__2,"Sales,Activity"
36,DBPEDIA_ID/Infinite_(Stratovarius_album)__2013__1,"Sales,Activity"
37,DBPEDIA_ID/Jolina_Magdangal__1996__1,"Sales,Activity"
38,DBPEDIA_ID/Jolina_Magdangal__1998__1,"Sales,Activity"
39,DBPEDIA_ID/Jolina_Magdangal__2000__1,"Sales,Activity"
40,DBPEDIA_ID/Jolina_Magdangal__2001__1,"Sales,Activity"
41,DBPEDIA_ID/Jolina_Magdangal__2001__2,"Sales,Activity"
42,DBPEDIA_ID/Jolina_Magdangal__2002__1,"Sales,Activity"
43,DBPEDIA_ID/Jolina_Magdangal__2004__1,"Sales,Activity"
44,DBPEDIA_ID/Jolina_Magdangal__2006__1,"Sales,Activity"
45,DBPEDIA_ID/Jolina_Magdangal__2008__1,"Sales,Activity"
46,DBPEDIA_ID/Jolina_Magdangal__2015__1,"Sales,Activity"
47,DBPEDIA_ID/Lincoln_Continental_Mark_VI__1980__1,"Sales,Activity"
48,DBPEDIA_ID/Lincoln_Continental_Mark_VI__1981__1,"Sales,Activity"
49,DBPEDIA_ID/Lincoln_Continental_Mark_VI__1982__1,"Sales,Activity"
50,DBPEDIA_ID/Lincoln_Continental_Mark_VI__1983__1,"Sales,Activity"
51,DBPEDIA_ID/Lincoln_Continental_Mark_VI__Total__1,"Sales,Activity"
52,DBPEDIA_ID/MSG_(album)__1981__1,"Sales,Activity"
53,DBPEDIA_ID/MSG_(album)__1981__2,"Sales,Activity"
54,DBPEDIA_ID/MSG_(album)__1981__3,"Sales,Activity"
55,DBPEDIA_ID/MSG_(album)__1981__4,"Sales,Activity"
56,DBPEDIA_ID/Miliyah_Kato__2005__1,"Sales,Activity"
57,DBPEDIA_ID/Miliyah_Kato__2007__1,"Sales,Activity"
58,DBPEDIA_ID/Miliyah_Kato__2008__1,"Sales,Activity"
59,DBPEDIA_ID/Miliyah_Kato__2008__2,"Sales,Activity"
60,DBPEDIA_ID/Miliyah_Kato__2009__1,"Sales,Activity"
61,DBPEDIA_ID/Miliyah_Kato__2010__1,"Sales,Activity"
62,DBPEDIA_ID/Miliyah_Kato__2011__1,"Sales,Activity"
63,DBPEDIA_ID/Miliyah_Kato__2012__1,"Sales,Activity"
64,DBPEDIA_ID/Miliyah_Kato__2014__1,"Sales,Activity"
65,DBPEDIA_ID/Miliyah_Kato__2014__2,"Sales,Activity"
66,DBPEDIA_ID/One_Night_at_Budokan__1982__1,"Sales,Activity"
67,DBPEDIA_ID/One_Night_at_Budokan__1982__2,"Sales,Activity"
68,DBPEDIA_ID/One_Night_at_Budokan__1982__3,"Sales,Activity"
69,DBPEDIA_ID/One_Night_at_Budokan__1982__4,"Sales,Activity"
70,DBPEDIA_ID/Peugeot_308__T9__1__2007__1,"Sales,Activity"
71,DBPEDIA_ID/Peugeot_308__T9__1__2008__1,"Sales,Activity"
72,DBPEDIA_ID/Peugeot_308__T9__1__2009__1,"Sales,Activity"
73,DBPEDIA_ID/Peugeot_308__T9__1__2010__1,"Sales,Activity"
74,DBPEDIA_ID/Peugeot_308__T9__1__2011__1,"Sales,Activity"
75,DBPEDIA_ID/Peugeot_308__T9__1__2012__1,"Sales,Activity"
76,DBPEDIA_ID/The_Manitowoc_Company__1999__1,"Sales,Activity"
77,DBPEDIA_ID/The_Manitowoc_Company__2000__1,"Sales,Activity"
78,DBPEDIA_ID/The_Manitowoc_Company__2001__1,"Sales,Activity"
79,DBPEDIA_ID/The_Manitowoc_Company__2002__1,"Sales,Activity"
80,DBPEDIA_ID/The_Manitowoc_Company__2003__1,"Sales,Activity"
81,DBPEDIA_ID/The_Manitowoc_Company__2004__1,"Sales,Activity"
82,DBPEDIA_ID/The_Manitowoc_Company__2005__1,"Sales,Activity"
83,DBPEDIA_ID/The_Manitowoc_Company__2006__1,"Sales,Activity"
84,DBPEDIA_ID/The_Manitowoc_Company__2007__1,"Sales,Activity"
85,DBPEDIA_ID/The_Manitowoc_Company__2008__1,"Sales,Activity"
86,DBPEDIA_ID/The_Manitowoc_Company__2009__1,"Sales,Activity"
87,DBPEDIA_ID/The_Manitowoc_Company__2010__1,"Sales,Activity"
88,DBPEDIA_ID/The_Manitowoc_Company__2011__1,"Sales,Activity"
89,DBPEDIA_ID/The_Manitowoc_Company__2012__1,"Sales,Activity"
90,DBPEDIA_ID/The_Manitowoc_Company__2013__1,"Sales,Activity"
91,DBPEDIA_ID/The_Manitowoc_Company__2014__1,"Sales,Activity"
92,DBPEDIA_ID/The_Manitowoc_Company__2015__1,"Sales,Activity"
93,DBPEDIA_ID/The_Michael_Schenker_Group_(album)__1980__1,"Sales,Activity"
94,DBPEDIA_ID/The_Michael_Schenker_Group_(album)__1980__2,"Sales,Activity"
