,entity,classes
0,DBPEDIA_ID/David_Charles_(physician),"Person,Scientist,Medician,Agent"
1,DBPEDIA_ID/Julius_Weise,"Entomologist,Person,Scientist,Agent"
2,DBPEDIA_ID/Robert_Huber,"Person,Scientist,Agent"
3,DBPEDIA_ID/Aage_Bohr,"Person,Scientist,Agent"
4,DBPEDIA_ID/Abu_al-Faraj_al-Isfahani,"Person,Scientist,Agent"
5,DBPEDIA_ID/Alain_Connes,"Person,Scientist,Agent"
6,DBPEDIA_ID/Alan_Kay,"Person,Scientist,Agent"
7,DBPEDIA_ID/Alan_Turing,"Person,Scientist,Agent"
8,DBPEDIA_ID/Albert_Einstein,"Person,Scientist,Agent"
9,DBPEDIA_ID/Albert_Schweitzer,"Person,Scientist,Agent"
10,DBPEDIA_ID/Alessandro_Volta,"Person,Scientist,Agent"
11,DBPEDIA_ID/Alexander_Fleming,"Person,Scientist,Agent"
12,DBPEDIA_ID/Alexander_Grothendieck,"Person,Scientist,Agent"
13,DBPEDIA_ID/Alexis_Carrel,"Person,Scientist,Medician,Agent"
14,DBPEDIA_ID/Alfons_Maria_Jakob,"Person,Scientist,Agent"
15,DBPEDIA_ID/Alfred_Russel_Wallace,"Person,Scientist,Agent"
16,Alhazen,"Person,Scientist,Agent"
17,DBPEDIA_ID/Alois_Alzheimer,"Person,Scientist,Medician,Agent"
18,DBPEDIA_ID/Anders_Celsius,"Person,Scientist,Agent"
19,DBPEDIA_ID/Andrei_Sakharov,"Person,Scientist,Agent"
20,DBPEDIA_ID/Andrew_Wiles,"Person,Scientist,Agent"
21,DBPEDIA_ID/Andrey_Markov,"Person,Scientist,Agent"
22,DBPEDIA_ID/André-Marie_Ampère,"Person,Scientist,Agent"
23,DBPEDIA_ID/André_Weil,"Person,Scientist,Agent"
24,DBPEDIA_ID/Antoine_Lavoisier,"Person,Scientist,Agent"
25,DBPEDIA_ID/Antoine_Thomson_d'Abbadie,"Person,Scientist,Agent"
26,Archimedes,"Person,Scientist,Agent"
27,DBPEDIA_ID/Arthur_Aikin,"Person,Scientist,Agent"
28,DBPEDIA_ID/Arthur_Eddington,"Person,Scientist,Agent"
29,DBPEDIA_ID/Arthur_Jensen,"Person,Scientist,Agent"
30,DBPEDIA_ID/Atle_Selberg,"Person,Scientist,Agent"
31,DBPEDIA_ID/August_Kekulé,"Person,Scientist,Agent"
32,DBPEDIA_ID/Augustin-Jean_Fresnel,"Person,Scientist,Agent"
