,entity,classes
0,DBPEDIA_ID/Aegean_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
1,DBPEDIA_ID/Baltic_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
2,DBPEDIA_ID/Black_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
3,DBPEDIA_ID/Caribbean_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
4,DBPEDIA_ID/Kara_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
5,DBPEDIA_ID/Mediterranean_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
6,DBPEDIA_ID/North_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
7,DBPEDIA_ID/Norwegian_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
8,DBPEDIA_ID/Levantine_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
9,DBPEDIA_ID/St_Georges_Basin_(New_South_Wales),"Place,BodyOfWater,NaturalPlace,Location,Sea"
10,DBPEDIA_ID/Sea_of_Okhotsk,"Place,BodyOfWater,NaturalPlace,Location,Sea"
11,DBPEDIA_ID/Sea_of_Azov,"Place,BodyOfWater,NaturalPlace,Location,Sea"
12,DBPEDIA_ID/Tasman_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
13,DBPEDIA_ID/White_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
14,DBPEDIA_ID/Bothnian_Bay,"Place,BodyOfWater,NaturalPlace,Location,Sea"
15,DBPEDIA_ID/Beaufort_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
16,DBPEDIA_ID/Andaman_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
17,DBPEDIA_ID/Barents_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
18,DBPEDIA_ID/Ionian_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
19,DBPEDIA_ID/Sea_of_Marmara,"Place,BodyOfWater,NaturalPlace,Location,Sea"
20,DBPEDIA_ID/Tyrrhenian_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
21,DBPEDIA_ID/Pasaleng_Bay,"Place,BodyOfWater,NaturalPlace,Location,Sea"
22,DBPEDIA_ID/Irish_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
23,DBPEDIA_ID/Bohol_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
24,DBPEDIA_ID/Sibuyan_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
25,DBPEDIA_ID/Lamon_Bay,"Place,BodyOfWater,NaturalPlace,Location,Sea"
26,DBPEDIA_ID/Koro_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
27,DBPEDIA_ID/Chukchi_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
28,DBPEDIA_ID/American_Mediterranean_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
29,DBPEDIA_ID/Samar_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
30,DBPEDIA_ID/Adriatic_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
31,DBPEDIA_ID/Irminger_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
32,DBPEDIA_ID/Pelican_Lagoon,"Place,BodyOfWater,NaturalPlace,Location,Sea"
33,DBPEDIA_ID/Sulu_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
34,DBPEDIA_ID/Celtic_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
35,DBPEDIA_ID/Coral_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
36,DBPEDIA_ID/East_Siberian_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
37,DBPEDIA_ID/Labrador_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
38,DBPEDIA_ID/Laptev_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
39,DBPEDIA_ID/Seto_Inland_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
40,DBPEDIA_ID/Timor_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
41,DBPEDIA_ID/Arafura_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
42,DBPEDIA_ID/Cantabrian_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
43,DBPEDIA_ID/Greenland_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
44,DBPEDIA_ID/Laccadive_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
45,DBPEDIA_ID/Scotia_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
46,DBPEDIA_ID/Visayan_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
47,DBPEDIA_ID/Camotes_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
