,entity,classes
0,DBPEDIA_ID/John_Hogg,"Senator,Politician,Agent,Person"
1,DBPEDIA_ID/David_Rice_Atchison,"Senator,Politician,Agent,Person"
2,DBPEDIA_ID/John_Danforth,"Senator,Politician,Agent,Person"
3,DBPEDIA_ID/Bill_Frist,"Senator,Politician,Agent,Person"
4,DBPEDIA_ID/Dean_Barkley,"Senator,Politician,Agent,Person"
5,DBPEDIA_ID/Henry_Cabot_Lodge_Jr.,"Senator,Politician,Agent,Person"
6,DBPEDIA_ID/Luke_Lea_(senator),"Senator,Politician,Agent,Person"
7,DBPEDIA_ID/Alexander_Wiley,"Senator,Politician,Agent,Person"
8,DBPEDIA_ID/Augustus_C._Dodge,"Senator,Politician,Agent,Person"
9,DBPEDIA_ID/Bongbong_Marcos,"Senator,Politician,Agent,Person"
10,DBPEDIA_ID/Henry_L._Myers,"Senator,Politician,Agent,Person"
11,DBPEDIA_ID/Henry_S._Foote,"Senator,Politician,Agent,Person"
12,DBPEDIA_ID/John_Tower,"Senator,Politician,Agent,Person"
13,DBPEDIA_ID/Joseph_R._Underwood,"Senator,Politician,Agent,Person"
14,DBPEDIA_ID/Luis_Humberto_Gómez_Gallo,"Senator,Politician,Agent,Person"
15,DBPEDIA_ID/Rufus_Choate,"Senator,Politician,Agent,Person"
16,DBPEDIA_ID/Rufus_King,"Senator,Politician,Agent,Person"
17,DBPEDIA_ID/S._I._Hayakawa,"Senator,Politician,Agent,Person"
18,DBPEDIA_ID/Spark_Matsunaga,"Senator,Politician,Agent,Person"
19,DBPEDIA_ID/William_Hughes_(senator),"Senator,Politician,Agent,Person"
20,DBPEDIA_ID/Bainbridge_Wadleigh,"Senator,Politician,Agent,Person"
21,DBPEDIA_ID/James_Nesmith,"Senator,Politician,Agent,Person"
22,DBPEDIA_ID/Al_D'Amato,"Senator,Politician,Agent,Person"
23,DBPEDIA_ID/Benjamin_F._Shively,"Senator,Politician,Agent,Person"
24,DBPEDIA_ID/Charles_Henderson_(Nevada_politician),"Senator,Politician,Agent,Person"
25,DBPEDIA_ID/Daniel_Chipman,"Senator,Politician,Agent,Person"
26,DBPEDIA_ID/Fabián_Ríos,"Senator,Politician,Agent,Person"
27,DBPEDIA_ID/Fred_Thompson,"Senator,Politician,Agent,Person"
28,DBPEDIA_ID/Frederick_Van_Nuys,"Senator,Politician,Agent,Person"
29,DBPEDIA_ID/Frederick_W._Mulkey,"Senator,Politician,Agent,Person"
30,DBPEDIA_ID/George_A._Waggaman,"Senator,Politician,Agent,Person"
31,DBPEDIA_ID/Henry_F._Lippitt,"Senator,Politician,Agent,Person"
32,DBPEDIA_ID/Henry_R._Pease,"Senator,Politician,Agent,Person"
33,DBPEDIA_ID/James_A._McDougall,"Senator,Politician,Agent,Person"
34,"DBPEDIA_ID/John_D._Hoblitzell,_Jr.","Senator,Politician,Agent,Person"
35,DBPEDIA_ID/John_E._Colhoun,"Senator,Politician,Agent,Person"
36,DBPEDIA_ID/Joseph_Cilley_(senator),"Senator,Politician,Agent,Person"
37,DBPEDIA_ID/Lawrence_C._Phipps,"Senator,Politician,Agent,Person"
38,DBPEDIA_ID/Leverett_Saltonstall,"Senator,Politician,Agent,Person"
39,DBPEDIA_ID/Mario_Uribe_Escobar,"Senator,Politician,Agent,Person"
40,DBPEDIA_ID/Thomas_A._Wofford,"Senator,Politician,Agent,Person"
41,DBPEDIA_ID/Álvaro_Araújo_Castro,"Senator,Politician,Agent,Person"
42,DBPEDIA_ID/Glen_H._Taylor,"Senator,Politician,Agent,Person"
43,DBPEDIA_ID/Henry_C._Hansbrough,"Senator,Politician,Agent,Person"
44,DBPEDIA_ID/Bill_Keith_(politician),"Senator,Politician,Agent,Person"
45,DBPEDIA_ID/Charles_Durkee,"Senator,Politician,Agent,Person"
46,DBPEDIA_ID/John_E._Kenna,"Senator,Politician,Agent,Person"
47,DBPEDIA_ID/John_Noyes,"Senator,Politician,Agent,Person"
48,DBPEDIA_ID/Sean_Burrage,"Senator,Politician,Agent,Person"
49,DBPEDIA_ID/William_Chamberlain_(politician),"Senator,Politician,Agent,Person"
50,DBPEDIA_ID/Winston_L._Prouty,"Senator,Politician,Agent,Person"
51,DBPEDIA_ID/Dixon_Hall_Lewis,"Senator,Politician,Agent,Person"
52,DBPEDIA_ID/Robert_Y._Hayne,"Senator,Politician,Agent,Person"
53,DBPEDIA_ID/Burnet_R._Maybank,"Senator,Politician,Agent,Person"
54,DBPEDIA_ID/Joseph_M._McCormick,"Senator,Politician,Agent,Person"
55,DBPEDIA_ID/Ahmed_Tijani_Ahmed,"Senator,Politician,Agent,Person"
56,DBPEDIA_ID/Elizabeth_MacDonough,"Senator,Politician,Agent,Person"
57,DBPEDIA_ID/Juan_Lozano_Ramírez,"Senator,Politician,Agent,Person"
58,DBPEDIA_ID/Raymond_A._Meier,"Senator,Politician,Agent,Person"
59,DBPEDIA_ID/Alan_J._Dixon,"Senator,Politician,Agent,Person"
60,"DBPEDIA_ID/Rush_D._Holt,_Sr.","Senator,Politician,Agent,Person"
61,DBPEDIA_ID/James_L._McConaughy,"Senator,Politician,Agent,Person"
62,DBPEDIA_ID/María_José_Bongiorno,"Senator,Politician,Agent,Person"
63,DBPEDIA_ID/Arthur_I._Boreman,"Senator,Politician,Agent,Person"
64,DBPEDIA_ID/William_F._Knowland,"Senator,Politician,Agent,Person"
65,DBPEDIA_ID/Clair_Engle,"Senator,Politician,Agent,Person"
66,DBPEDIA_ID/Alan_Bible,"Senator,Politician,Agent,Person"
67,DBPEDIA_ID/Dennis_DeConcini,"Senator,Politician,Agent,Person"
68,DBPEDIA_ID/Ernest_McFarland,"Senator,Politician,Agent,Person"
69,DBPEDIA_ID/Francis_B._Stockbridge,"Senator,Politician,Agent,Person"
70,DBPEDIA_ID/Herman_Talmadge,"Senator,Politician,Agent,Person"
71,DBPEDIA_ID/James_J._Couzens,"Senator,Politician,Agent,Person"
72,DBPEDIA_ID/James_W._Grimes,"Senator,Politician,Agent,Person"
73,DBPEDIA_ID/Jennings_Randolph,"Senator,Politician,Agent,Person"
74,DBPEDIA_ID/Styles_Bridges,"Senator,Politician,Agent,Person"
75,DBPEDIA_ID/Thomas_R._Bard,"Senator,Politician,Agent,Person"
76,DBPEDIA_ID/Thomas_W._Palmer,"Senator,Politician,Agent,Person"
77,DBPEDIA_ID/Tim_Hutchinson,"Senator,Politician,Agent,Person"
78,DBPEDIA_ID/Burton_K._Wheeler,"Senator,Politician,Agent,Person"
79,DBPEDIA_ID/Daniel_S._Dickinson,"Senator,Politician,Agent,Person"
80,DBPEDIA_ID/Ephraim_H._Foster,"Senator,Politician,Agent,Person"
81,DBPEDIA_ID/Eugene_Hale,"Senator,Politician,Agent,Person"
82,DBPEDIA_ID/Hopkins_L._Turney,"Senator,Politician,Agent,Person"
83,DBPEDIA_ID/Pierre_Soulé,"Senator,Politician,Agent,Person"
84,DBPEDIA_ID/Spencer_Jarnagin,"Senator,Politician,Agent,Person"
85,DBPEDIA_ID/Alvah_Sabin,"Senator,Politician,Agent,Person"
86,DBPEDIA_ID/Isaac_Fletcher,"Senator,Politician,Agent,Person"
87,DBPEDIA_ID/James_Meacham,"Senator,Politician,Agent,Person"
88,DBPEDIA_ID/Holm_O._Bursum,"Senator,Politician,Agent,Person"
89,DBPEDIA_ID/Leonor_Briones,"Senator,Politician,Agent,Person"
90,DBPEDIA_ID/Melisa_Franzen,"Senator,Politician,Agent,Person"
91,DBPEDIA_ID/Álvaro_Barrera,"Senator,Politician,Agent,Person"
92,DBPEDIA_ID/Isaac_D._Barnard,"Senator,Politician,Agent,Person"
93,"DBPEDIA_ID/Nathan_Goff,_Jr.","Senator,Politician,Agent,Person"
94,DBPEDIA_ID/Elaine_S._Edwards,"Senator,Politician,Agent,Person"
95,DBPEDIA_ID/Michael_J._Michot,"Senator,Politician,Agent,Person"
96,DBPEDIA_ID/John_Sloss_Hobart,"Senator,Politician,Agent,Person"
97,DBPEDIA_ID/Claude_Pepper,"Senator,Politician,Agent,Person"
98,DBPEDIA_ID/George_H._Moses,"Senator,Politician,Agent,Person"
99,DBPEDIA_ID/Howell_Heflin,"Senator,Politician,Agent,Person"
100,DBPEDIA_ID/Hugh_Scott,"Senator,Politician,Agent,Person"
101,DBPEDIA_ID/James_Thomas_Heflin,"Senator,Politician,Agent,Person"
102,DBPEDIA_ID/Abraham_A._Ribicoff,"Senator,Politician,Agent,Person"
103,DBPEDIA_ID/Benjamin_Gratz_Brown,"Senator,Politician,Agent,Person"
104,DBPEDIA_ID/David_Wilmot,"Senator,Politician,Agent,Person"
105,DBPEDIA_ID/Jacob_K._Javits,"Senator,Politician,Agent,Person"
106,DBPEDIA_ID/Jacob_M._Howard,"Senator,Politician,Agent,Person"
107,DBPEDIA_ID/Littleton_Waller_Tazewell,"Senator,Politician,Agent,Person"
108,DBPEDIA_ID/Sheridan_Downey,"Senator,Politician,Agent,Person"
109,DBPEDIA_ID/Thomas_Kuchel,"Senator,Politician,Agent,Person"
110,DBPEDIA_ID/Wilbur_Lucius_Cross,"Senator,Politician,Agent,Person"
111,DBPEDIA_ID/George_R._Swift,"Senator,Politician,Agent,Person"
112,DBPEDIA_ID/John_H._Bankhead_II,"Senator,Politician,Agent,Person"
113,DBPEDIA_ID/Julius_C._Burrows,"Senator,Politician,Agent,Person"
114,DBPEDIA_ID/Harlan_Mathews,"Senator,Politician,Agent,Person"
115,DBPEDIA_ID/Herbert_S._Walters,"Senator,Politician,Agent,Person"
116,DBPEDIA_ID/Nathan_L._Bachman,"Senator,Politician,Agent,Person"
117,DBPEDIA_ID/Tom_Stewart,"Senator,Politician,Agent,Person"
118,DBPEDIA_ID/Absalom_Willis_Robertson,"Senator,Politician,Agent,Person"
