,entity,classes
0,"DBPEDIA_ID/Kansas_City,_Missouri","City,Settlement,Place,Location,PopulatedPlace"
1,Aalen,"Town,PopulatedPlace,Settlement,Place,Location"
2,Aarau,"PopulatedPlace,Settlement,Place,Location"
3,Abakan,"PopulatedPlace,Settlement,Place,Location"
4,Abensberg,"Town,PopulatedPlace,Settlement,Place,Location"
5,Abercarn,"PopulatedPlace,Settlement,Place,Location"
6,Aberdare,"PopulatedPlace,Settlement,Place,Location"
7,"DBPEDIA_ID/Aberdeen,_South_Dakota","City,Settlement,Place,Location,PopulatedPlace"
8,Aberdour,"PopulatedPlace,Settlement,Place,Location"
9,"DBPEDIA_ID/Aberfoyle,_Stirling","PopulatedPlace,Settlement,Place,Location"
10,Abergavenny,"PopulatedPlace,Settlement,Place,Location"
11,Abersychan,"PopulatedPlace,Settlement,Place,Location"
12,Abertillery,"PopulatedPlace,Settlement,Place,Location"
13,Accrington,"PopulatedPlace,Settlement,Place,Location"
14,Achduart,"PopulatedPlace,Settlement,Place,Location"
15,Achiltibuie,"PopulatedPlace,Settlement,Place,Location"
16,Ajaccio,"PopulatedPlace,Settlement,Place,Location"
17,"DBPEDIA_ID/Albion,_Michigan","City,Settlement,Place,Location,PopulatedPlace"
18,"DBPEDIA_ID/Alexandria,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
19,"DBPEDIA_ID/Alexandria,_Louisiana","City,Settlement,Place,Location,PopulatedPlace"
20,"DBPEDIA_ID/Alexandria,_Romania","PopulatedPlace,Settlement,Place,Location"
21,"DBPEDIA_ID/Alexandria,_West_Dunbartonshire","PopulatedPlace,Settlement,Place,Location"
22,Algiers,"City,Settlement,Place,Location,PopulatedPlace"
23,"DBPEDIA_ID/Ames,_Iowa","City,Settlement,Place,Location,PopulatedPlace"
24,"DBPEDIA_ID/Andersonville,_Georgia","City,Settlement,Place,Location,PopulatedPlace"
25,"DBPEDIA_ID/Ann_Arbor,_Michigan","City,Settlement,Place,Location,PopulatedPlace"
26,DBPEDIA_ID/Annapolis_Valley,"PopulatedPlace,Settlement,Place,Location"
27,"DBPEDIA_ID/Astoria,_Oregon","City,Settlement,Place,Location,PopulatedPlace"
28,Atlanta,"City,Settlement,Place,Location,PopulatedPlace"
29,"DBPEDIA_ID/Austin,_Texas","City,Settlement,Place,Location,PopulatedPlace"
30,Azincourt,"PopulatedPlace,Settlement,Place,Location"
31,Barcelonnette,"PopulatedPlace,Settlement,Place,Location"
32,Bayonne,"PopulatedPlace,Settlement,Place,Location"
33,Belfast,"PopulatedPlace,Settlement,Place,Location"
34,"DBPEDIA_ID/Berkeley,_California","City,Settlement,Place,Location,PopulatedPlace"
35,Bethlehem,"PopulatedPlace,Settlement,Place,Location"
36,Bodmin,"PopulatedPlace,Settlement,Place,Location"
37,Bohemia,"PopulatedPlace,Settlement,Place,Location"
38,Bolventor,"PopulatedPlace,Settlement,Place,Location"
39,"DBPEDIA_ID/Boone,_North_Carolina","PopulatedPlace,Settlement,Place,Location"
40,Bordeaux,"PopulatedPlace,Settlement,Place,Location"
41,"DBPEDIA_ID/Buffalo,_New_York","City,Settlement,Place,Location,PopulatedPlace"
42,"DBPEDIA_ID/Cadillac,_Michigan","City,Settlement,Place,Location,PopulatedPlace"
43,"DBPEDIA_ID/Cambridge,_Massachusetts","City,Settlement,Place,Location,PopulatedPlace"
44,DBPEDIA_ID/Cape_Town,"PopulatedPlace,Settlement,Place,Location"
45,"DBPEDIA_ID/Cedar_Falls,_Iowa","City,Settlement,Place,Location,PopulatedPlace"
46,"DBPEDIA_ID/Cheddar,_Somerset","PopulatedPlace,Settlement,Place,Location"
47,Chernobyl,"City,Settlement,Place,Location,PopulatedPlace"
48,Chicago,"City,Settlement,Place,Location,PopulatedPlace"
49,Chojnów,"PopulatedPlace,Settlement,Place,Location"
50,DBPEDIA_ID/City_of_London,"City,Settlement,Place,Location,PopulatedPlace"
51,Cleveland,"City,Settlement,Place,Location,PopulatedPlace"
52,Cluny,"PopulatedPlace,Settlement,Place,Location"
53,"DBPEDIA_ID/Colorado_Springs,_Colorado","PopulatedPlace,Settlement,Place,Location"
54,"DBPEDIA_ID/Columbia,_Missouri","City,Settlement,Place,Location,PopulatedPlace"
55,"DBPEDIA_ID/Columbus,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
56,"DBPEDIA_ID/Columbus,_Ohio","City,Settlement,Place,Location,PopulatedPlace"
57,"DBPEDIA_ID/Concord,_Michigan","PopulatedPlace,Settlement,Place,Location,Village"
58,"DBPEDIA_ID/Concord,_New_Hampshire","City,Settlement,Place,Location,PopulatedPlace"
59,"DBPEDIA_ID/Dartmouth,_Devon","PopulatedPlace,Settlement,Place,Location"
60,"DBPEDIA_ID/Darwin,_Northern_Territory","City,Settlement,Place,Location,PopulatedPlace"
61,"DBPEDIA_ID/Davenport,_Iowa","City,Settlement,Place,Location,PopulatedPlace"
62,"DBPEDIA_ID/Davis,_California","City,Settlement,Place,Location,PopulatedPlace"
63,"DBPEDIA_ID/Dayton,_Ohio","City,Settlement,Place,Location,PopulatedPlace"
64,"DBPEDIA_ID/Dedham,_Massachusetts","Town,PopulatedPlace,Settlement,Place,Location"
65,"DBPEDIA_ID/Des_Moines,_Iowa","City,Settlement,Place,Location,PopulatedPlace"
66,Detroit,"City,Settlement,Place,Location,PopulatedPlace"
67,Dimona,"PopulatedPlace,Settlement,Place,Location"
68,Elbląg,"PopulatedPlace,Settlement,Place,Location"
69,"DBPEDIA_ID/Ellensburg,_Washington","City,Settlement,Place,Location,PopulatedPlace"
70,Emsworth,"PopulatedPlace,Settlement,Place,Location"
71,Enniskillen,"PopulatedPlace,Settlement,Place,Location"
72,Esperantujo,"PopulatedPlace,Settlement,Place,Location"
73,"DBPEDIA_ID/Eth,_Nord","PopulatedPlace,Settlement,Place,Location"
74,"DBPEDIA_ID/Eugene,_Oregon","City,Settlement,Place,Location,PopulatedPlace"
75,"DBPEDIA_ID/Eureka,_Missouri","City,Settlement,Place,Location,PopulatedPlace"
76,"DBPEDIA_ID/Fairmount,_Indiana","Town,PopulatedPlace,Settlement,Place,Location"
77,Flanders,"PopulatedPlace,Settlement,Place,Location"
78,Fontainebleau,"PopulatedPlace,Settlement,Place,Location"
79,"DBPEDIA_ID/Fort_Collins,_Colorado","PopulatedPlace,Settlement,Place,Location"
80,"DBPEDIA_ID/Fort_Wayne,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
81,"DBPEDIA_ID/Fort_William,_Highland","PopulatedPlace,Settlement,Place,Location"
82,"DBPEDIA_ID/Gary,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
83,Gdańsk,"PopulatedPlace,Settlement,Place,Location"
84,Ghent,"PopulatedPlace,Settlement,Place,Location"
85,Glasnevin,"Town,PopulatedPlace,Settlement,Place,Location"
86,"DBPEDIA_ID/Goshen,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
87,Gothenburg,"PopulatedPlace,Settlement,Place,Location"
88,"DBPEDIA_ID/Granville,_New_South_Wales","PopulatedPlace,Settlement,Place,Location"
89,DBPEDIA_ID/Greenwich_Village,"PopulatedPlace,Settlement,Place,Location"
90,DBPEDIA_ID/Guatemala_City,"City,Settlement,Place,Location,PopulatedPlace"
91,Guernica,"City,Settlement,Place,Location,PopulatedPlace"
92,"DBPEDIA_ID/Hanover,_New_Hampshire","Town,PopulatedPlace,Settlement,Place,Location"
93,Harwich,"PopulatedPlace,Settlement,Place,Location"
94,"DBPEDIA_ID/Harwich,_Massachusetts","Town,PopulatedPlace,Settlement,Place,Location"
95,Hastings,"Town,PopulatedPlace,Settlement,Place,Location"
96,"DBPEDIA_ID/Hatfield,_Hertfordshire","PopulatedPlace,Settlement,Place,Location"
97,Hawick,"PopulatedPlace,Settlement,Place,Location"
98,Herat,"City,Settlement,Place,Location,PopulatedPlace"
99,Hilter,"PopulatedPlace,Settlement,Place,Location"
100,Hobart,"City,Settlement,Place,Location,PopulatedPlace"
101,Holland,"PopulatedPlace,Settlement,Place,Location"
102,DBPEDIA_ID/Hook_of_Holland,"PopulatedPlace,Settlement,Place,Location"
103,Houston,"City,Settlement,Place,Location,PopulatedPlace"
104,DBPEDIA_ID/Islamabad_Capital_Territory,"PopulatedPlace,Settlement,Place,Location"
105,"DBPEDIA_ID/Ithaca,_New_York","City,Settlement,Place,Location,PopulatedPlace"
106,"DBPEDIA_ID/Jackson,_Mississippi","PopulatedPlace,Settlement,Place,Location"
107,Jalalabad,"PopulatedPlace,Settlement,Place,Location"
108,Jericho,"PopulatedPlace,Settlement,Place,Location"
109,DBPEDIA_ID/Johnston_Atoll,"PopulatedPlace,Settlement,Place,Location"
110,DBPEDIA_ID/Juan_Fernández_Islands,"PopulatedPlace,Settlement,Place,Location"
