,entity,classes
0,DBPEDIA_ID/Tampines_Mall,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
1,DBPEDIA_ID/The_Fort_Shopping_Park,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
2,DBPEDIA_ID/Westfield_Horton_Plaza,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
3,DBPEDIA_ID/Algonquin_Commons,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
4,Bugis+,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
5,DBPEDIA_ID/Capilano_Mall,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
6,DBPEDIA_ID/Central_Park_(shopping_complex),"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
7,DBPEDIA_ID/Central_Park_Jakarta,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
8,"DBPEDIA_ID/Flamingo,_Finland","ArchitecturalStructure,Building,Place,Location,ShoppingMall"
9,DBPEDIA_ID/IMM_(Singapore),"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
10,DBPEDIA_ID/International_Plaza_and_Bay_Street,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
11,DBPEDIA_ID/Jem_(shopping_mall),"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
12,DBPEDIA_ID/Kandy_City_Centre,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
13,DBPEDIA_ID/Lafayette_Square_Mall,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
14,DBPEDIA_ID/Lycoming_Mall,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
15,DBPEDIA_ID/Midtown_Plaza_(Saskatoon),"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
16,DBPEDIA_ID/Plaza_Fiesta_San_Agustín,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
17,DBPEDIA_ID/SM_City_North_EDSA,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
18,DBPEDIA_ID/Salem_Center_(Oregon),"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
19,DBPEDIA_ID/Sawgrass_Mills,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
20,DBPEDIA_ID/South_Hills_Mall,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
21,DBPEDIA_ID/South_Hills_Village,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
22,"DBPEDIA_ID/The_Oaks_(Thousand_Oaks,_California)","ArchitecturalStructure,Building,Place,Location,ShoppingMall"
23,DBPEDIA_ID/The_Oaks_Mall,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
24,DBPEDIA_ID/The_pulse_(shopping_mall),"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
25,DBPEDIA_ID/Union_Station_(Shannon_Mall),"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
26,DBPEDIA_ID/Westgate_Mall_(Bethlehem),"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
27,DBPEDIA_ID/Westgate_Mall_(Brockton),"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
28,DBPEDIA_ID/Westgate_Mall_(Spartanburg),"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
29,DBPEDIA_ID/White_Rose_Centre,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
30,DBPEDIA_ID/Jumbo_Shopping_Centre,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
31,DBPEDIA_ID/Northpoint_Shopping_Centre,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
32,DBPEDIA_ID/Americana_Manhasset,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
33,DBPEDIA_ID/Americana_at_Brand,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
34,DBPEDIA_ID/Bridge_Street_Town_Centre,"ArchitecturalStructure,Building,Place,Location,ShoppingMall"
35,"DBPEDIA_ID/City_Centre_Mall,_Shimoga","ArchitecturalStructure,Building,Place,Location,ShoppingMall"
