,entity,classes
0,DBPEDIA_ID/Ballad_of_the_Green_Berets,"MusicalWork,Work,Single"
1,DBPEDIA_ID/Rage_Hard,"MusicalWork,Work,Single"
2,DBPEDIA_ID/Relax_(song),"MusicalWork,Work,Single"
3,DBPEDIA_ID/Two_Tribes,"MusicalWork,Work,Single"
4,DBPEDIA_ID/Welcome_to_the_Pleasuredome_(song),"MusicalWork,Work,Single"
5,DBPEDIA_ID/Adam's_Song,"MusicalWork,Work,Single"
6,DBPEDIA_ID/Don't_Let's_Start,"MusicalWork,Work,Single"
7,DBPEDIA_ID/First_Date_(Blink-182_song),"MusicalWork,Work,Single"
8,DBPEDIA_ID/I'd_Like_to_Teach_the_World_to_Sing_(In_Perfect_Harmony),"MusicalWork,Work,Single"
9,DBPEDIA_ID/I_Am_the_Walrus,"MusicalWork,Work,Single"
10,DBPEDIA_ID/I_Feel_It/Thousand,"MusicalWork,Work,Single"
11,"DBPEDIA_ID/Puff,_the_Magic_Dragon","MusicalWork,Work,Single"
12,DBPEDIA_ID/Stay_Together_for_the_Kids,"MusicalWork,Work,Single"
13,DBPEDIA_ID/The_Real_Slim_Shady,"MusicalWork,Work,Single"
14,DBPEDIA_ID/The_Rock_Show,"MusicalWork,Work,Single"
15,DBPEDIA_ID/Under_Pressure,"MusicalWork,Work,Single"
16,DBPEDIA_ID/Watching_the_Wildlife,"MusicalWork,Work,Single"
17,DBPEDIA_ID/We_Are_the_Champions,"MusicalWork,Work,Single"
18,DBPEDIA_ID/1984_(song),"MusicalWork,Work,Single"
19,DBPEDIA_ID/4th_of_July_(Fireworks),"MusicalWork,Work,Single"
20,DBPEDIA_ID/All_Night_Long_(Alexandra_Burke_song),"MusicalWork,Work,Single"
21,DBPEDIA_ID/All_Night_Long_(All_Night),"MusicalWork,Work,Single"
22,DBPEDIA_ID/All_Night_Long_(Blazin'_Squad_song),"MusicalWork,Work,Single"
23,DBPEDIA_ID/All_Night_Long_(Common_song),"MusicalWork,Work,Single"
24,DBPEDIA_ID/All_Night_Long_(Faith_Evans_song),"MusicalWork,Work,Single"
