,entity,classes
0,Lundy,"SiteOfSpecialScientificInterest,Place,Location"
1,DBPEDIA_ID/Goblin_Combe,"SiteOfSpecialScientificInterest,Place,Location"
2,"DBPEDIA_ID/Kenn_Church,_Kenn_Pier_&_Yew_Tree_Farm_SSSI","SiteOfSpecialScientificInterest,Place,Location"
3,DBPEDIA_ID/Sand_Point_and_Middle_Hope,"SiteOfSpecialScientificInterest,Place,Location"
4,DBPEDIA_ID/Treen_Cliff,"SiteOfSpecialScientificInterest,Place,Location"
5,"DBPEDIA_ID/Biddle_Street,_Yatton","SiteOfSpecialScientificInterest,Place,Location"
6,DBPEDIA_ID/Lulsgate_Quarry,"SiteOfSpecialScientificInterest,Place,Location"
7,DBPEDIA_ID/Perch_SSSI,"SiteOfSpecialScientificInterest,Place,Location"
8,"DBPEDIA_ID/Alpine_Meadow,_Berkhamsted","SiteOfSpecialScientificInterest,Place,Location"
9,DBPEDIA_ID/Alyn_Valley_Woods_and_Alyn_Gorge_Caves,"SiteOfSpecialScientificInterest,Place,Location"
10,DBPEDIA_ID/Barle_Valley,"SiteOfSpecialScientificInterest,Place,Location"
11,DBPEDIA_ID/Burledge_Hill,"SiteOfSpecialScientificInterest,Place,Location"
12,DBPEDIA_ID/Caeau_Ton-y-fildre,"SiteOfSpecialScientificInterest,Place,Location"
13,"DBPEDIA_ID/Bourne_SSSI,_Avon","SiteOfSpecialScientificInterest,Place,Location"
14,DBPEDIA_ID/Littleworth_Common,"SiteOfSpecialScientificInterest,Place,Location"
15,"DBPEDIA_ID/Parc_Linden,_Lixwm","SiteOfSpecialScientificInterest,Place,Location"
16,DBPEDIA_ID/Peninnis_Head,"SiteOfSpecialScientificInterest,Place,Location"
17,DBPEDIA_ID/Shepton_Montague_Railway_Cutting,"SiteOfSpecialScientificInterest,Place,Location"
18,DBPEDIA_ID/Foxhole_Heath,"SiteOfSpecialScientificInterest,Place,Location"
19,DBPEDIA_ID/Priddy_Caves,"SiteOfSpecialScientificInterest,Place,Location"
20,DBPEDIA_ID/Priddy_Pools,"SiteOfSpecialScientificInterest,Place,Location"
21,DBPEDIA_ID/Dee_Estuary,"SiteOfSpecialScientificInterest,Place,Location"
22,Dibbinsdale,"SiteOfSpecialScientificInterest,Place,Location"
23,DBPEDIA_ID/Thurstaston_Common,"SiteOfSpecialScientificInterest,Place,Location"
24,DBPEDIA_ID/Black_Park,"SiteOfSpecialScientificInterest,Place,Location"
25,DBPEDIA_ID/Brandon_Marsh,"SiteOfSpecialScientificInterest,Place,Location"
26,DBPEDIA_ID/Chingford_Reservoirs,"SiteOfSpecialScientificInterest,Place,Location"
27,DBPEDIA_ID/Cobham_Woods,"SiteOfSpecialScientificInterest,Place,Location"
28,DBPEDIA_ID/Ham_Street_Woods,"SiteOfSpecialScientificInterest,Place,Location"
29,DBPEDIA_ID/Hartlebury_Common,"SiteOfSpecialScientificInterest,Place,Location"
30,DBPEDIA_ID/Coedymwstwr_Woodlands,"SiteOfSpecialScientificInterest,Place,Location"
31,DBPEDIA_ID/Cors_Farlais,"SiteOfSpecialScientificInterest,Place,Location"
32,DBPEDIA_ID/Ddol_Uchaf,"SiteOfSpecialScientificInterest,Place,Location"
33,DBPEDIA_ID/Duckpool_to_Furzey_Cove,"SiteOfSpecialScientificInterest,Place,Location"
34,DBPEDIA_ID/Graig_Quarry,"SiteOfSpecialScientificInterest,Place,Location"
