,entity,classes
0,DBPEDIA_ID/Enrico_Fabris,"Person,Athlete,Skater,Agent,WinterSportPlayer"
1,DBPEDIA_ID/Rolf_Falk-Larssen,"Person,Athlete,Skater,Agent,WinterSportPlayer"
2,DBPEDIA_ID/Erben_Wennemars,"Person,Athlete,Skater,Agent,WinterSportPlayer"
3,DBPEDIA_ID/Jakub_Jaworski,"Person,Athlete,Skater,Agent,WinterSportPlayer"
4,DBPEDIA_ID/Zbigniew_Bródka,"Person,Athlete,Skater,Agent,WinterSportPlayer"
5,DBPEDIA_ID/Charles_Hamelin,"Person,Athlete,Skater,Agent,WinterSportPlayer"
6,DBPEDIA_ID/François_Hamelin,"Person,Athlete,Skater,Agent,WinterSportPlayer"
7,DBPEDIA_ID/Yvonne_van_Gennip,"Person,Athlete,Skater,Agent,WinterSportPlayer"
8,DBPEDIA_ID/Arianna_Fontana,"Person,Athlete,Skater,Agent,WinterSportPlayer"
9,DBPEDIA_ID/Dolph_van_der_Scheer,"Person,Athlete,Skater,Agent,WinterSportPlayer"
10,DBPEDIA_ID/Jasmin_Krohn,"Person,Athlete,Skater,Agent,WinterSportPlayer"
11,DBPEDIA_ID/Kjell_Storelid,"Person,Athlete,Skater,Agent,WinterSportPlayer"
12,DBPEDIA_ID/Lieuwe_de_Boer,"Person,Athlete,Skater,Agent,WinterSportPlayer"
13,DBPEDIA_ID/Yang_Yang_(A),"Person,Athlete,Skater,Agent,WinterSportPlayer"
14,DBPEDIA_ID/Yang_Yang_(S),"Person,Athlete,Skater,Agent,WinterSportPlayer"
15,DBPEDIA_ID/Arjen_van_der_Kieft,"Person,Athlete,Skater,Agent,WinterSportPlayer"
16,DBPEDIA_ID/Auke_Adema,"Person,Athlete,Skater,Agent,WinterSportPlayer"
17,DBPEDIA_ID/Lia_van_Schie,"Person,Athlete,Skater,Agent,WinterSportPlayer"
18,DBPEDIA_ID/Marieke_Wijsman,"Person,Athlete,Skater,Agent,WinterSportPlayer"
19,DBPEDIA_ID/Samuel_Schwarz_(speed_skater),"Person,Athlete,Skater,Agent,WinterSportPlayer"
20,DBPEDIA_ID/Thijsje_Oenema,"Person,Athlete,Skater,Agent,WinterSportPlayer"
21,DBPEDIA_ID/Kim_Yun-mi_(speed_skater),"Person,Athlete,Skater,Agent,WinterSportPlayer"
22,DBPEDIA_ID/Tomas_Gustafson,"Person,Athlete,Skater,Agent,WinterSportPlayer"
23,DBPEDIA_ID/Yevgeny_Kulikov,"Person,Athlete,Skater,Agent,WinterSportPlayer"
24,DBPEDIA_ID/Ard_Schenk,"Person,Athlete,Skater,Agent,WinterSportPlayer"
25,DBPEDIA_ID/Franziska_Schenk,"Person,Athlete,Skater,Agent,WinterSportPlayer"
26,DBPEDIA_ID/Tony_Smith_(speed_skater),"Person,Athlete,Skater,Agent,WinterSportPlayer"
27,DBPEDIA_ID/Ans_Schut,"Person,Athlete,Skater,Agent,WinterSportPlayer"
28,DBPEDIA_ID/Bjørg_Eva_Jensen,"Person,Athlete,Skater,Agent,WinterSportPlayer"
29,DBPEDIA_ID/Boris_Shilkov,"Person,Athlete,Skater,Agent,WinterSportPlayer"
30,DBPEDIA_ID/Carry_Geijssen,"Person,Athlete,Skater,Agent,WinterSportPlayer"
31,DBPEDIA_ID/Erhard_Keller,"Person,Athlete,Skater,Agent,WinterSportPlayer"
32,DBPEDIA_ID/Galina_Stepanskaya,"Person,Athlete,Skater,Agent,WinterSportPlayer"
33,DBPEDIA_ID/Hilbert_van_der_Duim,"Person,Athlete,Skater,Agent,WinterSportPlayer"
34,DBPEDIA_ID/Ippolito_Sanfratello,"Person,Athlete,Skater,Agent,WinterSportPlayer"
35,DBPEDIA_ID/Jonny_Nilsson,"Person,Athlete,Skater,Agent,WinterSportPlayer"
36,DBPEDIA_ID/Leah_Poulos-Mueller,"Person,Athlete,Skater,Agent,WinterSportPlayer"
37,DBPEDIA_ID/Lee_Kang-seok,"Person,Athlete,Skater,Agent,WinterSportPlayer"
38,DBPEDIA_ID/Nina_Statkevich,"Person,Athlete,Skater,Agent,WinterSportPlayer"
39,DBPEDIA_ID/Sigvard_Ericsson,"Person,Athlete,Skater,Agent,WinterSportPlayer"
40,DBPEDIA_ID/Svetlana_Bazhanova,"Person,Athlete,Skater,Agent,WinterSportPlayer"
41,DBPEDIA_ID/Sigurd_Mathisen,"Person,Athlete,Skater,Agent,WinterSportPlayer"
42,DBPEDIA_ID/Annita_van_Doorn,"Person,Athlete,Skater,Agent,WinterSportPlayer"
43,DBPEDIA_ID/Bengt_Malmsten,"Person,Athlete,Skater,Agent,WinterSportPlayer"
44,DBPEDIA_ID/Henrik_Christiansen_(speed_skater),"Person,Athlete,Skater,Agent,WinterSportPlayer"
45,DBPEDIA_ID/Jorrit_Bergsma,"Person,Athlete,Skater,Agent,WinterSportPlayer"
46,DBPEDIA_ID/Maren_Haugli,"Person,Athlete,Skater,Agent,WinterSportPlayer"
47,DBPEDIA_ID/Mari_Hemmer,"Person,Athlete,Skater,Agent,WinterSportPlayer"
48,DBPEDIA_ID/André_Hoffmann_(speed_skater),"Person,Athlete,Skater,Agent,WinterSportPlayer"
49,DBPEDIA_ID/Arie_Loef,"Person,Athlete,Skater,Agent,WinterSportPlayer"
50,DBPEDIA_ID/Lou_Dijkstra,"Person,Athlete,Skater,Agent,WinterSportPlayer"
51,DBPEDIA_ID/Ivar_Ballangrud,"Person,Athlete,Skater,Agent,WinterSportPlayer"
52,DBPEDIA_ID/Ådne_Søndrål,"Person,Athlete,Skater,Agent,WinterSportPlayer"
