,entity,classes
0,DBPEDIA_ID/Pernilla_Wiberg,"Person,Athlete,WinterSportPlayer,Agent,Skier"
1,DBPEDIA_ID/Dirk_Else,"Person,Athlete,WinterSportPlayer,Agent,Skier"
2,DBPEDIA_ID/Gérard_Balanche,"Person,Athlete,WinterSportPlayer,Agent,Skier"
3,DBPEDIA_ID/Michiko_Horibe,"Person,Athlete,WinterSportPlayer,Agent,Skier"
4,DBPEDIA_ID/Ola_Vigen_Hattestad,"Person,Athlete,WinterSportPlayer,Agent,Skier"
5,DBPEDIA_ID/Rolf_Rämgård,"Person,Athlete,WinterSportPlayer,Agent,Skier"
6,DBPEDIA_ID/Akito_Watabe,"Person,Athlete,WinterSportPlayer,Agent,Skier"
7,DBPEDIA_ID/Andreas_Wenzel,"Person,Athlete,WinterSportPlayer,Agent,Skier"
8,DBPEDIA_ID/Andréa_Zimmermann,"Person,Athlete,WinterSportPlayer,Agent,Skier"
9,DBPEDIA_ID/Anémone_Marmottan,"Person,Athlete,WinterSportPlayer,Agent,Skier"
10,DBPEDIA_ID/Christian_Ulmer,"Person,Athlete,WinterSportPlayer,Agent,Skier"
11,DBPEDIA_ID/Cristina_Bes_Ginesta,"Person,Athlete,WinterSportPlayer,Agent,Skier"
12,DBPEDIA_ID/Denis_Trento,"Person,Athlete,WinterSportPlayer,Agent,Skier"
13,DBPEDIA_ID/Devon_Kershaw,"Person,Athlete,WinterSportPlayer,Agent,Skier"
14,DBPEDIA_ID/Egon_Zimmermann,"Person,Athlete,WinterSportPlayer,Agent,Skier"
15,DBPEDIA_ID/Emre_Şimşek,"Person,Athlete,WinterSportPlayer,Agent,Skier"
16,DBPEDIA_ID/Gunnar_Larsson_(cross-country_skier),"Person,Athlete,WinterSportPlayer,Agent,Skier"
17,DBPEDIA_ID/Hermann_Maier,"Person,Athlete,WinterSportPlayer,Agent,Skier"
18,DBPEDIA_ID/Hilary_Lindh,"Person,Athlete,WinterSportPlayer,Agent,Skier"
19,DBPEDIA_ID/Jaroslav_Sakala,"Person,Athlete,WinterSportPlayer,Agent,Skier"
20,DBPEDIA_ID/Jordi_Bes_Ginesta,"Person,Athlete,WinterSportPlayer,Agent,Skier"
21,DBPEDIA_ID/Kazuyoshi_Funaki,"Person,Athlete,WinterSportPlayer,Agent,Skier"
22,DBPEDIA_ID/Kwame_Nkrumah-Acheampong,"Person,Athlete,WinterSportPlayer,Agent,Skier"
23,DBPEDIA_ID/Kyle_Rasmussen,"Person,Athlete,WinterSportPlayer,Agent,Skier"
24,DBPEDIA_ID/Lino_Zanon,"Person,Athlete,WinterSportPlayer,Agent,Skier"
25,DBPEDIA_ID/Lukas_Hofer,"Person,Athlete,WinterSportPlayer,Agent,Skier"
26,DBPEDIA_ID/Michal_Němec,"Person,Athlete,WinterSportPlayer,Agent,Skier"
27,DBPEDIA_ID/Petter_Northug,"Person,Athlete,WinterSportPlayer,Agent,Skier"
28,DBPEDIA_ID/Pål_Gunnar_Mikkelsplass,"Person,Athlete,WinterSportPlayer,Agent,Skier"
29,DBPEDIA_ID/Reinfried_Herbst,"Person,Athlete,WinterSportPlayer,Agent,Skier"
30,DBPEDIA_ID/Sergey_Volkov_(skier),"Person,Athlete,WinterSportPlayer,Agent,Skier"
31,DBPEDIA_ID/Therese_Borssén,"Person,Athlete,WinterSportPlayer,Agent,Skier"
32,DBPEDIA_ID/Therese_Johaug,"Person,Athlete,WinterSportPlayer,Agent,Skier"
33,DBPEDIA_ID/Thomas_Morgenstern,"Person,Athlete,WinterSportPlayer,Agent,Skier"
34,DBPEDIA_ID/Tobias_Bogner,"Person,Athlete,WinterSportPlayer,Agent,Skier"
35,DBPEDIA_ID/Tobias_Grünenfelder,"Person,Athlete,WinterSportPlayer,Agent,Skier"
36,DBPEDIA_ID/Émilie_Gex-Fabry,"Person,Athlete,WinterSportPlayer,Agent,Skier"
37,DBPEDIA_ID/Andreas_Goldberger,"Person,Athlete,WinterSportPlayer,Agent,Skier"
38,DBPEDIA_ID/Arianna_Follis,"Person,Athlete,WinterSportPlayer,Agent,Skier"
39,DBPEDIA_ID/Armin_Kogler,"Person,Athlete,WinterSportPlayer,Agent,Skier"
40,DBPEDIA_ID/Bill_Koch_(skier),"Person,Athlete,WinterSportPlayer,Agent,Skier"
41,DBPEDIA_ID/Bode_Miller,"Person,Athlete,WinterSportPlayer,Agent,Skier"
42,DBPEDIA_ID/Enrico_Silvestri,"Person,Athlete,WinterSportPlayer,Agent,Skier"
