,entity,classes
0,DBPEDIA_ID/Mark_Selby,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
1,DBPEDIA_ID/Mark_Williams_(snooker_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
2,DBPEDIA_ID/John_Higgins_(snooker_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
3,DBPEDIA_ID/Pankaj_Advani,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
4,DBPEDIA_ID/Dennis_Taylor,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
5,DBPEDIA_ID/Steve_Davis,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
6,DBPEDIA_ID/Stuart_Bingham,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
7,DBPEDIA_ID/John_Pulman,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
8,DBPEDIA_ID/Ronnie_O'Sullivan,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
9,DBPEDIA_ID/Shaun_Murphy_(snooker_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
10,DBPEDIA_ID/Terry_Griffiths,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
11,DBPEDIA_ID/Joe_Davis,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
12,DBPEDIA_ID/Peter_Ebdon,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
13,DBPEDIA_ID/Ray_Reardon,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
14,DBPEDIA_ID/Cliff_Thorburn,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
15,DBPEDIA_ID/Chandra_Hirjee,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
16,DBPEDIA_ID/John_Parrott,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
17,DBPEDIA_ID/Alex_Higgins,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
18,DBPEDIA_ID/Ken_Doherty,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
19,DBPEDIA_ID/Horace_Lindrum,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
20,DBPEDIA_ID/Chris_Melling_(pool_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
21,DBPEDIA_ID/Neil_Robertson_(snooker_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
22,DBPEDIA_ID/Fred_Davis_(snooker_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
23,DBPEDIA_ID/Joe_Johnson_(snooker_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
24,DBPEDIA_ID/John_Spencer_(snooker_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
25,DBPEDIA_ID/Walter_Donaldson_(snooker_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
26,DBPEDIA_ID/Muhammad_Asif_(snooker_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
27,DBPEDIA_ID/Stephen_Hendry,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
28,DBPEDIA_ID/Graeme_Dott,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
