,entity,classes
0,DBPEDIA_ID/Ian_McCulloch_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
1,DBPEDIA_ID/Mark_Selby,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
2,DBPEDIA_ID/Quinten_Hann,"Person,Athlete,Agent,SnookerPlayer"
3,DBPEDIA_ID/Xiao_Guodong,"Person,Athlete,Agent,SnookerPlayer"
4,DBPEDIA_ID/Anthony_Hamilton_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
5,DBPEDIA_ID/Clive_Everton,"Person,Athlete,Agent,SnookerPlayer"
6,DBPEDIA_ID/Jack_Lisowski,"Person,Athlete,Agent,SnookerPlayer"
7,DBPEDIA_ID/Mark_Wildman,"Person,Athlete,Agent,SnookerPlayer"
8,DBPEDIA_ID/Mark_Williams_(snooker_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
9,DBPEDIA_ID/Robert_Marshall_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
10,DBPEDIA_ID/Ryan_Clark_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
11,DBPEDIA_ID/Scott_MacKenzie_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
12,DBPEDIA_ID/Terry_Murphy_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
13,DBPEDIA_ID/John_Higgins_(snooker_player),"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
14,DBPEDIA_ID/Jamie_Cope,"Person,Athlete,Agent,SnookerPlayer"
15,DBPEDIA_ID/Mark_Allen_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
16,DBPEDIA_ID/Martin_Smith_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
17,DBPEDIA_ID/Pankaj_Advani,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
18,DBPEDIA_ID/Tony_Jones_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
19,DBPEDIA_ID/Bjorn_Haneveer,"Person,Athlete,Agent,SnookerPlayer"
20,DBPEDIA_ID/Dennis_Taylor,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
21,DBPEDIA_ID/Doug_Mountjoy,"Person,Athlete,Agent,SnookerPlayer"
22,DBPEDIA_ID/Stephen_Craigie,"Person,Athlete,Agent,SnookerPlayer"
23,DBPEDIA_ID/Lee_Spick,"Person,Athlete,Agent,SnookerPlayer"
24,DBPEDIA_ID/Michael_Georgiou,"Person,Athlete,Agent,SnookerPlayer"
25,DBPEDIA_ID/Steve_Davis,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
26,DBPEDIA_ID/Stuart_Bingham,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
27,DBPEDIA_ID/Gareth_Potts,"Person,Athlete,Agent,SnookerPlayer"
28,DBPEDIA_ID/Leo_Scullion,"Person,Athlete,Agent,SnookerPlayer"
29,DBPEDIA_ID/Jim_Meadowcroft,"Person,Athlete,Agent,SnookerPlayer"
30,DBPEDIA_ID/Mark_Gray_(pool_player),"Person,Athlete,Agent,SnookerPlayer"
31,DBPEDIA_ID/Martin_Clark_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
32,DBPEDIA_ID/Tayfun_Taşdemir,"Person,Athlete,Agent,SnookerPlayer"
33,DBPEDIA_ID/John_Pulman,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
34,DBPEDIA_ID/Semih_Saygıner,"Person,Athlete,Agent,SnookerPlayer"
35,DBPEDIA_ID/Michaela_Tabb,"Person,Athlete,Agent,SnookerPlayer"
36,DBPEDIA_ID/Eden_Sharav,"Person,Athlete,Agent,SnookerPlayer"
37,DBPEDIA_ID/Lu_Chenwei,"Person,Athlete,Agent,SnookerPlayer"
38,DBPEDIA_ID/Elliot_Slessor,"Person,Athlete,Agent,SnookerPlayer"
39,DBPEDIA_ID/Gerrit_bij_de_Leij,"Person,Athlete,Agent,SnookerPlayer"
40,DBPEDIA_ID/Drew_Henry,"Person,Athlete,Agent,SnookerPlayer"
41,DBPEDIA_ID/Peter_Francisco_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
42,DBPEDIA_ID/Shailesh_Jogia,"Person,Athlete,Agent,SnookerPlayer"
43,DBPEDIA_ID/Lee_Walker,"Person,Athlete,Agent,SnookerPlayer"
44,DBPEDIA_ID/Manuel_Francisco,"Person,Athlete,Agent,SnookerPlayer"
45,DBPEDIA_ID/Wendy_Jans,"Person,Athlete,Agent,SnookerPlayer"
46,DBPEDIA_ID/Muhammad_Yousaf_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
47,DBPEDIA_ID/Joe_Meara,"Person,Athlete,Agent,SnookerPlayer"
48,DBPEDIA_ID/Stuart_Mann,"Person,Athlete,Agent,SnookerPlayer"
49,DBPEDIA_ID/Patrick_Wallace,"Person,Athlete,Agent,SnookerPlayer"
50,DBPEDIA_ID/Ronnie_O'Sullivan,"Person,Athlete,SnookerChamp,Agent,SnookerPlayer"
51,DBPEDIA_ID/Euan_Henderson,"Person,Athlete,Agent,SnookerPlayer"
52,DBPEDIA_ID/Hammad_Miah,"Person,Athlete,Agent,SnookerPlayer"
53,DBPEDIA_ID/Ashot_Potikyan,"Person,Athlete,Agent,SnookerPlayer"
54,DBPEDIA_ID/Brendan_O'Donoghue,"Person,Athlete,Agent,SnookerPlayer"
55,DBPEDIA_ID/Paul_McPhillips,"Person,Athlete,Agent,SnookerPlayer"
56,DBPEDIA_ID/Robert_Stephen,"Person,Athlete,Agent,SnookerPlayer"
57,DBPEDIA_ID/Andrew_Pagett,"Person,Athlete,Agent,SnookerPlayer"
58,DBPEDIA_ID/Gareth_Allen,"Person,Athlete,Agent,SnookerPlayer"
59,DBPEDIA_ID/Martin_O'Donnell_(snooker_player),"Person,Athlete,Agent,SnookerPlayer"
