,entity,classes
0,DBPEDIA_ID/Snooker_world_rankings_2005/2006,"SnookerWorldRanking,SportCompetitionResult"
1,DBPEDIA_ID/Snooker_world_rankings_1999/2000,"SnookerWorldRanking,SportCompetitionResult"
2,DBPEDIA_ID/Snooker_world_rankings_1989/1990,"SnookerWorldRanking,SportCompetitionResult"
3,DBPEDIA_ID/Snooker_world_rankings_1998/1999,"SnookerWorldRanking,SportCompetitionResult"
4,DBPEDIA_ID/Snooker_world_rankings_2000/2001,"SnookerWorldRanking,SportCompetitionResult"
5,DBPEDIA_ID/Snooker_world_rankings_2001/2002,"SnookerWorldRanking,SportCompetitionResult"
6,DBPEDIA_ID/Snooker_world_rankings_2002/2003,"SnookerWorldRanking,SportCompetitionResult"
7,DBPEDIA_ID/Snooker_world_rankings_2003/2004,"SnookerWorldRanking,SportCompetitionResult"
8,DBPEDIA_ID/Snooker_world_rankings_1976/1977,"SnookerWorldRanking,SportCompetitionResult"
9,DBPEDIA_ID/Snooker_world_rankings_1977/1978,"SnookerWorldRanking,SportCompetitionResult"
10,DBPEDIA_ID/Snooker_world_rankings_1978/1979,"SnookerWorldRanking,SportCompetitionResult"
11,DBPEDIA_ID/Snooker_world_rankings_1979/1980,"SnookerWorldRanking,SportCompetitionResult"
12,DBPEDIA_ID/Snooker_world_rankings_1980/1981,"SnookerWorldRanking,SportCompetitionResult"
13,DBPEDIA_ID/Snooker_world_rankings_1981/1982,"SnookerWorldRanking,SportCompetitionResult"
14,DBPEDIA_ID/Snooker_world_rankings_1982/1983,"SnookerWorldRanking,SportCompetitionResult"
15,DBPEDIA_ID/Snooker_world_rankings_1983/1984,"SnookerWorldRanking,SportCompetitionResult"
16,DBPEDIA_ID/Snooker_world_rankings_1985/1986,"SnookerWorldRanking,SportCompetitionResult"
17,DBPEDIA_ID/Snooker_world_rankings_1986/1987,"SnookerWorldRanking,SportCompetitionResult"
18,DBPEDIA_ID/Snooker_world_rankings_1988/1989,"SnookerWorldRanking,SportCompetitionResult"
19,DBPEDIA_ID/Snooker_world_rankings_1991/1992,"SnookerWorldRanking,SportCompetitionResult"
20,DBPEDIA_ID/Snooker_world_rankings_1992/1993,"SnookerWorldRanking,SportCompetitionResult"
21,DBPEDIA_ID/Snooker_world_rankings_1993/1994,"SnookerWorldRanking,SportCompetitionResult"
22,DBPEDIA_ID/Snooker_world_rankings_1994/1995,"SnookerWorldRanking,SportCompetitionResult"
23,DBPEDIA_ID/Snooker_world_rankings_1995/1996,"SnookerWorldRanking,SportCompetitionResult"
24,DBPEDIA_ID/Snooker_world_rankings_1996/1997,"SnookerWorldRanking,SportCompetitionResult"
25,DBPEDIA_ID/Snooker_world_rankings_1997/1998,"SnookerWorldRanking,SportCompetitionResult"
26,DBPEDIA_ID/Snooker_world_rankings_1987/1988,"SnookerWorldRanking,SportCompetitionResult"
27,DBPEDIA_ID/Snooker_world_rankings_2004/2005,"SnookerWorldRanking,SportCompetitionResult"
28,DBPEDIA_ID/Snooker_world_rankings_2007/2008,"SnookerWorldRanking,SportCompetitionResult"
29,DBPEDIA_ID/Snooker_world_rankings_1984/1985,"SnookerWorldRanking,SportCompetitionResult"
30,DBPEDIA_ID/Snooker_world_rankings_1990/1991,"SnookerWorldRanking,SportCompetitionResult"
31,DBPEDIA_ID/Snooker_world_rankings_2006/2007,"SnookerWorldRanking,SportCompetitionResult"
32,DBPEDIA_ID/Snooker_world_rankings_2008/2009,"SnookerWorldRanking,SportCompetitionResult"
33,DBPEDIA_ID/Snooker_world_rankings_2009/2010,"SnookerWorldRanking,SportCompetitionResult"
