,entity,classes
0,DBPEDIA_ID/Ken_Barlow,"Person,FictionalCharacter,SoapCharacter,Agent"
1,DBPEDIA_ID/George_Jackson_(Brookside),"Person,FictionalCharacter,SoapCharacter,Agent"
2,DBPEDIA_ID/Hope_Williams_Brady,"Person,FictionalCharacter,SoapCharacter,Agent"
3,DBPEDIA_ID/Stingray_Timmins,"Person,FictionalCharacter,SoapCharacter,Agent"
4,DBPEDIA_ID/Billie_Frank_(Rude_Awakening),"Person,FictionalCharacter,SoapCharacter,Agent"
5,DBPEDIA_ID/Bob_Hope_(Emmerdale),"Person,FictionalCharacter,SoapCharacter,Agent"
6,DBPEDIA_ID/Claudia_Blaisdel_Carrington,"Person,FictionalCharacter,SoapCharacter,Agent"
7,DBPEDIA_ID/Claudia_Zacchara,"Person,FictionalCharacter,SoapCharacter,Agent"
8,DBPEDIA_ID/Damian_Spinelli,"Person,FictionalCharacter,SoapCharacter,Agent"
9,DBPEDIA_ID/Days_of_Our_Lives_characters_(1970s),"Person,FictionalCharacter,SoapCharacter,Agent"
10,DBPEDIA_ID/Del_Boy,"Person,FictionalCharacter,SoapCharacter,Agent"
11,DBPEDIA_ID/Honey_Mitchell,"Person,FictionalCharacter,SoapCharacter,Agent"
12,DBPEDIA_ID/Jack_Frost_(detective),"Person,FictionalCharacter,SoapCharacter,Agent"
13,DBPEDIA_ID/James_Ford_(One_Life_to_Live),"Person,FictionalCharacter,SoapCharacter,Agent"
14,DBPEDIA_ID/Jeff_Martin_(All_My_Children),"Person,FictionalCharacter,SoapCharacter,Agent"
15,DBPEDIA_ID/Jem_Costello,"Person,FictionalCharacter,SoapCharacter,Agent"
16,DBPEDIA_ID/John_Black_(Days_of_Our_Lives),"Person,FictionalCharacter,SoapCharacter,Agent"
17,DBPEDIA_ID/John_McBain_(One_Life_to_Live),"Person,FictionalCharacter,SoapCharacter,Agent"
18,DBPEDIA_ID/Joss_Peroni,"Person,FictionalCharacter,SoapCharacter,Agent"
19,DBPEDIA_ID/Julie_Mayer_(Desperate_Housewives),"Person,FictionalCharacter,SoapCharacter,Agent"
20,DBPEDIA_ID/Katie_Sugden,"Person,FictionalCharacter,SoapCharacter,Agent"
21,DBPEDIA_ID/Katya_Kinski,"Person,FictionalCharacter,SoapCharacter,Agent"
22,DBPEDIA_ID/Liam_Butcher,"Person,FictionalCharacter,SoapCharacter,Agent"
23,DBPEDIA_ID/List_of_EastEnders_characters_(2009),"Person,FictionalCharacter,SoapCharacter,Agent"
24,DBPEDIA_ID/List_of_Emmerdale_Farm_characters_(1988),"Person,FictionalCharacter,SoapCharacter,Agent"
25,DBPEDIA_ID/Maggie_Stone,"Person,FictionalCharacter,SoapCharacter,Agent"
26,DBPEDIA_ID/Mandy_Salter,"Person,FictionalCharacter,SoapCharacter,Agent"
27,DBPEDIA_ID/Miles_Copeland_(Home_and_Away),"Person,FictionalCharacter,SoapCharacter,Agent"
28,DBPEDIA_ID/Nina_Webster,"Person,FictionalCharacter,SoapCharacter,Agent"
29,DBPEDIA_ID/Quinn_James,"Person,FictionalCharacter,SoapCharacter,Agent"
30,DBPEDIA_ID/Rachel_Kinski,"Person,FictionalCharacter,SoapCharacter,Agent"
31,DBPEDIA_ID/Rhys_Ashworth,"Person,FictionalCharacter,SoapCharacter,Agent"
32,DBPEDIA_ID/Rhys_Lawson,"Person,FictionalCharacter,SoapCharacter,Agent"
33,DBPEDIA_ID/Rhys_Sutherland,"Person,FictionalCharacter,SoapCharacter,Agent"
34,DBPEDIA_ID/Sammy_Jo_Carrington,"Person,FictionalCharacter,SoapCharacter,Agent"
35,DBPEDIA_ID/Serena_Bishop,"Person,FictionalCharacter,SoapCharacter,Agent"
