,entity,classes
0,DBPEDIA_ID/2001–02_Plymouth_Argyle_F.C._season,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
1,DBPEDIA_ID/2002–03_Plymouth_Argyle_F.C._season,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
2,DBPEDIA_ID/1899–1900_Dumbarton_F.C._season,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
3,DBPEDIA_ID/2002–03_FK_Partizan_season,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
4,DBPEDIA_ID/2007_Real_Salt_Lake_season,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
5,DBPEDIA_ID/2012–13_Inter_Milan_season,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
6,DBPEDIA_ID/2014_Canberra_United_W-League_season,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
7,DBPEDIA_ID/2014–15_Hidalgo_La_Fiera_season,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
8,DBPEDIA_ID/1894–95_Southampton_St._Mary's_F.C._season,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
9,DBPEDIA_ID/2002–03_Gillingham_F.C._season,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
10,DBPEDIA_ID/2015–16_Melbourne_City_FC_season,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
11,DBPEDIA_ID/2004_Indonesia_national_football_team_results,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
12,DBPEDIA_ID/2005_Indonesia_national_football_team_results,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
13,DBPEDIA_ID/2006_Indonesia_national_football_team_results,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
14,DBPEDIA_ID/2007_Indonesia_national_football_team_results,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
15,DBPEDIA_ID/2008_Indonesia_national_football_team_results,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
16,DBPEDIA_ID/2009_Indonesia_national_football_team_results,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
17,DBPEDIA_ID/2010_Indonesia_national_football_team_results,"SportsSeason,SoccerClubSeason,SportsTeamSeason"
