,entity,classes
0,DBPEDIA_ID/Premier_League,"Organisation,SoccerLeague,Agent,SportsLeague"
1,DBPEDIA_ID/Serie_A,"Organisation,SoccerLeague,Agent,SportsLeague"
2,DBPEDIA_ID/Aldershot_&_District_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
3,DBPEDIA_ID/Goa_Professional_League,"Organisation,SoccerLeague,Agent,SportsLeague"
4,DBPEDIA_ID/Scottish_Amateur_Football_Association,"Organisation,SoccerLeague,Agent,SportsLeague"
5,Allsvenskan,"Organisation,SoccerLeague,Agent,SportsLeague"
6,DBPEDIA_ID/Argentine_Primera_División,"Organisation,SoccerLeague,Agent,SportsLeague"
7,DBPEDIA_ID/Campeonato_Nacional_(Chile),"Organisation,SoccerLeague,Agent,SportsLeague"
8,DBPEDIA_ID/Canadian_Soccer_League,"Organisation,SoccerLeague,Agent,SportsLeague"
9,DBPEDIA_ID/Chinese_Super_League,"Organisation,SoccerLeague,Agent,SportsLeague"
10,DBPEDIA_ID/Costa_Rican_Primera_División,"Organisation,SoccerLeague,Agent,SportsLeague"
11,Damallsvenskan,"Organisation,SoccerLeague,Agent,SportsLeague"
12,DBPEDIA_ID/Danish_Superliga,"Organisation,SoccerLeague,Agent,SportsLeague"
13,DBPEDIA_ID/FA_Women's_Premier_League_Northern_Division,"Organisation,SoccerLeague,Agent,SportsLeague"
14,DBPEDIA_ID/FA_Women's_Premier_League_Southern_Division,"Organisation,SoccerLeague,Agent,SportsLeague"
15,DBPEDIA_ID/II_liga_(Poland),"Organisation,SoccerLeague,Agent,SportsLeague"
16,DBPEDIA_ID/Libyan_Premier_League,"Organisation,SoccerLeague,Agent,SportsLeague"
17,DBPEDIA_ID/National_Football_League_(Fiji),"Organisation,SoccerLeague,Agent,SportsLeague"
18,DBPEDIA_ID/Nicaraguan_Primera_División,"Organisation,SoccerLeague,Agent,SportsLeague"
19,DBPEDIA_ID/Nottinghamshire_Senior_League,"Organisation,SoccerLeague,Agent,SportsLeague"
20,DBPEDIA_ID/Paraguayan_Primera_División,"Organisation,SoccerLeague,Agent,SportsLeague"
21,DBPEDIA_ID/Peruvian_Primera_División,"Organisation,SoccerLeague,Agent,SportsLeague"
22,DBPEDIA_ID/Romanian_Superliga_(women's_football),"Organisation,SoccerLeague,Agent,SportsLeague"
23,DBPEDIA_ID/Rugby_Football_League_Championship_Second_Division,"Organisation,SoccerLeague,Agent,SportsLeague"
24,DBPEDIA_ID/Russian_Football_National_League,"Organisation,SoccerLeague,Agent,SportsLeague"
25,DBPEDIA_ID/Salvadoran_Primera_División,"Organisation,SoccerLeague,Agent,SportsLeague"
26,DBPEDIA_ID/Scottish_Football_League_First_Division,"Organisation,SoccerLeague,Agent,SportsLeague"
27,DBPEDIA_ID/Serbian_SuperLiga,"Organisation,SoccerLeague,Agent,SportsLeague"
28,DBPEDIA_ID/Slovak_Super_Liga,"Organisation,SoccerLeague,Agent,SportsLeague"
29,DBPEDIA_ID/South_Australian_National_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
30,DBPEDIA_ID/Spartan_South_Midlands_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
31,DBPEDIA_ID/Uruguayan_Primera_División,"Organisation,SoccerLeague,Agent,SportsLeague"
32,DBPEDIA_ID/Venezuelan_Primera_División,"Organisation,SoccerLeague,Agent,SportsLeague"
33,DBPEDIA_ID/Luxembourg_Division_of_Honour,"Organisation,SoccerLeague,Agent,SportsLeague"
34,DBPEDIA_ID/Gibraltar_Premier_Division,"Organisation,SoccerLeague,Agent,SportsLeague"
35,DBPEDIA_ID/Goldfields_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
36,DBPEDIA_ID/Mauritian_League,"Organisation,SoccerLeague,Agent,SportsLeague"
37,DBPEDIA_ID/North_Berks_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
38,DBPEDIA_ID/Northern_Territory_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
39,DBPEDIA_ID/Toto_Cup,"Organisation,SoccerLeague,Agent,SportsLeague"
40,DBPEDIA_ID/Women's_Professional_Soccer,"Organisation,SoccerLeague,Agent,SportsLeague"
41,DBPEDIA_ID/Belarusian_First_League,"Organisation,SoccerLeague,Agent,SportsLeague"
42,DBPEDIA_ID/Bulgarian_A_Football_Group,"Organisation,SoccerLeague,Agent,SportsLeague"
43,DBPEDIA_ID/Campeonato_Sergipano,"Organisation,SoccerLeague,Agent,SportsLeague"
44,DBPEDIA_ID/DFB_Futsal_Cup,"Organisation,SoccerLeague,Agent,SportsLeague"
45,DBPEDIA_ID/Divisiones_Regionales_de_Fútbol_in_Catalonia,"Organisation,SoccerLeague,Agent,SportsLeague"
46,DBPEDIA_ID/A-League_(1995–2004),"Organisation,SoccerLeague,Agent,SportsLeague"
47,DBPEDIA_ID/American_Professional_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
48,DBPEDIA_ID/North_East_Australian_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
49,DBPEDIA_ID/Norwich_and_District_Saturday_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
50,DBPEDIA_ID/Qatar_Stars_League,"Organisation,SoccerLeague,Agent,SportsLeague"
51,DBPEDIA_ID/Qatargas_League,"Organisation,SoccerLeague,Agent,SportsLeague"
52,DBPEDIA_ID/Regionalliga_Südwest,"Organisation,SoccerLeague,Agent,SportsLeague"
53,DBPEDIA_ID/Delphian_League,"Organisation,SoccerLeague,Agent,SportsLeague"
54,DBPEDIA_ID/Saudi_Second_Division,"Organisation,SoccerLeague,Agent,SportsLeague"
55,DBPEDIA_ID/Serbian_Zone_League,"Organisation,SoccerLeague,Agent,SportsLeague"
56,DBPEDIA_ID/Ecuadorian_Serie_A,"Organisation,SoccerLeague,Agent,SportsLeague"
57,DBPEDIA_ID/Surabaya_flag_football_league,"Organisation,SoccerLeague,Agent,SportsLeague"
58,DBPEDIA_ID/Japan_Football_League_(1992–98),"Organisation,SoccerLeague,Agent,SportsLeague"
59,DBPEDIA_ID/Kangaroo_Island_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
60,DBPEDIA_ID/Kent_Invicta_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
61,DBPEDIA_ID/Kenyan_Women's_Premier_League,"Organisation,SoccerLeague,Agent,SportsLeague"
62,DBPEDIA_ID/Lancashire_Amateur_League,"Organisation,SoccerLeague,Agent,SportsLeague"
63,DBPEDIA_ID/Lega_Serie_A,"Organisation,SoccerLeague,Agent,SportsLeague"
64,DBPEDIA_ID/Moravian–Silesian_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
65,DBPEDIA_ID/NIFL_Championship_1,"Organisation,SoccerLeague,Agent,SportsLeague"
66,DBPEDIA_ID/National_Women's_Soccer_League,"Organisation,SoccerLeague,Agent,SportsLeague"
67,DBPEDIA_ID/Serie_A1_(water_polo),"Organisation,SoccerLeague,Agent,SportsLeague"
68,DBPEDIA_ID/Serie_A_(women's_football),"Organisation,SoccerLeague,Agent,SportsLeague"
69,DBPEDIA_ID/South_West_Rugby_League,"Organisation,SoccerLeague,Agent,SportsLeague"
70,DBPEDIA_ID/South_of_Scotland_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
71,DBPEDIA_ID/Southern_Indoor_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
72,DBPEDIA_ID/Oberliga_Westfalen,"Organisation,SoccerLeague,Agent,SportsLeague"
73,DBPEDIA_ID/Verbandsliga_Württemberg,"Organisation,SoccerLeague,Agent,SportsLeague"
74,DBPEDIA_ID/Thai_FA_Cup,"Organisation,SoccerLeague,Agent,SportsLeague"
75,DBPEDIA_ID/Queensland_Australian_Football_League,"Organisation,SoccerLeague,Agent,SportsLeague"
76,DBPEDIA_ID/Ukrainian_Second_League,"Organisation,SoccerLeague,Agent,SportsLeague"
77,DBPEDIA_ID/2._Oberliga_Süd,"Organisation,SoccerLeague,Agent,SportsLeague"
78,DBPEDIA_ID/Cook_Islands_Round_Cup,"Organisation,SoccerLeague,Agent,SportsLeague"
79,DBPEDIA_ID/Guam_Soccer_League,"Organisation,SoccerLeague,Agent,SportsLeague"
80,DBPEDIA_ID/Kuwait_Futsal_Federation_Cup,"Organisation,SoccerLeague,Agent,SportsLeague"
81,DBPEDIA_ID/Liga_Bet,"Organisation,SoccerLeague,Agent,SportsLeague"
82,DBPEDIA_ID/Női_NB_I,"Organisation,SoccerLeague,Agent,SportsLeague"
83,DBPEDIA_ID/Qatar_Futsal_League,"Organisation,SoccerLeague,Agent,SportsLeague"
84,DBPEDIA_ID/Serbian_Super_Liga_(women),"Organisation,SoccerLeague,Agent,SportsLeague"
85,DBPEDIA_ID/Algerian_Ligue_Professionnelle_2,"Organisation,SoccerLeague,Agent,SportsLeague"
86,DBPEDIA_ID/Gauliga_Pommern,"Organisation,SoccerLeague,Agent,SportsLeague"
87,NRW-Liga,"Organisation,SoccerLeague,Agent,SportsLeague"
88,DBPEDIA_ID/Copa_America_(indoor),"Organisation,SoccerLeague,Agent,SportsLeague"
89,Veikkausliiga,"Organisation,SoccerLeague,Agent,SportsLeague"
90,DBPEDIA_ID/Northern_Football_League_(Australia),"Organisation,SoccerLeague,Agent,SportsLeague"
91,DBPEDIA_ID/Northern_Football_League_(Scotland),"Organisation,SoccerLeague,Agent,SportsLeague"
92,DBPEDIA_ID/W-League_(Australia),"Organisation,SoccerLeague,Agent,SportsLeague"
93,DBPEDIA_ID/National_Soccer_League_(South_Africa),"Organisation,SoccerLeague,Agent,SportsLeague"
94,DBPEDIA_ID/National_Youth_League_(Australia),"Organisation,SoccerLeague,Agent,SportsLeague"
