,entity,classes
0,DBPEDIA_ID/1986_United_States_bombing_of_Libya,"MilitaryConflict,Event,SocietalEvent"
1,DBPEDIA_ID/American_Civil_War,"MilitaryConflict,Event,SocietalEvent"
2,DBPEDIA_ID/American_Revolutionary_War,"MilitaryConflict,Event,SocietalEvent"
3,DBPEDIA_ID/Balkan_Wars,"MilitaryConflict,Event,SocietalEvent"
4,DBPEDIA_ID/Baralong_incidents,"MilitaryConflict,Event,SocietalEvent"
5,DBPEDIA_ID/Battle_of_Abritus,"MilitaryConflict,Event,SocietalEvent"
6,DBPEDIA_ID/Battle_of_Actium,"MilitaryConflict,Event,SocietalEvent"
7,DBPEDIA_ID/Battle_of_Adwa,"MilitaryConflict,Event,SocietalEvent"
8,DBPEDIA_ID/Battle_of_Agincourt,"MilitaryConflict,Event,SocietalEvent"
9,DBPEDIA_ID/Battle_of_Berestechko,"MilitaryConflict,Event,SocietalEvent"
10,DBPEDIA_ID/Battle_of_Blenheim,"MilitaryConflict,Event,SocietalEvent"
11,DBPEDIA_ID/Battle_of_Bosworth_Field,"MilitaryConflict,Event,SocietalEvent"
12,DBPEDIA_ID/Battle_of_Bouvines,"MilitaryConflict,Event,SocietalEvent"
13,DBPEDIA_ID/Battle_of_Gettysburg,"MilitaryConflict,Event,SocietalEvent"
14,DBPEDIA_ID/Battle_of_Jutland,"MilitaryConflict,Event,SocietalEvent"
15,DBPEDIA_ID/Battle_of_Lostwithiel,"MilitaryConflict,Event,SocietalEvent"
16,DBPEDIA_ID/Battle_of_Marathon,"MilitaryConflict,Event,SocietalEvent"
17,DBPEDIA_ID/Battle_of_Okinawa,"MilitaryConflict,Event,SocietalEvent"
18,DBPEDIA_ID/Battle_of_Peleliu,"MilitaryConflict,Event,SocietalEvent"
19,DBPEDIA_ID/Battle_of_Pharsalus,"MilitaryConflict,Event,SocietalEvent"
20,DBPEDIA_ID/Battle_of_Poitiers,"MilitaryConflict,Event,SocietalEvent"
21,DBPEDIA_ID/Battle_of_Ramillies,"MilitaryConflict,Event,SocietalEvent"
22,DBPEDIA_ID/Battle_of_Stalingrad,"MilitaryConflict,Event,SocietalEvent"
23,DBPEDIA_ID/Battle_of_Waterloo,"MilitaryConflict,Event,SocietalEvent"
24,DBPEDIA_ID/Battle_of_the_Nile,"MilitaryConflict,Event,SocietalEvent"
25,DBPEDIA_ID/Battle_of_Świecino,"MilitaryConflict,Event,SocietalEvent"
26,DBPEDIA_ID/Biathlon_World_Championships,"SocietalEvent,Event,Convention"
27,DBPEDIA_ID/Continuation_War,"MilitaryConflict,Event,SocietalEvent"
28,DBPEDIA_ID/Cuban_Missile_Crisis,"MilitaryConflict,Event,SocietalEvent"
29,DBPEDIA_ID/Easter_Rising,"MilitaryConflict,Event,SocietalEvent"
30,DBPEDIA_ID/English_Civil_War,"MilitaryConflict,Event,SocietalEvent"
31,DBPEDIA_ID/Eureka_Rebellion,"MilitaryConflict,Event,SocietalEvent"
32,DBPEDIA_ID/Falklands_War,"MilitaryConflict,Event,SocietalEvent"
33,DBPEDIA_ID/Finnish_Civil_War,"MilitaryConflict,Event,SocietalEvent"
34,DBPEDIA_ID/First_Battle_of_El_Alamein,"MilitaryConflict,Event,SocietalEvent"
35,DBPEDIA_ID/First_Italo-Ethiopian_War,"MilitaryConflict,Event,SocietalEvent"
36,DBPEDIA_ID/First_Punic_War,"MilitaryConflict,Event,SocietalEvent"
37,DBPEDIA_ID/Iran–Iraq_War,"MilitaryConflict,Event,SocietalEvent"
38,DBPEDIA_ID/Irish_Civil_War,"MilitaryConflict,Event,SocietalEvent"
39,DBPEDIA_ID/Kentucky_Derby,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
40,DBPEDIA_ID/Korean_War,"MilitaryConflict,Event,SocietalEvent"
41,DBPEDIA_ID/Kosovo_War,"MilitaryConflict,Event,SocietalEvent"
42,DBPEDIA_ID/Love_Parade,"SocietalEvent,Event,Convention"
