,entity,classes
0,DBPEDIA_ID/National_Pro_Fastpitch,"Organisation,SoftballLeague,Agent,SportsLeague"
1,DBPEDIA_ID/Ontario_Amateur_Softball_Association,"Organisation,SoftballLeague,Agent,SportsLeague"
2,DBPEDIA_ID/Women's_Softball_World_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
3,DBPEDIA_ID/NCAA_Division_II_Softball_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
4,DBPEDIA_ID/Men's_Softball_World_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
5,DBPEDIA_ID/Asian_Men’s_Softball_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
6,DBPEDIA_ID/ESF_Junior_Girls_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
7,DBPEDIA_ID/Limestone_Umpire_Association,"Organisation,SoftballLeague,Agent,SportsLeague"
8,DBPEDIA_ID/ESF_Women's_Division_B_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
9,DBPEDIA_ID/ISF_Junior_Men's_World_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
10,DBPEDIA_ID/ESF_men's_EC_club_championships,"Organisation,SoftballLeague,Agent,SportsLeague"
11,DBPEDIA_ID/ESF_coed_club_championships,"Organisation,SoftballLeague,Agent,SportsLeague"
12,DBPEDIA_ID/Little_League_Softball_World_Series,"Organisation,SoftballLeague,Agent,SportsLeague"
13,DBPEDIA_ID/NCAA_Division_III_Softball_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
14,DBPEDIA_ID/ESF_coed_national_championships,"Organisation,SoftballLeague,Agent,SportsLeague"
15,DBPEDIA_ID/ISF_Men's_Fastpitch_World_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
16,DBPEDIA_ID/ESF_Women's_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
17,DBPEDIA_ID/NAIA_Softball_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
18,DBPEDIA_ID/World_University_Softball_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
19,DBPEDIA_ID/ESF_Men's_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
20,DBPEDIA_ID/ISF_Junior_Women's_World_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
21,DBPEDIA_ID/ESF_men's_CWC_club_championships,"Organisation,SoftballLeague,Agent,SportsLeague"
22,DBPEDIA_ID/ESF_Junior_Boys_Championship,"Organisation,SoftballLeague,Agent,SportsLeague"
