,entity,classes
0,DBPEDIA_ID/America_the_Beautiful,"MusicalWork,Work,Song"
1,DBPEDIA_ID/A_Day_in_the_Life,"MusicalWork,Work,Song"
2,DBPEDIA_ID/Desolation_Row,"MusicalWork,Work,Song"
3,DBPEDIA_ID/Lavender's_Blue,"MusicalWork,Work,Song"
4,DBPEDIA_ID/When_My_Baby_Smiles_at_Me_(song),"MusicalWork,Work,Song"
5,DBPEDIA_ID/With_a_Little_Help_from_My_Friends,"MusicalWork,Work,Song"
6,DBPEDIA_ID/All_Night_Long_(Simon_Mathew_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
7,DBPEDIA_ID/Fireworks_(Drake_song),"MusicalWork,Work,Song"
8,DBPEDIA_ID/Goodbye_(Alma_Čardžić_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
9,DBPEDIA_ID/Hope_(instrumental),"MusicalWork,Work,Song"
10,DBPEDIA_ID/Ice_Age_(song),"MusicalWork,Work,Song"
11,DBPEDIA_ID/Old_King_Cole,"MusicalWork,Work,Song"
12,DBPEDIA_ID/Potato_Head_Blues,"MusicalWork,Work,Song"
13,DBPEDIA_ID/Rain_Song,"MusicalWork,Work,Song"
14,DBPEDIA_ID/Taree_(song),"MusicalWork,Work,Song"
15,DBPEDIA_ID/The_Rain_Song,"MusicalWork,Work,Song"
16,DBPEDIA_ID/Vegetables_(song),"MusicalWork,Work,Song"
17,DBPEDIA_ID/Yayo_(Lana_Del_Rey_song),"MusicalWork,Work,Song"
18,DBPEDIA_ID/A_Hard_Rain's_a-Gonna_Fall,"MusicalWork,Work,Song"
19,DBPEDIA_ID/Air_(Tyson_Ritter_song),"MusicalWork,Work,Song"
20,DBPEDIA_ID/All_About_You_(The_Rolling_Stones_song),"MusicalWork,Work,Song"
21,DBPEDIA_ID/Alter_Ego_(Minus_One_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
22,DBPEDIA_ID/Amar_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
23,DBPEDIA_ID/Aphrodite_(song),"MusicalWork,Work,Song"
24,DBPEDIA_ID/Around_the_World_(1956_song),"MusicalWork,Work,Song"
25,DBPEDIA_ID/Around_the_World_(Beat_Ink_song),"MusicalWork,Work,Song"
26,DBPEDIA_ID/Around_the_World_(Christina_Aguilera_song),"MusicalWork,Work,Song"
27,DBPEDIA_ID/Ave_Maria_(Beyoncé_song),"MusicalWork,Work,Song"
28,DBPEDIA_ID/Ave_Maria_..._Virgo_serena,"MusicalWork,Work,Song"
29,DBPEDIA_ID/Bad_(U2_song),"MusicalWork,Work,Song"
30,DBPEDIA_ID/Band_of_Gold_(Don_Cherry_song),"MusicalWork,Work,Song"
31,DBPEDIA_ID/Başka_Bahar,"MusicalWork,Work,Song"
32,DBPEDIA_ID/Beautiful_Girl_(George_Harrison_song),"MusicalWork,Work,Song"
33,DBPEDIA_ID/Beauty_and_the_Beast_(Stevie_Nicks_song),"MusicalWork,Work,Song"
34,DBPEDIA_ID/Because_of_You_(1940_song),"MusicalWork,Work,Song"
35,DBPEDIA_ID/Beer_Barrel_Polka,"MusicalWork,Work,Song"
36,DBPEDIA_ID/Benedictus_(Simon_&_Garfunkel_song),"MusicalWork,Work,Song"
37,"DBPEDIA_ID/Bewitched,_Bothered_and_Bewildered","MusicalWork,Work,Song"
38,DBPEDIA_ID/Beyond_the_Sea_(song),"MusicalWork,Work,Song"
39,DBPEDIA_ID/Bingo_(folk_song),"MusicalWork,Work,Song"
40,DBPEDIA_ID/Blue_Moon_(1934_song),"MusicalWork,Work,Song"
41,DBPEDIA_ID/Boxing_(song),"MusicalWork,Work,Song"
42,DBPEDIA_ID/Candy-O_(song),"MusicalWork,Work,Song"
43,DBPEDIA_ID/Captain_Jack_(Billy_Joel_song),"MusicalWork,Work,Song"
44,DBPEDIA_ID/Carmelita_(song),"MusicalWork,Work,Song"
45,DBPEDIA_ID/Carmen_(Lana_Del_Rey_song),"MusicalWork,Work,Song"
46,DBPEDIA_ID/Chances_Are_(song),"MusicalWork,Work,Song"
47,DBPEDIA_ID/Chattanooga_Choo_Choo,"MusicalWork,Work,Song"
48,DBPEDIA_ID/Chelsea_Girls_(song),"MusicalWork,Work,Song"
49,DBPEDIA_ID/Colorado_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
50,DBPEDIA_ID/Connection_(The_Rolling_Stones_song),"MusicalWork,Work,Song"
51,DBPEDIA_ID/Conquest_(song),"MusicalWork,Work,Song"
52,DBPEDIA_ID/Couch_Potato_(song),"MusicalWork,Work,Song"
53,DBPEDIA_ID/Cream_(Blank_&_Jones_song),"MusicalWork,Work,Song"
54,DBPEDIA_ID/Dancing_in_the_Dark_(Howard_Dietz_and_Arthur_Schwartz_song),"MusicalWork,Work,Song"
55,DBPEDIA_ID/Dancing_in_the_Dark_(Rihanna_song),"MusicalWork,Work,Song"
56,DBPEDIA_ID/Dangerous_(Michael_Jackson_song),"MusicalWork,Work,Song"
57,DBPEDIA_ID/Defector_(song),"MusicalWork,Work,Song"
58,DBPEDIA_ID/Detour_(song),"MusicalWork,Work,Song"
59,DBPEDIA_ID/Deuce_(song),"MusicalWork,Work,Song"
60,DBPEDIA_ID/Digital_(Joy_Division_song),"MusicalWork,Work,Song"
61,DBPEDIA_ID/Discipline_(instrumental),"MusicalWork,Work,Song"
62,DBPEDIA_ID/Eight_Days_a_Week,"MusicalWork,Work,Song"
63,DBPEDIA_ID/Eres_tú,"EurovisionSongContestEntry,Work,MusicalWork,Song"
64,DBPEDIA_ID/Fascination_(David_Bowie_song),"MusicalWork,Work,Song"
65,DBPEDIA_ID/Fembot_(song),"MusicalWork,Work,Song"
66,DBPEDIA_ID/Fire_and_Ice_(Within_Temptation_song),"MusicalWork,Work,Song"
67,DBPEDIA_ID/Friendly_Persuasion_(song),"MusicalWork,Work,Song"
68,DBPEDIA_ID/Girlfriend_(Paul_McCartney_song),"MusicalWork,Work,Song"
69,DBPEDIA_ID/Git_(song),"MusicalWork,Work,Song"
70,DBPEDIA_ID/Goodbye_Cruel_World_(Pink_Floyd_song),"MusicalWork,Work,Song"
71,DBPEDIA_ID/Hallelujah!_(gospel_song),"MusicalWork,Work,Song"
72,DBPEDIA_ID/Hallelujah_(Gali_Atari_and_Milk_&_Honey_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
73,DBPEDIA_ID/Hard_to_Get_(song),"MusicalWork,Work,Song"
74,DBPEDIA_ID/Haunted_(Beyoncé_song),"MusicalWork,Work,Song"
75,DBPEDIA_ID/Heaven_(Jónsi_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
76,DBPEDIA_ID/Heaven_(Talking_Heads_song),"MusicalWork,Work,Song"
77,DBPEDIA_ID/Heliotrope_Bouquet,"MusicalWork,Work,Song"
78,DBPEDIA_ID/Her_Majesty_(song),"MusicalWork,Work,Song"
79,DBPEDIA_ID/Hide_and_Seek_(Namie_Amuro_song),"MusicalWork,Work,Song"
80,DBPEDIA_ID/Hold_My_Hand_(1953_song),"MusicalWork,Work,Song"
81,DBPEDIA_ID/Hollow_(Godsmack_song),"MusicalWork,Work,Song"
82,DBPEDIA_ID/How%3F_(song),"MusicalWork,Work,Song"
83,DBPEDIA_ID/In_Your_Eyes_(Niamh_Kavanagh_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
84,DBPEDIA_ID/In_the_City_(Joe_Walsh_song),"MusicalWork,Work,Song"
85,DBPEDIA_ID/In_the_Garden_(Van_Morrison_song),"MusicalWork,Work,Song"
86,"DBPEDIA_ID/It's_All_Over_Now,_Baby_Blue","MusicalWork,Work,Song"
87,DBPEDIA_ID/It's_Only_Love,"MusicalWork,Work,Song"
88,DBPEDIA_ID/Jack_in_the_Box_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
89,DBPEDIA_ID/Lady_Godiva's_Operation,"MusicalWork,Work,Song"
90,DBPEDIA_ID/Lapponia_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
91,DBPEDIA_ID/Legacy_(Eminem_song),"MusicalWork,Work,Song"
92,DBPEDIA_ID/Love_Me_or_Leave_Me_(Donaldson_and_Kahn_song),"MusicalWork,Work,Song"
93,DBPEDIA_ID/Lover_(song),"MusicalWork,Work,Song"
94,DBPEDIA_ID/Matador_(Los_Fabulosos_Cadillacs_song),"MusicalWork,Work,Song"
95,DBPEDIA_ID/Maxwell's_Silver_Hammer,"MusicalWork,Work,Song"
96,DBPEDIA_ID/Milky_Way_(song),"MusicalWork,Work,Song"
97,DBPEDIA_ID/Minority_(Gigi_Gryce_song),"MusicalWork,Work,Song"
98,DBPEDIA_ID/Munchies_(song),"MusicalWork,Work,Song"
99,DBPEDIA_ID/Mushroom_(song),"MusicalWork,Work,Song"
100,DBPEDIA_ID/My_Blue_Heaven_(song),"MusicalWork,Work,Song"
101,DBPEDIA_ID/My_Lucille,"MusicalWork,Work,Song"
102,DBPEDIA_ID/Night_of_the_Hunter_(Thirty_Seconds_to_Mars_song),"MusicalWork,Work,Song"
103,DBPEDIA_ID/Nina_Never_Knew,"MusicalWork,Work,Song"
104,DBPEDIA_ID/No_Other_Love_(1953_song),"MusicalWork,Work,Song"
105,DBPEDIA_ID/Northwest_Passage_(song),"MusicalWork,Work,Song"
106,DBPEDIA_ID/Oceania_(song),"MusicalWork,Work,Song"
107,DBPEDIA_ID/On_the_Good_Ship_Lollipop,"MusicalWork,Work,Song"
108,DBPEDIA_ID/One_in_a_Million_(Guns_N'_Roses_song),"MusicalWork,Work,Song"
109,DBPEDIA_ID/Patience_(Dreamgirls_song),"MusicalWork,Work,Song"
110,DBPEDIA_ID/Playboy_(Ann_Christine_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
111,DBPEDIA_ID/Prelude/Angry_Young_Man,"MusicalWork,Work,Song"
112,"DBPEDIA_ID/Que_Sera,_Sera_(Whatever_Will_Be,_Will_Be)","MusicalWork,Work,Song"
113,DBPEDIA_ID/Rape_(song),"MusicalWork,Work,Song"
114,DBPEDIA_ID/Real_Love_(Beatles_song),"MusicalWork,Work,Song"
115,DBPEDIA_ID/Recessional_hymn,"MusicalWork,Work,Song"
116,DBPEDIA_ID/Remember_Me_(Journey_song),"MusicalWork,Work,Song"
117,DBPEDIA_ID/Rock_Bottom_(Lynsey_de_Paul_and_Mike_Moran_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
118,DBPEDIA_ID/Rolling_Thunder_(march),"MusicalWork,Work,Song"
119,DBPEDIA_ID/Satellite_15..._The_Final_Frontier,"MusicalWork,Work,Song"
120,DBPEDIA_ID/Show_Me_Love_(Not_a_Dream),"MusicalWork,Work,Song"
121,DBPEDIA_ID/Side_by_Side_(1927_song),"MusicalWork,Work,Song"
122,DBPEDIA_ID/Silence_Is_Golden_(song),"MusicalWork,Work,Song"
123,DBPEDIA_ID/Silver_Star_(1910_song),"MusicalWork,Work,Song"
124,DBPEDIA_ID/Smile_(Charlie_Chaplin_song),"MusicalWork,Work,Song"
125,DBPEDIA_ID/So_What_(Miles_Davis_composition),"MusicalWork,Work,Song"
126,DBPEDIA_ID/Solomon_Grundy,"MusicalWork,Work,Song"
127,DBPEDIA_ID/Some_Enchanted_Evening,"MusicalWork,Work,Song"
128,DBPEDIA_ID/Sparrow_(song),"MusicalWork,Work,Song"
129,DBPEDIA_ID/Stargazer_(Rainbow_song),"MusicalWork,Work,Song"
130,DBPEDIA_ID/Strangers_(Kay_song),"MusicalWork,Work,Song"
131,DBPEDIA_ID/Strangers_(The_Kinks_song),"MusicalWork,Work,Song"
132,DBPEDIA_ID/Sunrise_(Uriah_Heep_song),"MusicalWork,Work,Song"
133,DBPEDIA_ID/Supernaut_(song),"MusicalWork,Work,Song"
134,DBPEDIA_ID/Sympathy_for_the_Devil,"MusicalWork,Work,Song"
135,DBPEDIA_ID/Telegraph_Road_(song),"MusicalWork,Work,Song"
136,DBPEDIA_ID/The_Ballad_of_High_Noon,"MusicalWork,Work,Song"
137,DBPEDIA_ID/The_First_Time_(U2_song),"MusicalWork,Work,Song"
138,DBPEDIA_ID/The_Last_Resort_(Eagles_song),"MusicalWork,Work,Song"
139,DBPEDIA_ID/The_Lonely_(Christina_Perri_song),"MusicalWork,Work,Song"
140,DBPEDIA_ID/The_Look_of_Love_(1967_song),"MusicalWork,Work,Song"
141,DBPEDIA_ID/The_Mary_Ellen_Carter,"MusicalWork,Work,Song"
142,DBPEDIA_ID/The_Pink_Panther_Theme,"MusicalWork,Work,Song"
143,DBPEDIA_ID/The_Thin_Ice,"MusicalWork,Work,Song"
144,DBPEDIA_ID/There_Was_a_Crooked_Man,"MusicalWork,Work,Song"
145,DBPEDIA_ID/This_Is_the_Night_(Kurt_Calleja_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
146,DBPEDIA_ID/Tipperary_(song),"MusicalWork,Work,Song"
147,DBPEDIA_ID/Tom_Dooley_(song),"MusicalWork,Work,Song"
148,DBPEDIA_ID/True_Love_Waits_(song),"MusicalWork,Work,Song"
149,DBPEDIA_ID/Vivo_(Ti_scrivo),"EurovisionSongContestEntry,Work,MusicalWork,Song"
150,DBPEDIA_ID/Walkin'_My_Baby_Back_Home_(song),"MusicalWork,Work,Song"
151,DBPEDIA_ID/Warszawa_(song),"MusicalWork,Work,Song"
152,DBPEDIA_ID/Wave_(Antonio_Carlos_Jobim_song),"MusicalWork,Work,Song"
153,DBPEDIA_ID/Wave_(Beck_song),"MusicalWork,Work,Song"
154,DBPEDIA_ID/West_(song),"MusicalWork,Work,Song"
155,DBPEDIA_ID/What_If_(Colbie_Caillat_song),"MusicalWork,Work,Song"
156,DBPEDIA_ID/Wheel_of_Fortune_(1951_song),"MusicalWork,Work,Song"
157,DBPEDIA_ID/When_(Red_Vincent_Hurley_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
158,DBPEDIA_ID/Wish_You_Were_Here_(Pink_Floyd_song),"MusicalWork,Work,Song"
159,DBPEDIA_ID/Wonderful_(The_Beach_Boys_song),"MusicalWork,Work,Song"
160,DBPEDIA_ID/You_Belong_to_Me_(1952_song),"MusicalWork,Work,Song"
161,DBPEDIA_ID/Young_at_Heart_(Bananarama_song),"MusicalWork,Work,Song"
162,DBPEDIA_ID/Black_Sabbath_(song),"MusicalWork,Work,Song"
163,DBPEDIA_ID/Far_Away_(3+2_song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
164,DBPEDIA_ID/Fly_Me_to_the_Moon,"MusicalWork,Work,Song"
165,DBPEDIA_ID/Louder_than_Words_(David_Guetta_and_Afrojack_song),"MusicalWork,Work,Song"
166,DBPEDIA_ID/Never_Let_You_Go_(Justin_Bieber_song),"MusicalWork,Work,Song"
167,DBPEDIA_ID/October_(song),"MusicalWork,Work,Song"
168,DBPEDIA_ID/Opera_(song),"EurovisionSongContestEntry,Work,MusicalWork,Song"
169,DBPEDIA_ID/Parasite_(Kiss_song),"MusicalWork,Work,Song"
170,DBPEDIA_ID/Quasar_(song),"MusicalWork,Work,Song"
171,DBPEDIA_ID/Roses_are_Red,"MusicalWork,Work,Song"
172,DBPEDIA_ID/Ships_(song),"MusicalWork,Work,Song"
173,DBPEDIA_ID/Some_Days_Are_Better_Than_Others_(U2_song),"MusicalWork,Work,Song"
