,entity,classes
0,DBPEDIA_ID/18th_Dye__1,"Sound,Document,Work"
1,DBPEDIA_ID/Antonio_Bazzini__1,"Sound,Document,Work"
2,DBPEDIA_ID/Antonio_Bazzini__10,"Sound,Document,Work"
3,DBPEDIA_ID/Antonio_Bazzini__11,"Sound,Document,Work"
4,DBPEDIA_ID/Antonio_Bazzini__2,"Sound,Document,Work"
5,DBPEDIA_ID/Antonio_Bazzini__3,"Sound,Document,Work"
6,DBPEDIA_ID/Antonio_Bazzini__4,"Sound,Document,Work"
7,DBPEDIA_ID/Antonio_Bazzini__5,"Sound,Document,Work"
8,DBPEDIA_ID/Antonio_Bazzini__6,"Sound,Document,Work"
9,DBPEDIA_ID/Antonio_Bazzini__7,"Sound,Document,Work"
10,DBPEDIA_ID/Antonio_Bazzini__8,"Sound,Document,Work"
11,DBPEDIA_ID/Antonio_Bazzini__9,"Sound,Document,Work"
12,DBPEDIA_ID/Army_of_Sambre-et-Meuse__1,"Sound,Document,Work"
13,DBPEDIA_ID/Askold's_Grave_(opera)__1,"Sound,Document,Work"
14,DBPEDIA_ID/Call_on_Me_(Janet_Jackson_song)__1,"Sound,Document,Work"
15,DBPEDIA_ID/Common_poorwill__1,"Sound,Document,Work"
16,DBPEDIA_ID/Funky_Cold_Medina__1,"Sound,Document,Work"
17,DBPEDIA_ID/Gratuitous_Sax_&_Senseless_Violins__1,"Sound,Document,Work"
18,DBPEDIA_ID/Güira__1,"Sound,Document,Work"
19,DBPEDIA_ID/Hello_Young_Lovers_(Sparks_album)__1,"Sound,Document,Work"
20,DBPEDIA_ID/Le_prophète__1,"Sound,Document,Work"
21,DBPEDIA_ID/Lily_Allen__4,"Sound,Document,Work"
22,DBPEDIA_ID/Lily_Allen__5,"Sound,Document,Work"
23,DBPEDIA_ID/Maneater_(Nelly_Furtado_song)__1,"Sound,Document,Work"
24,DBPEDIA_ID/Maybe_Tomorrow_(Goldenhorse_song)__1,"Sound,Document,Work"
25,DBPEDIA_ID/Out_of_the_Moon__1,"Sound,Document,Work"
26,DBPEDIA_ID/Out_of_the_Moon__2,"Sound,Document,Work"
27,DBPEDIA_ID/Philippe_Gaubert__1,"Sound,Document,Work"
28,DBPEDIA_ID/Renard_(Stravinsky)__1,"Sound,Document,Work"
29,DBPEDIA_ID/Riverhead_(album)__1,"Sound,Document,Work"
30,DBPEDIA_ID/Riverhead_(album)__2,"Sound,Document,Work"
31,DBPEDIA_ID/Ronald_Greenwald__2,"Sound,Document,Work"
32,DBPEDIA_ID/Super_Eurobeat_Presents_Ayu-ro_Mix__1,"Sound,Document,Work"
33,DBPEDIA_ID/Syrian_chant__1,"Sound,Document,Work"
34,DBPEDIA_ID/Todd_Trainer__1,"Sound,Document,Work"
35,DBPEDIA_ID/UFO:_Alien_Invasion__1,"Sound,Document,Work"
36,DBPEDIA_ID/Vocalise_(Rachmaninoff)__1,"Sound,Document,Work"
37,DBPEDIA_ID/Vocalise_(Rachmaninoff)__10,"Sound,Document,Work"
38,DBPEDIA_ID/Vocalise_(Rachmaninoff)__11,"Sound,Document,Work"
39,DBPEDIA_ID/Vocalise_(Rachmaninoff)__2,"Sound,Document,Work"
40,DBPEDIA_ID/Vocalise_(Rachmaninoff)__3,"Sound,Document,Work"
41,DBPEDIA_ID/Vocalise_(Rachmaninoff)__4,"Sound,Document,Work"
42,DBPEDIA_ID/Vocalise_(Rachmaninoff)__5,"Sound,Document,Work"
43,DBPEDIA_ID/Vocalise_(Rachmaninoff)__6,"Sound,Document,Work"
44,DBPEDIA_ID/Vocalise_(Rachmaninoff)__7,"Sound,Document,Work"
45,DBPEDIA_ID/Vocalise_(Rachmaninoff)__8,"Sound,Document,Work"
46,DBPEDIA_ID/Vocalise_(Rachmaninoff)__9,"Sound,Document,Work"
47,DBPEDIA_ID/1nce_Again__1,"Sound,Document,Work"
48,DBPEDIA_ID/9_PM_(Till_I_Come)__1,"Sound,Document,Work"
49,DBPEDIA_ID/Ae_Fond_Kiss__1,"Sound,Document,Work"
50,DBPEDIA_ID/Ain't_No_Other_Man__1,"Sound,Document,Work"
51,DBPEDIA_ID/Alexandre_Guilmant__1,"Sound,Document,Work"
52,DBPEDIA_ID/Ali's_Smile:_Naked_Scientology__1,"Sound,Document,Work"
53,DBPEDIA_ID/All_You_Need_Is_Love_(The_JAMs_song)__1,"Sound,Document,Work"
54,DBPEDIA_ID/All_You_Need_Is_Love_(The_JAMs_song)__2,"Sound,Document,Work"
55,DBPEDIA_ID/Allroy's_Revenge__1,"Sound,Document,Work"
56,DBPEDIA_ID/Allroy_Sez__1,"Sound,Document,Work"
57,DBPEDIA_ID/Andros_Trophy__1,"Sound,Document,Work"
58,DBPEDIA_ID/Andros_Trophy__10,"Sound,Document,Work"
59,DBPEDIA_ID/Andros_Trophy__11,"Sound,Document,Work"
60,DBPEDIA_ID/Andros_Trophy__2,"Sound,Document,Work"
61,DBPEDIA_ID/Andros_Trophy__3,"Sound,Document,Work"
62,DBPEDIA_ID/Andros_Trophy__4,"Sound,Document,Work"
63,DBPEDIA_ID/Andros_Trophy__5,"Sound,Document,Work"
64,DBPEDIA_ID/Andros_Trophy__6,"Sound,Document,Work"
65,DBPEDIA_ID/Andros_Trophy__7,"Sound,Document,Work"
66,DBPEDIA_ID/Andros_Trophy__8,"Sound,Document,Work"
67,DBPEDIA_ID/Andros_Trophy__9,"Sound,Document,Work"
68,DBPEDIA_ID/Angel_Band_(song)__1,"Sound,Document,Work"
69,DBPEDIA_ID/Astronomy_(song)__1,"Sound,Document,Work"
70,DBPEDIA_ID/Aubrey_Powell_(designer)__1,"Sound,Document,Work"
71,DBPEDIA_ID/Aubrey_Powell_(designer)__10,"Sound,Document,Work"
72,DBPEDIA_ID/Aubrey_Powell_(designer)__11,"Sound,Document,Work"
73,DBPEDIA_ID/Aubrey_Powell_(designer)__2,"Sound,Document,Work"
74,DBPEDIA_ID/Aubrey_Powell_(designer)__3,"Sound,Document,Work"
75,DBPEDIA_ID/Aubrey_Powell_(designer)__4,"Sound,Document,Work"
76,DBPEDIA_ID/Aubrey_Powell_(designer)__5,"Sound,Document,Work"
77,DBPEDIA_ID/Aubrey_Powell_(designer)__6,"Sound,Document,Work"
78,DBPEDIA_ID/Aubrey_Powell_(designer)__7,"Sound,Document,Work"
79,DBPEDIA_ID/Aubrey_Powell_(designer)__8,"Sound,Document,Work"
80,DBPEDIA_ID/Aubrey_Powell_(designer)__9,"Sound,Document,Work"
81,DBPEDIA_ID/Award_Tour__1,"Sound,Document,Work"
82,DBPEDIA_ID/Baby_Baby_(Amy_Grant_song)__1,"Sound,Document,Work"
83,DBPEDIA_ID/Back_Home_Again_in_Indiana__1,"Sound,Document,Work"
84,DBPEDIA_ID/Back_to_Basics_(Christina_Aguilera_album)__1,"Sound,Document,Work"
85,DBPEDIA_ID/Back_to_Basics_(Christina_Aguilera_album)__10,"Sound,Document,Work"
86,DBPEDIA_ID/Back_to_Basics_(Christina_Aguilera_album)__11,"Sound,Document,Work"
87,DBPEDIA_ID/Back_to_Basics_(Christina_Aguilera_album)__2,"Sound,Document,Work"
88,DBPEDIA_ID/Back_to_Basics_(Christina_Aguilera_album)__3,"Sound,Document,Work"
