,entity,classes
0,DBPEDIA_ID/Space_Shuttle_Atlantis,"MeanOfTransportation,SpaceShuttle"
1,DBPEDIA_ID/Space_Shuttle_Challenger,"MeanOfTransportation,SpaceShuttle"
2,DBPEDIA_ID/Space_Shuttle_Columbia,"MeanOfTransportation,SpaceShuttle"
3,DBPEDIA_ID/Space_Shuttle_Discovery,"MeanOfTransportation,SpaceShuttle"
4,DBPEDIA_ID/Space_Shuttle_Endeavour,"MeanOfTransportation,SpaceShuttle"
5,DBPEDIA_ID/Space_Shuttle_Enterprise,"MeanOfTransportation,SpaceShuttle"
6,DBPEDIA_ID/Boeing_X-20_Dyna-Soar,"MeanOfTransportation,SpaceShuttle"
7,OK-GLI,"MeanOfTransportation,SpaceShuttle"
8,DBPEDIA_ID/Hopper_(spacecraft),"MeanOfTransportation,SpaceShuttle"
9,DBPEDIA_ID/Space_Shuttle_Independence,"MeanOfTransportation,SpaceShuttle"
10,DBPEDIA_ID/2.02_(Buran-class_spacecraft),"MeanOfTransportation,SpaceShuttle"
11,DBPEDIA_ID/2.01_(Buran-class_spacecraft),"MeanOfTransportation,SpaceShuttle"
12,DBPEDIA_ID/Space_Shuttle_Inspiration,"MeanOfTransportation,SpaceShuttle"
13,DBPEDIA_ID/2.03_(Buran-class_spacecraft),"MeanOfTransportation,SpaceShuttle"
14,DBPEDIA_ID/Buran_(spacecraft),"MeanOfTransportation,SpaceShuttle"
15,DBPEDIA_ID/Hermes_(spacecraft),"MeanOfTransportation,SpaceShuttle"
16,DBPEDIA_ID/Space_Shuttle_Pathfinder,"MeanOfTransportation,SpaceShuttle"
17,DBPEDIA_ID/Ptichka_(Buran-class_spacecraft),"MeanOfTransportation,SpaceShuttle"
