,entity,classes
0,DBPEDIA_ID/International_Space_Station,"MeanOfTransportation,SpaceStation"
1,DBPEDIA_ID/Kosmos_1686,"MeanOfTransportation,SpaceStation"
2,DBPEDIA_ID/BA_2100,"MeanOfTransportation,SpaceStation"
3,DBPEDIA_ID/Salyut_1,"MeanOfTransportation,SpaceStation"
4,DBPEDIA_ID/Salyut_2,"MeanOfTransportation,SpaceStation"
5,DBPEDIA_ID/Salyut_3,"MeanOfTransportation,SpaceStation"
6,DBPEDIA_ID/Salyut_4,"MeanOfTransportation,SpaceStation"
7,DBPEDIA_ID/Salyut_5,"MeanOfTransportation,SpaceStation"
8,DBPEDIA_ID/Salyut_6,"MeanOfTransportation,SpaceStation"
9,DBPEDIA_ID/Salyut_7,"MeanOfTransportation,SpaceStation"
10,DBPEDIA_ID/Space_Station_Freedom,"MeanOfTransportation,SpaceStation"
11,Skylab,"MeanOfTransportation,SpaceStation"
12,DBPEDIA_ID/Orbital_Piloted_Assembly_and_Experiment_Complex,"MeanOfTransportation,SpaceStation"
13,DBPEDIA_ID/Manned_Orbiting_Laboratory,"MeanOfTransportation,SpaceStation"
14,DBPEDIA_ID/Skylab_B,"MeanOfTransportation,SpaceStation"
15,DBPEDIA_ID/Galaxy_(spacecraft),"MeanOfTransportation,SpaceStation"
16,Sundancer,"MeanOfTransportation,SpaceStation"
17,DBPEDIA_ID/Orbital_Technologies_Commercial_Space_Station,"MeanOfTransportation,SpaceStation"
18,Tiangong-1,"MeanOfTransportation,SpaceStation"
19,Tiangong-3,"MeanOfTransportation,SpaceStation"
20,DBPEDIA_ID/Kosmos_557,"MeanOfTransportation,SpaceStation"
21,DBPEDIA_ID/Tiangong_program,"MeanOfTransportation,SpaceStation"
22,DBPEDIA_ID/Genesis_I,"MeanOfTransportation,SpaceStation"
23,DBPEDIA_ID/Genesis_II,"MeanOfTransportation,SpaceStation"
24,DBPEDIA_ID/Bigelow_Commercial_Space_Station,"MeanOfTransportation,SpaceStation"
25,Tiangong-2,"MeanOfTransportation,SpaceStation"
26,Priroda,"MeanOfTransportation,SpaceStation"
27,DOS-2,"MeanOfTransportation,SpaceStation"
28,Mir,"MeanOfTransportation,SpaceStation"
29,DBPEDIA_ID/BA_330,"MeanOfTransportation,SpaceStation"
30,DBPEDIA_ID/Pakistan_Mission_Control_Centre,"MeanOfTransportation,SpaceStation"
