,entity,classes
0,DBPEDIA_ID/Deep_Space_1,"MeanOfTransportation,Spacecraft"
1,DBPEDIA_ID/Luna_17,"MeanOfTransportation,Spacecraft"
2,DBPEDIA_ID/Luna_21,"MeanOfTransportation,Spacecraft"
3,DBPEDIA_ID/Shin'en_(spacecraft),"MeanOfTransportation,Spacecraft"
4,DBPEDIA_ID/Hopkins_Ultraviolet_Telescope,"MeanOfTransportation,Spacecraft"
5,DBPEDIA_ID/Sunrise_(telescope),"MeanOfTransportation,Spacecraft"
6,DBPEDIA_ID/THEOS_(satellite),"MeanOfTransportation,Spacecraft"
7,Telstar,"MeanOfTransportation,Spacecraft"
8,DBPEDIA_ID/Deep_Space_2,"MeanOfTransportation,Spacecraft"
9,DBPEDIA_ID/Jupiter_Europa_Orbiter,"MeanOfTransportation,Spacecraft"
10,LUCID,"MeanOfTransportation,Spacecraft"
11,DBPEDIA_ID/Space_Technology_5,"MeanOfTransportation,Spacecraft"
12,ExoMars,"MeanOfTransportation,Spacecraft"
13,DBPEDIA_ID/Lunar_Lander_(space_mission),"MeanOfTransportation,Spacecraft"
14,DBPEDIA_ID/Skylab_II,"MeanOfTransportation,Spacecraft"
15,DBPEDIA_ID/Sunjammer_(spacecraft),"MeanOfTransportation,Spacecraft"
16,UNIFORM-1,"MeanOfTransportation,Spacecraft"
17,DBPEDIA_ID/Suisei_(spacecraft),"MeanOfTransportation,Spacecraft"
18,DBPEDIA_ID/Venera_11,"MeanOfTransportation,Spacecraft"
19,DBPEDIA_ID/Venera_14,"MeanOfTransportation,Spacecraft"
20,DBPEDIA_ID/Vesta_(spacecraft),"MeanOfTransportation,Spacecraft"
21,DBPEDIA_ID/Ionosphere-Thermosphere_Storm_Probes,"MeanOfTransportation,Spacecraft"
22,DBPEDIA_ID/Hodoyoshi_4,"MeanOfTransportation,Spacecraft"
23,DBPEDIA_ID/Io_Volcano_Observer,"MeanOfTransportation,Spacecraft"
24,DBPEDIA_ID/Viking_1,"MeanOfTransportation,Spacecraft"
25,ISEE-1,"MeanOfTransportation,Spacecraft"
26,DBPEDIA_ID/Lunar_Orbital_Station,"MeanOfTransportation,Spacecraft"
27,DBPEDIA_ID/Cluster_(spacecraft),"MeanOfTransportation,Spacecraft"
28,DBPEDIA_ID/Core_Cabin_Module,"MeanOfTransportation,Spacecraft"
29,DBPEDIA_ID/European_Lunar_Explorer,"MeanOfTransportation,Spacecraft"
30,TAOS,"MeanOfTransportation,Spacecraft"
31,DBPEDIA_ID/Orbcomm_(satellite),"MeanOfTransportation,Spacecraft"
32,DBPEDIA_ID/Comet_Hopper,"MeanOfTransportation,Spacecraft"
33,DBPEDIA_ID/Near_Field_Infrared_Experiment,"MeanOfTransportation,Spacecraft"
34,DBPEDIA_ID/Venera_12,"MeanOfTransportation,Spacecraft"
35,POLDER,"MeanOfTransportation,Spacecraft"
36,DBPEDIA_ID/Mariner_5,"MeanOfTransportation,Spacecraft"
37,DBPEDIA_ID/Mariner_6_and_7,"MeanOfTransportation,Spacecraft"
38,DBPEDIA_ID/Ulysses_(spacecraft),"MeanOfTransportation,Spacecraft"
39,DBPEDIA_ID/Astrid_(satellite),"MeanOfTransportation,Spacecraft"
40,DBPEDIA_ID/Jupiter_Magnetospheric_Orbiter,"MeanOfTransportation,Spacecraft"
41,DBPEDIA_ID/Morelos_Satellite_System,"MeanOfTransportation,Spacecraft"
42,DBPEDIA_ID/Hodoyoshi_3,"MeanOfTransportation,Spacecraft"
43,SABIA-Mar,"MeanOfTransportation,Spacecraft"
44,DBPEDIA_ID/Raffaello_MPLM,"MeanOfTransportation,Spacecraft"
45,DBPEDIA_ID/SAARC_Satellite,"MeanOfTransportation,Spacecraft"
46,USA-229,"MeanOfTransportation,Spacecraft"
47,DBPEDIA_ID/Don_Quijote_(spacecraft),"MeanOfTransportation,Spacecraft"
48,DBPEDIA_ID/Communication-Centric_Intelligence_Satellite,"MeanOfTransportation,Spacecraft"
49,DBPEDIA_ID/Gravity_Recovery_and_Climate_Experiment,"MeanOfTransportation,Spacecraft"
50,Hayabusa,"MeanOfTransportation,Spacecraft"
51,DBPEDIA_ID/Helios_(spacecraft),"MeanOfTransportation,Spacecraft"
52,Hiten,"MeanOfTransportation,Spacecraft"
53,DBPEDIA_ID/Jupiter_Ganymede_Orbiter,"MeanOfTransportation,Spacecraft"
54,DBPEDIA_ID/Pleiades_(satellite),"MeanOfTransportation,Spacecraft"
55,DBPEDIA_ID/ExPRESS_Logistics_Carrier,"MeanOfTransportation,Spacecraft"
56,"DBPEDIA_ID/Pioneer_6,_7,_8,_and_9","MeanOfTransportation,Spacecraft"
57,DBPEDIA_ID/Nozomi_(spacecraft),"MeanOfTransportation,Spacecraft"
58,DBPEDIA_ID/Phobos_2,"MeanOfTransportation,Spacecraft"
59,DBPEDIA_ID/FOCAL_(spacecraft),"MeanOfTransportation,Spacecraft"
60,DBPEDIA_ID/Project_Echo,"MeanOfTransportation,Spacecraft"
61,DBPEDIA_ID/Titan_Saturn_System_Mission,"MeanOfTransportation,Spacecraft"
62,DBPEDIA_ID/Europa_Jupiter_System_Mission_–_Laplace,"MeanOfTransportation,Spacecraft"
63,DBPEDIA_ID/Heat_Capacity_Mapping_Mission,"MeanOfTransportation,Spacecraft"
64,MELOS,"MeanOfTransportation,Spacecraft"
65,Perseus-M,"MeanOfTransportation,Spacecraft"
66,PicoSAT,"MeanOfTransportation,Spacecraft"
67,DBPEDIA_ID/Space_Technology_Research_Vehicle,"MeanOfTransportation,Spacecraft"
68,DBPEDIA_ID/BugSat_1,"MeanOfTransportation,Spacecraft"
69,DBPEDIA_ID/Maritime_Monitoring_and_Messaging_Micro-Satellite,"MeanOfTransportation,Spacecraft"
70,Mars-Grunt,"MeanOfTransportation,Spacecraft"
71,OPS-SAT,"MeanOfTransportation,Spacecraft"
72,DBPEDIA_ID/Programme_for_Reusable_In-orbit_Demonstrator_in_Europe,"MeanOfTransportation,Spacecraft"
73,THEMIS,"MeanOfTransportation,Spacecraft"
74,DBPEDIA_ID/Venera_10,"MeanOfTransportation,Spacecraft"
75,SELENE-2,"MeanOfTransportation,Spacecraft"
76,DBPEDIA_ID/WIND_(spacecraft),"MeanOfTransportation,Spacecraft"
77,ISEE-2,"MeanOfTransportation,Spacecraft"
78,TabletSat-Aurora,"MeanOfTransportation,Spacecraft"
79,Venera-D,"MeanOfTransportation,Spacecraft"
80,DBPEDIA_ID/LEO_(spacecraft),"MeanOfTransportation,Spacecraft"
81,BepiColombo,"MeanOfTransportation,Spacecraft"
82,DBPEDIA_ID/Evolved_Laser_Interferometer_Space_Antenna,"MeanOfTransportation,Spacecraft"
83,DBPEDIA_ID/Gravity_Recovery_and_Interior_Laboratory,"MeanOfTransportation,Spacecraft"
84,DBPEDIA_ID/Living_Interplanetary_Flight_Experiment,"MeanOfTransportation,Spacecraft"
85,DBPEDIA_ID/Mars_Polar_Lander,"MeanOfTransportation,Spacecraft"
86,DBPEDIA_ID/Red_Dragon_(spacecraft),"MeanOfTransportation,Spacecraft"
87,DBPEDIA_ID/Zond_3,"MeanOfTransportation,Spacecraft"
88,DBPEDIA_ID/Zond_4,"MeanOfTransportation,Spacecraft"
89,DBPEDIA_ID/Zond_5,"MeanOfTransportation,Spacecraft"
90,DBPEDIA_ID/Zond_7,"MeanOfTransportation,Spacecraft"
91,DBPEDIA_ID/Zond_8,"MeanOfTransportation,Spacecraft"
92,DBPEDIA_ID/Intermediate_eXperimental_Vehicle,"MeanOfTransportation,Spacecraft"
93,DBPEDIA_ID/Moon_Mineralogy_Mapper,"MeanOfTransportation,Spacecraft"
94,DBPEDIA_ID/Autonomous_Nanosatellite_Guardian_for_Evaluating_Local_Space,"MeanOfTransportation,Spacecraft"
95,DBPEDIA_ID/Venera_13,"MeanOfTransportation,Spacecraft"
96,Lunar-A,"MeanOfTransportation,Spacecraft"
97,DBPEDIA_ID/Demonstration_and_Science_Experiments,"MeanOfTransportation,Spacecraft"
98,DBPEDIA_ID/Jupiter_Icy_Moon_Explorer,"MeanOfTransportation,Spacecraft"
99,DBPEDIA_ID/Astrobiology_Field_Laboratory,"MeanOfTransportation,Spacecraft"
100,DBPEDIA_ID/Dynamics_Explorer,"MeanOfTransportation,Spacecraft"
101,DBPEDIA_ID/High_Energy_Transient_Explorer,"MeanOfTransportation,Spacecraft"
102,DBPEDIA_ID/Huygens_(spacecraft),"MeanOfTransportation,Spacecraft"
103,DBPEDIA_ID/Van_Allen_Probes,"MeanOfTransportation,Spacecraft"
104,DBPEDIA_ID/Mars_2,"MeanOfTransportation,Spacecraft"
105,DBPEDIA_ID/Mars_3,"MeanOfTransportation,Spacecraft"
106,DBPEDIA_ID/Innovative_Space-based_Radar_Antenna_Technology,"MeanOfTransportation,Spacecraft"
107,DBPEDIA_ID/Leonardo_(ISS_module),"MeanOfTransportation,Spacecraft"
108,DBPEDIA_ID/SOCRATES_(satellite),"MeanOfTransportation,Spacecraft"
109,DBPEDIA_ID/Ionospheric_Connection_Explorer,"MeanOfTransportation,Spacecraft"
110,IKAROS,"MeanOfTransportation,Spacecraft"
