,entity,classes
0,Aardwolf,"Mammal,Eukaryote,Species,Animal"
1,Abacá,"Plant,Eukaryote,Species"
2,Abalone,"Mollusca,Eukaryote,Species,Animal"
3,Acantharea,Species
4,Actinophryid,"Eukaryote,Species"
5,Ailanthus,"Plant,Eukaryote,Species"
6,Alder,"Plant,Eukaryote,Species"
7,Amaranth,"Plant,Eukaryote,Species"
8,DBPEDIA_ID/Ancyra_(genus),"Insect,Eukaryote,Species,Animal"
9,Anoa,"Mammal,Eukaryote,Species,Animal"
10,Ant,"Insect,Eukaryote,Species,Animal"
11,Apiaceae,"Plant,Eukaryote,Species"
12,Apicomplexa,"Eukaryote,Species"
13,Aquilegia,"Plant,Eukaryote,Species"
14,Ardipithecus,"Mammal,Eukaryote,Species,Animal"
15,Armadillo,"Mammal,Eukaryote,Species,Animal"
16,Asimina,"Plant,Eukaryote,Species"
17,Asteraceae,"Plant,Eukaryote,Species"
18,Bacillus,"Bacteria,Species"
19,DBPEDIA_ID/Bacillus_thuringiensis,"Bacteria,Species"
20,Bear,"Mammal,Eukaryote,Species,Animal"
21,Beaver,"Mammal,Eukaryote,Species,Animal"
22,Beetle,"Insect,Eukaryote,Species,Animal"
23,Bison,"Mammal,Eukaryote,Species,Animal"
24,DBPEDIA_ID/Blue_crane,"Eukaryote,Bird,Animal,Species"
25,DBPEDIA_ID/Bluetongue_disease,Species
26,DBPEDIA_ID/Bongo_(antelope),"Mammal,Eukaryote,Species,Animal"
27,Branchiopoda,"Crustacean,Eukaryote,Species,Animal"
28,Brassicaceae,"Plant,Eukaryote,Species"
29,Brassicales,"Plant,Eukaryote,Species"
30,Callitrichidae,"Mammal,Eukaryote,Species,Animal"
31,Camel,"Mammal,Eukaryote,Species,Animal"
32,DBPEDIA_ID/Cane_toad,"Eukaryote,Amphibian,Species,Animal"
33,Canidae,"Mammal,Eukaryote,Species,Animal"
34,DBPEDIA_ID/Carolina_parakeet,"Eukaryote,Bird,Animal,Species"
35,Cat,"Mammal,Eukaryote,Species,Animal"
36,Cebidae,"Mammal,Eukaryote,Species,Animal"
37,DBPEDIA_ID/Ceiba_pentandra,"Plant,Eukaryote,Species"
38,Cereal,"Plant,Eukaryote,Species"
39,Chipmunk,"Mammal,Eukaryote,Species,Animal"
40,Chlorophyceae,"Plant,GreenAlga,Eukaryote,Species"
41,Chondrichthyes,"Fish,Eukaryote,Species,Animal"
42,Ciconiiformes,"Eukaryote,Bird,Animal,Species"
43,Cnidaria,"Eukaryote,Species,Animal"
44,Coffea,"Plant,Eukaryote,Species"
45,Commelinales,"Plant,Eukaryote,Species"
46,Coyote,"Mammal,Eukaryote,Species,Animal"
47,Cranberry,"Plant,Eukaryote,Species"
48,Cucurbitaceae,"Plant,Eukaryote,Species"
49,Cucurbitales,"Plant,Eukaryote,Species"
50,Cyprinidae,"Fish,Eukaryote,Species,Animal"
51,Cyprinodontiformes,"Fish,Eukaryote,Species,Animal"
52,Datura,"Plant,Eukaryote,Species"
53,Desmothoracid,"Eukaryote,Species"
54,Digitalis,"Plant,Eukaryote,Species"
55,Dioscoreales,"Plant,Eukaryote,Species"
56,Diprotodon,"Mammal,Eukaryote,Species,Animal"
57,Elephant,"Mammal,Eukaryote,Species,Animal"
58,Entamoeba,"Eukaryote,Species"
59,Enterobacteriaceae,"Bacteria,Species"
60,Equidae,"Mammal,Eukaryote,Species,Animal"
61,Ericaceae,"Plant,Eukaryote,Species"
62,Ericales,"Plant,Eukaryote,Species"
63,Eschrichtiidae,"Mammal,Eukaryote,Species,Animal"
64,Euglenozoa,"Eukaryote,Species"
65,Fagales,"Plant,Eukaryote,Species"
66,DBPEDIA_ID/Flowering_plant,"Plant,Eukaryote,Species"
67,Fox,"Mammal,Eukaryote,Species,Animal"
68,Galjoen,"Fish,Eukaryote,Species,Animal"
69,Gecko,"Reptile,Eukaryote,Species,Animal"
70,DBPEDIA_ID/Goeldi's_marmoset,"Mammal,Eukaryote,Species,Animal"
71,Gorilla,"Mammal,Eukaryote,Species,Animal"
72,DBPEDIA_ID/Great_auk,"Eukaryote,Bird,Animal,Species"
73,Gymnosphaerid,"Eukaryote,Species"
74,DBPEDIA_ID/Hammerhead_shark,"Fish,Eukaryote,Species,Animal"
75,Hamster,"Mammal,Eukaryote,Species,Animal"
76,Homininae,"Mammal,Eukaryote,Species,Animal"
77,DBPEDIA_ID/Homo_habilis,"Mammal,Eukaryote,Species,Animal"
78,Hyaena,"Mammal,Eukaryote,Species,Animal"
79,DBPEDIA_ID/Hydra_(genus),"Eukaryote,Species,Animal"
80,Hyena,"Mammal,Eukaryote,Species,Animal"
81,Jackal,"Mammal,Eukaryote,Species,Animal"
82,DBPEDIA_ID/Kalmia_latifolia,"Plant,Eukaryote,Species"
83,Kangaroo,"Mammal,Eukaryote,Species,Animal"
84,Kateretes,"Insect,Eukaryote,Species,Animal"
85,Kenyanthropus,"Mammal,Eukaryote,Species,Animal"
86,Kohlrabi,"Plant,Eukaryote,Species,CultivatedVariety"
87,Koi,"Fish,Eukaryote,Species,Animal"
88,Kumquat,"Plant,Eukaryote,Species"
89,DBPEDIA_ID/Labrador_duck,"Eukaryote,Bird,Animal,Species"
90,DBPEDIA_ID/Lambda_phage,Species
91,Lamiaceae,"Plant,Eukaryote,Species"
92,Lamiales,"Plant,Eukaryote,Species"
93,Laurales,"Plant,Eukaryote,Species"
94,Lavandula,"Plant,Eukaryote,Species"
95,Liliales,"Plant,Eukaryote,Species"
96,DBPEDIA_ID/Little_penguin,"Eukaryote,Bird,Animal,Species"
97,Llama,"Mammal,Eukaryote,Species,Animal"
98,Lorisidae,"Mammal,Eukaryote,Species,Animal"
99,Magnoliales,"Plant,Eukaryote,Species"
100,Malpighiales,"Plant,Eukaryote,Species"
101,Malvales,"Plant,Eukaryote,Species"
102,Manatee,"Mammal,Eukaryote,Species,Animal"
103,DBPEDIA_ID/McIntosh_(apple),"Plant,Eukaryote,Species,CultivatedVariety"
104,Mentha,"Plant,Eukaryote,Species"
105,Merlot,"FloweringPlant,Plant,Eukaryote,Species,Grape"
106,DBPEDIA_ID/Mexican_tetra,"Fish,Eukaryote,Species,Animal"
107,Mimosa,"Plant,Eukaryote,Species"
108,Mouse,"Mammal,Eukaryote,Species,Animal"
109,Mustelidae,"Mammal,Eukaryote,Species,Animal"
110,DBPEDIA_ID/Mycoplasma_genitalium,Species
111,Myrtales,"Plant,Eukaryote,Species"
112,Nepeta,"Plant,Eukaryote,Species"
113,DBPEDIA_ID/Northern_cavefish,"Fish,Eukaryote,Species,Animal"
114,Nucleariid,"Eukaryote,Species"
115,DBPEDIA_ID/Odd-toed_ungulate,"Mammal,Eukaryote,Species,Animal"
116,Odobenidae,"Mammal,Eukaryote,Species,Animal"
117,Okapi,"Mammal,Eukaryote,Species,Animal"
118,Orangutan,"Mammal,Eukaryote,Species,Animal"
119,Orchidaceae,"Plant,Eukaryote,Species"
120,Orrorin,"Mammal,Eukaryote,Species,Animal"
121,Panga,"Fish,Eukaryote,Species,Animal"
122,Paranthropus,"Mammal,Eukaryote,Species,Animal"
123,DBPEDIA_ID/Passenger_pigeon,"Eukaryote,Bird,Animal,Species"
124,Pear,"Plant,Eukaryote,Species"
125,DBPEDIA_ID/Peppered_moth,"Insect,Eukaryote,Species,Animal"
126,Peppermint,"Plant,Eukaryote,Species"
127,Perciformes,"Fish,Eukaryote,Species,Animal"
128,Percolozoa,"Eukaryote,Species"
129,Percopsiformes,"Fish,Eukaryote,Species,Animal"
130,Pig,"Mammal,Eukaryote,Species,Animal"
131,DBPEDIA_ID/Piper_(genus),"Plant,Eukaryote,Species"
132,Poales,"Plant,Eukaryote,Species"
133,DBPEDIA_ID/Podocarpus_latifolius,"Plant,Eukaryote,Species,Conifer"
134,Poeciliidae,"Fish,Eukaryote,Species,Animal"
135,Polygonaceae,"Plant,Eukaryote,Species"
136,Porcupinefish,"Fish,Eukaryote,Species,Animal"
137,DBPEDIA_ID/Prairie_dog,"Mammal,Eukaryote,Species,Animal"
138,DBPEDIA_ID/Protea_cynaroides,"Plant,Eukaryote,Species"
139,Proteobacteria,"Bacteria,Species"
140,Pythonidae,"Reptile,Eukaryote,Species,Animal"
141,Quagga,"Mammal,Eukaryote,Species,Animal"
142,Quail,"Eukaryote,Bird,Animal,Species"
143,Quassia,"Plant,Eukaryote,Species"
144,Rat,"Mammal,Eukaryote,Species,Animal"
145,DBPEDIA_ID/Red_wolf,"Mammal,Eukaryote,Species,Animal"
146,Retrovirus,Species
147,Rosaceae,"Plant,Eukaryote,Species"
148,Rosales,"Plant,Eukaryote,Species"
149,Rose,"Plant,Eukaryote,Species"
150,Sapindales,"Plant,Eukaryote,Species"
151,Satureja,"Plant,Eukaryote,Species"
152,DBPEDIA_ID/Sideroxylon_grandiflorum,"Plant,Eukaryote,Species"
153,DBPEDIA_ID/Smelt_(fish),"Fish,Eukaryote,Species,Animal"
154,Solanales,"Plant,Eukaryote,Species"
155,Spirotrich,"Eukaryote,Species"
156,Squirrel,"Mammal,Eukaryote,Species,Animal"
157,DBPEDIA_ID/Subspecies_of_Canis_lupus,"Mammal,Eukaryote,Species,Animal"
158,Tetraodontidae,"Fish,Eukaryote,Species,Animal"
159,Zebrafish,"Fish,Eukaryote,Species,Animal"
160,DBPEDIA_ID/Canine_distemper,Species
161,Cinchona,"Plant,Eukaryote,Species"
162,Jasmine,"Plant,Eukaryote,Species"
163,Larch,"Plant,Eukaryote,Species,Conifer"
164,Millipede,"Eukaryote,Species,Animal"
165,Nautilus,"Mollusca,Eukaryote,Species,Animal"
166,Rodhocetus,"Mammal,Eukaryote,Species,Animal"
167,Seahorse,"Fish,Eukaryote,Species,Animal"
168,DBPEDIA_ID/Turbina_corymbosa,"Plant,Eukaryote,Species"
169,‘Elepaio,"Eukaryote,Bird,Animal,Species"
170,Bulbul,"Eukaryote,Bird,Animal,Species"
171,Musaceae,"Plant,Eukaryote,Species"
172,Persimmon,"Plant,Eukaryote,Species"
173,Rooibos,"Plant,Eukaryote,Species"
174,Septoria,"Fungus,Eukaryote,Species"
175,DBPEDIA_ID/Africanized_bee,"Insect,Eukaryote,Species,Animal"
176,DBPEDIA_ID/Amazon_parrot,"Eukaryote,Bird,Animal,Species"
177,DBPEDIA_ID/Ammophila_(plant),"Plant,Eukaryote,Species"
178,Aphid,"Insect,Eukaryote,Species,Animal"
179,DBPEDIA_ID/Araucaria_araucana,"Plant,Eukaryote,Species,Conifer"
180,Arctium,"Plant,Eukaryote,Species"
181,Armillaria,"Fungus,Eukaryote,Species"
182,Aysheaia,"Eukaryote,Species,Animal"
183,Cauliflower,"Plant,Eukaryote,Species,CultivatedVariety"
