,entity,classes
0,DBPEDIA_ID/Conference_League,"Organisation,SportsLeague,Agent,SpeedwayLeague"
1,DBPEDIA_ID/British_League_Knockout_Cup,"Organisation,SportsLeague,Agent,SpeedwayLeague"
2,DBPEDIA_ID/Ekstraliga_(speedway),"Organisation,SportsLeague,Agent,SpeedwayLeague"
3,DBPEDIA_ID/Speedway_Grand_Prix,"Organisation,SportsLeague,Agent,SpeedwayLeague"
4,DBPEDIA_ID/Elitserien_(speedway),"Organisation,SportsLeague,Agent,SpeedwayLeague"
5,DBPEDIA_ID/Allsvenskan_(speedway),"Organisation,SportsLeague,Agent,SpeedwayLeague"
6,DBPEDIA_ID/Speedway_National_League_Division_Three,"Organisation,SportsLeague,Agent,SpeedwayLeague"
7,DBPEDIA_ID/British_League_Division_Two,"Organisation,SportsLeague,Agent,SpeedwayLeague"
8,DBPEDIA_ID/Speedway_National_League_Division_Two,"Organisation,SportsLeague,Agent,SpeedwayLeague"
9,DBPEDIA_ID/Southern_League_(1929–31),"Organisation,SportsLeague,Agent,SpeedwayLeague"
10,DBPEDIA_ID/Speedway_European_Championship,"Organisation,SportsLeague,Agent,SpeedwayLeague"
11,DBPEDIA_ID/Provincial_League_(1936–37),"Organisation,SportsLeague,Agent,SpeedwayLeague"
12,DBPEDIA_ID/Provincial_League_(speedway),"Organisation,SportsLeague,Agent,SpeedwayLeague"
13,DBPEDIA_ID/Craven_Shield,"Organisation,SportsLeague,Agent,SpeedwayLeague"
14,DBPEDIA_ID/Elite_League_Knockout_Cup,"Organisation,SportsLeague,Agent,SpeedwayLeague"
15,DBPEDIA_ID/British_League,"Organisation,SportsLeague,Agent,SpeedwayLeague"
16,DBPEDIA_ID/Southern_League_(1952–53),"Organisation,SportsLeague,Agent,SpeedwayLeague"
17,DBPEDIA_ID/Southern_Area_League,"Organisation,SportsLeague,Agent,SpeedwayLeague"
