,entity,classes
0,DBPEDIA_ID/Yarmouth_Bloaters,"Organisation,SportsTeam,SpeedwayTeam,Agent"
1,DBPEDIA_ID/Rye_House_Cobras,"Organisation,SportsTeam,SpeedwayTeam,Agent"
2,DBPEDIA_ID/Somerset_Rebels,"Organisation,SportsTeam,SpeedwayTeam,Agent"
3,DBPEDIA_ID/Birmingham_Brummies,"Organisation,SportsTeam,SpeedwayTeam,Agent"
4,DBPEDIA_ID/Boston_Barracudas,"Organisation,SportsTeam,SpeedwayTeam,Agent"
5,DBPEDIA_ID/Eastbourne_Eagles,"Organisation,SportsTeam,SpeedwayTeam,Agent"
6,DBPEDIA_ID/Isle_of_Wight_Islanders,"Organisation,SportsTeam,SpeedwayTeam,Agent"
7,DBPEDIA_ID/Mildenhall_Fen_Tigers,"Organisation,SportsTeam,SpeedwayTeam,Agent"
8,DBPEDIA_ID/Oxford_Cheetahs,"Organisation,SportsTeam,SpeedwayTeam,Agent"
9,DBPEDIA_ID/Peterborough_Panthers,"Organisation,SportsTeam,SpeedwayTeam,Agent"
10,DBPEDIA_ID/Redcar_Bears,"Organisation,SportsTeam,SpeedwayTeam,Agent"
11,DBPEDIA_ID/Scunthorpe_Scorpions,"Organisation,SportsTeam,SpeedwayTeam,Agent"
12,DBPEDIA_ID/Stoke_Potters,"Organisation,SportsTeam,SpeedwayTeam,Agent"
13,DBPEDIA_ID/Hackney_Hawks,"Organisation,SportsTeam,SpeedwayTeam,Agent"
14,DBPEDIA_ID/Ipswich_Witches,"Organisation,SportsTeam,SpeedwayTeam,Agent"
15,DBPEDIA_ID/Kent_Kings,"Organisation,SportsTeam,SpeedwayTeam,Agent"
16,DBPEDIA_ID/Hammarby_Speedway,"Organisation,SportsTeam,SpeedwayTeam,Agent"
17,Piraterna,"Organisation,SportsTeam,SpeedwayTeam,Agent"
18,Vargarna,"Organisation,SportsTeam,SpeedwayTeam,Agent"
19,DBPEDIA_ID/Middlesbrough_Bears,"Organisation,SportsTeam,SpeedwayTeam,Agent"
20,DBPEDIA_ID/Wolverhampton_Wolves,"Organisation,SportsTeam,SpeedwayTeam,Agent"
21,DBPEDIA_ID/Lokomotiv_Daugavpils,"Organisation,SportsTeam,SpeedwayTeam,Agent"
22,DBPEDIA_ID/Newcastle_Diamonds,"Organisation,SportsTeam,SpeedwayTeam,Agent"
23,DBPEDIA_ID/Norwich_Stars,"Organisation,SportsTeam,SpeedwayTeam,Agent"
24,DBPEDIA_ID/GKŻ_Wybrzeże,"Organisation,SportsTeam,SpeedwayTeam,Agent"
25,DBPEDIA_ID/Hastings_Saxons,"Organisation,SportsTeam,SpeedwayTeam,Agent"
26,DBPEDIA_ID/Falubaz_Zielona_Góra,"Organisation,SportsTeam,SpeedwayTeam,Agent"
27,DBPEDIA_ID/Sunderland_Stars,"Organisation,SportsTeam,SpeedwayTeam,Agent"
28,DBPEDIA_ID/Bradford_Dukes,"Organisation,SportsTeam,SpeedwayTeam,Agent"
29,DBPEDIA_ID/Cradley_Heathens,"Organisation,SportsTeam,SpeedwayTeam,Agent"
30,DBPEDIA_ID/Halifax_Dukes,"Organisation,SportsTeam,SpeedwayTeam,Agent"
31,DBPEDIA_ID/Sittingbourne_Crusaders,"Organisation,SportsTeam,SpeedwayTeam,Agent"
32,DBPEDIA_ID/Stoke_Spitfires,"Organisation,SportsTeam,SpeedwayTeam,Agent"
33,DBPEDIA_ID/Team_Bikab,"Organisation,SportsTeam,SpeedwayTeam,Agent"
34,DBPEDIA_ID/Buxton_Hitmen,"Organisation,SportsTeam,SpeedwayTeam,Agent"
35,DBPEDIA_ID/Newport_Wasps,"Organisation,SportsTeam,SpeedwayTeam,Agent"
36,DBPEDIA_ID/Poole_Pirates,"Organisation,SportsTeam,SpeedwayTeam,Agent"
37,DBPEDIA_ID/Sparta_Wrocław,"Organisation,SportsTeam,SpeedwayTeam,Agent"
38,DBPEDIA_ID/Wimbledon_Dons,"Organisation,SportsTeam,SpeedwayTeam,Agent"
39,DBPEDIA_ID/Nelson_Admirals,"Organisation,SportsTeam,SpeedwayTeam,Agent"
40,DBPEDIA_ID/Glasgow_Tigers_(speedway),"Organisation,SportsTeam,SpeedwayTeam,Agent"
41,DBPEDIA_ID/Berwick_Bandits,"Organisation,SportsTeam,SpeedwayTeam,Agent"
42,DBPEDIA_ID/GTŻ_Grudziądz,"Organisation,SportsTeam,SpeedwayTeam,Agent"
43,DBPEDIA_ID/Ikaros_Smederna,"Organisation,SportsTeam,SpeedwayTeam,Agent"
44,DBPEDIA_ID/KM_Ostrów_Wielkopolski,"Organisation,SportsTeam,SpeedwayTeam,Agent"
45,DBPEDIA_ID/PSŻ_Poznań,"Organisation,SportsTeam,SpeedwayTeam,Agent"
46,DBPEDIA_ID/Start_Gniezno,"Organisation,SportsTeam,SpeedwayTeam,Agent"
47,DBPEDIA_ID/Włókniarz_Częstochowa,"Organisation,SportsTeam,SpeedwayTeam,Agent"
48,DBPEDIA_ID/Hackney_Kestrels,"Organisation,SportsTeam,SpeedwayTeam,Agent"
49,DBPEDIA_ID/Ellesmere_Port_Gunners,"Organisation,SportsTeam,SpeedwayTeam,Agent"
50,DBPEDIA_ID/Swindon_Robins,"Organisation,SportsTeam,SpeedwayTeam,Agent"
51,DBPEDIA_ID/ŻKS_ROW_Rybnik,"Organisation,SportsTeam,SpeedwayTeam,Agent"
52,DBPEDIA_ID/Romford_Bombers,"Organisation,SportsTeam,SpeedwayTeam,Agent"
53,DBPEDIA_ID/Scunthorpe_Saints,"Organisation,SportsTeam,SpeedwayTeam,Agent"
54,DBPEDIA_ID/Fleetwood_Flyers,"Organisation,SportsTeam,SpeedwayTeam,Agent"
55,DBPEDIA_ID/Crayford_Kestrels,"Organisation,SportsTeam,SpeedwayTeam,Agent"
56,DBPEDIA_ID/Exeter_Falcons,"Organisation,SportsTeam,SpeedwayTeam,Agent"
57,DBPEDIA_ID/Wembley_Lions_(speedway),"Organisation,SportsTeam,SpeedwayTeam,Agent"
58,DBPEDIA_ID/Nottingham_(speedway),"Organisation,SportsTeam,SpeedwayTeam,Agent"
59,DBPEDIA_ID/Edinburgh_Monarchs,"Organisation,SportsTeam,SpeedwayTeam,Agent"
60,DBPEDIA_ID/Lakeside_Hammers,"Organisation,SportsTeam,SpeedwayTeam,Agent"
61,DBPEDIA_ID/Rochdale_Hornets_(speedway),"Organisation,SportsTeam,SpeedwayTeam,Agent"
62,DBPEDIA_ID/West_Ham_Hammers,"Organisation,SportsTeam,SpeedwayTeam,Agent"
63,DBPEDIA_ID/New_Cross_Rangers,"Organisation,SportsTeam,SpeedwayTeam,Agent"
64,DBPEDIA_ID/Long_Eaton_Speedway,"Organisation,SportsTeam,SpeedwayTeam,Agent"
65,DBPEDIA_ID/Polonia_Bydgoszcz,"Organisation,SportsTeam,SpeedwayTeam,Agent"
66,DBPEDIA_ID/Leicester_Lions,"Organisation,SportsTeam,SpeedwayTeam,Agent"
67,DBPEDIA_ID/Oxford_Lions,"Organisation,SportsTeam,SpeedwayTeam,Agent"
68,DBPEDIA_ID/Crewe_Kings,"Organisation,SportsTeam,SpeedwayTeam,Agent"
69,DBPEDIA_ID/Motherwell_Eagles,"Organisation,SportsTeam,SpeedwayTeam,Agent"
70,DBPEDIA_ID/Stamford_Bridge_Pensioners,"Organisation,SportsTeam,SpeedwayTeam,Agent"
71,DBPEDIA_ID/Unia_Leszno,"Organisation,SportsTeam,SpeedwayTeam,Agent"
72,DBPEDIA_ID/Milton_Keynes_Knights,"Organisation,SportsTeam,SpeedwayTeam,Agent"
73,DBPEDIA_ID/Plymouth_Devils,"Organisation,SportsTeam,SpeedwayTeam,Agent"
74,Lejonen,"Organisation,SportsTeam,SpeedwayTeam,Agent"
75,DBPEDIA_ID/Trelawny_Pitbulls,"Organisation,SportsTeam,SpeedwayTeam,Agent"
76,DBPEDIA_ID/Leicester_Super,"Organisation,SportsTeam,SpeedwayTeam,Agent"
77,DBPEDIA_ID/Coventry_Storm,"Organisation,SportsTeam,SpeedwayTeam,Agent"
78,DBPEDIA_ID/Walthamstow_Wolves,"Organisation,SportsTeam,SpeedwayTeam,Agent"
