,entity,classes
0,DBPEDIA_ID/Association_football,"Sport,Activity"
1,DBPEDIA_ID/Australian_rules_football,"Sport,Activity"
2,DBPEDIA_ID/Auto_racing,"Sport,Activity"
3,Badminton,"Sport,Activity"
4,Bandy,"Sport,Activity"
5,Baseball,"Sport,Activity"
6,Basketball,"Sport,Activity"
7,Biathlon,"Sport,Activity"
8,Bocce,"Sport,Activity"
9,Bowls,"Sport,Activity"
10,DBPEDIA_ID/Canadian_football,"Sport,Activity"
11,DBPEDIA_ID/Cross-country_skiing,"Sport,Activity"
12,DBPEDIA_ID/Cue_sports,"Sport,Activity"
13,Curling,"Sport,Activity"
14,DBPEDIA_ID/Disc_golf,"Sport,Activity"
15,Diving,"Sport,Activity"
16,DBPEDIA_ID/Field_hockey,"Sport,Activity"
17,DBPEDIA_ID/Figure_skating,"Sport,Activity"
18,Floorball,"Sport,Activity"
19,Geocaching,"Sport,Activity"
20,Handball,"Sport,Activity"
21,DBPEDIA_ID/Ice_hockey,"Sport,Activity"
22,Korfball,"Sport,Activity"
23,Lacrosse,"Sport,Activity"
24,Netball,"Sport,Activity"
25,Polo,"Sport,Activity"
26,DBPEDIA_ID/Rowing_(sport),"Sport,Activity"
27,DBPEDIA_ID/Rugby_league,"Sport,Activity"
28,DBPEDIA_ID/Rugby_union,"Sport,Activity"
29,Snooker,"Sport,Activity"
30,DBPEDIA_ID/Speed_skating,"Sport,Activity"
31,DBPEDIA_ID/Stock_car_racing,"Sport,Activity"
32,DBPEDIA_ID/Synchronised_swimming,"Sport,Activity"
33,DBPEDIA_ID/Tug_of_war,"Sport,Activity"
34,DBPEDIA_ID/Skeleton_(sport),"Sport,Activity"
35,DBPEDIA_ID/Arena_football,"Sport,Activity"
36,Reining,"Sport,Activity"
37,DBPEDIA_ID/Russian_four_square,"Sport,Activity"
38,DBPEDIA_ID/Tejo_(sport),"Sport,Activity"
39,DBPEDIA_ID/Endurance_riding,"Sport,Activity"
40,DBPEDIA_ID/Para-alpine_skiing,"Sport,Activity"
41,DBPEDIA_ID/Table_football,"Sport,Activity"
42,Tchoukball,"Sport,Activity"
43,Pedestrianism,"Sport,Activity"
44,DBPEDIA_ID/Street_hockey,"Sport,Activity"
45,DBPEDIA_ID/Single_skating,"Sport,Activity"
46,Kronum,"Sport,Activity"
47,Pingpongo,"Sport,Activity"
48,DBPEDIA_ID/Combat_sport,"Sport,Activity"
49,DBPEDIA_ID/Indoor_netball,"Sport,Activity"
50,DBPEDIA_ID/André_du_Pon,"Sport,Activity"
51,DBPEDIA_ID/Russell_Mark_Tanner,"Sport,Activity"
52,DBPEDIA_ID/Platform_tennis,"Sport,Activity"
53,DBPEDIA_ID/Beach_Flags_(sport),"Sport,Activity"
54,DBPEDIA_ID/VX_(sport),"Sport,Activity"
55,DBPEDIA_ID/Wheelchair_DanceSport,"Sport,Activity"
56,DBPEDIA_ID/Artistic_gymnastics,"Sport,Activity"
57,DBPEDIA_ID/Beach_volleyball,"Sport,Activity"
58,DBPEDIA_ID/Indoor_soccer,"Sport,Activity"
59,DBPEDIA_ID/Underwater_hockey,"Sport,Activity"
60,Padbol,"Sport,Activity"
61,Ecua-volley,"Sport,Activity"
62,Chaza,"Sport,Activity"
63,Patball,"Sport,Activity"
64,Gateball,"Sport,Activity"
65,Grasstrack,"Sport,Activity"
66,Slopestyle,"Sport,Activity"
67,DBPEDIA_ID/Women's_rugby_league,"Sport,Activity"
68,DBPEDIA_ID/Underwater_sports,"Sport,Activity"
69,Footgolf,"Sport,Activity"
70,Juldarigi,"Sport,Activity"
71,DBPEDIA_ID/Paragliding_in_Azerbaijan,"Sport,Activity"
72,DBPEDIA_ID/Basque_pelota,"Sport,Activity"
73,DBPEDIA_ID/Elle_(sport),"Sport,Activity"
74,DBPEDIA_ID/Masters_Rugby_League,"Sport,Activity"
75,DBPEDIA_ID/Roller_derby,"Sport,Activity"
76,DBPEDIA_ID/Rugby_league_nines,"Sport,Activity"
77,DBPEDIA_ID/Rugby_league_sevens,"Sport,Activity"
78,DBPEDIA_ID/Rugby_sevens,"Sport,Activity"
79,DBPEDIA_ID/Rugby_tens,"Sport,Activity"
80,Steeplechase,"Sport,Activity"
81,Triathlon,"Sport,Activity"
82,DBPEDIA_ID/Underwater_rugby,"Sport,Activity"
83,Volleyball,"Sport,Activity"
84,DBPEDIA_ID/Barrel_racing,"Sport,Activity"
85,Cricket,"Sport,Activity"
86,DBPEDIA_ID/Cross-country_skiing_(sport),"Sport,Activity"
87,DBPEDIA_ID/Freestyle_skiing,"Sport,Activity"
88,DBPEDIA_ID/KNSB_Dutch_Marathon_Championships,"Sport,Activity"
89,DBPEDIA_ID/Long_track_speed_skating,"Sport,Activity"
90,DBPEDIA_ID/Pole_bending,"Sport,Activity"
91,DBPEDIA_ID/Track_and_field,"Sport,Activity"
92,DBPEDIA_ID/Combined_driving,"Sport,Activity"
93,DBPEDIA_ID/Plunge_for_distance,"Sport,Activity"
94,DBPEDIA_ID/Women's_basketball,"Sport,Activity"
95,DBPEDIA_ID/Women's_lacrosse,"Sport,Activity"
96,Quoits,"Sport,Activity"
97,DBPEDIA_ID/Kho_kho,"Sport,Activity"
98,Dressage,"Sport,Activity"
99,Eventing,"Sport,Activity"
100,DBPEDIA_ID/Squash_(sport),"Sport,Activity"
101,DBPEDIA_ID/Water_polo,"Sport,Activity"
102,Bobsleigh,"Sport,Activity"
103,DBPEDIA_ID/Gaelic_football,"Sport,Activity"
104,DBPEDIA_ID/Ice_dancing,"Sport,Activity"
105,Keirin,"Sport,Activity"
106,Luge,"Sport,Activity"
107,DBPEDIA_ID/Nordic_combined,"Sport,Activity"
108,Racquetball,"Sport,Activity"
109,DBPEDIA_ID/Short_track_speed_skating,"Sport,Activity"
110,DBPEDIA_ID/Show_jumping,"Sport,Activity"
111,DBPEDIA_ID/Ski_jumping,"Sport,Activity"
112,Snowboarding,"Sport,Activity"
113,DBPEDIA_ID/Sport_of_athletics,"Sport,Activity"
114,DBPEDIA_ID/Table_tennis,"Sport,Activity"
115,Tennis,"Sport,Activity"
116,DBPEDIA_ID/Ultimate_(sport),"Sport,Activity"
117,Wakeboarding,"Sport,Activity"
118,DBPEDIA_ID/Motorcycle_racing,"Sport,Activity"
119,DBPEDIA_ID/Roller_hockey_(quad),"Sport,Activity"
120,DBPEDIA_ID/3x3_(basketball),"Sport,Activity"
121,DBPEDIA_ID/American_rotation,"Sport,Activity"
122,Eight-ender,"Sport,Activity"
123,Ringette,"Sport,Activity"
124,DBPEDIA_ID/Cushion_caroms,"Sport,Activity"
125,Jorkyball,"Sport,Activity"
126,DBPEDIA_ID/Women's_rugby_union,"Sport,Activity"
127,DBPEDIA_ID/Mountain_bike_orienteering,"Sport,Activity"
128,DBPEDIA_ID/Inline_hockey_in_the_United_Kingdom,"Sport,Activity"
129,DBPEDIA_ID/Crown_green_bowls,"Sport,Activity"
130,DBPEDIA_ID/Field_lacrosse,"Sport,Activity"
131,DBPEDIA_ID/Formula_racing,"Sport,Activity"
132,DBPEDIA_ID/Motorcycle_speedway,"Sport,Activity"
133,DBPEDIA_ID/Cutting_(sport),"Sport,Activity"
134,DBPEDIA_ID/Box_lacrosse,"Sport,Activity"
135,DBPEDIA_ID/Flag_football,"Sport,Activity"
136,DBPEDIA_ID/Haxey_Hood,"Sport,Activity"
137,DBPEDIA_ID/Jai_alai,"Sport,Activity"
138,DBPEDIA_ID/Sepak_takraw,"Sport,Activity"
139,Roque,"Sport,Activity"
140,DBPEDIA_ID/Caber_toss,"Sport,Activity"
141,Zorbing,"Sport,Activity"
142,Dancesport,"Sport,Activity"
143,DBPEDIA_ID/Padel_(sport),"Sport,Activity"
144,DBPEDIA_ID/Auto_Race_(Japanese_sport),"Sport,Activity"
145,DBPEDIA_ID/Ball_hockey,"Sport,Activity"
146,DBPEDIA_ID/Pitton_(sport),"Sport,Activity"
147,Para-equestrian,"Sport,Activity"
148,DBPEDIA_ID/Sport_stacking,"Sport,Activity"
149,DBPEDIA_ID/Asia_Pacific_Activities_Conference,"Sport,Activity"
150,Cyclo-cross,"Sport,Activity"
151,DBPEDIA_ID/Paddle_tennis,"Sport,Activity"
152,DBPEDIA_ID/Quidditch_(sport),"Sport,Activity"
153,DBPEDIA_ID/Australian_rodeo,"Sport,Activity"
154,DBPEDIA_ID/Canoe_orienteering,"Sport,Activity"
155,DBPEDIA_ID/Composite_rules_shinty–hurling,"Sport,Activity"
156,Finswimming,"Sport,Activity"
