,entity,classes
0,DBPEDIA_ID/Cardiff_Arms_Park,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
1,DBPEDIA_ID/Craven_Cottage,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
2,DBPEDIA_ID/Melbourne_Cricket_Ground,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
3,DBPEDIA_ID/Lambeau_Field,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
4,DBPEDIA_ID/Bragg_Memorial_Stadium,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
5,DBPEDIA_ID/Buttermilk_(ski_area),"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
6,DBPEDIA_ID/Cooperage_Ground,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
7,DBPEDIA_ID/KGV_Oval,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
8,DBPEDIA_ID/Loon_Mountain_Ski_Resort,"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
9,DBPEDIA_ID/New_Douglas_Park,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
10,DBPEDIA_ID/Northumberland_Development_Project,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
11,DBPEDIA_ID/Red_Lodge_Mountain,"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
12,DBPEDIA_ID/Snowmass_(ski_area),"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
13,DBPEDIA_ID/Snowshoe_Mountain,"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
14,DBPEDIA_ID/Sydney_Showground_(Olympic_Park),"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
15,DBPEDIA_ID/Tantramar_Civic_Centre,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
16,DBPEDIA_ID/The_Dome_Center,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
17,DBPEDIA_ID/The_Dome_Leisure_Centre,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
18,DBPEDIA_ID/Adana_Yeşiloba_Hippodrome,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
19,DBPEDIA_ID/Alexandreio_Melathron_Nick_Galis_Hall,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
20,DBPEDIA_ID/Alpine_Meadows_(ski_resort),"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
21,DBPEDIA_ID/Arena_Leipzig,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
22,DBPEDIA_ID/Arena_Zagreb,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
23,DBPEDIA_ID/Atlant_Stadium,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
24,DBPEDIA_ID/Blue_Hills_Ski_Area,"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
25,DBPEDIA_ID/Broomfield_Park,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
26,"DBPEDIA_ID/Central_Park,_Cowdenbeath","ArchitecturalStructure,SportFacility,Place,Location,Stadium"
27,DBPEDIA_ID/Central_Park_(Wigan),"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
28,DBPEDIA_ID/Clapton_Stadium,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
29,DBPEDIA_ID/Convocation_Center_(Eastern_Michigan_University),"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
30,"DBPEDIA_ID/County_Ground,_Lakenham","ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
31,DBPEDIA_ID/County_Ground_(Leyland),"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
32,DBPEDIA_ID/County_Ground_(Swindon),"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
33,DBPEDIA_ID/Dean_Park_Cricket_Ground,"ArchitecturalStructure,SportFacility,Place,CricketGround,Location"
34,DBPEDIA_ID/Estadio_Almagro,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
35,DBPEDIA_ID/Estadio_Santa_Laura-Universidad_SEK,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
36,DBPEDIA_ID/Frome_Sports_Club,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
37,DBPEDIA_ID/Gunstock_Mountain_Resort,"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
38,DBPEDIA_ID/HBF_Stadium,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
39,DBPEDIA_ID/Hala_Arena,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
40,DBPEDIA_ID/Hanson_Field,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
41,Heinz-Steyer-Stadion,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
42,DBPEDIA_ID/Kempton_Park_Racecourse,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
43,DBPEDIA_ID/Kensington_Hippodrome,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
44,DBPEDIA_ID/Korakuen_Hall,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
45,DBPEDIA_ID/Korakuen_Stadium,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
46,DBPEDIA_ID/Los_Alamitos_Race_Course,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
47,DBPEDIA_ID/Matthew_Knight_Arena,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
48,DBPEDIA_ID/Memorial_Athletic_and_Convocation_Center,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
49,DBPEDIA_ID/Mt_Norquay,"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
50,DBPEDIA_ID/Muzzy_Field,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
51,DBPEDIA_ID/Northstar_California,"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
52,DBPEDIA_ID/Olimpia_Sports_Hall,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
53,DBPEDIA_ID/Ovcha_Kupel_Stadium,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
54,DBPEDIA_ID/Palais_des_Sports_(Kintélé),"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
55,DBPEDIA_ID/Palais_des_Sports_(Paris),"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
56,DBPEDIA_ID/Palais_des_Sports_Maurice_Thorez,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
57,DBPEDIA_ID/Palais_des_Sports_de_Beaublanc,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
58,Porsche-Arena,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
59,DBPEDIA_ID/Princes_Park_(stadium),"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
60,"DBPEDIA_ID/Recreation_Park,_Alloa","ArchitecturalStructure,SportFacility,Place,Location,Stadium"
61,DBPEDIA_ID/Recreation_Park_(Visalia),"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
62,DBPEDIA_ID/Roy_Wilkins_Auditorium,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
63,DBPEDIA_ID/Royal_Calcutta_Turf_Club,"SportFacility,Racecourse,RaceTrack,ArchitecturalStructure,Place,Location"
64,DBPEDIA_ID/Rushton_Park,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
65,DBPEDIA_ID/San_Roque_Club,"ArchitecturalStructure,SportFacility,Place,GolfCourse,Location"
66,DBPEDIA_ID/Silver_Star_Mountain_Resort,"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
67,DBPEDIA_ID/Stadion_Florian_Krygier,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
68,DBPEDIA_ID/Starfire_Sports,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
69,DBPEDIA_ID/Sunlight_Ski_Area,"ArchitecturalStructure,SportFacility,SkiArea,Place,Location"
