,entity,classes
0,DBPEDIA_ID/Kentucky_Derby,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
1,DBPEDIA_ID/Melbourne_Cup,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
2,DBPEDIA_ID/Super_Bowl,"SportsEvent,SocietalEvent,Event,NationalFootballLeagueEvent"
3,DBPEDIA_ID/1906_Intercalated_Games,"SportsEvent,Olympics,Event,SocietalEvent"
4,DBPEDIA_ID/1952_Winter_Olympics,"SportsEvent,Olympics,Event,SocietalEvent"
5,DBPEDIA_ID/1960_Summer_Paralympics,"SportsEvent,Event,SocietalEvent"
6,DBPEDIA_ID/1968_Winter_Olympics,"SportsEvent,Olympics,Event,SocietalEvent"
7,DBPEDIA_ID/1970_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
8,DBPEDIA_ID/1974_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
9,DBPEDIA_ID/1986_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
10,DBPEDIA_ID/1990_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
11,DBPEDIA_ID/1994_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
12,DBPEDIA_ID/2006_FIFA_World_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
13,DBPEDIA_ID/Angus_Armanasco_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
14,DBPEDIA_ID/DGUSA_Fearless,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
15,DBPEDIA_ID/Dante_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
16,DBPEDIA_ID/Toto_Japan_Classic,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
17,DBPEDIA_ID/Acomb_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
18,DBPEDIA_ID/Bob_Hope_British_Classic,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
19,DBPEDIA_ID/CareerBuilder_Challenge,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
20,DBPEDIA_ID/Chikara_High_Noon,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
21,DBPEDIA_ID/Criterion_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
22,DBPEDIA_ID/Crocodile_Trophy,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
23,DBPEDIA_ID/Dogwood_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
24,DBPEDIA_ID/Doral_Open,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
25,DBPEDIA_ID/Dutch_Open_(tennis),"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
26,DBPEDIA_ID/ELF_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
27,DBPEDIA_ID/Flamingo_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
28,DBPEDIA_ID/Frankfurt_Grand_Prix_(tennis),"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
29,DBPEDIA_ID/Joe_Hirsch_Turf_Classic_Invitational_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
30,DBPEDIA_ID/Kennedy_Road_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
31,DBPEDIA_ID/Myer_Classic,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
32,DBPEDIA_ID/Open_de_Nice_Côte_d'Azur,"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
33,DBPEDIA_ID/People's_Choice_Classic,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
34,DBPEDIA_ID/Rolling_Thunder_Cyclocross_Race,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
35,DBPEDIA_ID/San_Antonio_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
36,DBPEDIA_ID/San_Clemente_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
37,DBPEDIA_ID/Silver_Shadow_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
38,DBPEDIA_ID/Singapore_Open_(men's_tennis),"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
39,DBPEDIA_ID/Tour_Down_Under,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
40,DBPEDIA_ID/Tour_DuPont,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
41,DBPEDIA_ID/WTA_Singapore_Open,"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
42,DBPEDIA_ID/White_Rose_Varsity_Tournament,"SportsEvent,Event,SocietalEvent"
43,DBPEDIA_ID/Commonwealth_Cup_(horse_race),"SportsEvent,HorseRace,Race,Event,SocietalEvent"
44,DBPEDIA_ID/Dahlia_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
45,DBPEDIA_ID/Dahlia_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
46,DBPEDIA_ID/Dahlia_Stakes_(United_States),"SportsEvent,HorseRace,Race,Event,SocietalEvent"
47,DBPEDIA_ID/Valero_Texas_Open,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
48,DBPEDIA_ID/1999_World_Cup_of_Golf,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
49,DBPEDIA_ID/2011_World_Cup_(men's_golf),"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
50,DBPEDIA_ID/BPost_Bank_Trophy,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
51,DBPEDIA_ID/Champions_Cup_(horse_race),"SportsEvent,HorseRace,Race,Event,SocietalEvent"
52,DBPEDIA_ID/Demoiselle_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
53,DBPEDIA_ID/Dubai_World_Cup,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
54,DBPEDIA_ID/First_Flight_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
55,DBPEDIA_ID/Gazelle_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
56,DBPEDIA_ID/In_Your_House_12:_It's_Time,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
57,DBPEDIA_ID/John_Deere_Classic,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
58,DBPEDIA_ID/London_Nocturne,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
59,DBPEDIA_ID/Munsingwear_Open_KSB_Cup,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
60,DBPEDIA_ID/Paralympic_Winter_World_Cup,"SportsEvent,Event,SocietalEvent"
61,DBPEDIA_ID/Paralympic_World_Cup,"SportsEvent,Event,SocietalEvent"
62,DBPEDIA_ID/RINGS_King_of_Kings_Tournament_1999,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
63,DBPEDIA_ID/Regret_Stakes,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
64,DBPEDIA_ID/Sacrifice_(2008),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
65,DBPEDIA_ID/Sacrifice_(2009),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
66,DBPEDIA_ID/Sacrifice_(2010),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
67,DBPEDIA_ID/Sacrifice_(2011),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
68,DBPEDIA_ID/Sacrifice_(2012),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
69,DBPEDIA_ID/Sacrifice_(2014),"SportsEvent,WrestlingEvent,Event,SocietalEvent"
70,DBPEDIA_ID/TNA_No_Surrender,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
71,DBPEDIA_ID/TNA_Sacrifice,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
72,DBPEDIA_ID/True_North_Handicap,"SportsEvent,HorseRace,Race,Event,SocietalEvent"
73,DBPEDIA_ID/Vuelta_al_Táchira,"SportsEvent,Race,Event,SocietalEvent,CyclingRace"
74,DBPEDIA_ID/World_Covered_Court_Championships,"SportsEvent,Tournament,WomensTennisAssociationTournament,Event,SocietalEvent"
75,DBPEDIA_ID/WrestleMania_I,"SportsEvent,WrestlingEvent,Event,SocietalEvent"
76,DBPEDIA_ID/1881_FA_Cup_Final,"SportsEvent,FootballMatch,Event,SocietalEvent"
77,DBPEDIA_ID/1895_World_Championship_(football),"SportsEvent,FootballMatch,Event,SocietalEvent"
78,DBPEDIA_ID/1895–96_Scottish_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
79,DBPEDIA_ID/1904_Copa_del_Rey,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
80,DBPEDIA_ID/1905_Svenska_Mästerskapet,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
81,DBPEDIA_ID/1906_Svenska_Mästerskapet,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
82,DBPEDIA_ID/1908_Svenska_Mästerskapet,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
83,DBPEDIA_ID/1934_Copa_del_Presidente_de_la_República,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
84,DBPEDIA_ID/1940_Taça_de_Portugal_Final,"SportsEvent,FootballMatch,Event,SocietalEvent"
85,DBPEDIA_ID/1941_PGA_Championship,"SportsEvent,SocietalEvent,Event,Tournament,GolfTournament"
86,DBPEDIA_ID/1942_All-Ireland_Senior_Football_Championship_Final,"SportsEvent,FootballMatch,Event,SocietalEvent"
87,DBPEDIA_ID/1942_Copa_del_Generalísimo,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
88,DBPEDIA_ID/1944_All-Ireland_Senior_Hurling_Championship_Final,"SportsEvent,FootballMatch,Event,SocietalEvent"
89,DBPEDIA_ID/1953_CCCF_Championship,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
90,DBPEDIA_ID/1960_Albanian_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
91,DBPEDIA_ID/1961–62_Israel_State_Cup,"SportsEvent,Tournament,SoccerTournament,Event,SocietalEvent"
