,entity,classes
0,DBPEDIA_ID/Abel_Ferreira,"Person,SportsManager,Agent,SoccerManager"
1,DBPEDIA_ID/Antônio_Wilson_Vieira_Honório,"Person,SportsManager,Agent,SoccerManager"
2,DBPEDIA_ID/Eliezer_Spiegel,"Person,SportsManager,Agent,SoccerManager"
3,DBPEDIA_ID/Müller_(footballer),"Person,SportsManager,Agent,SoccerManager"
4,DBPEDIA_ID/Petit_(Portuguese_footballer),"Person,SportsManager,Agent,SoccerManager"
5,"DBPEDIA_ID/Ricardo_(footballer,_born_1971)","Person,SportsManager,Agent,SoccerManager"
6,"DBPEDIA_ID/Ricardo_Rocha_(Brazilian_footballer,_born_1965)","Person,SportsManager,Agent,SoccerManager"
7,DBPEDIA_ID/Roberto_Fernández_Bonillo,"Person,SportsManager,Agent,SoccerManager"
8,DBPEDIA_ID/Roberto_Fresnedoso,"Person,SportsManager,Agent,SoccerManager"
9,DBPEDIA_ID/Roger_García_Junyent,"Person,SportsManager,Agent,SoccerManager"
10,DBPEDIA_ID/Roger_Machado_Marques,"Person,SportsManager,Agent,SoccerManager"
11,DBPEDIA_ID/Sidney_Moraes,"Person,SportsManager,Agent,SoccerManager"
12,DBPEDIA_ID/Tim_(footballer),"Person,SportsManager,Agent,SoccerManager"
13,DBPEDIA_ID/Bobby_Charlton,"Person,SportsManager,Agent,SoccerManager"
14,DBPEDIA_ID/Carlos_Valderrama,"Person,SportsManager,Agent,SoccerManager"
15,DBPEDIA_ID/Diego_Maradona,"Person,SportsManager,Agent,SoccerManager"
16,DBPEDIA_ID/Dino_Zoff,"Person,SportsManager,Agent,SoccerManager"
17,DBPEDIA_ID/Franco_Baresi,"Person,SportsManager,Agent,SoccerManager"
18,DBPEDIA_ID/Geoff_Hurst,"Person,SportsManager,Agent,SoccerManager"
19,DBPEDIA_ID/Gheorghe_Hagi,"Person,SportsManager,Agent,SoccerManager"
20,DBPEDIA_ID/Gordon_Banks,"Person,SportsManager,Agent,SoccerManager"
21,DBPEDIA_ID/Kenny_Dalglish,"Person,SportsManager,Agent,SoccerManager"
22,DBPEDIA_ID/Franz_Beckenbauer,"Person,SportsManager,Agent,SoccerManager"
23,DBPEDIA_ID/Stanley_Matthews,"Person,SportsManager,Agent,SoccerManager"
24,DBPEDIA_ID/Brian_Clough,"Person,SportsManager,Agent,SoccerManager"
25,DBPEDIA_ID/Chris_Waddle,"Person,SportsManager,Agent,SoccerManager"
26,DBPEDIA_ID/Ian_Ure,"Person,SportsManager,Agent,SoccerManager"
27,DBPEDIA_ID/Kate_Markgraf,"Person,SportsManager,Agent,SoccerManager"
28,DBPEDIA_ID/Andrew_McCulloch_(footballer),"Person,SportsManager,Agent,SoccerManager"
29,DBPEDIA_ID/André_Gérard,"Person,SportsManager,Agent,SoccerManager"
30,DBPEDIA_ID/Billy_Jennings_(Welsh_footballer),"Person,SportsManager,Agent,SoccerManager"
31,DBPEDIA_ID/Colin_Miller_(soccer),"Person,SportsManager,Agent,SoccerManager"
32,DBPEDIA_ID/Dave_Howitt,"Person,SportsManager,Agent,SoccerManager"
33,DBPEDIA_ID/Enrico_Chiesa,"Person,SportsManager,Agent,SoccerManager"
34,DBPEDIA_ID/Enrico_Kern,"Person,SportsManager,Agent,SoccerManager"
35,DBPEDIA_ID/Frank_Gerster,"Person,SportsManager,Agent,SoccerManager"
36,DBPEDIA_ID/Gérard_Banide,"Person,SportsManager,Agent,SoccerManager"
37,DBPEDIA_ID/Gérard_Buscher,"Person,SportsManager,Agent,SoccerManager"
38,DBPEDIA_ID/Gérard_Delbeke,"Person,SportsManager,Agent,SoccerManager"
39,DBPEDIA_ID/Gérard_Devos,"Person,SportsManager,Agent,SoccerManager"
40,DBPEDIA_ID/Gérard_Houllier,"Person,SportsManager,Agent,SoccerManager"
41,DBPEDIA_ID/Gérard_Soler,"Person,SportsManager,Agent,SoccerManager"
42,DBPEDIA_ID/Jacob_Timpano,"Person,SportsManager,Agent,SoccerManager"
43,DBPEDIA_ID/John_Bentley_(football_manager),"Person,SportsManager,Agent,SoccerManager"
44,DBPEDIA_ID/Johnny_Rep,"Person,SportsManager,Agent,SoccerManager"
45,DBPEDIA_ID/Mustapha_Hadji,"Person,SportsManager,Agent,SoccerManager"
46,DBPEDIA_ID/Óscar_Ibáñez,"Person,SportsManager,Agent,SoccerManager"
47,Adílio,"Person,SportsManager,Agent,SoccerManager"
48,DBPEDIA_ID/Alan_Davidson_(Australian_footballer),"Person,SportsManager,Agent,SoccerManager"
49,"DBPEDIA_ID/Alan_Martin_(footballer,_born_1923)","Person,SportsManager,Agent,SoccerManager"
50,DBPEDIA_ID/Alan_Walker_(footballer),"Person,SportsManager,Agent,SoccerManager"
51,"DBPEDIA_ID/Alex_Young_(footballer,_born_1937)","Person,SportsManager,Agent,SoccerManager"
52,DBPEDIA_ID/Alireza_Mansourian,"Person,SportsManager,Agent,SoccerManager"
53,DBPEDIA_ID/Amar_Osim,"Person,SportsManager,Agent,SoccerManager"
54,DBPEDIA_ID/Anders_Rasmussen,"Person,SportsManager,Agent,SoccerManager"
55,DBPEDIA_ID/Andreas_Zimmermann,"Person,SportsManager,Agent,SoccerManager"
56,DBPEDIA_ID/Andy_Myers,"Person,SportsManager,Agent,SoccerManager"
57,DBPEDIA_ID/António_Veloso,"Person,SportsManager,Agent,SoccerManager"
58,DBPEDIA_ID/Arthur_Numan,"Person,SportsManager,Agent,SoccerManager"
59,DBPEDIA_ID/Aslan_Goplachev,"Person,SportsManager,Agent,SoccerManager"
60,DBPEDIA_ID/Avi_Peretz_(footballer),"Person,SportsManager,Agent,SoccerManager"
61,DBPEDIA_ID/Benjamín_Mayorga,"Person,SportsManager,Agent,SoccerManager"
62,DBPEDIA_ID/Benny_Gall,"Person,SportsManager,Agent,SoccerManager"
63,DBPEDIA_ID/Bernard_Dietz,"Person,SportsManager,Agent,SoccerManager"
64,DBPEDIA_ID/Bernt_Haas,"Person,SportsManager,Agent,SoccerManager"
65,DBPEDIA_ID/Bill_Green_(footballer),"Person,SportsManager,Agent,SoccerManager"
66,DBPEDIA_ID/Billy_Horner,"Person,SportsManager,Agent,SoccerManager"
67,DBPEDIA_ID/Bruce_Arena,"Person,SportsManager,Agent,SoccerManager"
68,DBPEDIA_ID/Béla_Guttmann,"Person,SportsManager,Agent,SoccerManager"
69,DBPEDIA_ID/Carlos_Bilardo,"Person,SportsManager,Agent,SoccerManager"
70,DBPEDIA_ID/Carlos_Reyes_(Uruguayan_footballer),"Person,SportsManager,Agent,SoccerManager"
71,DBPEDIA_ID/Chaka_Daley,"Person,SportsManager,Agent,SoccerManager"
72,DBPEDIA_ID/Charles_Perkins_(Aboriginal_activist),"Person,SportsManager,Agent,SoccerManager"
73,DBPEDIA_ID/Chris_Dangerfield,"Person,SportsManager,Agent,SoccerManager"
74,DBPEDIA_ID/Chris_Morgan_(footballer),"Person,SportsManager,Agent,SoccerManager"
75,DBPEDIA_ID/Christian_Fiedler,"Person,SportsManager,Agent,SoccerManager"
76,DBPEDIA_ID/Colin_Hendry,"Person,SportsManager,Agent,SoccerManager"
77,DBPEDIA_ID/César_Obando,"Person,SportsManager,Agent,SoccerManager"
78,DBPEDIA_ID/Dale_Mitchell_(soccer),"Person,SportsManager,Agent,SoccerManager"
79,DBPEDIA_ID/Dale_Mulholland,"Person,SportsManager,Agent,SoccerManager"
80,DBPEDIA_ID/Darren_Barnard,"Person,SportsManager,Agent,SoccerManager"
81,DBPEDIA_ID/David_Baikie,"Person,SportsManager,Agent,SoccerManager"
82,DBPEDIA_ID/David_Healy_(footballer),"Person,SportsManager,Agent,SoccerManager"
83,DBPEDIA_ID/David_Herd_(footballer),"Person,SportsManager,Agent,SoccerManager"
84,DBPEDIA_ID/David_Rasmussen,"Person,SportsManager,Agent,SoccerManager"
85,DBPEDIA_ID/Debbie_Bampton,"Person,SportsManager,Agent,SoccerManager"
86,DBPEDIA_ID/Detlef_Pirsig,"Person,SportsManager,Agent,SoccerManager"
87,DBPEDIA_ID/Didier_Deschamps,"Person,SportsManager,Agent,SoccerManager"
88,DBPEDIA_ID/Diego_Alonso,"Person,SportsManager,Agent,SoccerManager"
89,DBPEDIA_ID/Dietmar_Schwager,"Person,SportsManager,Agent,SoccerManager"
90,DBPEDIA_ID/Dirk_Lehmann,"Person,SportsManager,Agent,SoccerManager"
91,DBPEDIA_ID/Edu_Coimbra,"Person,SportsManager,Agent,SoccerManager"
92,DBPEDIA_ID/Eduard_Bogdanov,"Person,SportsManager,Agent,SoccerManager"
93,DBPEDIA_ID/Eduardo_Fournier,"Person,SportsManager,Agent,SoccerManager"
94,DBPEDIA_ID/Eli_Guttman,"Person,SportsManager,Agent,SoccerManager"
95,DBPEDIA_ID/Emil_Caras,"Person,SportsManager,Agent,SoccerManager"
96,"DBPEDIA_ID/Eric_Smith_(footballer,_born_1934)","Person,SportsManager,Agent,SoccerManager"
97,DBPEDIA_ID/Erik_Rasmussen_(footballer),"Person,SportsManager,Agent,SoccerManager"
98,DBPEDIA_ID/Esteban_Vigo,"Person,SportsManager,Agent,SoccerManager"
99,DBPEDIA_ID/Fabio_Cannavaro,"Person,SportsManager,Agent,SoccerManager"
100,DBPEDIA_ID/Fabio_Capello,"Person,SportsManager,Agent,SoccerManager"
101,DBPEDIA_ID/Fabio_Grosso,"Person,SportsManager,Agent,SoccerManager"
102,DBPEDIA_ID/Ferenc_Molnár_(footballer),"Person,SportsManager,Agent,SoccerManager"
103,DBPEDIA_ID/Foppe_de_Haan,"Person,SportsManager,Agent,SoccerManager"
104,"DBPEDIA_ID/Frank_Kramer_(footballer,_born_1972)","Person,SportsManager,Agent,SoccerManager"
105,DBPEDIA_ID/Fred_Pentland,"Person,SportsManager,Agent,SoccerManager"
106,DBPEDIA_ID/Fred_Priest,"Person,SportsManager,Agent,SoccerManager"
107,DBPEDIA_ID/Gaizka_Garitano,"Person,SportsManager,Agent,SoccerManager"
108,DBPEDIA_ID/Gary_Ablett_(English_footballer),"Person,SportsManager,Agent,SoccerManager"
109,"DBPEDIA_ID/Gary_Smith_(footballer,_born_1968)","Person,SportsManager,Agent,SoccerManager"
110,"DBPEDIA_ID/Gary_Stevens_(footballer,_born_1962)","Person,SportsManager,Agent,SoccerManager"
111,DBPEDIA_ID/Germán_Burgos,"Person,SportsManager,Agent,SoccerManager"
112,DBPEDIA_ID/Giacomo_Losi,"Person,SportsManager,Agent,SoccerManager"
113,DBPEDIA_ID/Guido_Buchwald,"Person,SportsManager,Agent,SoccerManager"
114,DBPEDIA_ID/Gunnar_Gren,"Person,SportsManager,Agent,SoccerManager"
115,DBPEDIA_ID/Gunnar_Johansson_(footballer),"Person,SportsManager,Agent,SoccerManager"
116,DBPEDIA_ID/Gunnar_Nordahl,"Person,SportsManager,Agent,SoccerManager"
117,DBPEDIA_ID/Gyula_Feldmann,"Person,SportsManager,Agent,SoccerManager"
118,DBPEDIA_ID/Göran_Aral,"Person,SportsManager,Agent,SoccerManager"
119,DBPEDIA_ID/Harald_Schumacher,"Person,SportsManager,Agent,SoccerManager"
120,DBPEDIA_ID/Harold_Davis_(footballer),"Person,SportsManager,Agent,SoccerManager"
121,DBPEDIA_ID/Henrique_Calisto,"Person,SportsManager,Agent,SoccerManager"
122,DBPEDIA_ID/Hubert_Fournier,"Person,SportsManager,Agent,SoccerManager"
123,DBPEDIA_ID/Ion_Caras,"Person,SportsManager,Agent,SoccerManager"
124,DBPEDIA_ID/Ivaylo_Petkov,"Person,SportsManager,Agent,SoccerManager"
125,DBPEDIA_ID/Ivica_Osim,"Person,SportsManager,Agent,SoccerManager"
126,"DBPEDIA_ID/Jacek_Zieliński_(footballer,_born_1967)","Person,SportsManager,Agent,SoccerManager"
127,DBPEDIA_ID/Jack_Froggatt,"Person,SportsManager,Agent,SoccerManager"
128,DBPEDIA_ID/James_West_(football_manager),"Person,SportsManager,Agent,SoccerManager"
129,DBPEDIA_ID/Jens_Berthel_Askou,"Person,SportsManager,Agent,SoccerManager"
130,DBPEDIA_ID/Jesse_Pye,"Person,SportsManager,Agent,SoccerManager"
131,DBPEDIA_ID/Joachim_Löw,"Person,SportsManager,Agent,SoccerManager"
132,"DBPEDIA_ID/John_Clark_(footballer,_born_1941)","Person,SportsManager,Agent,SoccerManager"
133,"DBPEDIA_ID/John_Clark_(footballer,_born_1964)","Person,SportsManager,Agent,SoccerManager"
134,DBPEDIA_ID/John_Duncan_(footballer),"Person,SportsManager,Agent,SoccerManager"
135,DBPEDIA_ID/John_Holt_(footballer),"Person,SportsManager,Agent,SoccerManager"
136,"DBPEDIA_ID/John_Hughes_(footballer,_born_1943)","Person,SportsManager,Agent,SoccerManager"
137,DBPEDIA_ID/John_Nicholson_(Scottish_footballer),"Person,SportsManager,Agent,SoccerManager"
138,DBPEDIA_ID/John_Sewell_(footballer),"Person,SportsManager,Agent,SoccerManager"
139,"DBPEDIA_ID/John_Ward_(footballer,_born_1951)","Person,SportsManager,Agent,SoccerManager"
140,DBPEDIA_ID/Jon_Newby,"Person,SportsManager,Agent,SoccerManager"
141,DBPEDIA_ID/Jorge_Andrade,"Person,SportsManager,Agent,SoccerManager"
142,DBPEDIA_ID/Jorge_Luís_Andrade,"Person,SportsManager,Agent,SoccerManager"
143,DBPEDIA_ID/Josh_Wolff,"Person,SportsManager,Agent,SoccerManager"
144,DBPEDIA_ID/Josip_Skoblar,"Person,SportsManager,Agent,SoccerManager"
145,DBPEDIA_ID/José_Antonio_Camacho,"Person,SportsManager,Agent,SoccerManager"
146,DBPEDIA_ID/José_Faria,"Person,SportsManager,Agent,SoccerManager"
147,DBPEDIA_ID/Juan_Ignacio_Martínez,"Person,SportsManager,Agent,SoccerManager"
148,DBPEDIA_ID/Juan_Manuel_Coello,"Person,SportsManager,Agent,SoccerManager"
149,DBPEDIA_ID/Juan_Velasco_Damas,"Person,SportsManager,Agent,SoccerManager"
150,DBPEDIA_ID/Juan_Vizcaíno,"Person,SportsManager,Agent,SoccerManager"
151,DBPEDIA_ID/Juande_Ramos,"Person,SportsManager,Agent,SoccerManager"
152,DBPEDIA_ID/Justin_Edinburgh,"Person,SportsManager,Agent,SoccerManager"
153,DBPEDIA_ID/Karol_Hanke,"Person,SportsManager,Agent,SoccerManager"
154,DBPEDIA_ID/Ken_Hale_(footballer),"Person,SportsManager,Agent,SoccerManager"
155,DBPEDIA_ID/Kenta_Hasegawa,"Person,SportsManager,Agent,SoccerManager"
156,DBPEDIA_ID/Kevin_MacDonald_(footballer),"Person,SportsManager,Agent,SoccerManager"
157,DBPEDIA_ID/Kevin_Ratcliffe,"Person,SportsManager,Agent,SoccerManager"
158,DBPEDIA_ID/Kevin_Smith_(soccer),"Person,SportsManager,Agent,SoccerManager"
159,DBPEDIA_ID/Kew_Jaliens,"Person,SportsManager,Agent,SoccerManager"
