,entity,classes
0,DBPEDIA_ID/Daryl_Selby,"SquashPlayer,Person,Athlete,Agent"
1,DBPEDIA_ID/Habiba_Mohamed_Ahmed_Alymohmed,"SquashPlayer,Person,Athlete,Agent"
2,DBPEDIA_ID/Jahangir_Khan,"SquashPlayer,Person,Athlete,Agent"
3,DBPEDIA_ID/Alex_Gough_(squash_player),"SquashPlayer,Person,Athlete,Agent"
4,DBPEDIA_ID/Khawaja_Adil_Maqbool,"SquashPlayer,Person,Athlete,Agent"
5,DBPEDIA_ID/Tom_Richards_(squash_player),"SquashPlayer,Person,Athlete,Agent"
6,DBPEDIA_ID/Chris_Robertson_(squash_player),"SquashPlayer,Person,Athlete,Agent"
7,DBPEDIA_ID/Davide_Bianchetti,"SquashPlayer,Person,Athlete,Agent"
8,DBPEDIA_ID/Lara_Petera,"SquashPlayer,Person,Athlete,Agent"
9,DBPEDIA_ID/Nouran_El_Torky,"SquashPlayer,Person,Athlete,Agent"
10,DBPEDIA_ID/Robyn_Cooper,"SquashPlayer,Person,Athlete,Agent"
11,DBPEDIA_ID/Simon_Rösner,"SquashPlayer,Person,Athlete,Agent"
12,DBPEDIA_ID/Steven_Finitsis,"SquashPlayer,Person,Athlete,Agent"
13,DBPEDIA_ID/Emma_Beddoes,"SquashPlayer,Person,Athlete,Agent"
14,DBPEDIA_ID/Tarek_Momen,"SquashPlayer,Person,Athlete,Agent"
15,DBPEDIA_ID/Clinton_Leeuw,"SquashPlayer,Person,Athlete,Agent"
16,DBPEDIA_ID/Sarah_Cook_(squash_player),"SquashPlayer,Person,Athlete,Agent"
17,DBPEDIA_ID/Rex_Hedrick,"SquashPlayer,Person,Athlete,Agent"
18,DBPEDIA_ID/Sebastiaan_Weenink,"SquashPlayer,Person,Athlete,Agent"
19,DBPEDIA_ID/Adrian_Grant_(squash_player),"SquashPlayer,Person,Athlete,Agent"
20,DBPEDIA_ID/Olli_Tuominen,"SquashPlayer,Person,Athlete,Agent"
21,DBPEDIA_ID/Dean_Williams_(squash_player),"SquashPlayer,Person,Athlete,Agent"
22,DBPEDIA_ID/Eric_Gálvez,"SquashPlayer,Person,Athlete,Agent"
23,DBPEDIA_ID/Michelle_Quibell,"SquashPlayer,Person,Athlete,Agent"
24,DBPEDIA_ID/Shelley_Kitchen,"SquashPlayer,Person,Athlete,Agent"
25,DBPEDIA_ID/Joey_Barrington,"SquashPlayer,Person,Athlete,Agent"
26,DBPEDIA_ID/Daniel_Poleshchuk,"SquashPlayer,Person,Athlete,Agent"
