,entity,classes
0,DBPEDIA_ID/Bethnal_Green_tube_station,"ArchitecturalStructure,Infrastructure,Place,Station,Location"
1,DBPEDIA_ID/Wallington_railway_station,"ArchitecturalStructure,Infrastructure,Place,Station,Location"
2,DBPEDIA_ID/Aizu-Yanaizu_Station,"ArchitecturalStructure,Infrastructure,Place,Station,Location"
3,DBPEDIA_ID/Amagasaki_Station_(JR_West),"ArchitecturalStructure,Infrastructure,Place,Station,Location"
4,DBPEDIA_ID/American_Fork_(UTA_station),"ArchitecturalStructure,Infrastructure,Place,Station,Location"
5,DBPEDIA_ID/Arkadelphia_station,"ArchitecturalStructure,Infrastructure,Place,Station,Location"
6,DBPEDIA_ID/Bradford_Forster_Square_railway_station,"ArchitecturalStructure,Infrastructure,Place,Station,Location"
7,DBPEDIA_ID/Detroit_station,"ArchitecturalStructure,Infrastructure,Place,Station,Location"
8,DBPEDIA_ID/Dublin_Connolly_railway_station,"ArchitecturalStructure,Infrastructure,Place,Station,Location"
9,DBPEDIA_ID/Franklin_Square_(PATCO_station),"ArchitecturalStructure,Infrastructure,Place,Station,Location"
10,DBPEDIA_ID/Highbridge_Facility,"ArchitecturalStructure,Infrastructure,Place,Station,Location"
11,DBPEDIA_ID/Kawaramachi_Station_(Kagawa),"ArchitecturalStructure,Infrastructure,Place,Station,Location"
12,DBPEDIA_ID/Kawaramachi_Station_(Mie),"ArchitecturalStructure,Infrastructure,Place,Station,Location"
13,DBPEDIA_ID/Kempegowda_Bus_Station,"ArchitecturalStructure,Infrastructure,Place,Station,Location"
14,DBPEDIA_ID/Matapédia_railway_station,"ArchitecturalStructure,Infrastructure,Place,Station,Location"
15,DBPEDIA_ID/Metro_Olivos,"ArchitecturalStructure,Infrastructure,Place,Station,Location"
16,DBPEDIA_ID/Newtonville_(MBTA_station),"ArchitecturalStructure,Infrastructure,Place,Station,Location"
17,DBPEDIA_ID/Tsukaguchi_Station_(Hankyu),"ArchitecturalStructure,Infrastructure,Place,Station,Location"
