,entity,classes
0,DBPEDIA_ID/Kaiki_Nobuhide,"Wrestler,Person,Athlete,SumoWrestler,Agent"
1,DBPEDIA_ID/Amatsukaze_Masao,"Wrestler,Person,Athlete,SumoWrestler,Agent"
2,DBPEDIA_ID/Katayama_Shinji,"Wrestler,Person,Athlete,SumoWrestler,Agent"
3,DBPEDIA_ID/Kiyokuni_Katsuo,"Wrestler,Person,Athlete,SumoWrestler,Agent"
4,DBPEDIA_ID/Shiranui_Dakuemon,"Wrestler,Person,Athlete,SumoWrestler,Agent"
5,DBPEDIA_ID/Shiranui_Kōemon,"Wrestler,Person,Athlete,SumoWrestler,Agent"
6,DBPEDIA_ID/Taiga_Satoru,"Wrestler,Person,Athlete,SumoWrestler,Agent"
7,DBPEDIA_ID/Takayasu_Akira,"Wrestler,Person,Athlete,SumoWrestler,Agent"
8,DBPEDIA_ID/Tochiazuma_Daisuke,"Wrestler,Person,Athlete,SumoWrestler,Agent"
9,DBPEDIA_ID/Tochiazuma_Tomoyori,"Wrestler,Person,Athlete,SumoWrestler,Agent"
10,DBPEDIA_ID/Yutakayama_Katsuo,"Wrestler,Person,Athlete,SumoWrestler,Agent"
11,DBPEDIA_ID/Arashiyama_Jirō,"Wrestler,Person,Athlete,SumoWrestler,Agent"
12,DBPEDIA_ID/Asahifuji_Seiya,"Wrestler,Person,Athlete,SumoWrestler,Agent"
13,DBPEDIA_ID/Asashio_Tarō_III,"Wrestler,Person,Athlete,SumoWrestler,Agent"
14,DBPEDIA_ID/Asashio_Tarō_IV,"Wrestler,Person,Athlete,SumoWrestler,Agent"
15,DBPEDIA_ID/Jingaku_Takashi,"Wrestler,Person,Athlete,SumoWrestler,Agent"
16,DBPEDIA_ID/Kitaseumi_Hiromitsu,"Wrestler,Person,Athlete,SumoWrestler,Agent"
17,DBPEDIA_ID/Wakanokuni_Takeo,"Wrestler,Person,Athlete,SumoWrestler,Agent"
18,DBPEDIA_ID/Yōtsukasa_Dai,"Wrestler,Person,Athlete,SumoWrestler,Agent"
19,DBPEDIA_ID/Kaneshiro_Kofuku,"Wrestler,Person,Athlete,SumoWrestler,Agent"
20,DBPEDIA_ID/Kongō_Masahiro,"Wrestler,Person,Athlete,SumoWrestler,Agent"
21,DBPEDIA_ID/Nishinoumi_Kajirō_I,"Wrestler,Person,Athlete,SumoWrestler,Agent"
22,DBPEDIA_ID/Nishinoumi_Kajirō_II,"Wrestler,Person,Athlete,SumoWrestler,Agent"
23,DBPEDIA_ID/Nishinoumi_Kajirō_III,"Wrestler,Person,Athlete,SumoWrestler,Agent"
24,DBPEDIA_ID/Ryūkōzan_Kazuto,"Wrestler,Person,Athlete,SumoWrestler,Agent"
25,DBPEDIA_ID/Takamiyama_Daigorō,"Wrestler,Person,Athlete,SumoWrestler,Agent"
26,DBPEDIA_ID/Umegatani_Tōtarō_I,"Wrestler,Person,Athlete,SumoWrestler,Agent"
27,DBPEDIA_ID/Umegatani_Tōtarō_II,"Wrestler,Person,Athlete,SumoWrestler,Agent"
28,DBPEDIA_ID/Ōnishiki_Daigorō,"Wrestler,Person,Athlete,SumoWrestler,Agent"
29,DBPEDIA_ID/Ōnishiki_Ittetsu,"Wrestler,Person,Athlete,SumoWrestler,Agent"
30,DBPEDIA_ID/Ōnishiki_Uichirō,"Wrestler,Person,Athlete,SumoWrestler,Agent"
31,DBPEDIA_ID/Chiyotaikai_Ryūji,"Wrestler,Person,Athlete,SumoWrestler,Agent"
32,DBPEDIA_ID/Tōki_Susumu,"Wrestler,Person,Athlete,SumoWrestler,Agent"
33,DBPEDIA_ID/Asasegawa_Takeya,"Wrestler,Person,Athlete,SumoWrestler,Agent"
34,DBPEDIA_ID/Chiyozakura_Teruo,"Wrestler,Person,Athlete,SumoWrestler,Agent"
35,DBPEDIA_ID/Hokuten'yū_Katsuhiko,"Wrestler,Person,Athlete,SumoWrestler,Agent"
36,DBPEDIA_ID/Kitanofuji_Katsuaki,"Wrestler,Person,Athlete,SumoWrestler,Agent"
37,DBPEDIA_ID/Kotomitsuki_Keiji,"Wrestler,Person,Athlete,SumoWrestler,Agent"
38,DBPEDIA_ID/Kotozakura_Masakatsu,"Wrestler,Person,Athlete,SumoWrestler,Agent"
39,DBPEDIA_ID/Ōnokuni_Yasushi,"Wrestler,Person,Athlete,SumoWrestler,Agent"
40,DBPEDIA_ID/Hakurozan_Yūta,"Wrestler,Person,Athlete,SumoWrestler,Agent"
41,DBPEDIA_ID/Kotoshōgiku_Kazuhiro,"Wrestler,Person,Athlete,SumoWrestler,Agent"
42,DBPEDIA_ID/Ryūhō_Masayoshi,"Wrestler,Person,Athlete,SumoWrestler,Agent"
43,DBPEDIA_ID/Sentoryū_Henri,"Wrestler,Person,Athlete,SumoWrestler,Agent"
44,DBPEDIA_ID/Terao_Tsunefumi,"Wrestler,Person,Athlete,SumoWrestler,Agent"
45,DBPEDIA_ID/Araiwa_Kamenosuke,"Wrestler,Person,Athlete,SumoWrestler,Agent"
46,DBPEDIA_ID/Asahisato_Kenji,"Wrestler,Person,Athlete,SumoWrestler,Agent"
47,DBPEDIA_ID/Mitsuneyama_Hokoku,"Wrestler,Person,Athlete,SumoWrestler,Agent"
48,DBPEDIA_ID/Tensuiyama_Masanori,"Wrestler,Person,Athlete,SumoWrestler,Agent"
49,DBPEDIA_ID/Hachiya_Toshiyuki,"Wrestler,Person,Athlete,SumoWrestler,Agent"
50,DBPEDIA_ID/Gagamaru_Masaru,"Wrestler,Person,Athlete,SumoWrestler,Agent"
51,DBPEDIA_ID/Kotogahama_Sadao,"Wrestler,Person,Athlete,SumoWrestler,Agent"
52,DBPEDIA_ID/Tamanofuji_Shigeru,"Wrestler,Person,Athlete,SumoWrestler,Agent"
53,DBPEDIA_ID/Kashiwado_Risuke,"Wrestler,Person,Athlete,SumoWrestler,Agent"
54,DBPEDIA_ID/Masurao_Hiroo,"Wrestler,Person,Athlete,SumoWrestler,Agent"
