,entity,classes
0,DBPEDIA_ID/Marbury_v._Madison,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
1,DBPEDIA_ID/United_States_v._The_Amistad,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
2,DBPEDIA_ID/Civil_Rights_Cases,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
3,DBPEDIA_ID/Cohens_v._Virginia,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
4,DBPEDIA_ID/Dartmouth_College_v._Woodward,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
5,DBPEDIA_ID/Ex_parte_Milligan,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
6,DBPEDIA_ID/Fletcher_v._Peck,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
7,DBPEDIA_ID/Gibbons_v._Ogden,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
8,"DBPEDIA_ID/Heart_of_Atlanta_Motel,_Inc._v._United_States","Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
9,DBPEDIA_ID/Martin_v._Hunter's_Lessee,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
10,DBPEDIA_ID/McCulloch_v._Maryland,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
11,DBPEDIA_ID/Milliken_v._Bradley,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
12,DBPEDIA_ID/Minersville_School_District_v._Gobitis,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
13,DBPEDIA_ID/Munn_v._Illinois,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
14,DBPEDIA_ID/Plessy_v._Ferguson,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
15,DBPEDIA_ID/Romer_v._Evans,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
16,DBPEDIA_ID/United_States_v._E._C._Knight_Co.,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
17,DBPEDIA_ID/United_States_v._Klein,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
18,DBPEDIA_ID/Wesberry_v._Sanders,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
19,DBPEDIA_ID/West_Virginia_State_Board_of_Education_v._Barnette,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
20,DBPEDIA_ID/American_Electric_Power_Co._v._Connecticut,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
21,DBPEDIA_ID/Arizona_v._Maricopa_County_Medical_Society,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
22,DBPEDIA_ID/Ayotte_v._Planned_Parenthood_of_Northern_New_England,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
23,DBPEDIA_ID/Beauharnais_v._Illinois,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
24,DBPEDIA_ID/Cohen_v._California,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
25,DBPEDIA_ID/Cohen_v._Cowles_Media_Co.,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
26,DBPEDIA_ID/Commodity_Futures_Trading_Commission_v._Schor,"Case,UnitOfWork,SupremeCourtOfTheUnitedStatesCase,LegalCase"
