,entity,classes
0,Litvinov,"Surname,Name"
1,Schnitzler,"Surname,Name"
2,DBPEDIA_ID/Are_(surname),"Surname,Name"
3,Fandorin,"Surname,Name"
4,Geller,"Surname,Name"
5,Köstler,"Surname,Name"
6,Lindner,"Surname,Name"
7,DBPEDIA_ID/Meng_(surname),"Surname,Name"
8,Nisbeth,"Surname,Name"
9,DBPEDIA_ID/Nudi_(surname),"Surname,Name"
10,Sarbadhikari,"Surname,Name"
11,DBPEDIA_ID/Shan_(surname),"Surname,Name"
12,Spinelli,"Surname,Name"
13,Steyer,"Surname,Name"
14,Tetmajer,"Surname,Name"
15,Vishniac,"Surname,Name"
16,Werich,"Surname,Name"
17,DBPEDIA_ID/Zou_(surname),"Surname,Name"
18,Kamalisarvestani,"Surname,Name"
19,Nosbusch,"Surname,Name"
20,Podhoretz,"Surname,Name"
21,Polányi,"Surname,Name"
22,Scheuermann,"Surname,Name"
23,Schmeller,"Surname,Name"
24,Svens,"Surname,Name"
25,Treitschke,"Surname,Name"
26,DBPEDIA_ID/Tuck_(surname),"Surname,Name"
27,Washio,"Surname,Name"
28,Weinmann,"Surname,Name"
29,Zehetner,"Surname,Name"
30,Zeytuntsyan,"Surname,Name"
31,DBPEDIA_ID/De_Boor,"Surname,Name"
32,Nuvolari,"Surname,Name"
33,DBPEDIA_ID/Passi_(surname),"Surname,Name"
34,Perlič,"Surname,Name"
35,Pârvulescu,"Surname,Name"
36,DBPEDIA_ID/Rafi_(name),"Surname,Name"
37,Rechcigl,"Surname,Name"
38,Travaglia,"Surname,Name"
39,Kwaśniewski,"Surname,Name"
40,Wachter,"Surname,Name"
41,Wächter,"Surname,Name"
42,Wächtler,"Surname,Name"
43,Coen,"Surname,Name"
44,DBPEDIA_ID/Dang_(surname),"Surname,Name"
45,DBPEDIA_ID/Gajula_(surname),"Surname,Name"
46,Harig,"Surname,Name"
47,DBPEDIA_ID/Heng_(surname),"Surname,Name"
48,Jachowski,"Surname,Name"
49,Kvint,"Surname,Name"
50,Kvíčala,"Surname,Name"
51,Marzulli,"Surname,Name"
52,Mysliveček,"Surname,Name"
53,Mészöly,"Surname,Name"
54,DBPEDIA_ID/Porchetta_(family_name),"Surname,Name"
55,Proca,"Surname,Name"
56,Rudas,"Surname,Name"
57,Schachtschneider,"Surname,Name"
58,Schaus,"Surname,Name"
59,Scheiber,"Surname,Name"
60,Schmadel,"Surname,Name"
61,Schwertner,"Surname,Name"
62,Schöler,"Surname,Name"
63,Schöll,"Surname,Name"
64,Schönbein,"Surname,Name"
65,Sládkovič,"Surname,Name"
66,Szalai,"Surname,Name"
67,DBPEDIA_ID/Teng_(surname),"Surname,Name"
68,Thimig,"Surname,Name"
69,Wehinger,"Surname,Name"
70,Weinek,"Surname,Name"
71,Wurmbrand,"Surname,Name"
72,Xiahou,"Surname,Name"
73,Bönsch,"Surname,Name"
74,Häberli,"Surname,Name"
75,Rejtő,"Surname,Name"
76,Schottenstein,"Surname,Name"
77,DBPEDIA_ID/Udayar_(title),"Surname,Name"
78,Buglass,"Surname,Name"
79,Gosteli,"Surname,Name"
80,Dönhoff,"Surname,Name"
81,Podgursky,"Surname,Name"
82,Gongsun,"Surname,Name"
83,Vallampati,"Surname,Name"
84,Daxini,"Surname,Name"
85,Deengar,"Surname,Name"
86,Micallef,"Surname,Name"
87,Milardo,"Surname,Name"
88,Morza,"Surname,Name"
89,Sabzvari,"Surname,Name"
90,Dubthaigh,"Surname,Name"
