,entity,classes
0,DBPEDIA_ID/Erik_Lindh,"Person,Athlete,Agent,TableTennisPlayer"
1,DBPEDIA_ID/Erika_Metzger,"Person,Athlete,Agent,TableTennisPlayer"
2,DBPEDIA_ID/James_McClure_(table_tennis),"Person,Athlete,Agent,TableTennisPlayer"
3,DBPEDIA_ID/Kenta_Matsudaira,"Person,Athlete,Agent,TableTennisPlayer"
4,DBPEDIA_ID/Margaret_Osborne_(table_tennis),"Person,Athlete,Agent,TableTennisPlayer"
5,DBPEDIA_ID/Neha_Aggarwal,"Person,Athlete,Agent,TableTennisPlayer"
6,DBPEDIA_ID/Sean_O'Neill_(table_tennis),"Person,Athlete,Agent,TableTennisPlayer"
7,DBPEDIA_ID/Sol_Schiff,"Person,Athlete,Agent,TableTennisPlayer"
8,DBPEDIA_ID/Bernadette_Szőcs,"Person,Athlete,Agent,TableTennisPlayer"
9,DBPEDIA_ID/Jörgen_Persson,"Person,Athlete,Agent,TableTennisPlayer"
10,DBPEDIA_ID/Marie_Svensson,"Person,Athlete,Agent,TableTennisPlayer"
11,DBPEDIA_ID/Oksana_Fadeyeva,"Person,Athlete,Agent,TableTennisPlayer"
12,DBPEDIA_ID/Thiago_Monteiro_(table_tennis),"Person,Athlete,Agent,TableTennisPlayer"
13,DBPEDIA_ID/Adrian_Haydon,"Person,Athlete,Agent,TableTennisPlayer"
14,DBPEDIA_ID/Diane_Rowe,"Person,Athlete,Agent,TableTennisPlayer"
15,DBPEDIA_ID/Ferenc_Soos,"Person,Athlete,Agent,TableTennisPlayer"
16,DBPEDIA_ID/Chen_Qi_(table_tennis),"Person,Athlete,Agent,TableTennisPlayer"
17,DBPEDIA_ID/Hiroshi_Takahashi_(table_tennis),"Person,Athlete,Agent,TableTennisPlayer"
18,DBPEDIA_ID/Li_Ping_(table_tennis),"Person,Athlete,Agent,TableTennisPlayer"
19,DBPEDIA_ID/Li_Qian_(table_tennis),"Person,Athlete,Agent,TableTennisPlayer"
20,DBPEDIA_ID/Milan_Orlowski,"Person,Athlete,Agent,TableTennisPlayer"
21,DBPEDIA_ID/Patrick_Baum_(table_tennis),"Person,Athlete,Agent,TableTennisPlayer"
22,DBPEDIA_ID/Seiya_Kishikawa,"Person,Athlete,Agent,TableTennisPlayer"
23,DBPEDIA_ID/Wang_Chen_(table_tennis),"Person,Athlete,Agent,TableTennisPlayer"
