,entity,classes
0,DBPEDIA_ID/Barbara_Frum,"TelevisionHost,Presenter,Agent,Person"
1,DBPEDIA_ID/Susan_Stamberg,"TelevisionHost,Presenter,Agent,Person"
2,DBPEDIA_ID/Joel_Johnson_(journalist),"TelevisionHost,Presenter,Agent,Person"
3,DBPEDIA_ID/Becky_Worley,"TelevisionHost,Presenter,Agent,Person"
4,DBPEDIA_ID/Gary_Dolphin,"TelevisionHost,Presenter,Agent,Person"
5,DBPEDIA_ID/David_Mizejewski,"TelevisionHost,Presenter,Agent,Person"
6,DBPEDIA_ID/Georgie_Thompson,"TelevisionHost,Presenter,Agent,Person"
7,DBPEDIA_ID/Jonathan_Sutherland,"TelevisionHost,Presenter,Agent,Person"
8,DBPEDIA_ID/Charles_Osgood,"TelevisionHost,Presenter,Agent,Person"
9,DBPEDIA_ID/Sandra_Maischberger,"TelevisionHost,Presenter,Agent,Person"
10,DBPEDIA_ID/Woody_Durham,"TelevisionHost,Presenter,Agent,Person"
11,DBPEDIA_ID/Casey_Anderson_(naturalist),"TelevisionHost,Presenter,Agent,Person"
12,DBPEDIA_ID/Dan_Beyer,"TelevisionHost,Presenter,Agent,Person"
13,DBPEDIA_ID/Charity_Nebbe,"TelevisionHost,Presenter,Agent,Person"
14,DBPEDIA_ID/Fausto_Silva,"TelevisionHost,Presenter,Agent,Person"
15,DBPEDIA_ID/Nikki_Woods,"TelevisionHost,Presenter,Agent,Person"
16,DBPEDIA_ID/Warren_Ballentine,"TelevisionHost,Presenter,Agent,Person"
17,DBPEDIA_ID/Andrea_Foulkes,"TelevisionHost,Presenter,Agent,Person"
18,DBPEDIA_ID/Gary_Mittelholtz,"TelevisionHost,Presenter,Agent,Person"
19,DBPEDIA_ID/Tania_Bryer,"TelevisionHost,Presenter,Agent,Person"
20,DBPEDIA_ID/Adriana_Xenides,"TelevisionHost,Presenter,Agent,Person"
21,DBPEDIA_ID/Brian_Sullivan_(news_anchor),"TelevisionHost,Presenter,Agent,Person"
22,DBPEDIA_ID/Kevin_Eschenfelder,"TelevisionHost,Presenter,Agent,Person"
23,DBPEDIA_ID/Carol_Hirschfeld,"TelevisionHost,Presenter,Agent,Person"
24,DBPEDIA_ID/John_Watt_(broadcaster),"TelevisionHost,Presenter,Agent,Person"
25,DBPEDIA_ID/Charles_Adler_(broadcaster),"TelevisionHost,Presenter,Agent,Person"
26,DBPEDIA_ID/Fred_Allen,"TelevisionHost,Presenter,Agent,Person"
27,DBPEDIA_ID/Bob_Edwards,"TelevisionHost,Presenter,Agent,Person"
28,DBPEDIA_ID/Paul_Harvey,"TelevisionHost,Presenter,Agent,Person"
29,DBPEDIA_ID/Jason_Lewis_(radio_host),"TelevisionHost,Presenter,Agent,Person"
30,DBPEDIA_ID/David_Kestenbaum,"TelevisionHost,Presenter,Agent,Person"
31,DBPEDIA_ID/George_Weber_(radio_personality),"TelevisionHost,Presenter,Agent,Person"
32,DBPEDIA_ID/Suraj_Singh_Thakuri,"TelevisionHost,Presenter,Agent,Person"
33,DBPEDIA_ID/Diane_Rehm,"TelevisionHost,Presenter,Agent,Person"
34,DBPEDIA_ID/Stav_Danaos,"TelevisionHost,Presenter,Agent,Person"
35,DBPEDIA_ID/Gwen_van_Poorten,"TelevisionHost,Presenter,Agent,Person"
36,DBPEDIA_ID/Christopher_Blanchett,"TelevisionHost,Presenter,Agent,Person"
37,DBPEDIA_ID/Leo_Sarkisian,"TelevisionHost,Presenter,Agent,Person"
38,DBPEDIA_ID/Michael_Feldman,"TelevisionHost,Presenter,Agent,Person"
39,DBPEDIA_ID/Michael_Baisden,"TelevisionHost,Presenter,Agent,Person"
40,DBPEDIA_ID/Julien_Lepers,"TelevisionHost,Presenter,Agent,Person"
41,DBPEDIA_ID/Ira_Flatow,"TelevisionHost,Presenter,Agent,Person"
42,DBPEDIA_ID/George_Atkins_(broadcaster),"TelevisionHost,Presenter,Agent,Person"
43,DBPEDIA_ID/Michael_King_(radio_host),"TelevisionHost,Presenter,Agent,Person"
44,DBPEDIA_ID/Steve_Inskeep,"TelevisionHost,Presenter,Agent,Person"
45,DBPEDIA_ID/Gary_Sullivan_(radio),"TelevisionHost,Presenter,Agent,Person"
46,DBPEDIA_ID/Frank_Gallop,"TelevisionHost,Presenter,Agent,Person"
47,DBPEDIA_ID/John_Matisonn,"TelevisionHost,Presenter,Agent,Person"
48,DBPEDIA_ID/Marcos_Mion,"TelevisionHost,Presenter,Agent,Person"
49,DBPEDIA_ID/Emilia_Papadopoulos,"TelevisionHost,Presenter,Agent,Person"
50,DBPEDIA_ID/Asif_Shah,"TelevisionHost,Presenter,Agent,Person"
51,DBPEDIA_ID/Afshan_Anjum,"TelevisionHost,Presenter,Agent,Person"
