,entity,classes
0,"DBPEDIA_ID/Beverly_Hills,_90210_(season_7)","Work,TelevisionSeason"
1,DBPEDIA_ID/Blue_Heelers_(season_1),"Work,TelevisionSeason"
2,DBPEDIA_ID/Brothers_&_Sisters_(season_3),"Work,TelevisionSeason"
3,DBPEDIA_ID/ER_(season_10),"Work,TelevisionSeason"
4,DBPEDIA_ID/Frasier_(season_9),"Work,TelevisionSeason"
5,DBPEDIA_ID/Grey's_Anatomy_(season_5),"Work,TelevisionSeason"
6,DBPEDIA_ID/List_of_Power_Rangers_S.P.D._episodes,"Work,TelevisionSeason"
7,DBPEDIA_ID/Parenthood_(season_3),"Work,TelevisionSeason"
8,DBPEDIA_ID/The_Bill_(series_9),"Work,TelevisionSeason"
9,DBPEDIA_ID/American_Dad!_(season_5),"Work,TelevisionSeason"
10,"DBPEDIA_ID/Beverly_Hills,_90210_(season_2)","Work,TelevisionSeason"
11,DBPEDIA_ID/Boy_Meets_World_(season_7),"Work,TelevisionSeason"
12,DBPEDIA_ID/CSI:_Crime_Scene_Investigation_(season_10),"Work,TelevisionSeason"
13,DBPEDIA_ID/CSI:_Crime_Scene_Investigation_(season_3),"Work,TelevisionSeason"
14,DBPEDIA_ID/CSI:_Crime_Scene_Investigation_(season_9),"Work,TelevisionSeason"
15,DBPEDIA_ID/Casualty_(series_1),"Work,TelevisionSeason"
16,DBPEDIA_ID/Charmed_(season_1),"Work,TelevisionSeason"
17,DBPEDIA_ID/Charmed_(season_3),"Work,TelevisionSeason"
18,DBPEDIA_ID/Charmed_(season_7),"Work,TelevisionSeason"
19,DBPEDIA_ID/Drop_Dead_Diva_(season_1),"Work,TelevisionSeason"
20,DBPEDIA_ID/Frasier_(season_11),"Work,TelevisionSeason"
21,DBPEDIA_ID/Frasier_(season_2),"Work,TelevisionSeason"
22,DBPEDIA_ID/Gossip_Girl_(season_1),"Work,TelevisionSeason"
23,DBPEDIA_ID/Hannah_Montana_(season_3),"Work,TelevisionSeason"
