,entity,classes
0,DBPEDIA_ID/ALF_Tales,"Work,TelevisionShow"
1,DBPEDIA_ID/Ally_McBeal,"Work,TelevisionShow"
2,DBPEDIA_ID/Babylon_5,"Work,TelevisionShow"
3,Bagpuss,"Work,TelevisionShow"
4,Banacek,"Work,TelevisionShow"
5,DBPEDIA_ID/Beavis_and_Butt-Head,"Work,TelevisionShow"
6,DBPEDIA_ID/Big_Brother_(franchise),"Work,TelevisionShow"
7,Blackadder,"Work,TelevisionShow"
8,Cheers,"Work,TelevisionShow"
9,DBPEDIA_ID/Coronation_Street,"Work,TelevisionShow"
10,DBPEDIA_ID/Do_Not_Adjust_Your_Set,"Work,TelevisionShow"
11,DBPEDIA_ID/Doctor_Who,"Work,TelevisionShow"
12,EastEnders,"Work,TelevisionShow"
13,DBPEDIA_ID/Eurovision_Song_Contest,"Work,TelevisionShow"
14,DBPEDIA_ID/Father_Ted,"Work,TelevisionShow"
15,DBPEDIA_ID/Fawlty_Towers,"Work,TelevisionShow"
16,DBPEDIA_ID/Four_Feather_Falls,"Work,TelevisionShow"
17,Frasier,"Work,TelevisionShow"
18,Friends,"Work,TelevisionShow"
19,DBPEDIA_ID/Frontline_(Australian_TV_series),"Work,TelevisionShow"
20,DBPEDIA_ID/Hee_Haw,"Work,TelevisionShow"
21,DBPEDIA_ID/Home_Improvement_(TV_series),"Work,TelevisionShow"
22,DBPEDIA_ID/House_of_Cards_(UK_TV_series),"Work,TelevisionShow"
23,DBPEDIA_ID/Married..._with_Children,"Work,TelevisionShow"
24,DBPEDIA_ID/Max_Headroom_(TV_series),"Work,TelevisionShow"
25,DBPEDIA_ID/Mystery_Science_Theater_3000,"Work,TelevisionShow"
26,DBPEDIA_ID/Naked_News,"Work,TelevisionShow"
27,DBPEDIA_ID/One_Foot_in_the_Grave,"Work,TelevisionShow"
28,DBPEDIA_ID/Phoenix_(TV_series),"Work,TelevisionShow"
29,DBPEDIA_ID/Press_Gang,"Work,TelevisionShow"
30,DBPEDIA_ID/Red_Dwarf,"Work,TelevisionShow"
31,Seinfeld,"Work,TelevisionShow"
32,DBPEDIA_ID/South_Park,"Work,TelevisionShow"
33,DBPEDIA_ID/Star_Trek:_Deep_Space_Nine,"Work,TelevisionShow"
34,DBPEDIA_ID/Star_Trek:_Enterprise,"Work,TelevisionShow"
35,DBPEDIA_ID/Star_Trek:_The_Animated_Series,"Work,TelevisionShow"
36,DBPEDIA_ID/Star_Trek:_The_Next_Generation,"Work,TelevisionShow"
37,DBPEDIA_ID/Star_Trek:_The_Original_Series,"Work,TelevisionShow"
38,DBPEDIA_ID/Star_Trek:_Voyager,"Work,TelevisionShow"
39,DBPEDIA_ID/The_Beverly_Hillbillies,"Work,TelevisionShow"
40,DBPEDIA_ID/The_Mickey_Mouse_Club,"Work,TelevisionShow"
41,DBPEDIA_ID/The_Ren_&_Stimpy_Show,"Work,TelevisionShow"
42,DBPEDIA_ID/Dallas_(1978_TV_series),"Work,TelevisionShow"
43,DBPEDIA_ID/Front_Page_Challenge,"Work,TelevisionShow"
44,DBPEDIA_ID/In_the_Heat_of_the_Night_(TV_series),"Work,TelevisionShow"
45,Knightmare,"Work,TelevisionShow"
46,DBPEDIA_ID/Late_Show_with_David_Letterman,"Work,TelevisionShow"
47,DBPEDIA_ID/Out_of_the_Unknown,"Work,TelevisionShow"
48,DBPEDIA_ID/The_Tonight_Show,"Work,TelevisionShow"
49,DBPEDIA_ID/Trading_Spaces,"Work,TelevisionShow"
50,DBPEDIA_ID/Sábado_Gigante,"Work,TelevisionShow"
51,DBPEDIA_ID/Band_of_Brothers_(miniseries),"Work,TelevisionShow"
52,DBPEDIA_ID/Berkeley_Square_(TV_series),"Work,TelevisionShow"
53,DBPEDIA_ID/Cadet_Kelly,"Work,TelevisionShow"
54,DBPEDIA_ID/Countdown_(game_show),"Work,TelevisionShow"
55,DBPEDIA_ID/Family_Feud,"Work,TelevisionShow"
56,DBPEDIA_ID/Have_I_Got_News_for_You,"Work,TelevisionShow"
57,DBPEDIA_ID/Hogan's_Heroes,"Work,TelevisionShow"
58,DBPEDIA_ID/In_Sickness_and_in_Health,"Work,TelevisionShow"
59,"DBPEDIA_ID/It's_the_Great_Pumpkin,_Charlie_Brown","Work,TelevisionShow"
60,DBPEDIA_ID/M*A*S*H_(TV_series),"Work,TelevisionShow"
61,DBPEDIA_ID/Masterpiece_(TV_series),"Work,TelevisionShow"
62,DBPEDIA_ID/Meet_the_Wife,"Work,TelevisionShow"
63,DBPEDIA_ID/NYPD_Blue,"Work,TelevisionShow"
64,Newhart,"Work,TelevisionShow"
65,DBPEDIA_ID/Quack_Pack,"Work,TelevisionShow"
66,DBPEDIA_ID/Rex_the_Runt,"Work,TelevisionShow"
67,DBPEDIA_ID/Second_City_Television,"Work,TelevisionShow"
68,DBPEDIA_ID/Sesame_Park,"Work,TelevisionShow"
69,DBPEDIA_ID/Silent_Witness,"Work,TelevisionShow"
70,DBPEDIA_ID/Silk_Stalkings,"Work,TelevisionShow"
71,DBPEDIA_ID/Some_Mothers_Do_'Ave_'Em,"Work,TelevisionShow"
72,DBPEDIA_ID/State_of_Grace_(TV_series),"Work,TelevisionShow"
73,DBPEDIA_ID/The_Bob_Newhart_Show,"Work,TelevisionShow"
74,DBPEDIA_ID/The_Dick_Van_Dyke_Show,"Work,TelevisionShow"
75,DBPEDIA_ID/The_Ed_Sullivan_Show,"Work,TelevisionShow"
76,DBPEDIA_ID/The_Good_Life_(1975_TV_series),"Work,TelevisionShow"
77,DBPEDIA_ID/The_Larry_Sanders_Show,"Work,TelevisionShow"
78,DBPEDIA_ID/The_Proud_Family,"Work,TelevisionShow"
79,DBPEDIA_ID/The_Wonder_Years,"Work,TelevisionShow"
80,DBPEDIA_ID/This_Hour_Has_22_Minutes,"Work,TelevisionShow"
81,DBPEDIA_ID/Tiny_Toon_Adventures,"Work,TelevisionShow"
82,DBPEDIA_ID/Tucker_(2000_TV_series),"Work,TelevisionShow"
83,DBPEDIA_ID/A_Fine_Romance_(1981_TV_series),"Work,TelevisionShow"
84,DBPEDIA_ID/Above_the_Line_(TV_series),"Work,TelevisionShow"
85,DBPEDIA_ID/Alfresco_(TV_series),"Work,TelevisionShow"
86,DBPEDIA_ID/All_Night_Long_(TV_series),"Work,TelevisionShow"
87,DBPEDIA_ID/Annie_(1999_film),"Work,TelevisionShow"
88,DBPEDIA_ID/Blood_(TV_series),"Work,TelevisionShow"
89,DBPEDIA_ID/Canal_Road_(TV_series),"Work,TelevisionShow"
90,DBPEDIA_ID/Chalk_(TV_series),"Work,TelevisionShow"
91,DBPEDIA_ID/Copper_(TV_series),"Work,TelevisionShow"
