,entity,classes
0,DBPEDIA_ID/BBC_News_(TV_channel),"Organisation,Broadcaster,TelevisionStation,Agent"
1,DBPEDIA_ID/BBC_Red_Button,"Organisation,Broadcaster,TelevisionStation,Agent"
2,DBPEDIA_ID/Channel_4,"Organisation,Broadcaster,TelevisionStation,Agent"
3,DBPEDIA_ID/Fox_News_Channel,"Organisation,Broadcaster,TelevisionStation,Agent"
4,MTV,"Organisation,Broadcaster,TelevisionStation,Agent"
5,Venevisión,"Organisation,Broadcaster,TelevisionStation,Agent"
6,DBPEDIA_ID/BBC_Two,"Organisation,Broadcaster,TelevisionStation,Agent"
7,MSNBC,"Organisation,Broadcaster,TelevisionStation,Agent"
8,DBPEDIA_ID/NHK_World,"Organisation,Broadcaster,TelevisionStation,Agent"
9,DBPEDIA_ID/American_Heroes_Channel,"Organisation,Broadcaster,TelevisionStation,Agent"
10,DBPEDIA_ID/Clubland_TV,"Organisation,Broadcaster,TelevisionStation,Agent"
11,DBPEDIA_ID/Hope_Channel,"Organisation,Broadcaster,TelevisionStation,Agent"
12,NBCSN,"Organisation,Broadcaster,TelevisionStation,Agent"
13,RTKG,"Organisation,Broadcaster,TelevisionStation,Agent"
14,DBPEDIA_ID/Stingray_Music,"Organisation,Broadcaster,TelevisionStation,Agent"
15,DBPEDIA_ID/Worldview_Broadcasting_Channel,"Organisation,Broadcaster,TelevisionStation,Agent"
16,DBPEDIA_ID/ABC_News_24,"Organisation,Broadcaster,TelevisionStation,Agent"
17,DBPEDIA_ID/AVN_(Albania),"Organisation,Broadcaster,TelevisionStation,Agent"
18,DBPEDIA_ID/All_Sports_Network,"Organisation,Broadcaster,TelevisionStation,Agent"
19,DBPEDIA_ID/Astro_Kirana,"Organisation,Broadcaster,TelevisionStation,Agent"
20,BET,"Organisation,Broadcaster,TelevisionStation,Agent"
21,DBPEDIA_ID/BET_Soul,"Organisation,Broadcaster,TelevisionStation,Agent"
22,DBPEDIA_ID/BeIN_Sports,"Organisation,Broadcaster,TelevisionStation,Agent"
23,DBPEDIA_ID/Bohemia_Visual_Music,"Organisation,Broadcaster,TelevisionStation,Agent"
24,DBPEDIA_ID/CNBC_Europe,"Organisation,Broadcaster,TelevisionStation,Agent"
25,DBPEDIA_ID/CTV_Classic,"Organisation,Broadcaster,TelevisionStation,Agent"
26,DBPEDIA_ID/CTV_Main_Channel,"Organisation,Broadcaster,TelevisionStation,Agent"
27,DBPEDIA_ID/CTV_News_Channel_(Canada),"Organisation,Broadcaster,TelevisionStation,Agent"
28,DBPEDIA_ID/CTV_News_Channel_(Taiwan),"Organisation,Broadcaster,TelevisionStation,Agent"
29,DBPEDIA_ID/Canal_13_(Chile),"Organisation,Broadcaster,TelevisionStation,Agent"
30,DBPEDIA_ID/Celestial_Movies,"Organisation,Broadcaster,TelevisionStation,Agent"
31,DBPEDIA_ID/Channel_10_(Israel),"Organisation,Broadcaster,TelevisionStation,Agent"
32,DBPEDIA_ID/Channel_6_–_Bariloche,"Organisation,Broadcaster,TelevisionStation,Agent"
33,DBPEDIA_ID/Dragon_Television,"Organisation,Broadcaster,TelevisionStation,Agent"
34,E.tv,"Organisation,Broadcaster,TelevisionStation,Agent"
35,DBPEDIA_ID/ETV_(Sri_Lanka),"Organisation,Broadcaster,TelevisionStation,Agent"
