,entity,classes
0,DBPEDIA_ID/2013_Open_Féminin_de_Marseille,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
1,DBPEDIA_ID/2013_Save_Cup,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
2,DBPEDIA_ID/2013_Soweto_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
3,DBPEDIA_ID/2014_Comerica_Bank_Challenger,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
4,DBPEDIA_ID/2015_Fukuoka_International_Women's_Cup,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
5,DBPEDIA_ID/2010_Trophée_des_Alpilles,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
6,DBPEDIA_ID/2011_Challenge_Bell,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
7,DBPEDIA_ID/2012_Mercury_Insurance_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
8,DBPEDIA_ID/2013_PTT_Cup,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
9,DBPEDIA_ID/2013_Poznań_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
10,DBPEDIA_ID/2014_Al_Habtoor_Tennis_Challenge,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
11,DBPEDIA_ID/2014_Distal_&_ITR_Group_Tennis_Cup_and_the_Astra_Italy_Tennis_Cup,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
12,DBPEDIA_ID/2015_French_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
13,DBPEDIA_ID/2015_Tennis_Napoli_Cup,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
14,DBPEDIA_ID/2007_US_Open_(tennis),"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
15,DBPEDIA_ID/2008_Australian_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
16,DBPEDIA_ID/2011_Aegon_GB_Pro-Series_Bath,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
17,DBPEDIA_ID/2011_Challenger_Banque_Nationale_de_Rimouski,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
18,DBPEDIA_ID/2011_Soweto_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
19,DBPEDIA_ID/1986_Grand_Prix_German_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
20,DBPEDIA_ID/1996_Continental_Championships_and_the_Wilkinson_Lady_Championships,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
21,DBPEDIA_ID/2009_AON_Open_Challenger,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
22,DBPEDIA_ID/2009_Antonio_Savoldi–Marco_Cò_–_Trofeo_Dimmidisì,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
23,DBPEDIA_ID/2009_Black_Forest_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
24,DBPEDIA_ID/2009_Città_di_Como_Challenger,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
25,DBPEDIA_ID/2009_Concurso_Internacional_de_Tenis_–_San_Sebastián,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
26,DBPEDIA_ID/2009_Copa_Sevilla,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
27,DBPEDIA_ID/2009_Credicard_Citi_MasterCard_Tennis_Cup,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
28,DBPEDIA_ID/2009_Internazionali_di_Tennis_dell'Umbria,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
29,DBPEDIA_ID/2009_Karshi_Challenger,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
30,DBPEDIA_ID/2009_Levene_Gouldin_&_Thompson_Tennis_Challenger,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
31,DBPEDIA_ID/2009_Odlum_Brown_Vancouver_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
32,DBPEDIA_ID/2009_Open_Castilla_y_León,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
33,DBPEDIA_ID/2009_San_Marino_CEPU_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
34,DBPEDIA_ID/2009_Seguros_Bolívar_Open_Cali,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
35,DBPEDIA_ID/2009_Trophée_des_Alpilles,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
36,DBPEDIA_ID/2009_USTA_Challenger_of_Oklahoma,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
37,DBPEDIA_ID/2010_ATP_Challenger_Trophy,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
38,DBPEDIA_ID/2010_Aberto_de_Brasília,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
39,DBPEDIA_ID/2010_Antonio_Savoldi–Marco_Cò_–_Trofeo_Dimmidisì,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
40,DBPEDIA_ID/2010_BH_Tennis_Open_International_Cup,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
41,DBPEDIA_ID/2010_Bauer_Watertechnology_Cup,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
42,DBPEDIA_ID/2010_Chang-Sat_Bangkok_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
43,DBPEDIA_ID/2010_Concurso_Internacional_de_Tenis_–_San_Sebastián,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
44,DBPEDIA_ID/2010_Copa_Petrobras_Montevideo,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
45,DBPEDIA_ID/2010_IPP_Trophy,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
46,DBPEDIA_ID/2010_Karshi_Challenger,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
47,DBPEDIA_ID/2010_Levene_Gouldin_&_Thompson_Tennis_Challenger,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
48,DBPEDIA_ID/2010_Pekao_Szczecin_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
49,DBPEDIA_ID/2010_Samarkand_Challenger,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
50,DBPEDIA_ID/2010_Seguros_Bolívar_Open_Cali,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
51,DBPEDIA_ID/2010_Tennislife_Cup,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
52,DBPEDIA_ID/2010_Virginia_National_Bank_Men's_Pro_Championship,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
53,DBPEDIA_ID/2011_ABN_AMRO_World_Tennis_Tournament,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
54,DBPEDIA_ID/2011_Aegon_Championships,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
55,DBPEDIA_ID/2011_Aegon_Classic,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
56,DBPEDIA_ID/2011_Campbell's_Hall_of_Fame_Tennis_Championships,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
57,DBPEDIA_ID/2011_Challenger_Banque_Nationale_de_Saguenay,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
58,DBPEDIA_ID/2011_Comerica_Bank_Challenger,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
59,DBPEDIA_ID/2011_Commonwealth_Bank_Tournament_of_Champions,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
60,DBPEDIA_ID/2011_Gastein_Ladies,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
61,DBPEDIA_ID/2011_International_German_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
62,DBPEDIA_ID/2011_Mubadala_World_Tennis_Championship_(January),"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
63,DBPEDIA_ID/2011_Odlum_Brown_Vancouver_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
64,DBPEDIA_ID/2011_Open_International_Féminin_Midi-Pyrénées_Saint-Gaudens_Comminges,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
65,DBPEDIA_ID/2011_Poznań_Porsche_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
66,DBPEDIA_ID/2011_Regions_Morgan_Keegan_Championships_and_the_Cellular_South_Cup,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
67,DBPEDIA_ID/2011_Sparta_Prague_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
68,DBPEDIA_ID/2013_ATP_China_International_Tennis_Challenge,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
69,DBPEDIA_ID/2013_Aegon_Championships,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
70,DBPEDIA_ID/2013_Aegon_Nottingham_Challenge,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
71,DBPEDIA_ID/2013_Aegon_Trophy,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
72,DBPEDIA_ID/2013_Cooper_Challenger,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
73,DBPEDIA_ID/2013_Empire_Slovak_Open,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
74,DBPEDIA_ID/2013_Fukuoka_International_Women's_Cup,"SportsEvent,Tournament,TennisTournament,Event,SocietalEvent"
