,entity,classes
0,DBPEDIA_ID/Barbican_Centre,"ArchitecturalStructure,Place,Venue,Location,Theatre"
1,DBPEDIA_ID/Dudley_Hippodrome,"ArchitecturalStructure,Place,Venue,Location,Theatre"
2,DBPEDIA_ID/Garneau_Theatre,"ArchitecturalStructure,Place,Venue,Location,Theatre"
3,DBPEDIA_ID/Herbst_Theatre,"ArchitecturalStructure,Place,Venue,Location,Theatre"
4,DBPEDIA_ID/Hippodrome_Theatre_(Baltimore),"ArchitecturalStructure,Place,Venue,Location,Theatre"
5,DBPEDIA_ID/Le_Trianon_(theatre),"ArchitecturalStructure,Place,Venue,Location,Theatre"
6,DBPEDIA_ID/Lyric_Theatre_(1903_New_York_City),"ArchitecturalStructure,Place,Venue,Location,Theatre"
7,"DBPEDIA_ID/Lyric_Theatre_(Kansas_City,_Missouri)","ArchitecturalStructure,Place,Venue,Location,Theatre"
8,DBPEDIA_ID/Market_Street_Cinema,"ArchitecturalStructure,Place,Venue,Location,Theatre"
9,"DBPEDIA_ID/Memorial_Auditorium_(Louisville,_Kentucky)","ArchitecturalStructure,Place,Venue,Location,Theatre"
10,"DBPEDIA_ID/Orpheum_Theater_(Flagstaff,_Arizona)","ArchitecturalStructure,Place,Venue,Location,Theatre"
11,DBPEDIA_ID/Orpheum_Theatre_(Boston),"ArchitecturalStructure,Place,Venue,Location,Theatre"
12,"DBPEDIA_ID/Orpheum_Theatre_(Madison,_Wisconsin)","ArchitecturalStructure,Place,Venue,Location,Theatre"
13,DBPEDIA_ID/Orpheum_Theatre_(Manhattan),"ArchitecturalStructure,Place,Venue,Location,Theatre"
14,DBPEDIA_ID/Orpheum_Theatre_(Omaha),"ArchitecturalStructure,Place,Venue,Location,Theatre"
15,"DBPEDIA_ID/Orpheum_Theatre_(Phoenix,_Arizona)","ArchitecturalStructure,Place,Venue,Location,Theatre"
16,DBPEDIA_ID/Orpheum_Theatre_(San_Francisco),"ArchitecturalStructure,Place,Venue,Location,Theatre"
17,DBPEDIA_ID/Pantages_Theatre_(Minneapolis),"ArchitecturalStructure,Place,Venue,Location,Theatre"
18,DBPEDIA_ID/Royce_Hall,"ArchitecturalStructure,Place,Venue,Location,Theatre"
19,DBPEDIA_ID/The_Flamingo_Club,"ArchitecturalStructure,Place,Venue,Location,Theatre"
20,DBPEDIA_ID/Théâtre_de_l'Atelier,"ArchitecturalStructure,Place,Venue,Location,Theatre"
21,"DBPEDIA_ID/Unity_Theatre,_London","ArchitecturalStructure,Place,Venue,Location,Theatre"
22,DBPEDIA_ID/Vivian_Beaumont_Theater,"ArchitecturalStructure,Place,Venue,Location,Theatre"
23,DBPEDIA_ID/Antoinette_Hatfield_Hall,"ArchitecturalStructure,Place,Venue,Location,Theatre"
24,DBPEDIA_ID/Mitchell_Brothers_O'Farrell_Theatre,"ArchitecturalStructure,Place,Venue,Location,Theatre"
25,DBPEDIA_ID/Ambassador_Theatre_(New_York_City),"ArchitecturalStructure,Place,Venue,Location,Theatre"
26,DBPEDIA_ID/National_Opera_of_Ukraine,"ArchitecturalStructure,Place,Venue,Location,Theatre"
27,"DBPEDIA_ID/Drama_Studio,_University_of_Sheffield","ArchitecturalStructure,Place,Venue,Location,Theatre"
28,DBPEDIA_ID/Ferguson_Center_for_the_Arts,"ArchitecturalStructure,Place,Venue,Location,Theatre"
29,DBPEDIA_ID/Fitzgerald_Theater,"ArchitecturalStructure,Place,Venue,Location,Theatre"
30,DBPEDIA_ID/Gammage_Memorial_Auditorium,"ArchitecturalStructure,Place,Venue,Location,Theatre"
31,DBPEDIA_ID/Omaha_Community_Playhouse,"ArchitecturalStructure,Place,Venue,Location,Theatre"
32,DBPEDIA_ID/Loew's_Grand_Theatre,"ArchitecturalStructure,Place,Venue,Location,Theatre"
33,"DBPEDIA_ID/Paramount_Theater_(Charlottesville,_Virginia)","ArchitecturalStructure,Place,Venue,Location,Theatre"
34,DBPEDIA_ID/Park_Theatre_(Manhattan),"ArchitecturalStructure,Place,Venue,Location,Theatre"
35,DBPEDIA_ID/Regent_Theatre_(Brisbane),"ArchitecturalStructure,Place,Venue,Location,Theatre"
